ContentNormalizedHash,LinkedPostId,LinkedPostTypeId,PostCount
8963773328507574279,13230652,1,1
-9150319906938922209,31630535,1,1
-6142243879488893162,8642363,1,1
-6309961653066029297,4826044,1,1
3924034675961711036,31872161,1,1
-5490247915371883343,9989910,1,1
7959111697915666534,51761926,1,1
-4922765423024085420,14135120,1,1
-1392510251606541160,27610973,1,1
2372358796691223155,23653778,1,1
-9071905053464819722,13586907,1,1
8499204404837820758,37436666,1,1
-6989384187470228972,29029410,1,1
1028430369675116085,32018830,1,1
8743386830611166767,33192887,1,1
878937761105226829,4528392,1,1
-9036000708968441319,19254029,1,1
5837036811119311322,12975530,1,1
-8831077348023565344,48771856,1,1
5760087499031119591,55510,1,1
6406180929369555941,3340050,1,1
7068283620437621157,886111,1,1
-6433836401729487257,30726848,1,1
4452018187736887375,29679364,1,1
8630564688658481145,14214842,1,1
-6523213520014497648,9285564,1,1
-3973382503550747347,50311966,1,1
-7091811750830324453,937044,1,1
-6211234179056392108,29549935,1,1
-786030631987933991,19212419,1,1
931874022797361558,15223032,1,1
1010422850493792976,11992153,1,1
-6794564433352514040,12798530,1,1
6693095908908871019,47163541,1,1
5896112572021381438,5959788,1,1
-3377892341095648491,10226046,1,1
5421540679784923505,12928863,1,1
-1461607825418166441,5069104,1,1
-72695235752783129,30174395,1,1
-3753421439720701934,15002141,1,1
814367102225826164,21279781,1,1
7645955392795614569,15197141,1,1
-116267765472419204,3717793,1,1
-3585687627417449699,19334326,1,1
5407015157773853429,6137706,1,1
-7476633706061610991,32190749,1,1
-3921576536944911940,400283,1,1
3100460994266575397,29373887,1,1
-1941711482465475768,22598438,1,1
-9178338549861445778,24080771,1,1
-7232432580122148388,16632072,1,1
1822715684761458591,11846589,1,1
1881104685460252916,22231124,1,1
1851257398938410938,10945643,1,1
-8934139226958565776,3121472,1,1
6699447914239702174,15037642,1,1
6619940066394965945,38286268,1,1
-2680860663781693304,13520639,1,1
4485157844015520490,40807690,1,1
-5625145357555319297,9744335,1,1
-6211952246012241804,9478351,1,1
-7252435075012372153,17761515,1,1
5558442964022058721,14748204,1,1
3972418504751109825,4319212,1,1
-4049762794715590123,4126029,1,1
-620916432969735449,11058172,1,1
1621110492579932245,1916309,1,1
7815797186838800158,46664363,1,1
5701111940272622814,28806808,1,1
-72695235752783129,6960434,1,1
2050280004074032186,2942905,1,1
-5914720737931217064,9172247,1,1
373430766508957727,9598707,1,1
1010422850493792976,23007551,1,1
3251126997435597624,25063781,1,1
4125093451784826580,8934374,1,1
-6032397260570433416,41095240,1,1
2760007109744048603,1786477,1,1
5057328281296891623,26631815,1,1
5380096736850485283,14693852,1,1
-6778563487215722896,1688099,1,1
-5003299582245150504,27650331,1,1
-6969542948917554516,8736713,1,1
-4815566978367684668,5224845,1,1
2752390028747072352,34864139,1,1
-2148328411180859395,60174,1,1
6618768693384569066,9979827,1,1
7031983003452083935,12638587,1,1
-8282988657629654250,5620113,1,1
2876474072471510264,33883843,1,1
83767279956043142,20321620,1,1
6717600864085131927,41300598,1,1
2947735055068460393,11153892,1,1
7329458424733978687,5978165,1,1
