ContentNormalizedHash,PostId,PostTypeId,ParentId
7553403334770970112,19881861,1,19881861
7553403334770970112,21835909,1,21835909
4799366420386832640,46040141,1,46040141
4799366420386832640,41944414,1,41944414
4799366420386832640,45197191,1,45197191
3578265266738064384,34958288,1,34958288
3578265266738064384,14794128,1,14794128
3578265266738064384,31052167,1,31052167
3578265266738064384,15173975,1,15173975
3578265266738064384,32149513,1,32149513
3578265266738064384,19387864,1,19387864
3578265266738064384,11620431,1,11620431
3578265266738064384,47951352,1,47951352
-7380515367956811520,7343268,1,7343268
-7380515367956811520,10231695,1,10231695
-7079374044659548672,12436170,1,12436170
-7079374044659548672,16112815,1,16112815
-7079374044659548672,31908429,1,31908429
-7079374044659548672,7549838,1,7549838
-7079374044659548672,3961810,1,3961810
-7079374044659548672,5587098,1,5587098
-7079374044659548672,16107377,1,16107377
-7079374044659548672,6032047,1,6032047
-7079374044659548672,29662454,1,29662454
-7079374044659548672,7929992,1,7929992
5135388639964475904,34679568,1,34679568
5135388639964475904,35241589,1,35241589
5135388639964475904,27836607,1,27836607
5135388639964475904,23831393,1,23831393
5135388639964475904,28913050,1,28913050
5135388639964475904,21202935,1,21202935
1226786905349871872,38204308,1,38204308
1226786905349871872,49504207,1,49504207
1226786905349871872,41523665,1,41523665
1226786905349871872,41231775,1,41231775
1226786905349871872,22275206,1,22275206
1226786905349871872,50214196,1,50214196
1226786905349871872,45165870,1,45165870
1226786905349871872,45861164,1,45861164
3618201335026098177,42924355,1,42924355
4900069090413401601,49756742,1,49756742
4900069090413401601,19840056,1,19840056
4900069090413401601,19736924,1,19736924
4900069090413401601,9858094,1,9858094
4900069090413401601,41288786,1,41288786
4900069090413401601,43027374,1,43027374
4900069090413401601,28307847,1,28307847
4900069090413401601,28472871,1,28472871
4900069090413401601,46130681,1,46130681
4900069090413401601,34838259,1,34838259
4900069090413401601,10399552,1,10399552
4900069090413401601,36267027,1,36267027
4900069090413401601,30513718,1,30513718
4900069090413401601,44427653,1,44427653
4900069090413401601,20586920,1,20586920
4900069090413401601,28031560,1,28031560
4900069090413401601,24240560,1,24240560
4900069090413401601,8357296,1,8357296
4900069090413401601,26545524,1,26545524
4900069090413401601,21983309,1,21983309
4900069090413401601,11252304,1,11252304
4900069090413401601,23974096,1,23974096
4900069090413401601,11063156,1,11063156
4900069090413401601,16296589,1,16296589
4900069090413401601,24524886,1,24524886
4900069090413401601,33544169,1,33544169
4900069090413401601,36795691,1,36795691
4900069090413401601,19642862,1,19642862
4900069090413401601,38358880,1,38358880
4900069090413401601,34643338,1,34643338
4900069090413401601,19330334,1,19330334
4900069090413401601,44103142,1,44103142
4900069090413401601,44864040,1,44864040
4900069090413401601,43904402,1,43904402
4900069090413401601,42273495,1,42273495
4900069090413401601,47851582,1,47851582
1077360700680531969,5642958,1,5642958
1077360700680531969,37056029,1,37056029
40297334535212289,10086115,1,10086115
40297334535212289,40111501,1,40111501
40297334535212289,46682003,1,46682003
40297334535212289,21988425,1,21988425
40297334535212289,9539018,1,9539018
40297334535212289,29165388,1,29165388
40297334535212289,19207682,1,19207682
40297334535212289,14329708,1,14329708
40297334535212289,18558707,1,18558707
40297334535212289,15728673,1,15728673
40297334535212289,7574027,1,7574027
40297334535212289,5744852,1,5744852
40297334535212289,12417381,1,12417381
40297334535212289,31979677,1,31979677
40297334535212289,13765453,1,13765453
