ContentNormalizedHash,LineCount,ThreadCount,Content
-7761885323131420759,256,5,"    package facebooklocation.facebooklocation;&#xD;&#xA;    &#xD;&#xA;    import android.content.Intent;&#xD;&#xA;    import android.content.pm.PackageInfo;&#xD;&#xA;    import android.content.pm.PackageManager;&#xD;&#xA;    import android.content.pm.Signature;&#xD;&#xA;    import android.support.v7.app.AppCompatActivity;&#xD;&#xA;    import android.os.Bundle;&#xD;&#xA;    import android.util.Base64;&#xD;&#xA;    import android.util.Log;&#xD;&#xA;    import android.view.View;&#xD;&#xA;    import android.widget.ImageView;&#xD;&#xA;    import android.widget.LinearLayout;&#xD;&#xA;    import android.widget.TextView;&#xD;&#xA;    import com.bumptech.glide.Glide;&#xD;&#xA;    import com.facebook.AccessToken;&#xD;&#xA;    import com.facebook.CallbackManager;&#xD;&#xA;    import com.facebook.FacebookCallback;&#xD;&#xA;    import com.facebook.FacebookException;&#xD;&#xA;    import com.facebook.FacebookSdk;&#xD;&#xA;    import com.facebook.GraphRequest;&#xD;&#xA;    import com.facebook.GraphResponse;&#xD;&#xA;    import com.facebook.HttpMethod;&#xD;&#xA;    import com.facebook.login.LoginManager;&#xD;&#xA;    import com.facebook.login.LoginResult;&#xD;&#xA;    import org.json.JSONObject;&#xD;&#xA;    import java.security.MessageDigest;&#xD;&#xA;    import java.security.NoSuchAlgorithmException;&#xD;&#xA;    import java.util.Arrays;&#xD;&#xA;    &#xD;&#xA;    public class MainActivity extends AppCompatActivity implements View.OnClickListener {&#xD;&#xA;    &#xD;&#xA;        CallbackManager callbackManager;&#xD;&#xA;        ImageView iv_image, iv_facebook;&#xD;&#xA;        TextView tv_name, tv_email, tv_dob, tv_location, tv_facebook;&#xD;&#xA;        LinearLayout ll_facebook;&#xD;&#xA;        String str_facebookname, str_facebookemail, str_facebookid, str_birthday, str_location;&#xD;&#xA;        boolean boolean_login;&#xD;&#xA;    &#xD;&#xA;        @Override&#xD;&#xA;        protected void onCreate(Bundle savedInstanceState) {&#xD;&#xA;            super.onCreate(savedInstanceState);&#xD;&#xA;            setContentView(R.layout.activity_main);&#xD;&#xA;    &#xD;&#xA;            init();&#xD;&#xA;            getKeyHash();&#xD;&#xA;            listener();&#xD;&#xA;        }&#xD;&#xA;    &#xD;&#xA;    &#xD;&#xA;        private void init() {&#xD;&#xA;            iv_image = (ImageView) findViewById(R.id.iv_image);&#xD;&#xA;            iv_facebook = (ImageView) findViewById(R.id.iv_facebook);&#xD;&#xA;            tv_name = (TextView) findViewById(R.id.tv_name);&#xD;&#xA;            tv_email = (TextView) findViewById(R.id.tv_email);&#xD;&#xA;            tv_dob = (TextView) findViewById(R.id.tv_dob);&#xD;&#xA;            tv_location = (TextView) findViewById(R.id.tv_location);&#xD;&#xA;            tv_facebook = (TextView) findViewById(R.id.tv_facebook);&#xD;&#xA;            ll_facebook = (LinearLayout) findViewById(R.id.ll_facebook);&#xD;&#xA;            FacebookSdk.sdkInitialize(this.getApplicationContext());&#xD;&#xA;        }&#xD;&#xA;    &#xD;&#xA;        private void listener() {&#xD;&#xA;            tv_facebook.setOnClickListener(this);&#xD;&#xA;            ll_facebook.setOnClickListener(this);&#xD;&#xA;            iv_facebook.setOnClickListener(this);&#xD;&#xA;    &#xD;&#xA;        }&#xD;&#xA;    &#xD;&#xA;        private void facebookLogin() {&#xD;&#xA;            callbackManager = CallbackManager.Factory.create();&#xD;&#xA;            LoginManager.getInstance().registerCallback(callbackManager, new FacebookCallback<LoginResult>() {&#xD;&#xA;                @Override&#xD;&#xA;                public void onSuccess(LoginResult loginResult) {&#xD;&#xA;                    Log.e(""ONSUCCESS"", ""User ID: "" + loginResult.getAccessToken().getUserId()&#xD;&#xA;                            + ""\n"" + ""Auth Token: "" + loginResult.getAccessToken().getToken()&#xD;&#xA;                    );&#xD;&#xA;                    GraphRequest request = GraphRequest.newMeRequest(loginResult.getAccessToken(),&#xD;&#xA;                            new GraphRequest.GraphJSONObjectCallback() {&#xD;&#xA;                                @Override&#xD;&#xA;                                public void onCompleted(JSONObject object, GraphResponse response) {&#xD;&#xA;                                    try {&#xD;&#xA;    &#xD;&#xA;                                        boolean_login = true;&#xD;&#xA;                                        tv_facebook.setText(""Logout from Facebook"");&#xD;&#xA;    &#xD;&#xA;                                        Log.e(""object"", object.toString());&#xD;&#xA;                                        str_facebookname = object.getString(""name"");&#xD;&#xA;    &#xD;&#xA;                                        try {&#xD;&#xA;                                            str_facebookemail = object.getString(""email"");&#xD;&#xA;                                        } catch (Exception e) {&#xD;&#xA;                                            str_facebookemail = """";&#xD;&#xA;                                            e.printStackTrace();&#xD;&#xA;                                        }&#xD;&#xA;    &#xD;&#xA;                                        try {&#xD;&#xA;                                            str_facebookid = object.getString(""id"");&#xD;&#xA;                                        } catch (Exception e) {&#xD;&#xA;                                            str_facebookid = """";&#xD;&#xA;                                            e.printStackTrace();&#xD;&#xA;    &#xD;&#xA;                                        }&#xD;&#xA;    &#xD;&#xA;    &#xD;&#xA;                                        try {&#xD;&#xA;                                            str_birthday = object.getString(""birthday"");&#xD;&#xA;                                        } catch (Exception e) {&#xD;&#xA;                                            str_birthday = """";&#xD;&#xA;                                            e.printStackTrace();&#xD;&#xA;                                        }&#xD;&#xA;    &#xD;&#xA;                                        try {&#xD;&#xA;                                            JSONObject jsonobject_location = object.getJSONObject(""location"");&#xD;&#xA;                                            str_location = jsonobject_location.getString(""name"");&#xD;&#xA;    &#xD;&#xA;                                        } catch (Exception e) {&#xD;&#xA;                                            str_location = """";&#xD;&#xA;                                            e.printStackTrace();&#xD;&#xA;                                        }&#xD;&#xA;    &#xD;&#xA;                                        fn_profilepic();&#xD;&#xA;    &#xD;&#xA;                                    } catch (Exception e) {&#xD;&#xA;    &#xD;&#xA;                                    }&#xD;&#xA;                                }&#xD;&#xA;                            });&#xD;&#xA;                    Bundle parameters = new Bundle();&#xD;&#xA;                    parameters.putString(""fields"", ""id, name, email,gender,birthday,location"");&#xD;&#xA;    &#xD;&#xA;                    request.setParameters(parameters);&#xD;&#xA;                    request.executeAsync();&#xD;&#xA;                }&#xD;&#xA;    &#xD;&#xA;                @Override&#xD;&#xA;                public void onCancel() {&#xD;&#xA;                    if (AccessToken.getCurrentAccessToken() == null) {&#xD;&#xA;                        return; // already logged out&#xD;&#xA;                    }&#xD;&#xA;                    new GraphRequest(AccessToken.getCurrentAccessToken(), ""/me/permissions/"", null, HttpMethod.DELETE, new GraphRequest&#xD;&#xA;                            .Callback() {&#xD;&#xA;                        @Override&#xD;&#xA;                        public void onCompleted(GraphResponse graphResponse) {&#xD;&#xA;                            LoginManager.getInstance().logOut();&#xD;&#xA;                            LoginManager.getInstance().logInWithReadPermissions(MainActivity.this, Arrays.asList(""public_profile,email""));&#xD;&#xA;                            facebookLogin();&#xD;&#xA;    &#xD;&#xA;                        }&#xD;&#xA;                    }).executeAsync();&#xD;&#xA;    &#xD;&#xA;    &#xD;&#xA;                }&#xD;&#xA;    &#xD;&#xA;                @Override&#xD;&#xA;                public void onError(FacebookException e) {&#xD;&#xA;                    Log.e(""ON ERROR"", ""Login attempt failed."");&#xD;&#xA;    &#xD;&#xA;    &#xD;&#xA;                    AccessToken.setCurrentAccessToken(null);&#xD;&#xA;                    LoginManager.getInstance().logInWithReadPermissions(MainActivity.this, Arrays.asList(""public_profile,email,user_birthday""));&#xD;&#xA;                }&#xD;&#xA;            });&#xD;&#xA;        }&#xD;&#xA;    &#xD;&#xA;        @Override&#xD;&#xA;        public void onActivityResult(int requestCode, int resultCode, Intent data) {&#xD;&#xA;            super.onActivityResult(requestCode, resultCode, data);&#xD;&#xA;    &#xD;&#xA;            try {&#xD;&#xA;                callbackManager.onActivityResult(requestCode, resultCode, data);&#xD;&#xA;            } catch (Exception e) {&#xD;&#xA;    &#xD;&#xA;            }&#xD;&#xA;    &#xD;&#xA;        }&#xD;&#xA;    &#xD;&#xA;        private void getKeyHash() {&#xD;&#xA;            // Add code to print out the key hash&#xD;&#xA;            try {&#xD;&#xA;                PackageInfo info = getPackageManager().getPackageInfo(""facebooklocation.facebooklocation"", PackageManager.GET_SIGNATURES);&#xD;&#xA;                for (Signature signature : info.signatures) {&#xD;&#xA;                    MessageDigest md = MessageDigest.getInstance(""SHA"");&#xD;&#xA;                    md.update(signature.toByteArray());&#xD;&#xA;                    Log.d(""KeyHash:"", Base64.encodeToString(md.digest(), Base64.DEFAULT));&#xD;&#xA;                }&#xD;&#xA;            } catch (PackageManager.NameNotFoundException e) {&#xD;&#xA;    &#xD;&#xA;            } catch (NoSuchAlgorithmException e) {&#xD;&#xA;    &#xD;&#xA;            }&#xD;&#xA;        }&#xD;&#xA;    &#xD;&#xA;        private void fn_profilepic() {&#xD;&#xA;    &#xD;&#xA;            Bundle params = new Bundle();&#xD;&#xA;            params.putBoolean(""redirect"", false);&#xD;&#xA;            params.putString(""type"", ""large"");&#xD;&#xA;            new GraphRequest(&#xD;&#xA;                    AccessToken.getCurrentAccessToken(),&#xD;&#xA;                    ""me/picture"",&#xD;&#xA;                    params,&#xD;&#xA;                    HttpMethod.GET,&#xD;&#xA;                    new GraphRequest.Callback() {&#xD;&#xA;                        public void onCompleted(GraphResponse response) {&#xD;&#xA;    &#xD;&#xA;                            Log.e(""Response 2"", response + """");&#xD;&#xA;    &#xD;&#xA;                            try {&#xD;&#xA;                                String str_facebookimage = (String) response.getJSONObject().getJSONObject(""data"").get(""url"");&#xD;&#xA;                                Log.e(""Picture"", str_facebookimage);&#xD;&#xA;    &#xD;&#xA;                                Glide.with(MainActivity.this).load(str_facebookimage).skipMemoryCache(true).into(iv_image);&#xD;&#xA;    &#xD;&#xA;                            } catch (Exception e) {&#xD;&#xA;                                e.printStackTrace();&#xD;&#xA;                            }&#xD;&#xA;    &#xD;&#xA;                            tv_name.setText(str_facebookname);&#xD;&#xA;                            tv_email.setText(str_facebookemail);&#xD;&#xA;                            tv_dob.setText(str_birthday);&#xD;&#xA;                            tv_location.setText(str_location);&#xD;&#xA;    &#xD;&#xA;                        }&#xD;&#xA;                    }&#xD;&#xA;            ).executeAsync();&#xD;&#xA;        }&#xD;&#xA;    &#xD;&#xA;    &#xD;&#xA;        @Override&#xD;&#xA;        public void onClick(View view) {&#xD;&#xA;    &#xD;&#xA;            if (boolean_login) {&#xD;&#xA;                boolean_login = false;&#xD;&#xA;                LoginManager.getInstance().logOut();&#xD;&#xA;                tv_location.setText("""");&#xD;&#xA;                tv_dob.setText("""");&#xD;&#xA;                tv_email.setText("""");&#xD;&#xA;                tv_name.setText("""");&#xD;&#xA;                Glide.with(MainActivity.this).load(R.drawable.profile).into(iv_image);&#xD;&#xA;                tv_facebook.setText(""Login with Facebook"");&#xD;&#xA;            } else {&#xD;&#xA;                LoginManager.getInstance().logInWithReadPermissions(MainActivity.this, Arrays.asList(""public_profile,email,user_birthday,user_location""));&#xD;&#xA;                facebookLogin();&#xD;&#xA;            }&#xD;&#xA;    &#xD;&#xA;    &#xD;&#xA;        }&#xD;&#xA;    &#xD;&#xA;    &#xD;&#xA;        @Override&#xD;&#xA;        protected void onDestroy() {&#xD;&#xA;            super.onDestroy();&#xD;&#xA;            LoginManager.getInstance().logOut();&#xD;&#xA;        }&#xD;&#xA;    }"
-4750437432936525950,20,5,"    fastcgi_param	QUERY_STRING		$query_string;&#xD;&#xA;    fastcgi_param	REQUEST_METHOD		$request_method;&#xD;&#xA;    fastcgi_param	CONTENT_TYPE		$content_type;&#xD;&#xA;    fastcgi_param	CONTENT_LENGTH		$content_length;&#xD;&#xA;    fastcgi_param	SCRIPT_FILENAME		$request_filename;&#xD;&#xA;    fastcgi_param	SCRIPT_NAME		$fastcgi_script_name;&#xD;&#xA;    fastcgi_param	REQUEST_URI		$request_uri;&#xD;&#xA;    fastcgi_param	DOCUMENT_URI		$document_uri;&#xD;&#xA;    fastcgi_param	DOCUMENT_ROOT		$document_root;&#xD;&#xA;    fastcgi_param	SERVER_PROTOCOL		$server_protocol;&#xD;&#xA;    fastcgi_param	GATEWAY_INTERFACE	CGI/1.1;&#xD;&#xA;    fastcgi_param	SERVER_SOFTWARE		nginx/$nginx_version;&#xD;&#xA;    fastcgi_param	REMOTE_ADDR		$remote_addr;&#xD;&#xA;    fastcgi_param	REMOTE_PORT		$remote_port;&#xD;&#xA;    fastcgi_param	SERVER_ADDR		$server_addr;&#xD;&#xA;    fastcgi_param	SERVER_PORT		$server_port;&#xD;&#xA;    fastcgi_param	SERVER_NAME		$server_name;&#xD;&#xA;    fastcgi_param	HTTPS			$https;&#xD;&#xA;    # PHP only, required if PHP was built with --enable-force-cgi-redirect&#xD;&#xA;    fastcgi_param	REDIRECT_STATUS		200;"
8664502410569615997,20,5,"    <?xml version=""1.0"" encoding=""UTF-8""?>&#xD;&#xA;    <configuration>&#xD;&#xA;        <system.webServer>&#xD;&#xA;            <rewrite>&#xD;&#xA;                <rules>&#xD;&#xA;                    <rule name=""Rewrite to index.php"">&#xD;&#xA;                        <match url=""index.php|robots.txt|images|test.php"" />&#xD;&#xA;                        <action type=""None"" />&#xD;&#xA;                    </rule>&#xD;&#xA;                    <rule name=""Rewrite CI Index"">&#xD;&#xA;                        <match url="".*"" />&#xD;&#xA;                        <conditions>&#xD;&#xA;                            <add input=""{REQUEST_FILENAME}"" pattern=""css|js|jpg|jpeg|png|gif|ico|htm|html"" negate=""true"" />&#xD;&#xA;                        </conditions>&#xD;&#xA;                        <action type=""Rewrite"" url=""index.php/{R:0}"" />&#xD;&#xA;                    </rule>&#xD;&#xA;                </rules>&#xD;&#xA;            </rewrite>&#xD;&#xA;        </system.webServer>&#xD;&#xA;    </configuration>"
-8022421675584551241,20,5,"    <TabHost xmlns:android=""http://schemas.android.com/apk/res/android""&#xD;&#xA;    		android:id=""@android:id/tabhost""&#xD;&#xA;    		android:layout_width=""fill_parent""&#xD;&#xA;    		android:layout_height=""fill_parent"">&#xD;&#xA;    		<LinearLayout &#xD;&#xA;    					android:orientation=""vertical""&#xD;&#xA;    				    android:layout_width=""fill_parent""&#xD;&#xA;    				    android:layout_height=""fill_parent""&#xD;&#xA;    				    android:padding=""5dp"">&#xD;&#xA;    		<TabWidget&#xD;&#xA;    			android:id=""@android:id/tabs""&#xD;&#xA;    			android:layout_width=""fill_parent""&#xD;&#xA;    			android:layout_height=""wrap_content""/>&#xD;&#xA;    		<FrameLayout&#xD;&#xA;    			android:id=""@android:id/tabcontent""&#xD;&#xA;    			android:layout_width=""fill_parent""&#xD;&#xA;    			android:layout_height=""fill_parent""&#xD;&#xA;    			android:padding=""5dp""/>&#xD;&#xA;    		</LinearLayout>		&#xD;&#xA;    </TabHost>"
7179208691866932582,20,5,"    <html xmlns=""http://www.w3.org/1999/xhtml""&#xD;&#xA;          xmlns:og=""http://ogp.me/ns#""&#xD;&#xA;          xmlns:fb=""https://www.facebook.com/2008/fbml"">&#xD;&#xA;      <head>&#xD;&#xA;        <title>The Rock (1996)</title>&#xD;&#xA;        <meta property=""og:title"" content=""The Rock""/>&#xD;&#xA;        <meta property=""og:type"" content=""movie""/>&#xD;&#xA;        <meta property=""og:url"" content=""http://www.imdb.com/title/tt0117500/""/>&#xD;&#xA;        <meta property=""og:image"" content=""http://ia.media-imdb.com/rock.jpg""/>&#xD;&#xA;        <meta property=""og:site_name"" content=""IMDb""/>&#xD;&#xA;        <meta property=""fb:admins"" content=""USER_ID""/>&#xD;&#xA;        <meta property=""og:description""&#xD;&#xA;              content=""A group of U.S. Marines, under command of&#xD;&#xA;                       a renegade general, take over Alcatraz and&#xD;&#xA;                       threaten San Francisco Bay with biological&#xD;&#xA;                       weapons.""/>&#xD;&#xA;        ...&#xD;&#xA;      </head>&#xD;&#xA;      ...&#xD;&#xA;    </html>"
-2824487818535446707,20,5,"      <?xml version=""1.0"" encoding=""utf-8""?>&#xD;&#xA;     <TabHost xmlns:android=""http://schemas.android.com/apk/res/android""&#xD;&#xA;    android:id=""@android:id/tabhost""&#xD;&#xA;    android:layout_width=""fill_parent""&#xD;&#xA;    android:layout_height=""fill_parent"">&#xD;&#xA;    <LinearLayout&#xD;&#xA;        android:orientation=""vertical""&#xD;&#xA;        android:layout_width=""fill_parent""&#xD;&#xA;        android:layout_height=""fill_parent""&#xD;&#xA;        android:padding=""5dp"">&#xD;&#xA;        <TabWidget&#xD;&#xA;            android:id=""@android:id/tabs""&#xD;&#xA;            android:layout_width=""fill_parent""&#xD;&#xA;            android:layout_height=""wrap_content"" />&#xD;&#xA;        <FrameLayout&#xD;&#xA;            android:id=""@android:id/tabcontent""&#xD;&#xA;            android:layout_width=""fill_parent""&#xD;&#xA;            android:layout_height=""fill_parent""&#xD;&#xA;            android:padding=""5dp"" />&#xD;&#xA;    </LinearLayout>"
-5969751646240375211,20,5,	Letter 	Date or Time Component 	Presentation		Examples&#xD;&#xA;	G 		Era designator 			Text				AD&#xD;&#xA;	y 		Year					Year				1996; 96&#xD;&#xA;	M 		Month in year 			Month				July; Jul; 07&#xD;&#xA;	w 		Week in year 			Number				27&#xD;&#xA;	W 		Week in month			Number				2&#xD;&#xA;	D 		Day in year				Number				189&#xD;&#xA;	d 		Day in month			Number				10&#xD;&#xA;	F 		Day of week in month 	Number				2&#xD;&#xA;	E 		Day in week 			Text				Tuesday; Tue&#xD;&#xA;	a 		Am/pm marker 			Text				PM&#xD;&#xA;	H		Hour in day (0-23) 		Number				0&#xD;&#xA;	k		Hour in day (1-24) 		Number				24&#xD;&#xA;	K		Hour in am/pm (0-11)	Number				0&#xD;&#xA;	h		Hour in am/pm (1-12) 	Number				12&#xD;&#xA;	m		Minute in hour 			Number				30&#xD;&#xA;	s		Second in minute	 	Number				55&#xD;&#xA;	S		Millisecond				Number				978&#xD;&#xA;	z		Time zone 				General time zone 	Pacific Standard Time; PST; GMT-08:00&#xD;&#xA;	Z		Time zone 				RFC 822 time zone 	-0800
-7848438594015280261,20,5,"    <?xml version=""1.0"" encoding=""utf-8""?>&#xD;&#xA;    <configuration>&#xD;&#xA;      <configSections>&#xD;&#xA;        <!-- For more information on Entity Framework configuration, visit http://go.microsoft.com/fwlink/?LinkID=237468 -->&#xD;&#xA;        <section name=""entityFramework"" type=""System.Data.Entity.Internal.ConfigFile.EntityFrameworkSection, EntityFramework, Version=6.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089"" requirePermission=""false"" />&#xD;&#xA;      </configSections>&#xD;&#xA;      <startup>&#xD;&#xA;        <supportedRuntime version=""v4.0"" sku="".NETFramework,Version=v4.5"" />&#xD;&#xA;      </startup>&#xD;&#xA;      <entityFramework>&#xD;&#xA;        <defaultConnectionFactory type=""System.Data.Entity.Infrastructure.LocalDbConnectionFactory, EntityFramework"">&#xD;&#xA;          <parameters>&#xD;&#xA;            <parameter value=""mssqllocaldb"" />&#xD;&#xA;          </parameters>&#xD;&#xA;        </defaultConnectionFactory>&#xD;&#xA;        <providers>&#xD;&#xA;          <provider invariantName=""System.Data.SqlClient"" type=""System.Data.Entity.SqlServer.SqlProviderServices, EntityFramework.SqlServer"" />&#xD;&#xA;        </providers>&#xD;&#xA;      </entityFramework>&#xD;&#xA;    </configuration>"
-6477775927486515768,21,5,"    <div class=""row"">&#xD;&#xA;      <div class=""col-md-4 col-md-offset-4"">&#xD;&#xA;        <div class=""well"">&#xD;&#xA;          <%= form_for @contact do |f| %>&#xD;&#xA;            <div class=""form-group"">&#xD;&#xA;              <%= f.label :name %>&#xD;&#xA;              <%= f.text_field :name, class: 'form-control' %>&#xD;&#xA;            </div>&#xD;&#xA;            <div class=""form-group"">&#xD;&#xA;              <%= f.label :email %>&#xD;&#xA;              <%= f.email_field :email, class: 'form-control' %>&#xD;&#xA;            </div>&#xD;&#xA;            <div class=""form-group"">&#xD;&#xA;              <%= f.label :comments %>&#xD;&#xA;              <%= f.text_area :comments, class: 'form-control' %>&#xD;&#xA;            </div>&#xD;&#xA;            <%= f.submit 'Submit', class: 'btn btn-default' %>&#xD;&#xA;          <% end %>&#xD;&#xA;        </div>&#xD;&#xA;      </div>&#xD;&#xA;    </div>"
-8023795032488105868,21,5,"        fastcgi_param  SCRIPT_FILENAME    $document_root$fastcgi_script_name;&#xD;&#xA;        fastcgi_param  QUERY_STRING       $query_string;&#xD;&#xA;        fastcgi_param  REQUEST_METHOD     $request_method;&#xD;&#xA;        fastcgi_param  CONTENT_TYPE       $content_type;&#xD;&#xA;        fastcgi_param  CONTENT_LENGTH     $content_length;&#xD;&#xA;        fastcgi_param  SCRIPT_NAME        $fastcgi_script_name;&#xD;&#xA;        fastcgi_param  REQUEST_URI        $request_uri;&#xD;&#xA;        fastcgi_param  DOCUMENT_URI       $document_uri;&#xD;&#xA;        fastcgi_param  DOCUMENT_ROOT      $document_root;&#xD;&#xA;        fastcgi_param  SERVER_PROTOCOL    $server_protocol;&#xD;&#xA;        fastcgi_param  REQUEST_SCHEME     $scheme;&#xD;&#xA;        fastcgi_param  HTTPS              $https if_not_empty;&#xD;&#xA;        fastcgi_param  GATEWAY_INTERFACE  CGI/1.1;&#xD;&#xA;        fastcgi_param  SERVER_SOFTWARE    nginx/$nginx_version;&#xD;&#xA;        fastcgi_param  REMOTE_ADDR        $remote_addr;&#xD;&#xA;        fastcgi_param  REMOTE_PORT        $remote_port;&#xD;&#xA;        fastcgi_param  SERVER_ADDR        $server_addr;&#xD;&#xA;        fastcgi_param  SERVER_PORT        $server_port;&#xD;&#xA;        fastcgi_param  SERVER_NAME        $server_name;&#xD;&#xA;        # PHP only, required if PHP was built with --enable-force-cgi-redirect&#xD;&#xA;        fastcgi_param  REDIRECT_STATUS    200;"
