ContentNormalizedHash,PostId,PostTypeId,ParentId,RootDomain,CompleteDomain,Url
-6955766529151959903,36654402,2,36600313,aka.ms,aka.ms,http://aka.ms/2015buildgetpreviewframesample
-6955766529151959903,30044109,2,29947225,aka.ms,aka.ms,http://aka.ms/2015buildgetpreviewframesample
-6955766529151959903,30044070,2,25481840,aka.ms,aka.ms,http://aka.ms/2015buildgetpreviewframesample
-6955766529151959903,31617304,2,31578754,aka.ms,aka.ms,http://aka.ms/2015buildgetpreviewframesample
-859923329185040896,22404387,2,22370951,goo.gl,goo.gl,http://goo.gl/daGiPO
7281934582951099957,32390035,2,32389852,nrj.io,nrj.io,https://nrj.io/simple-interactive-notifications-in-ios-8/
7281934582951099957,29118483,2,24840246,nrj.io,nrj.io,https://nrj.io/simple-interactive-notifications-in-ios-8
7281934582951099957,28052881,1,28052881,nrj.io,nrj.io,https://nrj.io/simple-interactive-notifications-in-ios-8
7281934582951099957,38198764,2,25693608,nrj.io,nrj.io,https://nrj.io/simple-interactive-notifications-in-ios-8/
-4309990469071791560,3774662,2,3774622,ntt.cc,ntt.cc,http://ntt.cc/2008/01/19/base64-encoder-decoder-with-javascript.html
-6733886874613986677,20561405,1,20561405,puu.sh,puu.sh,http://puu.sh/5L7XV.png
6857146719266237045,41040292,2,41039375,ste.vn,ste.vn,https://ste.vn/2015/06/10/configuring-app-transport-security-ios-9-osx-10-11/
-4393918666313296034,23858593,1,23858593,grab.by,grab.by,http://grab.by/xbzK
7283322084494460544,13721856,2,13716542,jcp.org,jcp.org,http://jcp.org/en/jsr/detail?id=222
7283322084494460544,19793730,2,19792582,jcp.org,jcp.org,http://jcp.org/en/jsr/detail?id=222
433611270435090206,17659519,2,17655655,jnye.co,jnye.co,http://jnye.co/Posts/4/creating-a-dropdown-list-from-an-enum-in-mvc-and-c%23
433611270435090206,15899910,2,15898171,jnye.co,jnye.co,http://jnye.co/Posts/4/creating-a-dropdown-list-from-an-enum-in-mvc-and-c%23
433611270435090206,19540466,2,19540081,jnye.co,jnye.co,http://jnye.co/Posts/4/creating-a-dropdown-list-from-an-enum-in-mvc-and-c%23
433611270435090206,17857313,2,17831596,jnye.co,jnye.co,http://jnye.co/Posts/4/creating-a-dropdown-list-from-an-enum-in-mvc-and-c%23
433611270435090206,17484567,2,17164823,jnye.co,jnye.co,http://jnye.co/Posts/4/creating-a-dropdown-list-from-an-enum-in-mvc-and-c%23
-7245958965170765695,42974309,1,42974309,jspm.io,jspm.io,http://jspm.io/docs/getting-started.html
61857747595166744,42434399,2,42434295,php.net,php.net,http://php.net/manual/en/function.get-browser.php
61857747595166744,11610348,2,11602931,php.net,php.net,http://php.net/manual/en/function.get-browser.php
-3403612589528070626,2284580,2,2284468,php.net,php.net,http://php.net/manual/en/function.mail.php
-3403612589528070626,3512128,2,3512021,php.net,php.net,http://php.net/mail
4868597549705666100,44829219,2,44713163,php.net,php.net,http://php.net/manual/en/function.glob.php
-6101385667276464332,7760578,2,7744912,php.net,php.net,http://php.net/manual/en/function.mysql-real-escape-string.php
4269273402957973562,35099941,2,35099096,php.net,php.net,http://php.net/manual/en/function.mail.php
-4002221584401690815,2142110,2,2142030,php.net,php.net,http://php.net/manual/en/function.get-browser.php
-4002221584401690815,23131360,2,23131266,php.net,php.net,http://php.net/manual/en/function.get-browser.php
-4002221584401690815,38657690,2,38657555,php.net,php.net,http://php.net/manual/en/function.get-browser.php
-4002221584401690815,26866763,2,26854950,php.net,php.net,http://php.net/manual/en/function.get-browser.php
-4002221584401690815,8754109,2,8754080,php.net,php.net,http://php.net/manual/en/function.get-browser.php#101125
-4002221584401690815,24909421,2,24909341,php.net,php.net,http://php.net/manual/en/function.get-browser.php
8259472307472021851,19454760,2,19454717,php.net,php.net,http://php.net/manual/en/book.curl.php
-5103831139330865298,44727802,2,44727510,php.net,php.net,http://php.net/manual/en/features.file-upload.php
-5103831139330865298,43555271,2,43555223,php.net,php.net,http://php.net/manual/en/mysqli.quickstart.prepared-statements.php
-5103831139330865298,43555271,2,43555223,php.net,php.net,http://php.net/manual/en/fileinfo.installation.php
-5103831139330865298,43822554,1,43822554,php.net,php.net,http://php.net/manual/en/features.file-upload.php
-5154293555401981576,27117967,2,27117884,php.net,php.net,http://php.net/manual/en/domdocument.getelementsbytagname.php
-5154293555401981576,25123361,2,25123286,php.net,php.net,http://php.net/manual/en/simplexmlelement.attributes.php
-5154293555401981576,19305796,2,19305722,php.net,php.net,http://php.net/manual/en/simplexml.examples-basic.php
-5154293555401981576,19305796,2,19305722,php.net,php.net,http://php.net/manual/en/simplexmlelement.children.php
-5154293555401981576,11373507,1,11373507,php.net,php.net,http://php.net
-5154293555401981576,27117967,2,27117884,php.net,php.net,http://php.net/manual/en/simplexml.examples-basic.php
-1033387455479850853,37807629,2,37807188,php.net,php.net,http://php.net/manual/en/features.file-upload.put-method.php
-609379793514931813,8724607,1,8724607,php.net,php.net,http://php.net/manual/en/function.curl-multi-exec.php
-609379793514931813,40389695,2,40389046,php.net,php.net,http://php.net/curl_multi_init
-609379793514931813,48243068,2,48242933,php.net,php.net,http://php.net/curl_multi_init
-609379793514931813,39762767,2,25018162,php.net,php.net,http://php.net/manual/en/function.curl-multi-init.php
-609379793514931813,49701966,2,49701902,php.net,php.net,http://php.net/manual/en/function.curl-multi-init.php
-609379793514931813,11319521,2,8864487,php.net,php.net,http://php.net/manual/en/function.curl-multi-init.php
-609379793514931813,19999403,1,19999403,php.net,php.net,http://php.net/manual/en/function.curl-multi-init.php
-609379793514931813,44971491,2,12387851,php.net,php.net,http://php.net/manual/en/function.curl-multi-exec.php
