"ContentNormalizedHash","PostCount","PostsLinkingToClones"
"-8042916622722991446",1,0
"-8212534183976614256",1,0
"-7084009160264564981",1,0
"-3545275688409708626",2,0
"1380958385336182038",2,0
"-8912628690135773283",1,0
"-1031584601152447846",1,0
"-3182432590532199363",1,0
"2341524940657599414",4,2
"1029253203015088369",1,0
"-7514942407135675973",3,0
"-2460862715150386992",1,0
"-3403612589528070626",1,0
"-1162704615312877246",2,0
"-8486655498174608403",2,0
"4387442035776647753",2,0
"-1773720707591408982",2,0
"5933491443417784140",3,0
"-870907804595177072",1,0
"-7317379377815570479",5,0
"3677187917039538253",2,0
"-8581600035473759456",2,0
"-6697584344281190150",3,0
"4429860135061719689",1,0
"6476838889549613891",1,0
"-6110748367202919354",1,0
"6108429274627718710",1,0
"7924267293037309483",2,1
"7533036777677326903",1,0
"-5543967903149312769",1,0
"-5634320452260364192",1,0
"-211525698043731571",2,0
"3452272278388001665",3,0
"-3812640104739559772",3,0
"-3971998424457726247",3,0
"-6101385667276464332",4,3
"-1597356366449470711",1,0
"-3265155400985436101",1,0
"-8645068503732615245",1,0
"4849693128769342671",2,0
"-291649677388789482",2,0
"-2928181491388664103",1,0
"490449213296150202",5,0
"6618768693384569066",1,0
"8877693753634073099",3,0
"5234487877748031670",1,0
"-6500249012456597290",1,0
"-5246819627672708070",2,0
"-2972888550122734567",1,0
"7431128153359959656",2,0
"1723753797070003546",4,2
"2696803902754219593",2,0
"4363154865873797243",1,0
"-6279757433910193750",1,0
"1344295840820905821",1,0
"1427251776819570189",2,0
"-3837666173352327282",2,0
"502621267830018892",1,0
"5801209099507432854",2,0
"-9152312263599898882",1,0
"4399038646876727212",1,0
"-6697813093223855670",1,0
"1851257398938410938",1,0
"-466239049395721922",1,0
"6141336676874606640",1,0
"1593540098395404012",2,0
"-1918052679475379819",4,3
"-9071905053464819722",2,1
"-5194176476170190495",2,0
"5926779484911530976",1,0
"8012493048031829965",2,0
"1090262710034975433",1,0
"3850447979758014203",1,0
"1090486747863262817",3,0
"-924302019484094658",1,0
"7081788974001428331",1,0
"6737965886511205011",2,0
"-6821872008408170017",1,0
"-7062081005185602493",3,0
"-1761440668202600454",2,0
"-1237650512498776727",1,0
"-3788590211217673651",3,0
"-487633953771802194",1,0
"4710517518590047171",1,0
"268133672878768968",1,0
"-6989384187470228972",2,0
"-4265396399830083832",1,0
"-3740507415921173751",3,1
"-3216684853017641881",1,0
