ContentNormalizedHash,PostId,PostTypeId,ParentId,LinkedPostId,LinkedPostTypeId
720672506032975124,13565952,1,13565952,4809774,1
720672506032975124,13565952,1,13565952,13562027,1
8340277746732657196,19530240,1,19530240,13561496,1
6223190506966313585,45613824,1,45613824,45576655,2
4486793910832666505,42206720,1,42206720,42110836,1
-6744475795209665805,42994176,1,42994176,573872,1
-4930968420729832457,49744896,1,49744896,49711757,1
-3577205163721888287,50532096,1,50532096,50530351,1
935278529191068530,4526336,1,4526336,1487601,1
-4870305732714183433,20255232,1,20255232,20230860,1
-5129396339377095793,21763328,1,21763328,18975231,1
-5129396339377095793,21763328,1,21763328,14726725,1
-8853185411468926619,31921408,1,31921408,5171248,1
2747679924941667588,25499136,1,25499136,25498420,2
-7590538257709665236,49355264,1,49355264,36431897,1
-6757789851525521918,49355264,1,49355264,36431897,1
-2135597429927432299,43654144,1,43654144,43632558,1
1132031478744136233,25829632,1,25829632,14066038,1
-3891346794674756276,13575168,1,13575168,13573935,2
2065529597033730286,17576960,1,17576960,17075482,1
1556171008978780910,49886464,1,49886464,12921350,1
8428050823650446136,20133888,1,20133888,7364119,1
6720333770287890052,34684416,1,34684416,34552438,2
922448574148183793,51335424,1,51335424,27850123,1
922448574148183793,51335424,1,51335424,27850123,1
-3597192958336427314,35542016,1,35542016,6465680,1
2587411550740160734,45767424,1,45767424,16086962,1
4910456781135613069,33315584,1,33315584,13045303,1
-229011911177865676,34823424,1,34823424,4150179,1
-229011911177865676,34823424,1,34823424,20240408,1
-2625791306050512406,39935744,1,39935744,39928273,1
-987043432321801320,13197312,1,13197312,3660464,1
8943342170948967432,41574912,1,41574912,18023493,1
1059344020227556969,17130496,1,17130496,7345505,1
1289618399173172136,8938752,1,8938752,6774904,1
305135880522875907,26109696,1,26109696,21211827,1
305135880522875907,26109696,1,26109696,26086976,1
305135880522875907,26109696,1,26109696,21211827,1
7800134508063769493,33255680,1,33255680,31645668,1
-6381890628002775498,35157504,1,35157504,34906579,1
6820129055505039533,35157504,1,35157504,34906579,1
-6791951793029607777,20149760,1,20149760,13354491,1
-4558030783935720657,15039744,1,15039744,9356799,1
-1388979340903265536,36209664,1,36209664,17567383,1
-6790891000802137838,36209664,1,36209664,17567383,1
-3664160810319266464,12683008,1,12683008,12666739,1
7324185525172346744,12683008,1,12683008,12666739,1
-2031017032876812818,25006848,1,25006848,15308571,2
-2031017032876812818,25006848,1,25006848,15308571,2
-5576363367728599114,49321984,1,49321984,24345488,1
648533202026574128,14194944,1,14194944,10514005,1
5787119565713524170,760832,1,760832,760628,1
-8664739707237840910,2661376,1,2661376,2570653,1
-1390761913170354875,50045184,1,50045184,49985727,1
5233179257729284863,39035904,1,39035904,16852655,1
-1732921838743282480,42707712,1,42707712,40542335,1
8140712841636787689,40741888,1,40741888,4140988,2
8182294757007512747,48278528,1,48278528,34956752,1
-3222967331957612766,41135360,1,41135360,18973278,2
-4005305010031227309,19378176,1,19378176,8995183,1
1523591541953106062,42907648,1,42907648,25134347,1
-4845486565909962687,42842624,1,42842624,23881573,1
4129963458817370261,35706112,1,35706112,15606751,1
-1768843247868473420,30332416,1,30332416,13589979,1
5408873698351538991,29742848,1,29742848,12944716,1
5408873698351538991,29742848,1,29742848,12944892,2
-1621620408371745183,14146560,1,14146560,9096622,1
8832329207452591317,30137856,1,30137856,11654270,1
4616235006576187694,50390016,1,50390016,31532859,1
-6964661211853631871,27977728,1,27977728,14992138,1
-8358888338768376862,13692928,1,13692928,13685850,1
8816544475746063626,5960448,1,5960448,167657,1
7026348665282460902,11268864,1,11268864,11264989,1
4578386163701587006,23525120,1,23525120,19802233,1
-3856687623647058024,17889536,1,17889536,7550304,1
-8846652290317974873,46857216,1,46857216,33673487,1
2771584807841906542,31849984,1,31849984,31805627,1
-5921151538960640565,49414913,1,49414913,13345673,2
-2866344561066459726,29361153,1,29361153,29290247,1
1012865808636957178,44893953,1,44893953,11984572,1
1012865808636957178,44893953,1,44893953,10579827,1
-7169088654349498632,26808577,1,26808577,26811305,2
-306079234974456608,23271681,1,23271681,23264651,1
-8783421779718205739,27335681,1,27335681,6021372,1
3583823952501356071,22355457,1,22355457,22335467,1
2078426747372331267,22355457,1,22355457,22335467,1
-5052117494197064682,39788033,1,39788033,33202431,2
4762626124532166420,4531201,1,4531201,4531085,1
-7955354879256258334,22488321,1,22488321,20202736,1
-1600074103948171101,48443393,1,48443393,31550807,2
7154319673956073115,5912577,1,5912577,3892870,1
7154319673956073115,5912577,1,5912577,3892870,1
4315362390095779179,27343105,1,27343105,9860868,1
2427080942729114536,8928001,1,8928001,8926386,1
-2123653976380340410,8928001,1,8928001,8926386,1
-9065376251938035421,8928001,1,8928001,8926386,1
-397438969935406119,22299905,1,22299905,19014012,1
-8964056105536582789,9064449,1,9064449,1440392,1
3478604617223551845,46420481,1,46420481,33726644,1
-5276526941144822152,44651521,1,44651521,12665498,2
5260093432307805943,42228737,1,42228737,42207662,2
-3361749709225855985,35675393,1,35675393,35677015,1
-5350814043609573001,2186753,1,2186753,573872,1
-4176099761245720726,21257729,1,21257729,13241475,1
870882364108778177,48654849,1,48654849,25572907,1
2554088387757854778,48654849,1,48654849,25572907,1
8115194261918722445,4158209,1,4158209,4087110,1
-4096135286478413999,4158209,1,4158209,4157494,1
7909769327826455311,4158209,1,4158209,4087110,1
8115194261918722445,4158209,1,4158209,4157494,1
-4096135286478413999,4158209,1,4158209,4087110,1
7909769327826455311,4158209,1,4158209,4157494,1
-6807642770910484489,48985089,1,48985089,16885628,1
9134597739040077777,43742465,1,43742465,1757302,2
-2623781028848318270,52132865,1,52132865,7973927,1
-2623781028848318270,52132865,1,52132865,50892720,1
-2623781028848318270,52132865,1,52132865,51179516,1
-6820978182927094920,51412225,1,51412225,10844064,1
9067567080411712996,14580993,1,14580993,11131978,1
-7662546832783178816,11305217,1,11305217,11287509,1
-9092479143039389967,17859841,1,17859841,17859683,2
9085636017679450425,12423937,1,12423937,12419596,1
-7459171937151998234,16684289,1,16684289,7807360,1
-2936206551157011339,25794561,1,25794561,4380381,1
-5373290330511454307,14260225,1,14260225,4390313,2
-6949143303502123776,25139713,1,25139713,23922865,1
-6209792162289026768,367617,1,367617,89193,1
6944707580475914546,24420353,1,24420353,4481632,1
-4309870951098849002,32678401,1,32678401,32615542,1
-3399730390510564232,4958209,1,4958209,4951089,1
1958759571542122920,40414721,1,40414721,38487653,1
-7298035432613726809,12434945,1,12434945,12474622,1
-7298035432613726809,12434945,1,12434945,12474622,1
2996818480178301583,34063105,1,34063105,16222748,1
-8200562195828355285,40092417,1,40092417,40051134,1
-7237121032057621406,17482753,1,17482753,10859254,1
-238413144935038056,12568577,1,12568577,11454699,1
-8568221727780012716,18991617,1,18991617,9825183,1
-3444346688670671941,20369409,1,20369409,18772706,1
-3444346688670671941,20369409,1,20369409,17934622,1
-1308454155929238958,20369409,1,20369409,17934622,1
-3444346688670671941,20369409,1,20369409,2380962,1
-1308454155929238958,20369409,1,20369409,18772706,1
-1308454155929238958,20369409,1,20369409,2380962,1
3445544190039328542,1299969,1,1299969,1228405,1
1312010112472716605,29613569,1,29613569,29584588,2
-8488292124906191422,29613569,1,29613569,29584588,2
8862620007000396676,3596289,1,3596289,273313,1
4097628451751297974,4649217,1,4649217,4648922,1
-4021831179682082076,49082881,1,49082881,48098106,1
-3219452220019417324,10680833,1,10680833,10679499,1
7531350191956902542,10680833,1,10680833,10679499,1
-4966734841977873166,788226,1,788226,784445,1
1699841931940266346,1381890,1,1381890,1375992,1
8876357225296248130,8069634,1,8069634,8064798,1
5315335085344849308,8069634,1,8069634,8064798,1
6507293380657843747,32516098,1,32516098,32457554,1
2639662145438050772,50079746,1,50079746,38714629,1
2639662145438050772,50079746,1,50079746,218384,1
-6706973859951555874,50079746,1,50079746,38714629,1
-6706973859951555874,50079746,1,50079746,218384,1
8399256091176477971,50079746,1,50079746,38714629,1
8399256091176477971,50079746,1,50079746,218384,1
