"ContentNormalizedHash","PostCount","PostsLinkingToClones"
"720672506032975124",1,0
"8340277746732657196",1,0
"6223190506966313585",1,0
"4486793910832666505",1,0
"-6744475795209665805",1,0
"-4930968420729832457",1,0
"-3577205163721888287",3,1
"935278529191068530",1,0
"-4870305732714183433",1,0
"-5129396339377095793",1,0
"-8853185411468926619",2,0
"2747679924941667588",1,0
"-7590538257709665236",1,0
"-6757789851525521918",1,0
"-2135597429927432299",2,0
"1132031478744136233",1,0
"-3891346794674756276",1,0
"2065529597033730286",1,0
"1556171008978780910",1,0
"8428050823650446136",2,0
"6720333770287890052",1,0
"922448574148183793",1,0
"-3597192958336427314",1,0
"2587411550740160734",1,0
"4910456781135613069",1,0
"-229011911177865676",2,0
"-2625791306050512406",1,0
"-987043432321801320",1,0
"8943342170948967432",1,0
"1059344020227556969",1,0
"1289618399173172136",1,0
"305135880522875907",1,0
"7800134508063769493",2,1
"-6381890628002775498",1,0
"6820129055505039533",1,0
"-6791951793029607777",1,0
"-4558030783935720657",1,0
"-1388979340903265536",1,0
"-6790891000802137838",1,0
"-3664160810319266464",1,0
"7324185525172346744",1,0
"-2031017032876812818",1,0
"-5576363367728599114",5,0
"648533202026574128",2,2
"5787119565713524170",1,0
"-8664739707237840910",1,0
"-1390761913170354875",1,0
"5233179257729284863",1,0
"-1732921838743282480",1,0
"8140712841636787689",1,0
"8182294757007512747",2,0
"-3222967331957612766",1,0
"-4005305010031227309",1,0
"1523591541953106062",1,0
"-4845486565909962687",1,0
"4129963458817370261",1,0
"-1768843247868473420",2,1
"5408873698351538991",1,0
"-1621620408371745183",1,0
"8832329207452591317",1,0
"4616235006576187694",1,0
"-6964661211853631871",1,0
"-8358888338768376862",1,0
"8816544475746063626",1,0
"7026348665282460902",1,0
"4578386163701587006",1,0
"-3856687623647058024",1,0
"-8846652290317974873",1,0
"2771584807841906542",1,0
"-5921151538960640565",1,0
"-2866344561066459726",1,0
"1012865808636957178",1,0
"-7169088654349498632",1,0
"-306079234974456608",1,0
"-8783421779718205739",1,0
"3583823952501356071",1,0
"2078426747372331267",1,0
"-5052117494197064682",1,0
"4762626124532166420",1,0
"-7955354879256258334",1,0
"-1600074103948171101",1,0
"7154319673956073115",1,0
"4315362390095779179",1,0
"2427080942729114536",1,0
"-2123653976380340410",1,0
"-9065376251938035421",1,0
"-397438969935406119",1,0
"-8964056105536582789",1,0
"3478604617223551845",1,0
"-5276526941144822152",2,1
"5260093432307805943",1,0
"-3361749709225855985",1,0
"-5350814043609573001",1,0
"-4176099761245720726",1,0
"870882364108778177",2,0
"2554088387757854778",1,0
"8115194261918722445",1,0
"-4096135286478413999",1,0
"7909769327826455311",1,0
"-6807642770910484489",1,0
"9134597739040077777",1,0
"-2623781028848318270",1,0
"-6820978182927094920",1,0
"9067567080411712996",1,0
"-7662546832783178816",1,0
"-9092479143039389967",1,0
"9085636017679450425",1,0
"-7459171937151998234",2,0
"-2936206551157011339",1,0
"-5373290330511454307",2,0
"-6949143303502123776",2,0
"-6209792162289026768",1,0
"6944707580475914546",2,0
"-4309870951098849002",1,0
"-3399730390510564232",1,0
"1958759571542122920",1,0
"-7298035432613726809",1,0
"2996818480178301583",1,0
"-8200562195828355285",2,1
"-7237121032057621406",1,0
"-238413144935038056",1,0
"-8568221727780012716",1,0
"-3444346688670671941",1,0
"-1308454155929238958",1,0
"3445544190039328542",1,0
"1312010112472716605",1,0
"-8488292124906191422",1,0
"8862620007000396676",1,0
"4097628451751297974",1,0
"-4021831179682082076",1,0
"-3219452220019417324",1,0
"7531350191956902542",1,0
"-4966734841977873166",1,0
"1699841931940266346",1,0
"8876357225296248130",2,2
"5315335085344849308",2,2
"6507293380657843747",1,0
"2639662145438050772",2,0
"-6706973859951555874",2,0
"8399256091176477971",2,0
"-6161215835225921281",2,1
"8962472969904738335",1,0
"-9044537808392159628",1,0
"2880658025648256558",1,0
"-7786504206865393161",1,0
"1554454220805590730",1,0
"-4462154178795165415",1,0
"-8965789298197125325",1,0
"-954847264935629339",1,0
"8136810757915959407",2,0
"4934216631271990594",8,0
"-3678371242177042531",1,0
"1541396137120947826",2,0
"654106175799683921",4,0
"-2166623431214025484",1,0
"8905035452606755439",1,0
"-8639163640788293244",1,0
"5921517646551942028",1,0
"4496078616274811523",1,0
"5841337766169516448",1,0
"-3632873871664884552",1,0
"7775707695432859068",2,0
"-807449154709410037",1,0
"-5540685908610392544",1,0
"95615618586957239",1,0
"7443420134771529447",1,0
"-5646998099212291548",1,0
"2769802500669176229",1,0
"-3956826762039739657",1,0
"-8335795782928892030",1,0
"7072555405852097439",1,0
"-4235582215084102714",1,0
"515938237343201524",1,0
"-5377284705106260702",2,0
"3696697583549248351",1,0
"-6542136200844535734",1,0
"-6783872530611053184",1,0
"-2599915948296800745",1,0
"9084896976340057774",2,0
"1610024977906038688",1,0
"-2381555425665945367",1,0
"-5274651954854317144",2,1
"2765961254967293693",2,1
"-8815561781333853293",1,0
"6559149553207630485",1,0
"-8021782417843890331",2,0
"2032901473820595482",1,0
"6505771838597597331",1,0
"4007126617011403298",2,0
"7648513443544748882",1,0
"-4967932613762243306",1,0
"-4278779255725517878",1,0
"-5954320584033692762",1,0
"-3634247926971762478",2,0
"-989126050583957699",1,0
"6109357711910430843",1,0
"872506843500280999",1,0
"-5088646492950646883",1,0
"12760142779360691",1,0
"3246162913730198246",2,1
"-6629703402794161230",1,0
"-6523579497652869873",1,0
"3228157286681086561",3,2
"4469889548597368580",1,0
"-3824976939452254779",1,0
"-8782835894791607032",2,0
"-4283909612068905299",1,0
"9049247511890835483",2,1
"-8169927991131544224",1,0
"5151980348245382276",2,0
"-4883088214301391223",1,0
"1285125726859620749",1,0
"-1962184747982264288",2,1
"8891637331125691349",2,1
"-563011200581953420",1,0
"-2867271641017689925",1,0
"1664177284453247053",1,0
"-2330900257825813621",1,0
"7451336452398734819",2,0
"-6349322768512621212",1,0
"1940455839971643611",2,1
"5908459228701073213",1,0
"2076718918962437985",1,0
"-5225100693346224527",1,0
"7092093561717874460",1,0
"6803418986631014653",1,0
"-8324608698928050868",1,0
"472746107077120136",1,0
"-5943749981220175506",1,0
"30988818229271258",1,0
"-2753207596290453286",3,0
"-5167517454847755589",1,0
"-7930006167835724564",1,0
"-3570932316577984269",1,0
"-7716149267277033588",1,0
"7908017151556222515",2,0
"1261781266152190138",1,0
"-2194546303324779742",1,0
"-3752335202422365176",2,0
"4283966359063074308",2,0
"8810510430096447419",1,0
"1035574465175995486",2,0
"-1903103622288451675",1,0
"-3014665727586953203",1,0
"6160397039710837901",1,0
"9090495872874464702",1,0
"-2812679002706686411",1,0
"8106057033186147851",1,0
"2270383191726081079",1,0
"-1264263109083740763",1,0
"4948119929622538362",1,0
"-9195734034707331456",2,0
"-1177402104295958830",1,0
"8166157413661934085",1,0
"-1671700088238309935",2,1
"4521646285526180490",1,0
"8851538916938390931",1,0
"1005717485242211124",1,0
"6292381475887594572",3,0
"-4628293157635920185",1,0
"8419310994932989086",2,0
