ContentNormalizedHash,LinkedPostId,LinkedPostTypeId,PostCount
7553403334770970112,20131632,1,1
1226786905349871872,25483508,1,1
3618201335026098177,4998908,1,2
4900069090413401601,30644264,1,1
4900069090413401601,11490429,1,1
4900069090413401601,23974096,1,1
4900069090413401601,23877293,1,1
5593403754498681346,129677,1,1
5593403754498681346,2822774,1,1
5593403754498681346,8465776,1,1
5593403754498681346,7654436,1,1
5593403754498681346,1886740,1,1
5593403754498681346,60174,1,1
-5804161753355588349,7963561,1,2
-8970473004017065724,498805,1,1
-8970473004017065724,5611724,1,6
-8970473004017065724,950051,1,2
9220454989308040709,14053484,1,1
5242029616681564421,12471664,1,1
5242029616681564421,7901941,1,1
5242029616681564421,9053864,1,1
-8211880677429254138,18188694,1,1
5568032571789595910,27256904,1,1
5568032571789595910,25884010,1,1
5568032571789595910,35702975,1,1
5568032571789595910,25330084,1,1
5568032571789595910,24741816,1,1
5568032571789595910,28623468,1,1
-1117253405643307513,2170214,1,1
-4233540279066010617,26500429,1,1
-4233540279066010617,10453343,1,1
-7588758993476471289,13103070,1,1
-7588758993476471289,8242749,1,1
-7588758993476471289,11135166,1,1
-7588758993476471289,9055460,1,1
-7588758993476471289,2779002,1,1
-5190882443615771640,593388,1,1
5984593276367133448,26416248,1,1
5984593276367133448,26615416,1,2
5984593276367133448,7462202,1,1
-1597356366449470711,7806056,1,1
-6943120957273385975,5061880,1,1
-6943120957273385975,1698464,1,1
-6943120957273385975,12448912,1,1
5398248008834244106,7534241,1,1
6390768111013488650,11858864,1,1
8674147465613575946,8874702,1,1
-1167812417924453365,18685702,1,1
-1167812417924453365,17643897,1,1
-1167812417924453365,18277968,1,1
1135874156496873483,50467,1,2
3670242486759002124,10716592,1,1
8998283044902737676,3166501,1,1
2243350295873792780,14109926,1,1
2243350295873792780,2486191,1,1
-819487816404877556,3135871,1,1
-819487816404877556,1979957,1,1
-819487816404877556,19690267,1,1
-819487816404877556,36917254,1,1
-4325775403810697204,3846595,1,1
-480787075057052915,7808729,1,1
-4530500662269963507,98610,1,1
6768126894504969486,15850845,1,1
-8180140525805239025,3767790,1,1
8561554908718537231,8516356,1,1
6689846282472037647,826782,1,1
6689846282472037647,16805684,1,1
-8885016811726852081,208736,1,2
-8885016811726852081,8933054,1,1
4355711012677676304,5443166,1,1
8886671393076292113,14894311,1,1
-3278343091150947823,6939739,1,2
-3278343091150947823,29018742,1,1
-3278343091150947823,49184358,1,1
-3278343091150947823,38043509,1,2
-3278343091150947823,13514990,1,1
-3324040808761738479,3759861,1,1
-6995110539257648111,24708340,1,1
-6995110539257648111,26646683,1,2
-6995110539257648111,1472982,1,1
-6995110539257648111,3843243,1,1
-6995110539257648111,118884,1,1
-6995110539257648111,3717799,1,1
-6995110539257648111,13149418,1,1
-6995110539257648111,7277154,1,1
-6995110539257648111,49267582,1,1
-6995110539257648111,12951357,1,1
-6995110539257648111,139889,1,1
-6995110539257648111,20262348,1,1
-6995110539257648111,9585844,1,1
-6995110539257648111,3694240,1,1
-6995110539257648111,14825980,1,1
-6995110539257648111,4167539,1,1
-6995110539257648111,869092,1,1
-6995110539257648111,16367046,1,1
-6995110539257648111,14532520,1,2
-6995110539257648111,18352682,1,1
-6995110539257648111,19400749,1,2
5659630813405782802,2772014,1,2
5659630813405782802,5741187,1,1
5659630813405782802,60174,1,5
5659630813405782802,30245973,1,1
5659630813405782802,17498216,1,1
-5893224209381736174,14974730,1,1
-641033561627932653,112190,1,1
1966019011790069011,38584143,1,1
1966019011790069011,23397763,1,1
1966019011790069011,26700910,1,1
8344366672067004180,25830434,1,1
-3989430585593840876,3765998,1,1
-980126686617744876,8112715,1,2
-980126686617744876,4743116,1,1
2611489499297189909,5733101,1,1
-968152397091188202,15843446,1,1
-8670032816169848297,33209631,1,1
-8670032816169848297,46949761,1,1
-8670032816169848297,33717886,1,1
-8670032816169848297,46982823,1,1
6156892933403295767,1401526,1,1
-1586063523230759912,359494,1,2
1553857851185318168,5757386,1,1
1553857851185318168,1133248,1,2
1553857851185318168,9872975,1,1
-2567645935993009640,14663346,1,1
-5144109333645272552,17488660,1,1
-5144109333645272552,8900587,1,1
-5144109333645272552,11338774,1,1
-5144109333645272552,1184624,1,3
-8250842239407807463,14573223,1,1
-8250842239407807463,23127498,1,2
-8250842239407807463,9948284,1,2
725673859950325017,7546224,1,1
5055747954467695385,4001805,1,1
-4498762445269730279,35922613,1,1
-3479208485730801383,11990270,1,1
2851325395112093209,51164180,1,1
2851325395112093209,20499148,1,1
4803769634772348697,37918466,1,1
1064221320172880410,37462087,1,1
1064221320172880410,33203379,1,1
-5246819627672708070,30904138,1,1
303577259144866842,2236873,1,1
-3322313055139720933,34065037,1,2
1048732517164784411,38196758,1,1
-628298954223752933,476679,1,4
-4031026112070684645,2010892,1,3
-6997140331273651941,27928,1,2
3369671811237814814,5149683,1,1
3369671811237814814,263743,1,4
1466027108249868062,1555145,1,2
-780964821101328354,21285384,1,1
-780964821101328354,21343846,1,1
-780964821101328354,18455747,1,1
-3857034226562567394,218384,1,1
4731068297936768031,329059,1,1
1761751086378068511,10124919,1,1
-3118641172659757280,5131491,1,1
6661544818870812448,22153921,1,1
5034096954130337312,6304040,1,1
-8295062948747500768,5445085,1,1
-8295062948747500768,15852122,1,1
9098621408256724257,5658675,1,1
9098621408256724257,10122570,1,1
9098621408256724257,5908492,1,1
9098621408256724257,6250580,1,1
-250038347008433119,12301358,1,3
5244161642114990113,5484215,1,1
6248380013441939233,15828,1,1
6248380013441939233,7244971,1,1
-6302901637247619551,9866962,1,1
-6302901637247619551,2642551,1,1
-7687823803844673247,41225720,1,1
-3577691922384370143,7977126,1,1
-8535354466511593438,14643441,1,1
9081141521174540578,352467,1,1
9081141521174540578,3226167,1,1
9081141521174540578,4532733,1,1
9081141521174540578,1537223,1,1
9081141521174540578,4840504,1,1
9081141521174540578,572768,1,1
2617362622770643235,7739566,1,1
-3666349143238052829,7680714,1,1
-3666349143238052829,4963773,1,1
7637588500400849188,13899801,1,1
-1111712666888857051,1515639,1,1
5513572978798038566,15819920,1,1
-7455843897386628058,26720759,1,1
-7455843897386628058,14483393,1,1
-7455843897386628058,21814825,1,1
-7455843897386628058,2176922,1,1
-8321004628529888985,14394366,1,1
4903803461444107303,9650265,1,2
4903803461444107303,35513809,1,1
-6021568359257174232,2310498,1,1
-6021568359257174232,2414117,1,1
-4835623846603729880,18573774,1,1
-4835623846603729880,477572,1,1
473539203315401257,10351423,1,1
6840934484647743529,18250951,1,1
6840934484647743529,17900732,1,1
879902762332944681,10071207,1,1
-8643042851013359831,3115918,1,1
1685376566555752745,33835088,1,1
7344402029632643370,16331037,1,1
-2661933675689371862,31726834,1,1
-2661933675689371862,33563153,1,1
-2661933675689371862,21112832,1,1
-2661933675689371862,39298210,1,1
-2661933675689371862,32288895,1,1
-2661933675689371862,38042866,1,1
-2661933675689371862,37418607,1,1
-2661933675689371862,32708665,1,1
-2661933675689371862,37099706,1,1
-2661933675689371862,29790070,1,1
-1424305851167349718,18532581,1,1
-1424305851167349718,31573094,1,1
-1424305851167349718,20678204,1,1
-4545597862861601492,13254561,1,1
-4545597862861601492,16161448,1,2
-2231196124770918356,43884214,1,1
2204849264891735084,10500775,1,1
2204849264891735084,1609899,1,1
2204849264891735084,116650,1,1
956949101425284908,37860664,1,1
956949101425284908,23535316,1,1
2509363074409600300,10914576,1,2
-5203307082139139026,2306870,1,2
-5203307082139139026,11103227,1,1
-22307040989154770,20909778,1,1
-6161109378908146385,2450954,1,6
-5918505955679228113,2139134,1,1
-5918505955679228113,3785082,1,1
-5918505955679228113,4878159,1,1
5925919650923261999,8366976,1,1
6805043263181932335,10517268,1,1
6805043263181932335,14687698,1,1
6805043263181932335,4412623,1,1
6805043263181932335,4392610,1,1
6805043263181932335,13108466,1,1
6805043263181932335,12338763,1,1
6805043263181932335,33941751,1,1
