PostId,ParentId,CommentId,CommentContent
52030,50332,851869,"You misunderstood the answer.  This is how the FORMATETC is constructed in windows.  The code of the answer is not an answer it is how the object having the error is built.  The clipboard is not written in C#, it is written in C++ and is a part of windows.  The error is local to windows and there is no C# code in that object.  This is the code that of the object having the error.  I answer is the text above the code.  The solution is in replacing the .DLLs with the newer library."
74134,74116,210423,Do not serialize your object model. One change to your object model and you can read old formatted files.
256785,255979,6331262,"This answer was written before Molehill (Flash 3D) was made publicly available, once it might be a vialble choice, another possibly feasable selection would be WebGl, but right now there is no support in Internet Explorer"
376732,376732,204686,What do you have in your .htaccess?
376732,376732,629887,"@gaoshan88 If stunti answered, why not accept his answer or is there anything else we can help you with?"
376732,376732,1663758,"Because, at the time, I had not had a chance to actually test stunti's suggestion."
376732,376732,8960605,also relevant: http://serverfault.com/questions/24243/nginx-support-for-htaccess-rewrite-rules-differences-from-apache
460599,376732,282715,Thx stunti. That is helpful.
460599,376732,8400086,"I don't think it's a valid solution, because with the 404 error you'll be serving the page OK but in the header response you'll see the 404 status code, so it will mess up with your SEO, right?"
460599,376732,8410575,"@anders. You are right I have changed the example accordingly. Check the documentation here. http://wiki.nginx.org/HttpCoreModule#error_page I do it differently nowadays. catchall location for php and specific location for assets(images, css, js, html, ...)"
460599,376732,13107125,-f (Nginx) check for the existence of a file. It's not the same than the Apache syntax: -s (regular file) OR -l (symbolic link) OR -d (directory). The correct equivalence is -e. And try_files should be used instead of if.
460599,376732,14101192,"Apparently, using `If` inside `location` is bad practice and should be avoided whenever possible: http://wiki.nginx.org/IfIsEvil. This is for `Drupal` (http://wiki.nginx.org/Drupal) but should work with `ZF` with minor changes."
616134,616087,428972,"Once again, great suggestion. I'll get my .net guy to send me an example of the data that gets sent to the ComputeHash function to see if I can convert the PHP to it."
616134,616087,431729,You accepted my answer again. Did you find out what was wrong?
616134,616087,439905,"I finally did. The .net side is creating a keyed hash, so I needed to use hash_hmac() with a validation key on my side."
671910,376732,6876052,"This is the basic rule for many apps in nginx, like Drupal. Good!"
672049,376732,2049708,"Defeats the point of Nginx though, which is speed."
672049,376732,6671692,"Wait… what?  Unless you have some <i>extremely</i> Apache-specific requirements (and rewrite rules are not Apache-specific), this suggestion is insane."
672049,376732,6701579,It isn't unreasonable to want nginx to serve the lightweight static content and have apache handle application logic.
784863,784855,7106998,"Great solution, but link was broken for me.  This URL works currently: http://www.bmsi.com/java/posix/index.html"
863394,863394,14966809,You can use [Essential Diagnostics](http://essentialdiagnostics.codeplex.com/) just [like so](http://stackoverflow.com/a/11361706/1353187)
863409,863394,670837,"This wouldn't work because DoTrace is static and you don't have access to Trace. You could use HttpContext.Current.Trace.WriteLine(DateTime.Now + "": "" + message)"
863409,863394,670907,Isn't System.Diagnostics.Trace.WriteLine() also static? Depends which he's using I guess :/
863417,863394,670860,"These should be static methods, as no dependency on the object calling them."
863417,863394,670869,I'd suggest logging with UTC timestamps to avoid any ambiguity in timezones etc. - also you might want to use Format or StringBuilder to avoid all those temporary strings
863417,863394,671375,"actually, the most efficient string concatenation method is probably string.Concat(). Not that it would matter anyway."
867328,863394,8649485,+1 for mentioning app.config
867328,863394,23410201,+1 for not reinventing any wheels.
867328,863394,30151938,"Config file equivalent: traceOutputOptions = ""DateTime, Timestamp"" to the system.diagnostics/sources/listeners/add tag. Save an  [MSDN lookup - http://msdn.microsoft.com/en-us/library/a10k7w6c(v=vs.110).aspx](http://msdn.microsoft.com/en-us/library/a10k7w6c(v=vs.110).aspx), and it is mentioned in one of the other answers here. Somehow ended up seeing the MSDN one before the other answer."
867328,863394,42340964,"Note that the trace output options do not apply to Trace.WriteLine, only Trace.TraceInformation / Trace.Trace* methods."
957038,957038,765588,Is it the OCD that makes you put the superfluous parens round return values too?
957038,957038,765636,Always put the breaks in on a default. It might not be the last case.
