"PostId","PostTypeId","ParentId"
8372413,1,8372413
15106402,1,15106402
7626978,1,7626978
10277401,1,10277401
39422290,1,39422290
15631946,1,15631946
33641025,1,33641025
16335729,1,16335729
42591283,1,42591283
14632555,1,14632555
9767321,1,9767321
39556678,1,39556678
39863994,1,39863994
13351365,1,13351365
19240946,1,19240946
44772128,1,44772128
15650485,1,15650485
42823259,1,42823259
49905379,1,49905379
10013758,1,10013758
47536336,1,47536336
21070765,1,21070765
51373438,1,51373438
8780810,1,8780810
12475167,1,12475167
44076617,1,44076617
15108768,1,15108768
10723168,1,10723168
26726421,1,26726421
35857913,1,35857913
23311976,1,23311976
48186012,1,48186012
41021941,1,41021941
5051289,1,5051289
15631946,1,15631946
20206187,1,20206187
35886889,1,35886889
17722989,1,17722989
46999225,1,46999225
9219249,1,9219249
16480377,1,16480377
18919356,1,18919356
17682313,1,17682313
9779572,1,9779572
49179913,1,49179913
35785592,1,35785592
49019460,1,49019460
40960923,2,40960448
45336308,2,45335975
3102640,2,3102477
3932461,2,3932346
17682543,2,17682313
1671033,2,1666799
40011421,2,40011293
44595008,2,44593640
25131165,2,25130686
967899,2,966589
50257517,2,50257352
14932354,2,14931769
310972,2,302369
15107044,2,15106402
41816747,2,41816528
32489077,2,32486113
11488383,2,11475423
35315966,2,35313919
10447740,2,10447569
40994289,2,40994138
33037511,2,33036759
7330346,2,7330300
24453025,2,24452444
6463445,2,6463372
19603463,2,19603265
15108710,2,15106402
3487494,2,3485785
242141,2,241533
29197531,2,29196936
39545624,2,39545543
51373780,2,51373438
17478598,2,17477184
12948196,2,12948050
22927943,2,22927916
34853551,2,34853508
14258946,2,14258861
35315966,2,35313919
22470893,2,22447135
46981646,2,46980958
16700659,2,16684807
44919510,2,44918641
42710462,2,42710246
27263534,2,27263155
21812947,2,21812929
9854235,2,9854132
35315966,2,35313919
8040310,2,8040005
14654936,2,14654114
13351404,2,13351365
20349938,2,20331757
35112265,2,35112079
10923684,2,10923601
20962871,2,20962853
45660224,2,45660133
26684226,2,26683168
