"HashValue","ThreadCount","LineCount"
"-5008848529347854688",79,30
"159097874188000167",55,47
"6255419687323887306",54,33
"490449213296150202",45,46
"-4242441376643794959",38,20
"-1344748958488021703",37,65
"-3812640104739559772",36,26
"4868597549705666100",35,47
"-8110747859698983069",31,34
"-1167812417924453365",30,22
"70514364019997140",27,47
"-1151016766288813810",26,83
"4710517518590047171",26,32
"-8295062948747500768",25,21
"4363154865873797243",24,46
"2223157217290753146",24,28
"-4516195111866622003",23,41
"-4214310502996553040",23,30
"2696803902754219593",23,24
"5168938712808145599",22,83
"1593540098395404012",21,24
"-2052795834881556512",20,166
"5443102060230891058",20,54
"-4458403169525607496",20,43
"-35831981428005911",20,37
"9202823679458084878",19,116
"4399038646876727212",19,72
"1090486747863262817",19,49
"8547478478564576102",18,68
"-5807378027115125291",18,67
"7836666580979170565",17,111
"-7955177556723432162",17,44
"-863274064103839464",17,38
"-2122432285354034163",16,68
"-6714517673976532930",16,46
"2617362622770643235",16,40
"7634855721834100918",15,209
"-234620642798312536",15,87
"-2193151277330483166",15,45
"948447975576275073",15,36
"-5410818288417065699",15,29
"-11398081000933035",15,23
"-3346273856353424080",14,87
"3053607402054489305",14,57
"-7993532256955465403",14,45
"3148100725669038565",14,44
"-4956683048141027990",14,40
"-8042916622722991446",14,36
"8243950880252242804",14,35
"9119938339663565259",14,31
"-9160469124068047417",14,27
"-8789434266838724920",14,20
"4576360444073857241",13,164
"-8798156796475072968",13,148
"2901132856883216168",13,75
"-2343943253355592725",13,66
"8505451040105906471",13,65
"1398549363707357171",13,48
"-5585415507527294882",13,47
"5400442872229692969",13,40
"-2913057195498192580",13,35
"-5151139722399446198",13,34
"-5194176476170190495",13,33
"-5246819627672708070",13,32
"-4002221584401690815",13,29
"3362072076072154396",13,28
"-4393918666313296034",13,28
"7514142415491004797",13,26
"2086059755164670601",13,24
"-9071905053464819722",13,22
"-5289338946355220245",13,20
"-2125346407208814319",12,380
"-3788590211217673651",12,174
"6737965886511205011",12,69
"1966019011790069011",12,62
"3898449443350863010",12,58
"729890472680266984",12,58
"-7840579383099964643",12,58
"-1615581821004062709",12,55
"-8646903668668004088",12,47
"-7317379377815570479",12,46
"-6922994943158487033",12,43
"-1597356366449470711",12,38
"5174581932147568955",12,38
"-8587218224722151642",12,38
"6119085803383659086",12,35
"-2912468926532364860",12,33
"5801209099507432854",12,33
"-6868263799955184175",12,27
"-6758955095952414576",12,26
"-5424967405858791886",12,24
"1699072126166540125",12,20
"4300114582394737028",11,99
"8221637019389083290",11,92
"3919014934972818095",11,92
"-7647513588038494923",11,85
"-8505266165843721687",11,81
"2466295117053806738",11,77
"1088522354963272942",11,71
"6455099309431989084",11,65
"-8486655498174608403",11,62
"-2070430052607204812",11,58
"-2863627873509093252",11,54
"-7592715902924177137",11,53
"3542569812550438770",11,48
"-5360559216738676942",11,48
"6618768693384569066",11,45
"1313633473575674654",11,44
"2344928816584545563",11,42
"7313445648673435627",11,41
"-609379793514931813",11,38
"-1202560596017833907",11,38
"-541207286924759578",11,37
"-5096006919032058695",11,37
"3121668620564527076",11,35
"2174215193564471662",11,33
"5586944348151920656",11,33
"7852862543404096267",11,32
"5646749360045282229",11,32
"-2514559936805527336",11,29
"7674531739623423590",11,29
"-111703230935110568",11,27
"-8006589610062984786",11,26
"-6697584344281190150",11,26
"1076385828913957821",10,208
"7155160577801308826",10,199
"-7207832608141402872",10,175
"1083084350547580752",10,129
"-6977726020854828164",10,73
"2585552140256729350",10,69
"-8645068503732615245",10,64
"6499830671807907827",10,61
"-4335121165976004866",10,59
"1998829718309734597",10,53
"-3501120275259880721",10,53
"-676229738577662944",10,52
"4273172727829923813",10,49
"8680620683485237162",10,46
"7925543843738742250",10,46
"-7071821112437474934",10,40
"-823144835203434249",10,38
"-5188299548301734603",10,34
"2838676052828311101",10,34
"-4870249223222402725",10,33
"2389998157275235987",10,33
"-4377730057715008848",10,33
"5474322066260793802",10,31
"3473983788604195247",10,30
"-56537683435880593",10,27
"-1394386917797121683",10,27
"-980126686617744876",10,26
"-9043566050860010481",10,24
"-9175844062748453447",10,23
"2035905455245068887",10,23
"5525228118748634062",10,23
"-6201563118651141339",9,205
"-889668809388807474",9,155
"211959406314471911",9,145
"-6821872008408170017",9,136
"-1920445206248886987",9,113
"-6881242330401691199",9,107
"1494368114509922553",9,81
"-6110748367202919354",9,77
"700930672106151380",9,70
"-545890616728636596",9,69
"-8775151416932102248",9,65
"-8581600035473759456",9,62
"3470692816047781677",9,60
"1613622843387103500",9,58
"-9017086595559876125",9,57
"6707943169886565317",9,55
"7533036777677326903",9,54
"-416399917016842748",9,52
"-4475515724740156429",9,52
"1993889331545796194",9,50
"2745604788691274898",9,49
"2890719826624833124",9,48
"8877693753634073099",9,48
"1029253203015088369",9,46
"1590500060369058200",9,46
"787360174365064052",9,45
"-5893792438426740340",9,45
"-7062081005185602493",9,44
"-3545275688409708626",9,43
"1758875595276194866",9,43
"-1682005555560073119",9,42
"-3579414918379913120",9,42
"-4211794422638074276",9,42
"7841999063986636860",9,41
"-927177371037729391",9,40
"-1824023177218139293",9,39
"-7350004720998651035",9,39
"-3951921276468065785",9,37
"4269273402957973562",9,36
"2307235993198917429",9,35
"-2580454381021179283",9,35
"-7905177712424443585",9,35
"8523190379802206291",9,34
"-8258736418540964258",9,34
"-4640351620681165578",9,34
"314329119620760885",9,31
"-3403612589528070626",9,29
"3079402623131464920",9,29
"-3261911964153110222",9,28
"-211525698043731571",9,27
"1966648461276943612",9,27
"6857146719266237045",9,25
"-2148328411180859395",9,25
"-3490805689374761415",9,24
"8706202841919150851",9,23
"-213642772803550891",9,23
"8719130005761971761",9,22
"-6702784411470051708",8,165
"-4309990469071791560",8,142
"-2580984027424161964",8,114
"-7153009120017431773",8,107
"6666567173282868368",8,101
"3516347676349951685",8,96
"1402827098056827123",8,88
"-2609543088632284984",8,86
"7640677867749398501",8,86
"-5196646714476796821",8,80
"-5756858009325556333",8,74
"2244793480970697103",8,67
"-3028639678721310924",8,62
"5556784223767842186",8,62
"1890009522220125144",8,60
"-1827318091107472352",8,59
"2918121187975703393",8,58
"-7068658475055544329",8,53
"1090262710034975433",8,53
"-6751604314950424373",8,52
"268133672878768968",8,51
"-2716871800645686948",8,50
"-6305177117748696633",8,45
"5234487877748031670",8,44
"-4254055884953055702",8,44
"6148205857420913129",8,42
"3903270173783939077",8,42
"6895209274453527528",8,42
"-2095177140698163643",8,42
"7934293943617714784",8,41
"-870907804595177072",8,41
"5289854828844283396",8,41
"7033485488345308104",8,40
"-3533777151832372002",8,38
"-6989384187470228972",8,37
"5135640990147307673",8,36
"-2160898252056638478",8,35
"7140669375228845080",8,35
"-4821586516982269618",8,35
"5290391990452997947",8,34
"-4245168638247710155",8,32
"-5763793125731606629",8,31
"6956713358124936175",8,31
"-471723751904566360",8,31
"6011817815904882917",8,30
"3798182619210162000",8,30
"790047003239401413",8,29
"-3572277688513893115",8,29
"7290973074541156134",8,28
"8528126096049028643",8,28
"-5858070634449031179",8,28
"-5761503065898476361",8,27
"1404436576429233810",8,27
"8099534288015709696",8,27
"-6500249012456597290",8,24
"580254965657790071",8,24
"4057254715059966512",8,24
"3836917373720717746",8,23
"-3195852196100646136",8,23
"485607546903847101",8,22
"4820290793457668457",7,374
"8123111761618467476",7,158
"4647132496444666153",7,150
"-5210080652456827021",7,150
"-3797311061146730926",7,125
"3895858055505143799",7,119
"-6427069715545091728",7,115
"-7013044399635970540",7,105
"-9020367314868897319",7,104
"3891796000992890557",7,98
"3677187917039538253",7,92
"-822985486122289568",7,89
"-5269488934762945888",7,88
"7133085841619644450",7,84
"-3942509255400703052",7,82
"4777602232607231306",7,77
"7639735243856883260",7,76
"-3569313439872226556",7,76
"5926779484911530976",7,73
"1423378431109717224",7,70
"-8721870048897768134",7,69
"2489625192477763556",7,66
"1388200812100721394",7,63
"178615073772769725",7,62
"8630391557189731108",7,60
"-9152312263599898882",7,60
"-859923329185040896",7,59
"7250886340197727914",7,59
"2903693604825925669",7,58
"-152983120750475117",7,58
"6192563515783359784",7,58
"4650423236965794280",7,57
"-74134386470572286",7,57
"6610981878372055650",7,57
"978840992016301051",7,53
"-4311888134744091615",7,51
"-1761440668202600454",7,51
"-4788072928341417627",7,51
"-1256209134127783965",7,47
"3904722103129497086",7,47
"-8571059175320836658",7,47
"-7155517812742274910",7,46
"-5210259840589668157",7,46
"-4816270635512714267",7,45
"7796908969231665626",7,43
"8984489108258405303",7,43
"-6778563487215722896",7,42
"3648269030534168926",7,42
"4441367612164212893",7,42
"4513035749191282382",7,41
"-404131629417659092",7,41
"2341524940657599414",7,41
"8404608536136541441",7,41
"-8831238429617271512",7,40
"-2087667477905951444",7,40
"-2721974336094988075",7,40
"-8302065817576728973",7,39
"-1755100536907271607",7,38
"417661322389481325",7,37
"2213539791757019382",7,37
"1344348875067040743",7,37
"-6685772472337813763",7,36
"-4840774419216094811",7,36
