"PostId","PostTypeId","ParentId","CreationDate"
34178239,2,34165867,"2015-12-09 11:55:58"
34543989,2,34542819,"2015-12-31 09:14:43"
34837031,2,34833860,"2016-01-17 09:52:10"
37619201,2,37618658,"2016-06-03 16:20:12"
39219790,2,39214969,"2016-08-30 06:00:23"
39856833,2,39855601,"2016-10-04 15:55:47"
40018578,2,40009837,"2016-10-13 10:33:50"
42050536,2,42046751,"2017-02-05 09:39:28"
42414737,2,42413998,"2017-02-23 11:38:42"
44762336,2,44759912,"2017-06-26 14:43:03"
48718765,2,48718486,"2018-02-10 08:27:26"
49536167,2,49534583,"2018-03-28 13:42:16"
