"PostId","PostTypeId","ParentId","CreationDate"
2279508,2,2279396,"2010-02-17 09:26:26"
5261043,2,5261009,"2011-03-10 14:28:27"
5358752,2,5358710,"2011-03-18 23:20:44"
5407312,2,5407289,"2011-03-23 15:07:09"
6412996,2,6412827,"2011-06-20 14:42:59"
7326289,2,7112472,"2011-09-06 21:17:53"
8034340,2,8034260,"2011-11-07 08:48:05"
8720083,2,8719239,"2012-01-03 23:23:32"
10220681,2,5145620,"2012-04-19 02:04:21"
12937275,2,12936753,"2012-10-17 14:59:13"
13215123,2,13212335,"2012-11-04 01:06:51"
16646838,2,16646729,"2013-05-20 09:52:05"
16771428,2,16771379,"2013-05-27 10:44:29"
17386304,1,17386304,"2013-06-30 01:37:48"
17993984,2,17993841,"2013-08-01 12:24:16"
18142610,2,18142475,"2013-08-09 08:14:45"
18422122,2,18421774,"2013-08-24 19:08:44"
18441674,2,18441501,"2013-08-26 10:11:41"
18863118,2,18862853,"2013-09-18 02:55:33"
18921130,2,18919175,"2013-09-20 16:03:35"
19220570,2,19220453,"2013-10-07 08:54:50"
19290063,2,19289880,"2013-10-10 07:53:56"
19587406,2,19587296,"2013-10-25 10:31:03"
19943752,2,19943683,"2013-11-13 01:52:11"
20437836,2,20230928,"2013-12-07 05:03:17"
21213128,2,21213070,"2014-01-19 04:15:46"
21703507,2,21703328,"2014-02-11 13:40:58"
21706444,2,21706287,"2014-02-11 15:46:35"
22268294,2,22268007,"2014-03-08 10:49:57"
22386974,2,22386792,"2014-03-13 17:55:53"
23020129,2,23020024,"2014-04-11 18:32:21"
23289333,2,23289167,"2014-04-25 09:34:34"
23471377,2,23470652,"2014-05-05 11:30:55"
23620939,2,23620898,"2014-05-13 00:18:33"
23767547,2,23767514,"2014-05-20 18:42:14"
23948203,2,23948127,"2014-05-30 06:12:23"
25583129,1,25583129,"2014-08-30 13:56:56"
25626705,2,25626665,"2014-09-02 15:10:01"
29195810,2,29195785,"2015-03-22 14:52:37"
29871207,2,29871111,"2015-04-25 21:59:03"
29989025,2,29987632,"2015-05-01 14:43:49"
32235006,2,32234866,"2015-08-26 19:21:04"
32964639,2,32962345,"2015-10-06 07:58:55"
33113005,2,33112862,"2015-10-13 21:31:39"
33335165,1,33335165,"2015-10-25 21:15:33"
34813716,2,34813443,"2016-01-15 14:50:07"
35251337,2,35251307,"2016-02-07 08:28:01"
37172813,2,37172729,"2016-05-11 20:37:16"
38208355,2,14307156,"2016-07-05 16:28:47"
38499107,2,38499034,"2016-07-21 08:35:47"
40920979,2,40920515,"2016-12-01 21:46:01"
40921853,2,40921766,"2016-12-01 22:49:59"
46727409,2,46726167,"2017-10-13 10:05:39"
48653264,2,48652773,"2018-02-06 22:51:39"
49223205,2,49223142,"2018-03-11 17:52:02"
