"HashValue","Language","ThreadCount","LineCount"
"4958601720365984832","Java",2,25
"-7062081005185602493","Java",9,44
"6066322210166683218","Java",2,99
"-8138563732055489830","Java",2,24
"8107174351293990059","Java",2,59
"-119194885155001883","JavaScript",3,45
"4857898283221968561","JavaScript",2,43
"-4136101606128056771","JavaScript",2,88
"7015065989833815753","JavaScript",2,329
"-2070583899748222372","JavaScript",2,21
"-5623933583271114657","PHP",2,99
"-5834620191504518893","PHP",2,101
"-3731282850840207788","PHP",2,39
"1553789537228872134","PHP",3,60
"-462359779758181380","PHP",2,122
"8348020811665799924","HTMLCSS",2,61
"-1524339498175334164","HTMLCSS",2,36
"6326766648642247144","HTMLCSS",2,60
"823674188452616841","HTMLCSS",2,51
"8830973722861729642","HTMLCSS",2,53
"-9090919791131675536","CSharp",2,45
"-4232678236605313742","CSharp",2,71
"345905145643070774","CSharp",2,144
"38658189878964978","CSharp",2,30
"-6414322555671911792","CSharp",3,30
"-1391778936814526703","Python",2,44
"7362734013479075769","Python",2,25
"285302079640883798","Python",2,34
"6787837843436061221","Python",2,38
"-7051678711245348546","Python",2,46
"823678479731080077","SQL",2,70
"-3727000032724279060","SQL",2,45
"-7084009160264564981","SQL",2,65
"-6652240785205538448","SQL",2,32
"-150118792865273985","SQL",2,32
"-2127672398705085829","Swift",2,36
"-1956914579435156353","Swift",2,58
"-6418776236427697230","Swift",2,36
"552323204309160446","Swift",2,74
"-7840575039831060030","Swift",2,88
"-7754509547070621741","CPP",2,64
"-4581786539164320139","CPP",2,40
"1939864691097536533","CPP",2,85
"-7958886146148110349","CPP",2,35
"5901738080191477821","CPP",2,47
"69965300928380121","ObjectiveC",2,69
"-4443565338737415159","ObjectiveC",3,68
"-5380444763836321638","ObjectiveC",2,33
"-3892945869479386127","ObjectiveC",2,45
"-3985010150073850371","ObjectiveC",2,49
"2894894088992242877","C",2,35
"1413742810809742348","C",2,37
"-884704508746091909","C",2,72
"3379993892704385485","C",3,126
"7921901837371850863","C",2,31
"-1493628655251723135","Ruby",5,29
"-3813634657971939393","Ruby",2,36
"-69606117101914067","Ruby",2,95
"7508859375193965055","Ruby",2,40
"-9191507273726605703","Ruby",2,32
"-250318651462651940","VBA",2,38
"3997805364612436496","VBA",2,36
"6987571730304325748","VBA",2,52
"3836917373720717746","VBA",8,23
"8714002537621301301","VBA",2,50
"7917745996584196910","R",2,124
"7469883360628321813","R",2,25
"-8557050583224587006","R",2,27
"-107166925907531909","R",2,46
"-6737167263203597386","R",2,27
