"HashValue","Sample","PostCount","ThreadCount","LineCount"
"-7567882479870040844",1,2,2,26
"8530674125071305856",1,2,2,39
"-8481030292389459817",1,2,2,58
"3029782886926557356",1,3,2,87
"-7884111030018686121",1,2,2,158
"-1999207865668691066",2,2,2,57
"684732236419912939",2,2,2,67
"-1353226202234823939",2,2,2,70
"3169797457013680401",2,2,2,157
"-524004736445935217",2,2,2,166
"254708392302529379",3,2,2,30
"2445178742409368966",3,2,2,40
"-661325852891986688",3,2,2,44
"-7053989583110035266",3,2,2,60
"3928379981974834943",3,2,2,76
