"PostHistoryId","PostId","PostTypeId"
4240054,2097117,2
30512788,12901826,1
31055834,13100680,1
35475020,14693710,1
36890536,15207317,2
37531119,15437937,2
38873882,15921218,1
43455313,17569613,1
48828348,19236571,1
54060980,20698049,2
63004062,23103758,1
66206971,23939937,1
68582542,24553707,1
71921347,25427201,1
76970373,26743999,2
90050732,30133668,2
92298332,30693831,2
108936262,34896080,2
120864585,37928962,1
120874476,37931432,1
143562401,43517581,1
152739998,45388935,2
157892886,46633885,1
158498307,46783676,2
161094112,47409055,2
