MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
FINGERPRINT;winnowingTwoGramOverlap;0.8;13252404270;0.7850058870635204;0.7478283805059522;0.7661916739369795;0.9709261838440111;0.8897521407215505;0.8500559823945022;0.8696776012228146;0.9810679061330915;700;3005;14280;42604;8066;24586;5577;647;144;190;0;0.9748295752490823;0.9670539275186405;0.7729988052568698;0.8179519595448799;0.0;6214;18018;4327;663;63;104;0;0.9856492027334852;0.9765290002256827;0.864406779661017;0.9132231404958677;0.0
SET;fiveGramJaccard;0.4;21568640657;0.8870229653569712;0.7117755293024959;0.7945824316396806;0.9701690714348943;0.9246154534823212;0.868478312284187;0.896107397889452;0.9846678023850085;700;3005;14280;42604;8066;24586;5480;741;50;287;825;0.9909584086799277;0.9502340905149992;0.7208171206225681;0.9367888748419722;0.033555682095501506;6214;18018;4335;687;39;96;0;0.9910836762688614;0.9783344617467841;0.8773946360153256;0.9462809917355371;0.0
FINGERPRINT;winnowingFiveGramLongestCommonSubsequence;1.0;48006287988;0.6890648370551573;0.30750821499459446;0.46031847460032765;0.8191119296091671;0.7939050752493233;0.44497221012283306;0.5943615868824511;0.8866005274394073;700;3005;14280;42604;8066;24586;4003;787;4;1764;825;0.99900174694285;0.6941217270677995;0.3085064680517444;0.9949431099873578;0.033555682095501506;6214;18018;3530;724;2;901;0;0.9994337485843715;0.7966598961859626;0.44553846153846155;0.9972451790633609;0.0
SET;twoShingleOverlapNormalized;0.2;27440042359;0.7982347358888591;0.8179507747643;0.8080326235147122;0.9771547248182763;0.8795423304255703;0.8785307752258111;0.8790364073192265;0.9829590339690779;700;3005;14280;42604;8066;24586;5646;648;143;121;2354;0.9752979789255485;0.9790185538408185;0.8426527958387516;0.8192161820480405;0.09574554624583097;6214;18018;4355;651;75;76;65;0.9830699774266366;0.9828481155495373;0.8954607977991746;0.8966942148760331;0.0036075036075036075
SET;twoGramJaccardNormalized;0.2;21595811938;0.827557814558924;0.8432484158383993;0.8353662766364827;0.9803480218162929;0.8866084368023186;0.8959176749971731;0.8912509014485266;0.9847818735204599;700;3005;14280;42604;8066;24586;5662;669;122;105;4;0.9789073305670816;0.9817929599445119;0.8643410852713178;0.8457648546144121;1.6269421622061337E-4;6214;18018;4368;654;72;63;0;0.9837837837837838;0.985781990521327;0.9121338912133892;0.9008264462809917;0.0
SET;threeShingleOverlapNormalized;0.8;28801327050;0.8035904182149758;0.6489452552418582;0.7221400065488888;0.9604599734630694;0.8932688738806793;0.7315935691423112;0.8083995074504308;0.9677791892828271;700;3005;14280;42604;8066;24586;5429;682;109;338;4519;0.9803178042614662;0.9413906710594764;0.6686274509803921;0.8621997471554994;0.18380379077523795;6214;18018;4190;688;38;241;1097;0.9910122989593189;0.9456104716768224;0.7405812701829925;0.9476584022038568;0.06088356088356088
SET;fiveGramOverlapNormalized;0.5;23861553435;0.8116714021119771;0.8116714021119771;0.8116714021119772;0.9772845500260101;0.8816667319467837;0.8619199624628413;0.871737435529935;0.9816783533137299;700;3005;14280;42604;8066;24586;5636;660;131;131;910;0.9772845500260101;0.9772845500260101;0.8343868520859671;0.8343868520859671;0.03701293419018954;6214;18018;4340;655;71;91;21;0.9839038766719564;0.9794628751974723;0.8780160857908847;0.9022038567493113;0.0011655011655011655
SET;fourGramDice;0.5;17687708025;0.8729087004244254;0.7628339192599451;0.8160173803914165;0.9754342867169679;0.9203899647673883;0.8938126403748159;0.9070039606215747;0.9866455409687642;700;3005;14280;42604;8066;24586;5559;719;72;208;568;0.9872136387852957;0.9639327206519854;0.7756202804746494;0.9089759797724399;0.023102578703327097;6214;18018;4359;680;46;72;0;0.9895573212258797;0.983750846310088;0.9042553191489362;0.9366391184573003;0.0
FINGERPRINT;winnowingThreeGramLongestCommonSubsequence;0.4;85362908642;0.8883093287432287;0.7266931553584008;0.8034477637274995;0.9719989400229662;0.9238917767569212;0.8779556424693227;0.9006308891187036;0.985480943738657;700;3005;14280;42604;8066;24586;5502;739;52;265;280;0.9906373784659704;0.9540488989075776;0.7360557768924303;0.934260429835651;0.011388595135442934;6214;18018;4344;685;41;87;0;0.9906499429874572;0.980365605958023;0.8873056994818653;0.9435261707988981;0.0
PROFILE;cosineTwoShingleNormalizedBool;0.0;31067878145;0.7317228654160939;0.8350924684266356;0.7817008723831238;0.9751824817518249;0.840749154622485;0.8668902849450304;0.8537196695742575;0.9797479747974798;700;3005;14280;42604;8066;24586;5678;591;200;89;2354;0.9659748213678122;0.9845673660482053;0.8691176470588236;0.7471554993678887;0.09574554624583097;6214;18018;4354;623;103;77;65;0.9768902849450303;0.9826224328593997;0.89;0.8581267217630854;0.0036075036075036075
FINGERPRINT;winnowingTwoGramJaccardNormalized;0.2;19197411611;0.8429018849783314;0.8484617056559141;0.8456772262685689;0.9814558058925476;0.8884372126509135;0.8988170790463168;0.8936120748909706;0.98512173128945;700;3005;14280;42604;8066;24586;5663;681;110;104;4;0.9809457820890352;0.9819663603259927;0.867515923566879;0.8609355246523388;1.6269421622061337E-4;6214;18018;4370;655;71;61;0;0.9840126097725738;0.9862333559016023;0.914804469273743;0.9022038567493113;0.0
FINGERPRINT;winnowingFiveGramDiceNormalized;0.5;20137759558;0.8809478139385409;0.7200835369344527;0.796464699604156;0.9710247349823321;0.9113160285068944;0.8605038889159584;0.8855455869471821;0.9832009080590238;700;3005;14280;42604;8066;24586;5496;734;57;271;910;0.9897352782279849;0.9530084966186926;0.7303482587064677;0.9279393173198482;0.03701293419018954;6214;18018;4331;678;48;100;21;0.9890385932861384;0.9774317309862334;0.87146529562982;0.9338842975206612;0.0011655011655011655
SET;threeShingleJaccard;0.2;15522026919;0.8492192708108408;0.7033520639405519;0.7728519436883725;0.9682427664079041;0.9187318497960462;0.7902480579860811;0.8520716285097665;0.9762478485370051;700;3005;14280;42604;8066;24586;5488;710;81;279;4824;0.985455198419824;0.9516212935668459;0.717896865520728;0.8975979772439949;0.1962092247620597;6214;18018;4254;696;30;177;1786;0.9929971988795518;0.960054163845633;0.7972508591065293;0.9586776859504132;0.09912309912309912
FINGERPRINT;winnowingFiveGramLongestCommonSubsequence;0.8;48418339353;0.8316220915155039;0.45865178711328536;0.6175961127439794;0.9127200828547217;0.9086376785644341;0.6665695204397029;0.77824814914919;0.9572468874794456;700;3005;14280;42604;8066;24586;4847;784;7;920;825;0.9985578903996704;0.8404716490376278;0.460093896713615;0.9911504424778761;0.033555682095501506;6214;18018;4075;718;8;356;0;0.9980406563801126;0.9196569623109907;0.6685288640595903;0.9889807162534435;0.0
EQUAL;tokenEqualNormalized;0.7;20567779691;0.6693254725160396;0.293180133432172;0.4429818634456765;0.8019112911602784;0.807266982622433;0.45949367088607596;0.6090435692381192;0.8933566433566433;700;3005;14280;42604;8066;24586;3860;791;0;1907;587;1.0;0.6693254725160396;0.293180133432172;1.0;0.02387537623037501;6214;18018;3577;726;0;854;0;1.0;0.8072669826224329;0.45949367088607596;1.0;0.0
SET;tokenJaccard;0.6;6709246329;0.8741371906113011;0.585745731453388;0.7155572151164616;0.9496011602610587;0.9179065226027743;0.7276229297328944;0.8172452711378414;0.9678617008933751;700;3005;14280;42604;8066;24586;5238;764;27;529;0;0.9948717948717949;0.908271198196636;0.5908739365815932;0.965865992414665;0.0;6214;18018;4171;709;17;260;0;0.9959407831900668;0.9413225005642067;0.7316821465428277;0.9765840220385675;0.0
PROFILE;cosineFiveGramNormalizedNormalizedTermFrequency;0.4;39079426078;0.8608530991865528;0.8184147065560068;0.8393657346822012;0.9799756224969528;0.9090983696757071;0.903900159670842;0.9064955386025756;0.9867901095178955;700;3005;14280;42604;8066;24586;5628;700;91;139;910;0.9840881272949816;0.9758973469741633;0.834326579261025;0.8849557522123894;0.03701293419018954;6214;18018;4370;670;56;61;21;0.9873474920921825;0.9862333559016023;0.9165526675786594;0.9228650137741047;0.0011655011655011655
SET;fiveGramOverlapNormalized;0.7;23523129432;0.8128692019658472;0.7515180589274997;0.7815918914774637;0.9722464653517192;0.8891217213061244;0.8342650517787722;0.8612567438708885;0.97955474784189;700;3005;14280;42604;8066;24586;5570;670;121;197;910;0.9787383588121595;0.9658401248482746;0.7727797001153403;0.8470290771175727;0.03701293419018954;6214;18018;4312;665;61;119;21;0.9860507660644866;0.9731437598736177;0.8482142857142857;0.9159779614325069;0.0011655011655011655
PROFILE;cosineTwoGramNormalizedTermFrequency;0.4;28063590557;0.8051264693818989;0.8158313454428976;0.8104612333526661;0.9773081586696692;0.8747097366227052;0.8808062880324545;0.8777527192897159;0.9828597203428057;700;3005;14280;42604;8066;24586;5642;654;137;125;4;0.9762934763799965;0.9783249523148951;0.8395378690629012;0.8268015170670038;1.6269421622061337E-4;6214;18018;4358;647;79;73;0;0.9821951769213433;0.9835251636199503;0.8986111111111111;0.8911845730027548;0.0
SET;fourGramDiceNormalized;0.4;22902327346;0.8586997338928912;0.7931142840944982;0.8252557329086522;0.9777428646242472;0.9098220464011071;0.893429346780914;0.9015884408104485;0.985982364910694;700;3005;14280;42604;8066;24586;5601;702;89;166;692;0.9843585237258348;0.9712155366741807;0.8087557603686636;0.8874841972187105;0.028146099406166112;6214;18018;4361;672;54;70;0;0.9877689694224235;0.9842022116903634;0.9056603773584906;0.9256198347107438;0.0
SET;fourGramJaccard;0.6;20401325973;0.8803291845118166;0.605614648056739;0.7301645357398562;0.9535933550018058;0.9246462283946126;0.8041675588344073;0.8623053405108525;0.9781138993926893;700;3005;14280;42604;8066;24586;5281;763;28;486;568;0.9947259370879639;0.9157274146003122;0.6108887109687751;0.9646017699115044;0.023102578703327097;6214;18018;4268;698;28;163;0;0.9934823091247672;0.9632137215075603;0.81068524970964;0.9614325068870524;0.0
FINGERPRINT;winnowingTwoGramLongestCommonSubsequenceNormalized;0.2;97202401265;0.8537375454792373;0.8259806167221493;0.8397444041693843;0.9802660175606364;0.9095497350559825;0.9064204222289136;0.9079837305192423;0.9870188508861046;700;3005;14280;42604;8066;24586;5638;693;98;129;4;0.9829149232914923;0.9776313507889718;0.843065693430657;0.8761061946902655;1.6269421622061337E-4;6214;18018;4372;670;56;59;0;0.987353206865402;0.9866847212818777;0.9190672153635117;0.9228650137741047;0.0
SET;tokenOverlapNormalized;0.0;22834663114;0.7243392097283095;0.7997595069311187;0.7611157397027005;0.9725449694465961;0.8348580903514122;0.841656424068028;0.8382503653022957;0.9773367910700191;700;3005;14280;42604;8066;24586;5650;589;202;117;587;0.9654818865345182;0.9797121553667418;0.8342776203966006;0.7446270543615676;0.02387537623037501;6214;18018;4334;622;104;97;0;0.9765660207300586;0.9781087790566464;0.8650904033379694;0.8567493112947658;0.0
SET;twoShingleOverlap;0.9;13540680257;0.7970663110680083;0.49359978854886766;0.6272413910151298;0.9288995039500275;0.8656339352160118;0.6013297365792225;0.721478638794996;0.9432977461447212;700;3005;14280;42604;8066;24586;5056;728;63;711;2813;0.9876929087712444;0.8767123287671232;0.5059068797776234;0.9203539823008849;0.11441470755714635;6214;18018;3976;703;23;455;1019;0.9942485621405351;0.8973143759873617;0.6070811744386874;0.9683195592286501;0.05655455655455655
FINGERPRINT;winnowingTwoGramOverlap;0.2;13157225892;0.719808658926711;0.7477299158323953;0.733636468528316;0.9685338865836792;0.8282433493549393;0.8272907927380218;0.8277669340266268;0.9757363728698792;700;3005;14280;42604;8066;24586;5602;592;199;165;0;0.965695569729357;0.9713889370556615;0.7820343461030383;0.7484197218710493;0.0;6214;18018;4323;619;107;108;0;0.9758465011286682;0.975626269465132;0.8514442916093535;0.8526170798898072;0.0
