MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;threeGramDice;0.09;20440023605;0.7949844104069164;0.844317324616545;0.8192796290074772;0.9788556140502287;0.8565777178444134;0.8748014217630318;0.8656416148850665;0.9813063063063062;700;3005;14280;42604;8066;24586;5671;642;149;96;280;0.9743986254295532;0.9833535633778394;0.8699186991869918;0.8116308470290771;0.011388595135442934;6214;18018;4357;634;92;74;0;0.9793211957743313;0.9832994809298127;0.8954802259887006;0.8732782369146006;0.0
SET;threeGramDice;0.08;20474174705;0.7897541200127933;0.8417520949647246;0.8153386934445044;0.9784296807592753;0.8565777178444134;0.8748014217630318;0.8656416148850665;0.9813063063063062;700;3005;14280;42604;8066;24586;5670;638;153;97;280;0.973724884080371;0.9831801629963586;0.8680272108843538;0.8065739570164349;0.011388595135442934;6214;18018;4357;634;92;74;0;0.9793211957743313;0.9832994809298127;0.8954802259887006;0.8732782369146006;0.0
FINGERPRINT;winnowingFourGramOptimalAlignment;0.88;86585433418;0.7932280464923469;0.40365419523191615;0.5658531865618973;0.8881826061831841;0.8836335286141406;0.598984499884315;0.7275182384091504;0.9421861962093218;700;3005;14280;42604;8066;24586;4611;786;5;1156;568;0.9989168110918544;0.7995491590081498;0.4047373841400618;0.9936788874841972;0.023102578703327097;6214;18018;3952;720;6;479;0;0.9984840828701365;0.8918979914240578;0.6005004170141784;0.9917355371900827;0.0
SET;threeGramDice;0.69;20771240077;0.8830630355326101;0.6788660113491891;0.7742618941300999;0.965750378080242;0.9249110791549398;0.8510094495206595;0.8871911115014647;0.9830392714854866;700;3005;14280;42604;8066;24586;5428;745;46;339;280;0.9915966386554622;0.9412172706779955;0.6872693726937269;0.9418457648546145;0.011388595135442934;6214;18018;4318;690;36;113;0;0.9917317409278824;0.9744978560144437;0.8592777085927771;0.9504132231404959;0.0
SET;fiveGramJaccardNormalized;0.76;28831727305;0.8450747605551179;0.47737588920349516;0.6351521985031858;0.9193035012170006;0.9119529759340186;0.6861541117084651;0.7910374732728518;0.9609356725146198;700;3005;14280;42604;8066;24586;4910;786;5;857;910;0.9989827060020345;0.8513958730709208;0.47839318320146074;0.9936788874841972;0.03701293419018954;6214;18018;4108;715;11;323;21;0.9973294488953629;0.9271044910855337;0.6888246628131022;0.9848484848484849;0.0011655011655011655
PROFILE;manhattanFourGramNormalized;0.78;39299945237;0.8752120099164848;0.55932048573558;0.6996599220393446;0.9434548278067051;0.9266615188631562;0.7673539856814688;0.843254060101276;0.9737084870848709;700;3005;14280;42604;8066;24586;5164;775;16;603;692;0.9969111969111969;0.8954395699670539;0.5624092888243831;0.9797724399494311;0.028146099406166112;6214;18018;4222;707;19;209;0;0.9955199245460976;0.9528323177612277;0.7718340611353712;0.9738292011019284;0.0
SET;fourGramDice;0.9;21683649657;0.8264704999038734;0.44938561091806495;0.6094292005680896;0.9090050080317491;0.9029722969834992;0.6543793844531853;0.7686913918331211;0.9548022598870057;700;3005;14280;42604;8066;24586;4810;785;6;957;568;0.9987541528239202;0.8340558349228369;0.4506314580941447;0.9924146649810367;0.023102578703327097;6214;18018;4056;717;9;375;0;0.9977859778597786;0.9153689911983751;0.6565934065934066;0.987603305785124;0.0
SET;fiveGramJaccard;0.57;25182662319;0.8790649620086559;0.6051155294799364;0.7293393311299808;0.9535072673106437;0.9232921322537868;0.79854816463813;0.8586578117248378;0.9774108473798877;700;3005;14280;42604;8066;24586;5281;762;29;486;825;0.9945386064030132;0.9157274146003122;0.6105769230769231;0.9633375474083439;0.033555682095501506;6214;18018;4262;698;28;169;0;0.9934731934731935;0.9618596253667344;0.8050749711649365;0.9614325068870524;0.0
PROFILE;manhattanThreeShingleNormalized;0.45;32077136549;0.8665211652593321;0.7129475100359521;0.7859924345469825;0.9698093220338982;0.9245063424296514;0.837095131700941;0.8797157259447532;0.9816398677158171;700;3005;14280;42604;8066;24586;5493;723;68;274;4519;0.9877719834562129;0.9524882954742501;0.7251755265797393;0.9140328697850821;0.18380379077523795;6214;18018;4304;692;34;127;1097;0.9921622867680959;0.9713382983525164;0.8449328449328449;0.953168044077135;0.06088356088356088
PROFILE;manhattanFiveGramNormalized;0.06;41616460298;0.8083927976803369;0.8699041809689094;0.8385846853879929;0.9812036558027245;0.8774412432318508;0.88873404848191;0.8830695943143115;0.9836582891919307;700;3005;14280;42604;8066;24586;5690;650;141;77;910;0.9758188989881666;0.9866481706259754;0.8940852819807428;0.8217446270543616;0.03701293419018954;6214;18018;4364;648;78;67;21;0.9824403421882035;0.9848792597607764;0.9062937062937063;0.8925619834710744;0.0011655011655011655
