MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleConnections;TextBlockVersionCount;PossibleConnectionsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleConnectionsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;cosineThreeGramNormalizedBool;0.3;36482973182;0.9792172469608702;0.9753561713234729;0.9772848023425238;0.9826229791648655;0.9813070550780871;0.9798185458649065;0.9805625180240091;0.9853471596032461;700;3005;14280;42604;8066;24586;5683;18702;117;84;355;0.9798275862068966;0.9854343679556095;0.9955285851165762;0.9937828790052606;0.014439111689579436;6214;18018;4371;13517;70;60;0;0.9842377842828192;0.98645903859174;0.9955807615820873;0.9948480164863472;0.0
FINGERPRINT;winnowingThreeGramOverlap;0.9;12739938732;0.935545514568696;0.962395242911291;0.9488754147662952;0.9603750221121529;0.9545687141004939;0.97487926658573;0.9646705385301102;0.9730720751690156;700;3005;14280;42604;8066;24586;5429;18709;110;338;280;0.9801408196425347;0.9413906710594764;0.9822544232687562;0.9941548435092195;0.011388595135442934;6214;18018;4246;13537;50;185;0;0.9883612662942272;0.9582487023245317;0.9865180002915027;0.9963200117759623;0.0
SET;twoShingleJaccardNormalized;0.2;28100212536;0.9668862122445179;0.9758574433738896;0.9713614708821835;0.9780066329202304;0.9804486237018448;0.9832958274368049;0.9818711935392453;0.9863168607938482;700;3005;14280;42604;8066;24586;5603;18731;88;164;2354;0.9845369882270252;0.9715623374371424;0.9913204551468643;0.9953238748073755;0.09574554624583097;6214;18018;4361;13536;51;70;65;0.9884406165004533;0.9842022116903634;0.9948552109363517;0.9962464120114816;0.0036075036075036075
PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.1;14686800950;0.9755842698626296;0.968283439179394;0.9719269993327199;0.9785289298956626;0.980639773801065;0.9784114353079869;0.9795249708939532;0.984566858172806;700;3005;14280;42604;8066;24586;5674;18663;156;93;0;0.9732418524871355;0.9838737645222819;0.9950415866922585;0.9917105053403475;0.0;6214;18018;4370;13511;76;61;0;0.9829059829059829;0.9862333559016023;0.9955054524020042;0.9944064178994627;0.0
SET;threeGramOverlapNormalized;0.3;24364301134;0.9691572790294827;0.9646463740458717;0.9668991959330371;0.9746824505314093;0.9726132137040668;0.9729092041012213;0.9727611976447019;0.9794582392776525;700;3005;14280;42604;8066;24586;5640;18653;166;127;355;0.9714088873579056;0.9779781515519335;0.993237486687966;0.9911791274775493;0.014439111689579436;6214;18018;4339;13497;90;92;0;0.979679385865884;0.9792371925073347;0.9932298182353374;0.9933760211967322;0.0
FINGERPRINT;winnowingFiveGramOptimalAlignment;0.6;84048626421;0.905088487129631;0.967500815168532;0.9357744648672411;0.9488110364857506;0.9524887359223011;0.9804770544845205;0.9663815758936953;0.9741876008296844;700;3005;14280;42604;8066;24586;5227;18795;24;540;825;0.9954294420110456;0.9063637940003468;0.9720713731574864;0.9987246931292842;0.033555682095501506;6214;18018;4227;13567;20;204;0;0.995290793501295;0.953960731211916;0.9851862609832256;0.9985280047103849;0.0
SET;twoGramJaccardNormalizedPadding;0.4;23554309815;0.9655381599563095;0.9760564921501587;0.9707830805303904;0.9775447793796419;0.9794035768090281;0.9819470258953928;0.9806744767755176;0.9854154889768231;700;3005;14280;42604;8066;24586;5594;18735;84;173;4;0.9852060584712927;0.9700017340038148;0.990850433678866;0.9955364259524948;1.6269421622061337E-4;6214;18018;4358;13531;56;73;0;0.987313094698686;0.9835251636199503;0.9946339311967068;0.9958784131890778;0.0
FINGERPRINT;winnowingTwoGramDice;0.0;12851284736;0.9704801675766939;0.9634453472809734;0.9669563599667904;0.9747304872789997;0.9740653265928507;0.9706785122985289;0.9723704448916209;0.979178390545864;700;3005;14280;42604;8066;24586;5651;18642;177;116;0;0.9696293754289637;0.9798855557482227;0.9938159718520098;0.9905946118284712;0.0;6214;18018;4350;13483;104;81;0;0.9766502020655591;0.9817197020988491;0.9940283102329697;0.9923456244940017;0.0
PROFILE;cosineTwoShingleNormalizedBool;1.0;30805855076;0.6949887289752037;0.9145203615511712;0.7972335565544091;0.8200511508951406;0.8289374042723443;0.946398398220643;0.8857228864766475;0.9062654168722251;700;3005;14280;42604;8066;24586;4008;18819;0;1759;2354;1.0;0.6949887289752037;0.9145203615511711;1.0;0.09574554624583097;6214;18018;3674;13584;3;757;65;0.9991841174870819;0.8291582035657865;0.9472142807335611;0.9997792007065578;0.0036075036075036075
SET;threeGramJaccard;0.2;21559908370;0.9765323191028092;0.977237794179989;0.976884992957461;0.9823039555863984;0.9835541151860732;0.9817647475761113;0.9826590240887734;0.9869281045751634;700;3005;14280;42604;8066;24586;5662;18720;99;105;280;0.9828154834230168;0.9817929599445119;0.9944223107569721;0.9947393591582975;0.011388595135442934;6214;18018;4379;13523;64;52;0;0.9855953184785056;0.9882645001128414;0.9961694290976059;0.9952896150732318;0.0
SET;twoGramJaccardNormalizedPadding;0.1;23559972856;0.972544174827537;0.9665239484580095;0.9695293888810941;0.9766960124287933;0.9753998891468951;0.9734779798887505;0.9744384606892478;0.9807323943661972;700;3005;14280;42604;8066;24586;5658;18658;161;109;4;0.9723320158102767;0.9810993584185885;0.9941919326477328;0.9914448164089484;1.6269421622061337E-4;6214;18018;4352;13495;92;79;0;0.9792979297929792;0.9821710674791243;0.9941800500957714;0.9932288216677707;0.0
SET;threeGramDiceNormalizedPadding;0.6;24349562143;0.9503404305863457;0.9751214445708716;0.9626512003355429;0.9710400847607276;0.9755474374899062;0.9830636192467299;0.9792983174935512;0.9843395369950068;700;3005;14280;42604;8066;24586;5499;18759;60;268;355;0.9892066918510524;0.9535286977631351;0.9859147527198192;0.9968117328232106;0.014439111689579436;6214;18018;4337;13543;44;94;0;0.9899566309061858;0.9787858271270593;0.9931069883405441;0.9967616103628468;0.0
PROFILE;cosineTwoShingleNormalizedNormalizedTermFrequency;0.4;31013193666;0.9678594897244817;0.9764801213055021;0.9721602501300098;0.9786231567926009;0.9796930924702556;0.9834424219691338;0.9815659670370499;0.9860812492927464;700;3005;14280;42604;8066;24586;5608;18733;86;159;2354;0.9848963821566561;0.9724293393445466;0.9915837391488461;0.9954301503799352;0.09574554624583097;6214;18018;4357;13538;49;74;65;0.9888788016341352;0.9832994809298127;0.9945636203349986;0.996393611540443;0.0036075036075036075
SET;twoGramOverlapNormalized;0.5;21950899808;0.967451249259957;0.9631775323984626;0.965312025708794;0.9734681531414745;0.9723924144106246;0.9722445687613233;0.9723184887758947;0.9791267065327768;700;3005;14280;42604;8066;24586;5632;18647;172;135;4;0.9703652653342523;0.9765909485000867;0.9928122670642104;0.9908603007598703;1.6269421622061337E-4;6214;18018;4339;13494;93;92;0;0.9790162454873647;0.9792371925073347;0.9932283232739585;0.9931552219032899;0.0
SET;fiveGramDiceNormalized;0.5;25190381781;0.9552627660767303;0.9763271695274516;0.9657375381327259;0.9734965219688297;0.9772008160853507;0.9838158027439734;0.9805027309085248;0.9852574279882059;700;3005;14280;42604;8066;24586;5528;18757;62;239;910;0.9889087656529517;0.9585573088260794;0.9874184038744999;0.996705457250651;0.03701293419018954;6214;18018;4344;13544;43;87;21;0.9901983131980853;0.980365605958023;0.993617489545888;0.9968352101273276;0.0011655011655011655
SET;fiveGramDiceNormalized;0.7;25350825427;0.9192821546700627;0.970501232628552;0.9445445803352678;0.9561616707174363;0.9613050110277561;0.9814450954881719;0.9713228548435348;0.9781189139649444;700;3005;14280;42604;8066;24586;5311;18788;31;456;910;0.9941969299887683;0.9209294260447373;0.9763043026397838;0.9983527286253254;0.03701293419018954;6214;18018;4269;13558;29;162;21;0.9932526756630992;0.963439404197698;0.9881924198250729;0.9978656068300581;0.0011655011655011655
SET;fiveGramOverlap;0.1;20966087553;0.9718533836058993;0.9643525156334276;0.9680956849956555;0.9756013449435297;0.9721764985138777;0.9709961552448845;0.9715861476350975;0.9785794813979706;700;3005;14280;42604;8066;24586;5658;18645;174;109;825;0.970164609053498;0.9810993584185885;0.9941879065799296;0.9907540251873107;0.033555682095501506;6214;18018;4340;13488;99;91;0;0.9776976796575806;0.9794628751974723;0.9932984755873039;0.9927136233164053;0.0
SET;fiveGramOverlapNormalized;0.6;25458293733;0.965680840487009;0.9694207088239406;0.9675489676923928;0.975134759172318;0.9724220636048466;0.9777965341187946;0.9751055960732997;0.9811919329254476;700;3005;14280;42604;8066;24586;5608;18692;127;159;910;0.9778552746294682;0.9724293393445466;0.9915654341944724;0.9932515011424624;0.03701293419018954;6214;18018;4330;13522;65;101;21;0.9852104664391353;0.9772060482960957;0.9925860676796594;0.995216015308751;0.0011655011655011655
SET;tokenJaccardNormalized;0.7;27532532886;0.8867723611972975;0.9641073471550141;0.9246316827171318;0.9392549091576436;0.9462481037596224;0.9780452156681392;0.9620152965089214;0.9707615855772564;700;3005;14280;42604;8066;24586;5118;18806;13;649;587;0.9974663808224518;0.8874631524189354;0.9666409663325624;0.9993092087783623;0.02387537623037501;6214;18018;4200;13565;22;231;0;0.994789199431549;0.9478672985781991;0.9832560162365903;0.9983808051814235;0.0
FINGERPRINT;winnowingTwoGramLongestCommonSubsequence;0.6;113346066390;0.9178278268092948;0.9704105485126633;0.9437530423019539;0.9554874752207606;0.9611529281020994;0.9816035742464697;0.9713244306731302;0.9781138993926893;700;3005;14280;42604;8066;24586;5302;18790;29;465;0;0.994560120052523;0.9193688226114097;0.9758504284601403;0.9984590041978851;0.0;6214;18018;4268;13559;28;163;0;0.9934823091247672;0.9632137215075603;0.9881212651217024;0.9979392065945389;0.0
PROFILE;manhattanTwoGramNormalized;0.2;28985761018;0.9733384313174487;0.9710064948820163;0.9721717639015834;0.978708672321274;0.9777107822259707;0.9768200204527475;0.9772652998499664;0.9828597203428057;700;3005;14280;42604;8066;24586;5654;18686;133;113;4;0.9770174529116986;0.9804057568926652;0.9939890419703176;0.9929326744247835;1.6269421622061337E-4;6214;18018;4358;13508;79;73;0;0.9821951769213433;0.9835251636199503;0.9946248435314041;0.9941856186060205;0.0
FINGERPRINT;winnowingThreeGramLongestCommonSubsequenceNormalized;1.0;58806545093;0.682171087768263;0.9105128917044094;0.7881152008183978;0.8109222050489439;0.8192330485964248;0.9435571107871952;0.8792003004975761;0.9004339739615622;700;3005;14280;42604;8066;24586;3935;18816;3;1832;355;0.9992381919756221;0.6823305011271025;0.9112746997287873;0.9998405866411605;0.014439111689579436;6214;18018;3631;13584;3;800;0;0.9991744634012107;0.8194538478898669;0.9443826473859844;0.9997792007065578;0.0
SET;twoGramOverlapNormalized;0.4;21846300309;0.9667324839930367;0.9618895860598256;0.9643079948121601;0.9727021423635107;0.9723972978073201;0.9716588376994482;0.9720279976263774;0.9789105672719071;700;3005;14280;42604;8066;24586;5630;18640;179;137;4;0.96918574625581;0.976244147737125;0.9927038398040156;0.9904883362559116;1.6269421622061337E-4;6214;18018;4340;13491;96;91;0;0.9783588818755635;0.9794628751974723;0.9932999558238845;0.9929344226098477;0.0
PROFILE;cosineTokenNormalizedBool;0.0;15107296237;0.9754696278759996;0.9645301304787584;0.9699844573256337;0.9770401582251268;0.9777400826061433;0.9733139000793631;0.9755244810179312;0.9815564552406658;700;3005;14280;42604;8066;24586;5681;18638;181;86;0;0.9691231661548959;0.9850875671926478;0.9954069643238624;0.9903820606833519;0.0;6214;18018;4364;13490;97;67;0;0.9782559964133603;0.9848792597607764;0.9950579036660028;0.9928608228453669;0.0
SET;tokenDice;0.0;6109207878;0.9720827320779455;0.9626491772313366;0.9673544553242229;0.975034435261708;0.9757874215560802;0.9722480277224803;0.9740161169530531;0.9804186360567184;700;3005;14280;42604;8066;24586;5663;18633;186;104;0;0.9681996922550863;0.9819663603259927;0.9944494849762502;0.9901163717519528;0.0;6214;18018;4356;13488;99;75;0;0.9777777777777777;0.983073798239675;0.9944702499447025;0.9927136233164053;0.0
SET;twoGramJaccard;0.2;18354855734;0.9734447068900083;0.9713449104405478;0.9723942418756398;0.9788781163434903;0.9795162437470721;0.9774383024195208;0.9784767214811417;0.9837764758900405;700;3005;14280;42604;8066;24586;5654;18688;131;113;0;0.9773552290406223;0.9804057568926652;0.9939896813999255;0.9930389499973431;0.0;6214;18018;4366;13508;79;65;0;0.9822272215973004;0.9853306251410516;0.9952110808222205;0.9941856186060205;0.0
PROFILE;cosineFiveGramNormalizedTermFrequency;0.1;40613395770;0.9792620183330798;0.9720485801044068;0.9756486326905018;0.9813728872024836;0.9804876908754081;0.9785557567101928;0.9795212474926793;0.9845633802816901;700;3005;14280;42604;8066;24586;5690;18680;139;77;910;0.9761537141876823;0.9866481706259754;0.9958948659167244;0.9926138477071045;0.03701293419018954;6214;18018;4369;13512;75;62;21;0.9831233123312331;0.9860076732114647;0.9954324443789597;0.9944800176639434;0.0011655011655011655
PROFILE;cosineTwoGramNormalizedBool;0.7;29551271779;0.9541412519562829;0.9767856062971334;0.9653970381585099;0.9732016925246827;0.9773480156143122;0.9842683688658407;0.9808020886717999;0.985480943738657;700;3005;14280;42604;8066;24586;5520;18762;57;247;4;0.9897794513179129;0.9571701057742327;0.9870061549792204;0.9969711461820501;1.6269421622061337E-4;6214;18018;4344;13546;41;87;0;0.9906499429874572;0.980365605958023;0.9936184258783833;0.9969824096562891;0.0
