MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleConnections;TextBlockVersionCount;PossibleConnectionsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleConnectionsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;manhattanThreeGramNormalized;0.93;33851195056;0.8089799044170363;0.9442949167852119;0.874022660760231;0.8942980354575947;0.9001844179880614;0.9668653870444495;0.9329293412201213;0.9469687981967019;700;3005;14280;42604;8066;24586;4666;18817;2;1101;355;0.9995715509854327;0.809086179989596;0.9447233657997791;0.9998937244274404;0.014439111689579436;6214;18018;3991;13580;7;440;0;0.9982491245622811;0.9006996163394267;0.9686162624821684;0.9994848016486347;0.0
PROFILE;manhattanFiveGramNormalized;0.6;37803593767;0.9402664111335302;0.9746464022078898;0.9573020812304857;0.9666577754067751;0.9710976166582428;0.9830099428271968;0.9770356250571657;0.9825799840601162;700;3005;14280;42604;8066;24586;5436;18775;44;331;910;0.9919708029197081;0.9426044737298422;0.9826755992881817;0.9976619374036878;0.03701293419018954;6214;18018;4315;13550;37;116;21;0.9914981617647058;0.9738208079440307;0.9915117810624908;0.9972768087142121;0.0011655011655011655
PROFILE;manhattanFiveGramNormalized;0.03;37770729744;0.9790103164243222;0.9707663781498805;0.9748796331068813;0.9807841447651875;0.9783927136930792;0.9764649074307754;0.9774283352795016;0.9829859154929577;700;3005;14280;42604;8066;24586;5691;18672;147;76;910;0.9748201438848921;0.9868215710074563;0.9959462342649883;0.992188745416866;0.03701293419018954;6214;18018;4362;13505;82;69;21;0.9815481548154815;0.984427894380501;0.994916752615294;0.9939648193125782;0.0011655011655011655
EQUAL;equal;0.03;259330717;0.6604820530605169;0.905761178225923;0.7734591150003794;0.795530492898914;0.7905664635522456;0.9360661384774371;0.8602456025735405;0.8830350390723469;700;3005;14280;42604;8066;24586;3809;18819;0;1958;0;1.0;0.6604820530605168;0.905761178225923;1.0;0.0;6214;18018;3503;13587;0;928;0;1.0;0.7905664635522456;0.9360661384774371;1.0;0.0
SET;fiveGramJaccard;0.34;22301131246;0.9569967698915387;0.9768670524145611;0.9668808684497814;0.9743995777249934;0.9787805949163142;0.9843419374789355;0.9815573274988629;0.9860623229461756;700;3005;14280;42604;8066;24586;5538;18757;62;229;825;0.9889285714285714;0.9602913126408879;0.9879384809859897;0.996705457250651;0.033555682095501506;6214;18018;4351;13544;43;80;0;0.9902139280837505;0.9819453847889866;0.994128009395185;0.9968352101273276;0.0
SET;threeGramDice;0.23;18077203758;0.9771504294057414;0.9742269632308891;0.9756876013661926;0.9813997750670475;0.9814640214004395;0.9790857490750202;0.980274163988336;0.9851317864383871;700;3005;14280;42604;8066;24586;5672;18699;120;95;280;0.9792817679558011;0.9835269637593202;0.9949451952750878;0.9936234656464211;0.011388595135442934;6214;18018;4373;13513;74;58;0;0.9833595682482572;0.9869104039720153;0.9957261808267629;0.9945536174284242;0.0
SET;tokenDiceNormalized;0.55;24057504197;0.9573967084407804;0.9771522796565966;0.9672240568702943;0.9746657283603097;0.9774264987754884;0.9838909357943462;0.9806533906281089;0.9853724912121556;700;3005;14280;42604;8066;24586;5540;18758;61;227;587;0.9891090876629174;0.9606381134038495;0.9880431919936792;0.9967585950369308;0.02387537623037501;6214;18018;4345;13544;43;86;0;0.990200546946217;0.9805912886481607;0.9936903888481291;0.9968352101273276;0.0
PROFILE;manhattanTwoShingleNormalized;0.17;31295838899;0.9761463675762092;0.9764987573786519;0.9763225465786669;0.9818749457982829;0.9843685959920567;0.9836210446144245;0.983994749312892;0.9879327844817863;700;3005;14280;42604;8066;24586;5661;18716;103;106;2354;0.9821304649548924;0.981619559563031;0.9943682924237595;0.9945268080131782;0.09574554624583097;6214;18018;4380;13531;56;51;65;0.9873760144274121;0.988490182802979;0.9962450301870123;0.9958784131890778;0.0036075036075036075
PROFILE;manhattanThreeGramNormalized;0.39;42871901781;0.9679266145334029;0.9761886169743095;0.9720488378543478;0.9785415212840195;0.9805222234663256;0.9835202909167149;0.9820201130699436;0.9864284098620223;700;3005;14280;42604;8066;24586;5609;18731;88;158;355;0.9845532736527998;0.9726027397260274;0.9916353433215098;0.9953238748073755;0.014439111689579436;6214;18018;4361;13537;50;70;0;0.9886647018816594;0.9842022116903634;0.9948555890350554;0.9963200117759623;0.0
SET;threeGramDice;0.9;17971911977;0.8458750349088167;0.9537466209266712;0.8981928836672634;0.91617384774242;0.9235082182334173;0.9736586777422209;0.9482519658029841;0.9595782073813709;700;3005;14280;42604;8066;24586;4880;18813;6;887;280;0.9987720016373312;0.8461938616264956;0.9549746192893401;0.9996811732823211;0.011388595135442934;6214;18018;4095;13578;9;336;0;0.9978070175438597;0.9241706161137441;0.9758516601983613;0.9993376021196733;0.0
PROFILE;cosineThreeGramNormalizedBool;0.1;34160407183;0.9781041637532795;0.9698678559057718;0.9739773037149794;0.9800947867298578;0.9760033374528272;0.9734911370829644;0.9747464279358613;0.9809663250366032;700;3005;14280;42604;8066;24586;5687;18668;151;80;355;0.9741349777321;0.9861279694815328;0.9957328781736718;0.9919761942717467;0.014439111689579436;6214;18018;4355;13494;93;76;0;0.979091726618705;0.9828481155495373;0.9943994104642594;0.9931552219032899;0.0
PROFILE;cosineThreeGramNormalizedBool;0.25;34224099242;0.9794857461965547;0.9742315612570165;0.9768551211648857;0.9822955350202954;0.9798891259661713;0.9779583712017879;0.9789232725746285;0.984112676056338;700;3005;14280;42604;8066;24586;5687;18694;125;80;355;0.9784927735719202;0.9861279694815328;0.9957387876850964;0.993357776715022;0.014439111689579436;6214;18018;4367;13510;77;64;0;0.9826732673267327;0.9855563078311893;0.9952851038750552;0.994332818134982;0.0
SET;fiveGramDiceNormalizedPadding;0.99;24457546469;0.6953355297381654;0.9146092534992225;0.7974711968374217;0.8202925232688963;0.8256993634492407;0.9459588417036027;0.8837859545409431;0.9044617476208133;700;3005;14280;42604;8066;24586;4010;18819;0;1757;910;1.0;0.6953355297381654;0.9146092534992224;1.0;0.03701293419018954;6214;18018;3659;13586;1;772;21;0.9997267759562841;0.8257729632137215;0.9462320657473186;0.9999264002355193;0.0011655011655011655
SET;fiveGramDiceNormalizedPadding;0.38;24704703191;0.9665394114815562;0.9757470889758251;0.9711323376005638;0.9778282122905028;0.9803799073340596;0.9824749531910757;0.9814268712275517;0.985985533453888;700;3005;14280;42604;8066;24586;5601;18731;88;166;910;0.9845315521181227;0.9712155366741807;0.9912155368577023;0.9953238748073755;0.03701293419018954;6214;18018;4362;13532;55;69;21;0.9875481095766357;0.984427894380501;0.9949268436144401;0.9959520129535585;0.0011655011655011655
SET;twoShingleDiceNormalized;0.1;28089556008;0.9770301668105406;0.9743398532962404;0.9756840827830405;0.9813965561997059;0.9830340334380123;0.9808002543937206;0.9819165087081936;0.9863692688971499;700;3005;14280;42604;8066;24586;5671;18700;119;96;2354;0.9794473229706391;0.9833535633778394;0.9948925303256012;0.993676603432701;0.09574554624583097;6214;18018;4378;13519;68;53;65;0.9847053531264057;0.9880388174227037;0.996094901267315;0.9949952160153087;0.0036075036075036075
SET;tokenDiceNormalized;0.85;24339311143;0.8728723566335477;0.9612072400048017;0.9159755612439774;0.9317298797409805;0.9387123250305125;0.9773572068943572;0.9578398906232345;0.9673597398071784;700;3005;14280;42604;8066;24586;5036;18812;7;731;587;0.9986119373388855;0.8732443211375065;0.9625953026659162;0.9996280354960413;0.02387537623037501;6214;18018;4164;13573;14;267;0;0.996649114408808;0.939742721733243;0.9807080924855491;0.9989696032972695;0.0
SET;threeGramDice;0.15;18092957593;0.976593887801946;0.9714706279311862;0.974028889415871;0.9801347382967698;0.9789225622345308;0.9762553243637189;0.977588033642615;0.9831081081081081;700;3005;14280;42604;8066;24586;5674;18682;137;93;280;0.9764240234038892;0.9838737645222819;0.995046604527297;0.9927201232796642;0.011388595135442934;6214;18018;4365;13503;84;66;0;0.9811193526635199;0.9851049424509141;0.995135971700199;0.9938176197836167;0.0
SET;fiveGramDiceNormalizedPadding;0.6;24664678311;0.9412145248724968;0.9741092502756517;0.9575206395541046;0.9668709476862954;0.9701261695299068;0.9818728292914307;0.9759818271084701;0.9817850637522769;700;3005;14280;42604;8066;24586;5443;18770;49;324;910;0.9910779315367808;0.9438182764002081;0.9830313187388708;0.9973962484722887;0.03701293419018954;6214;18018;4312;13546;41;119;21;0.9905812083620492;0.9731437598736177;0.9912916209293816;0.9969824096562891;0.0011655011655011655
SET;fourGramJaccard;0.25;21618457285;0.967247000030121;0.9755032014354938;0.9713663289965635;0.9780181437543615;0.982033285929504;0.9832305918351005;0.9826317565223681;0.986898576914389;700;3005;14280;42604;8066;24586;5606;18728;91;161;568;0.9840266807091451;0.9720825385815849;0.9914765207263486;0.9951644614485361;0.023102578703327097;6214;18018;4369;13533;54;62;0;0.9877910920189916;0.9860076732114647;0.9954394998161089;0.9960256127180394;0.0
SET;fiveGramJaccard;0.36;28005296865;0.9538084382159624;0.9761975599917889;0.9649380654145643;0.972853869205006;0.9784028293005198;0.9844175153160322;0.9814055645848935;0.9859442303332577;700;3005;14280;42604;8066;24586;5519;18759;60;248;825;0.9892453844775049;0.9569967053927518;0.9869521755142842;0.9968117328232106;0.033555682095501506;6214;18018;4349;13545;42;82;0;0.9904349806422227;0.9814940194087114;0.9939825346738094;0.9969088098918083;0.0
FINGERPRINT;winnowingThreeGramDiceNormalized;0.82;17953758897;0.8828512772321595;0.9626107248354816;0.9218688127376801;0.9369369369369369;0.9463217035241032;0.9782821054544628;0.9621692099422086;0.970873786407767;700;3005;14280;42604;8066;24586;5096;18804;15;671;355;0.9970651535902955;0.8836483440263568;0.9655455712451861;0.9992029332058027;0.014439111689579436;6214;18018;4200;13566;21;231;0;0.9950248756218906;0.9478672985781991;0.9832572298325722;0.9984544049459042;0.0
PROFILE;manhattanFourGramNormalized;0.38;36276176445;0.9661254859096733;0.9759289571731553;0.9710148495065538;0.9777312025150642;0.980743022759768;0.9841942910558719;0.9824671414317339;0.9867632085077498;700;3005;14280;42604;8066;24586;5598;18733;86;169;692;0.9848698099929627;0.9706953355297382;0.9910591471801926;0.9954301503799352;0.028146099406166112;6214;18018;4361;13540;47;70;0;0.9893375680580763;0.9842022116903634;0.9948567229977957;0.9965408110694046;0.0
