MetricType;Metric;Threshold;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;RuntimeText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;RuntimeCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleConnections;TextBlockVersionCount;PossibleConnectionsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleConnectionsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
FINGERPRINT;winnowingTwoGramJaccard;0.7;0.9045592985085693;0.9661137420052446;0.9348300213128337;0.9481226192635589;5333001950;0.9592212082669893;0.9811766013744962;0.9701367971032447;0.9771867476785508;8261662063;700;3005;14280;42604;8066;24586;5227;18787;31;541;0;0.9941042221376949;0.9062066574202496;0.9720095198675497;0.9983526410883197;0.0;6214;18018;4262;13557;27;172;0;0.9937048262998368;0.9612088407758231;0.9874717750746594;0.9980123674911661;0.0
FINGERPRINT;winnowingThreeGramJaccard;0.3;0.9636499985480305;0.9749861223237002;0.9693014883727268;0.9763986013986015;5191497879;0.980766993246851;0.9824106277851317;0.9815884664901962;0.9861126792367618;8156037775;700;3005;14280;42604;8066;24586;5585;18731;87;183;1093;0.9846614950634697;0.9682732316227461;0.9903246272602305;0.9953767669252843;0.0;6214;18018;4367;13528;56;67;0;0.9873389102419172;0.9848894903022102;0.9950717175432144;0.9958775029446407;0.0
SET;twoGramDiceNormalized;0.9;0.8674414484081328;0.9581648894968642;0.9116753476753545;0.9281808914836438;9138652855;0.9359086388348308;0.9747196855728895;0.9551170473664666;0.9652850342505515;11855519113;700;3005;14280;42604;8066;24586;5008;18803;15;760;8;0.997013736810671;0.8682385575589459;0.9611511526861933;0.9992028908491869;0.0;6214;18018;4157;13562;22;277;0;0.9947355826752812;0.9375281912494362;0.9799841028976082;0.9983804475853946;0.0
SET;twoGramDiceNormalizedPadding;0.7;0.9475073037014607;0.9745680177207365;0.9609424096917841;0.9696701741975418;9284617114;0.9749581016271631;0.9830701685660734;0.9790057330329961;0.9841161788064442;13338746291;700;3005;14280;42604;8066;24586;5483;18760;58;285;8;0.9895325753474102;0.9505894590846047;0.9850354423733263;0.9969178446168562;0.0;6214;18018;4337;13541;43;97;0;0.9901826484018265;0.9781235904375282;0.992887520164247;0.9968345111896348;0.0
PROFILE;cosineTwoGramNormalizedBool;0.4;0.9747955044665382;0.9711843813584649;0.9729882676355083;0.9793377712457856;13454078595;0.9789955268556016;0.9776601594413212;0.9783276153099165;0.9836656528106341;15399766389;700;3005;14280;42604;8066;24586;5664;18683;135;104;8;0.9767201241593378;0.9819694868238558;0.994464257199127;0.9928260176426825;0.0;6214;18018;4366;13507;77;68;0;0.982669367544452;0.9846639603067208;0.9949907918968692;0.994331566548881;0.0
FINGERPRINT;winnowingThreeGramDiceNormalized;0.8;0.8924094276896335;0.9630556255496123;0.9270598252701988;0.9415631848064282;7501393982;0.9495970344797908;0.9782648952898318;0.9638243841607803;0.9722318239428506;10691786885;700;3005;14280;42604;8066;24586;5156;18790;28;612;1292;0.9945987654320988;0.8938973647711512;0.9684568601175136;0.9985120629184823;0.0;6214;18018;4219;13558;26;215;0;0.9938751472320377;0.951511050969779;0.9843897480577942;0.9980859835100118;0.0
EDIT;damerauLevenshteinNormalized;0.8;0.8536249634980759;0.9544059903679258;0.9026099814926521;0.9202614379084967;299409881827;0.929584435083223;0.9740119380785566;0.9515389310075916;0.9623411449224671;285989740415;700;3005;14280;42604;8066;24586;4928;18804;14;840;0;0.9971671388101983;0.8543689320388349;0.9572388515577276;0.9992560314592411;0.0;6214;18018;4127;13568;16;307;0;0.9961380642046826;0.9307622913847542;0.9778738738738739;0.9988221436984688;0.0
PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.5;0.96719844251579;0.9753324351354862;0.9712569238868648;0.97793668788698;7129857336;0.9788014754283876;0.9831464598713939;0.9809715620161047;0.9856318588075574;7561239293;700;3005;14280;42604;8066;24586;5607;18726;92;161;0;0.983856816985436;0.9720873786407767;0.9914756181500503;0.9951110638750132;0.0;6214;18018;4356;13535;49;78;0;0.9888762769580023;0.9824086603518268;0.9942701829133916;0.9963928150765606;0.0
EDIT;damerauLevenshtein;0.4;0.9564162790694246;0.9770071698983136;0.9666568998658698;0.9742145560151368;296078308299;0.9761687315013603;0.9824660184363068;0.979312313289362;0.9843643779741672;356243022100;700;3005;14280;42604;8066;24586;5535;18758;60;233;0;0.9892761394101877;0.9596047156726768;0.9877310304881259;0.9968115633967478;0.0;6214;18018;4344;13536;48;90;0;0.9890710382513661;0.979702300405954;0.9933949801849405;0.9964664310954063;0.0
FINGERPRINT;winnowingFiveGramDice;0.7;0.9195641320192594;0.9692133688793494;0.9440624186434925;0.9558572327609458;4495641533;0.9619369320907667;0.980816335215954;0.9713307657240884;0.9781539517328148;7943099936;700;3005;14280;42604;8066;24586;5316;18779;39;452;3389;0.9927170868347339;0.9216366158113731;0.9764962820446155;0.9979275162078861;0.0;6214;18018;4276;13551;33;158;0;0.9923416105825017;0.9643662607126748;0.9884747246334524;0.9975706713780919;0.0
FINGERPRINT;winnowingThreeGramOverlapNormalized;0.6;0.962740619724173;0.9664680791242615;0.9646025489494223;0.9728789986091794;7494160956;0.9669045689348768;0.9719433837567926;0.9694207025334599;0.9769074032148517;10576742646;700;3005;14280;42604;8066;24586;5596;18678;140;172;1292;0.9755927475592747;0.9701803051317615;0.9908753315649867;0.9925603145924116;0.0;6214;18018;4315;13499;85;119;0;0.9806818181818182;0.9731619305367614;0.9912615655749742;0.9937426383981154;0.0
PROFILE;manhattanTwoGramNormalized;0.6;0.9493080959903679;0.9748001697726307;0.9619696945007902;0.9704999116763823;13177920615;0.9738351335886684;0.9820900835779802;0.977953898574605;0.983320095313741;15084569936;700;3005;14280;42604;8066;24586;5494;18758;60;274;8;0.9891969751530428;0.95249653259362;0.985603194619588;0.9968115633967478;0.0;6214;18018;4333;13538;46;101;0;0.9894953185658826;0.9772214704555706;0.9925947650120976;0.9966136631330977;0.0
FINGERPRINT;winnowingTwoGramDice;0.9;0.8596929246631246;0.9561344825802958;0.9066322571476915;0.9237785016286645;5019425662;0.93221717901025;0.9746283279887034;0.9531869021871343;0.9636786961583236;7930065367;700;3005;14280;42604;8066;24586;4963;18804;14;805;0;0.9971870604781997;0.8604368932038835;0.9589474221020959;0.9992560314592411;0.0;6214;18018;4139;13567;17;295;0;0.9959095283926853;0.933468651330627;0.9787187995960179;0.9987485276796231;0.0
SET;fiveGramDiceNormalizedPadding;0.7;0.9151488364564928;0.9687463004189838;0.9415662746986878;0.9537462807681903;10877824894;0.9601280101878991;0.9808472603661076;0.9704323409664185;0.9774367197342801;13676174216;700;3005;14280;42604;8066;24586;5289;18784;34;479;3649;0.9936126244598911;0.9169556171983356;0.9751336759590926;0.9981932192581571;0.0;6214;18018;4267;13554;30;167;42;0.9930183849197114;0.9623364907532702;0.9878288754463961;0.997791519434629;0.0
EDIT;levenshteinNormalized;0.7;0.8901277165649379;0.9634575955199627;0.9260671193317092;0.9406275729576434;75710395652;0.9485430005211894;0.9781360570695212;0.9632258875729458;0.9717514124293786;124907898115;700;3005;14280;42604;8066;24586;5141;18796;22;627;0;0.9957389114855704;0.8912968099861304;0.9677186840343922;0.9988309065788076;0.0;6214;18018;4214;13559;25;220;0;0.9941023826374145;0.950383400992332;0.9840336744321069;0.9981595995288575;0.0
SET;fourGramOverlapNormalizedPadding;0.3;0.9783299999454589;0.9720452036142797;0.9751825388094999;0.981018119068162;10911433296;0.9745819526594208;0.9734000024409419;0.9739907982612456;0.980396575033799;13558148056;700;3005;14280;42604;8066;24586;5685;18681;137;83;2729;0.9764685675025764;0.9856102635228848;0.9955766361117032;0.9927197364225742;0.0;6214;18018;4351;13493;91;83;0;0.9795137325529041;0.9812810103743798;0.9938862698880377;0.9933009422850412;0.0
SET;fourGramJaccardNormalized;0.4;0.948961355352365;0.9746927158105365;0.9617409841779877;0.9703180212014134;11773835417;0.9739823656263598;0.9825433033371807;0.9782534696665712;0.9835432981500398;14196116272;700;3005;14280;42604;8066;24586;5492;18758;60;276;2729;0.989193083573487;0.9521497919556172;0.9854996322370495;0.9968115633967478;0.0;6214;18018;4333;13540;44;101;0;0.9899474525931004;0.9772214704555706;0.9925958507440803;0.9967608951707891;0.0
PROFILE;cosineThreeGramNormalizedTermFrequency;0.6;0.9563797402935101;0.9742720037967929;0.9652844171364284;0.9732103645147123;17569039670;0.9782031833997173;0.9825455119726394;0.9803719435228352;0.9851793189274803;18348988838;700;3005;14280;42604;8066;24586;5540;18741;77;228;1292;0.9862916147409649;0.9604715672676838;0.987980389055828;0.9959081730258263;0.0;6214;18018;4354;13533;51;80;0;0.988422247446084;0.981957600360848;0.9941232645265555;0.9962455830388692;0.0
