MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
EDIT;damerauLevenshtein;0.9;192342798800;0.8103652616642476;0.33864154763213206;0.5238543178759706;0.8985330073349633;0.8806281215767096;0.49757662227304444;0.6619516343455879;0.9397775220560031;97;799;3832;12700;2164;7393;1470;170;1;331;0;0.9993201903467029;0.8162132148806219;0.3393213572854291;0.9941520467836257;0.0;1668;5307;1225;155;1;156;0;0.9991843393148451;0.8870383779869659;0.4983922829581994;0.9935897435897436;0.0
SET;fourGramDiceNormalized;0.5;6352915762;0.9079458780209824;0.6901035818029699;0.791565981144669;0.9774011299435028;0.9485044282292652;0.888474381717625;0.917998848271296;0.9912727272727273;97;799;3832;12700;2164;7393;1730;162;9;71;10;0.9948246118458884;0.960577456968351;0.6952789699570815;0.9473684210526315;0.0013526308670363857;1668;5307;1363;150;6;18;0;0.9956172388604821;0.9869659666908037;0.8928571428571429;0.9615384615384616;0.0
SET;fiveGramJaccardNormalizedPadding;0.9;7064230692;0.7851193781232648;0.30645161290322576;0.49051105976058496;0.8796267496111975;0.8616944243301954;0.4495677233429394;0.6224066199546973;0.9257098405289771;97;799;3832;12700;2164;7393;1414;171;0;387;10;1.0;0.7851193781232648;0.3064516129032258;1.0;0.0013526308670363857;1668;5307;1190;156;0;191;0;1.0;0.8616944243301955;0.4495677233429395;1.0;0.0
SET;threeGramDiceNormalized;0.8;5992416223;0.8942075714921209;0.4850977629029416;0.6586183208062923;0.9471224072451067;0.9280157448151654;0.7006756946196764;0.8063734101620431;0.9748334566987416;97;799;3832;12700;2164;7393;1621;170;1;180;5;0.9993834771886559;0.9000555247084953;0.4857142857142857;0.9941520467836257;6.763154335181928E-4;1668;5307;1317;152;4;64;0;0.9969719909159728;0.9536567704561911;0.7037037037037037;0.9743589743589743;0.0
FINGERPRINT;winnowingFourGramJaccard;0.8;3791838907;0.8478622987229318;0.38426966292134823;0.5707957250487958;0.9176682692307692;0.9190061085426762;0.5999933329696772;0.7425614709126869;0.9609022556390977;97;799;3832;12700;2164;7393;1527;171;0;274;10;1.0;0.8478622987229317;0.3842696629213483;1.0;0.0013526308670363857;1668;5307;1278;155;1;103;0;0.9992181391712275;0.9254163649529327;0.6007751937984496;0.9935897435897436;0.0
EQUAL;equal;0.2;75012078;0.6718489727928927;0.22440944881889768;0.3882901720028407;0.8037196944536699;0.7748008689355541;0.33404710920770886;0.508743540970834;0.8731130150958792;97;799;3832;12700;2164;7393;1210;171;0;591;0;1.0;0.6718489727928928;0.22440944881889763;1.0;0.0;1668;5307;1070;156;0;311;0;1.0;0.774800868935554;0.3340471092077088;1.0;0.0
FINGERPRINT;winnowingFourGramLongestCommonSubsequenceNormalized;0.9;8058530835;0.7973348139922265;0.31902985074626855;0.5043546437802907;0.8872412727834414;0.8826937002172339;0.49056603773584895;0.6580422106901379;0.9376923076923077;97;799;3832;12700;2164;7393;1436;171;0;365;10;1.0;0.7973348139922265;0.31902985074626866;1.0;0.0013526308670363857;1668;5307;1219;156;0;162;0;1.0;0.8826937002172339;0.49056603773584906;1.0;0.0
PROFILE;cosineFourGramNormalizedBool;0.7;10366046708;0.9102740193070127;0.5619662745664045;0.7152225524020822;0.961726618705036;0.9354703949200691;0.8020104582030037;0.8661737932223472;0.9846266471449487;97;799;3832;12700;2164;7393;1671;168;3;130;10;0.9982078853046595;0.9278178789561354;0.5637583892617449;0.9824561403508771;0.0013526308670363857;1668;5307;1345;150;6;36;0;0.9955588452997779;0.9739319333816076;0.8064516129032258;0.9615384615384616;0.0
FINGERPRINT;winnowingFourGramJaccardNormalized;0.8;4542312248;0.8395335924486398;0.37173913043478257;0.5586479102508543;0.912767884092967;0.9009032845021259;0.5469057320461448;0.701932454238591;0.9510436432637572;97;799;3832;12700;2164;7393;1512;171;0;289;10;1.0;0.8395335924486397;0.3717391304347826;1.0;0.0013526308670363857;1668;5307;1253;155;1;128;0;0.9992025518341308;0.9073135409123824;0.5477031802120141;0.9935897435897436;0.0
SET;fourGramJaccardNormalizedPadding;0.8;6828071842;0.8397933571667462;0.3788081177352831;0.5640217557106547;0.9160902255639098;0.8988377058616015;0.5563849716695974;0.7071773409204888;0.9530658591975777;97;799;3832;12700;2164;7393;1523;170;1;278;10;0.9993438320209974;0.8456413103831205;0.3794642857142857;0.9941520467836257;0.0013526308670363857;1668;5307;1259;154;2;122;0;0.9984139571768438;0.9116582186821144;0.5579710144927537;0.9871794871794872;0.0
