MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;cosineTwoShingleNormalizedTermFrequency;0.6;3288471477;0.8820622986036519;0.7584975369458129;0.8179499256822707;0.9601677148846961;0.8108843537414967;0.7359422492401215;0.7725050518709502;0.9503916449086162;17;114;611;1942;340;1134;229;54;3;16;10;0.9870689655172413;0.9346938775510204;0.7714285714285715;0.9473684210526315;0.008818342151675485;271;808;182;43;6;13;0;0.9680851063829787;0.9333333333333333;0.7678571428571429;0.8775510204081632;0.0
FINGERPRINT;winnowingThreeGramJaccard;0.7;1361437660;0.8734693877551021;0.6477272727272727;0.752176803910738;0.9324618736383442;0.882051282051282;0.6805555555555556;0.7747805497590271;0.9373297002724795;17;114;611;1942;340;1134;214;57;0;31;0;1.0;0.8734693877551021;0.6477272727272727;1.0;0.0;271;808;172;49;0;23;0;1.0;0.882051282051282;0.6805555555555556;1.0;0.0
EDIT;damerauLevenshteinNormalized;0.0;15833743147;0.4638739706408881;0.6181297709923665;0.5354757802567468;0.9230769230769232;0.49973835688121393;0.6234495364930148;0.5581770749192174;0.9203980099502488;17;114;611;1942;340;1134;234;29;28;11;0;0.8931297709923665;0.9551020408163265;0.725;0.5087719298245614;0.0;271;808;185;27;22;10;0;0.893719806763285;0.9487179487179487;0.7297297297297297;0.5510204081632653;0.0
FINGERPRINT;winnowingTwoGramDiceNormalized;0.2;1902839146;0.589545291800931;0.7693673488459023;0.6734811787848759;0.9446640316205535;0.6120355834641549;0.7166666666666668;0.6622880804322575;0.9373433583959899;17;114;611;1942;340;1134;239;35;22;6;0;0.9157088122605364;0.9755102040816327;0.8536585365853658;0.6140350877192983;0.0;271;808;187;32;17;8;0;0.9166666666666666;0.958974358974359;0.8;0.6530612244897959;0.0
SET;tokenJaccard;1.0;458715415;0.5959183673469388;0.3653846153846154;0.46662554950804946;0.7468030690537085;0.7589743589743589;0.5104166666666665;0.6224091599528099;0.8629737609329445;17;114;611;1942;340;1134;146;57;0;99;0;1.0;0.5959183673469388;0.36538461538461536;1.0;0.0;271;808;148;49;0;47;0;1.0;0.7589743589743589;0.5104166666666666;1.0;0.0
SET;threeShingleDiceNormalized;1.0;3261076379;0.6979591836734693;0.43511450381679384;0.5510827196423929;0.8221153846153847;0.764102564102564;0.5157894736842106;0.6277866352346291;0.8662790697674418;17;114;611;1942;340;1134;171;57;0;74;10;1.0;0.6979591836734694;0.4351145038167939;1.0;0.008818342151675485;271;808;149;49;0;46;208;1.0;0.764102564102564;0.5157894736842106;1.0;0.25742574257425743
PROFILE;manhattanFourGramNormalized;0.3;2857643760;0.7580379520229144;0.7480214810627475;0.7530130620208073;0.9529652351738241;0.770277341705913;0.8363636363636364;0.8026406160403751;0.9620253164556962;17;114;611;1942;340;1134;233;46;11;12;0;0.9549180327868853;0.9510204081632653;0.7931034482758621;0.8070175438596491;0.0;271;808;190;39;10;5;0;0.95;0.9743589743589743;0.8863636363636364;0.7959183673469388;0.0
SET;tokenOverlapNormalized;0.9;922644214;0.6862155388471178;0.6220707562479715;0.6533564258501907;0.9294605809128632;0.8055468341182626;0.6490429209882791;0.7230729356081431;0.9301075268817204;17;114;611;1942;340;1134;224;44;13;21;0;0.9451476793248945;0.9142857142857143;0.676923076923077;0.7719298245614035;0.0;271;808;173;45;4;22;0;0.9774011299435028;0.8871794871794871;0.6716417910447762;0.9183673469387755;0.0
FINGERPRINT;winnowingFourGramJaccard;0.7;1322984315;0.8693877551020408;0.6404494382022472;0.7461895867237862;0.9301310043668122;0.8361067503924646;0.6504111373442969;0.737436873545124;0.9293478260869567;17;114;611;1942;340;1134;213;57;0;32;0;1.0;0.8693877551020408;0.6404494382022472;1.0;0.0;271;808;171;47;2;24;0;0.9884393063583815;0.8769230769230769;0.6619718309859155;0.9591836734693877;0.0
FINGERPRINT;winnowingTwoGramOverlapNormalized;1.0;1893454926;0.6531328320802006;0.48114153083293765;0.5605794597238822;0.88646288209607;0.7390894819466247;0.5798029556650248;0.6546191764175451;0.9105691056910569;17;114;611;1942;340;1134;203;47;10;42;0;0.9530516431924883;0.8285714285714286;0.5280898876404494;0.8245614035087719;0.0;271;808;168;43;6;27;0;0.9655172413793104;0.8615384615384616;0.6142857142857143;0.8775510204081632;0.0
EDIT;longestCommonSubsequence;0.1;10237635647;0.5340494092373791;0.6569767441860463;0.5923327123460723;0.9304174950298211;0.61716378859236;0.737585991244528;0.6746935339612528;0.9400000000000001;17;114;611;1942;340;1134;234;33;24;11;0;0.9069767441860465;0.9551020408163265;0.75;0.5789473684210527;0.0;271;808;188;32;17;7;0;0.9170731707317074;0.9641025641025641;0.8205128205128205;0.6530612244897959;0.0
EDIT;damerauLevenshtein;0.9;25655313132;0.7510204081632654;0.48305084745762716;0.6023130785739574;0.8578088578088577;0.8102564102564103;0.5697674418604652;0.6794539882308723;0.8951841359773371;17;114;611;1942;340;1134;184;57;0;61;0;1.0;0.7510204081632653;0.4830508474576271;1.0;0.0;271;808;158;49;0;37;0;1.0;0.8102564102564103;0.5697674418604651;1.0;0.0
SET;fourGramDiceNormalized;0.3;2149957877;0.7621195846759756;0.7621195846759756;0.7621195846759756;0.9551020408163265;0.770277341705913;0.8363636363636364;0.8026406160403751;0.9620253164556962;17;114;611;1942;340;1134;234;46;11;11;0;0.9551020408163265;0.9551020408163265;0.8070175438596491;0.8070175438596491;0.0;271;808;190;39;10;5;0;0.95;0.9743589743589743;0.8863636363636364;0.7959183673469388;0.0
FINGERPRINT;winnowingTwoGramOverlapNormalized;0.7;1898922148;0.639312567132116;0.7085714285714286;0.6730517208925855;0.9416498993963782;0.6936682365253795;0.7531818181818184;0.7228127721624464;0.9468354430379747;17;114;611;1942;340;1134;234;39;18;11;0;0.9285714285714286;0.9551020408163265;0.78;0.6842105263157895;0.0;271;808;187;36;13;8;0;0.935;0.958974358974359;0.8181818181818182;0.7346938775510204;0.0
PROFILE;cosineFourGramNormalizedBool;0.8;2852336614;0.8600071607590403;0.6465331610680449;0.745669597198851;0.9327548806941431;0.8362114076399791;0.6801157643854272;0.7541356381281012;0.9383378016085792;17;114;611;1942;340;1134;215;56;1;30;0;0.9953703703703703;0.8775510204081632;0.6511627906976745;0.9824561403508771;0.0;271;808;175;46;3;20;0;0.9831460674157303;0.8974358974358975;0.696969696969697;0.9387755102040817;0.0
FINGERPRINT;winnowingTwoGramOverlap;1.0;1347803873;0.6559971356963836;0.5039885569675964;0.5749913475822892;0.896551724137931;0.7901622187336472;0.6198686371100166;0.6998548261048521;0.9214092140921409;17;114;611;1942;340;1134;208;46;11;37;0;0.9497716894977168;0.8489795918367347;0.5542168674698795;0.8070175438596491;0.0;271;808;170;45;4;25;0;0.9770114942528736;0.8717948717948718;0.6428571428571429;0.9183673469387755;0.0
SET;threeShingleDiceNormalized;0.6;3258275757;0.8657357679914071;0.7165718349928876;0.7876305402208446;0.9513742071881606;0.8056514913657771;0.6822048918823111;0.7413631961205066;0.9389920424403183;17;114;611;1942;340;1134;225;54;3;20;10;0.9868421052631579;0.9183673469387755;0.7297297297297297;0.9473684210526315;0.008818342151675485;271;808;177;44;5;18;208;0.9725274725274725;0.9076923076923077;0.7096774193548387;0.8979591836734694;0.25742574257425743
SET;twoGramDiceNormalized;0.4;1969457398;0.700107411385607;0.7637684555894071;0.7312454829540369;0.9516129032258065;0.7549973835688122;0.8503064592173502;0.8012360151295997;0.9622166246851385;17;114;611;1942;340;1134;236;42;15;9;0;0.9402390438247012;0.963265306122449;0.8235294117647058;0.7368421052631579;0.0;271;808;191;38;11;4;0;0.9455445544554455;0.9794871794871794;0.9047619047619048;0.7755102040816326;0.0
FINGERPRINT;winnowingThreeGramJaccard;0.2;1367753289;0.8053705692803437;0.8053705692803437;0.8053705692803437;0.963265306122449;0.7754055468341181;0.8572255004049518;0.8152897692855299;0.9646464646464646;17;114;611;1942;340;1134;236;48;9;9;0;0.963265306122449;0.963265306122449;0.8421052631578947;0.8421052631578947;0.0;271;808;191;39;10;4;0;0.9502487562189055;0.9794871794871794;0.9069767441860465;0.7959183673469388;0.0
SET;twoShingleDice;0.3;1045008309;0.7539563193698533;0.7343935272372184;0.7441106374490404;0.9508196721311476;0.8209314495028781;0.6809027777777779;0.7476459752661331;0.9386666666666666;17;114;611;1942;340;1134;232;46;11;13;10;0.9547325102880658;0.9469387755102041;0.7796610169491526;0.8070175438596491;0.008818342151675485;271;808;176;45;4;19;94;0.9777777777777777;0.9025641025641026;0.703125;0.9183673469387755;0.11633663366336634
FINGERPRINT;winnowingFourGramOptimalAlignmentNormalized;0.3;8824927031;0.8645184389545291;0.7509485600547365;0.8057349917148146;0.9581589958158996;0.8058608058608057;0.7712339743589745;0.7883572997595413;0.9560723514211885;17;114;611;1942;340;1134;229;53;4;16;0;0.9828326180257511;0.9346938775510204;0.7681159420289855;0.9298245614035088;0.0;271;808;185;42;7;10;0;0.9635416666666666;0.9487179487179487;0.8076923076923077;0.8571428571428571;0.0
SET;fourGramJaccardNormalized;0.4;2258296024;0.8861439312567132;0.7697331591714871;0.8258900457608573;0.9623430962343096;0.826268969126112;0.779907142151536;0.8027534306121911;0.9585492227979273;17;114;611;1942;340;1134;230;54;3;15;0;0.9871244635193133;0.9387755102040817;0.782608695652174;0.9473684210526315;0.0;271;808;185;43;6;10;0;0.9685863874345549;0.9487179487179487;0.8113207547169812;0.8775510204081632;0.0
SET;fourGramDice;0.4;1637374531;0.814751163623344;0.7836088154269971;0.799028281223297;0.9609856262833676;0.8366300366300365;0.8776899429073342;0.8569140966773611;0.9720101781170484;17;114;611;1942;340;1134;234;49;8;11;0;0.9669421487603306;0.9551020408163265;0.8166666666666667;0.8596491228070176;0.0;271;808;191;42;7;4;0;0.9646464646464646;0.9794871794871794;0.9130434782608695;0.8571428571428571;0.0
FINGERPRINT;winnowingThreeGramOptimalAlignment;0.0;4103915358;0.5409953455066236;0.7705252422233555;0.6456396592823269;0.9411764705882353;0.6121402407116694;0.7995898838004101;0.6996149969377433;0.9455445544554455;17;114;611;1942;340;1134;240;32;25;5;0;0.9056603773584906;0.9795918367346939;0.8648648648648649;0.5614035087719298;0.0;271;808;191;31;18;4;0;0.9138755980861244;0.9794871794871794;0.8857142857142857;0.6326530612244898;0.0
FINGERPRINT;winnowingFiveGramLongestCommonSubsequence;0.2;5754376817;0.8012889366272824;0.7907009609949123;0.7959773440405096;0.9611451942740287;0.8417582417582419;0.8981574539363484;0.869500683868345;0.9746192893401016;17;114;611;1942;340;1134;235;48;9;10;0;0.9631147540983607;0.9591836734693877;0.8275862068965517;0.8421052631578947;0.0;271;808;192;42;7;3;0;0.964824120603015;0.9846153846153847;0.9333333333333333;0.8571428571428571;0.0
FINGERPRINT;winnowingFiveGramLongestCommonSubsequenceNormalized;0.4;4917415278;0.8698174006444681;0.7266255907160375;0.7950041399630413;0.9535864978902954;0.8211407639979069;0.7647173489278751;0.7924270238584051;0.9558441558441558;17;114;611;1942;340;1134;226;54;3;19;0;0.9868995633187773;0.9224489795918367;0.7397260273972602;0.9473684210526315;0.0;271;808;184;43;6;11;0;0.968421052631579;0.9435897435897436;0.7962962962962963;0.8775510204081632;0.0
