MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;fiveGramOverlapNormalized;0.1;210831293;0.7464285714285714;0.8322548531607765;0.7881743468987644;0.9664902998236331;0.855401429171921;0.8918918918918921;0.8734561231058906;0.9782608695652174;97;244;875;1447;529;914;274;43;13;6;46;0.9547038327526133;0.9785714285714285;0.8775510204081632;0.7678571428571429;0.05032822757111598;346;533;180;34;5;3;0;0.972972972972973;0.9836065573770492;0.918918918918919;0.8717948717948718;0.0
SET;twoGramOverlapNormalizedPadding;0.0;178336634;0.7785714285714285;0.9151424287856074;0.8440993710019793;0.9754385964912282;0.8810424548129467;0.8993135011441646;0.8901310997232266;0.9809264305177111;97;244;875;1447;529;914;278;44;12;2;1;0.9586206896551724;0.9928571428571429;0.9565217391304348;0.7857142857142857;0.0010940919037199124;346;533;180;35;4;3;0;0.9782608695652174;0.9836065573770492;0.9210526315789473;0.8974358974358975;0.0
SET;twoGramOverlapNormalizedPadding;0.1;181720414;0.7785714285714285;0.9151424287856074;0.8440993710019793;0.9754385964912282;0.8810424548129467;0.8993135011441646;0.8901310997232266;0.9809264305177111;97;244;875;1447;529;914;278;44;12;2;1;0.9586206896551724;0.9928571428571429;0.9565217391304348;0.7857142857142857;0.0010940919037199124;346;533;180;35;4;3;0;0.9782608695652174;0.9836065573770492;0.9210526315789473;0.8974358974358975;0.0
SET;twoGramDiceNormalized;0.8;173691235;0.8285714285714285;0.6042790697674418;0.7075933663432856;0.9320754716981132;0.8902900378310215;0.8404761904761904;0.8650246120285366;0.9752066115702478;97;244;875;1447;529;914;247;53;3;33;1;0.988;0.8821428571428571;0.6162790697674418;0.9464285714285714;0.0010940919037199124;346;533;177;36;3;6;0;0.9833333333333333;0.9672131147540983;0.8571428571428571;0.9230769230769231;0.0
PROFILE;cosineTokenNormalizedBool;0.0;126035536;0.7607142857142857;0.9108820160366553;0.8324187420999798;0.9737302977232924;0.8242959226565785;0.8594594594594596;0.8416940822656764;0.9728260869565217;97;244;875;1447;529;914;278;43;13;2;0;0.9553264604810997;0.9928571428571429;0.9555555555555556;0.7678571428571429;0.0;346;533;179;33;6;4;0;0.9675675675675676;0.9781420765027322;0.8918918918918919;0.8461538461538461;0.0
FINGERPRINT;winnowingTwoGramOverlapNormalized;0.0;161213912;0.7285714285714286;0.8263888888888888;0.7759402897989853;0.9647887323943661;0.849936948297604;0.8675629290617848;0.8587047154772729;0.9754768392370572;97;244;875;1447;529;914;274;42;14;6;1;0.9513888888888888;0.9785714285714285;0.875;0.75;0.0010940919037199124;346;533;179;34;5;4;0;0.9728260869565217;0.9781420765027322;0.8947368421052632;0.8717948717948718;0.0
SET;fourGramOverlap;0.7;171392475;0.717857142857143;0.7077909828334277;0.7128062939374578;0.9516994633273702;0.9268600252206809;0.891389300633338;0.9089516541964489;0.9835164835164836;97;244;875;1447;529;914;266;43;13;14;41;0.953405017921147;0.95;0.7543859649122807;0.7678571428571429;0.044857768052516414;346;533;179;37;2;4;0;0.988950276243094;0.9781420765027322;0.9024390243902439;0.9487179487179487;0.0
PROFILE;cosineFourGramNormalizedNormalizedTermFrequency;0.7;335729057;0.8035714285714286;0.6100217864923747;0.7001400420140049;0.9345794392523364;0.8957545187053384;0.8614741948524458;0.8784471542370216;0.978021978021978;97;244;875;1447;529;914;250;51;5;30;42;0.9803921568627451;0.8928571428571429;0.6296296296296297;0.9107142857142857;0.045951859956236324;346;533;178;36;3;5;0;0.9834254143646409;0.9726775956284153;0.8780487804878049;0.9230769230769231;0.0
SET;threeShingleJaccard;0.5;131397787;0.782142857142857;0.5056277056277056;0.628866518690764;0.8962818003913895;0.8448928121059267;0.6486660929432013;0.740306233517283;0.9398280802292264;97;244;875;1447;529;914;229;54;2;51;161;0.9913419913419913;0.8178571428571428;0.5142857142857142;0.9642857142857143;0.1761487964989059;346;533;164;37;2;19;18;0.9879518072289156;0.8961748633879781;0.6607142857142857;0.9487179487179487;0.03377110694183865
SET;fiveGramJaccard;0.7;204053396;0.7928571428571427;0.5048732943469787;0.6326866504525117;0.8937007874015748;0.8940731399747794;0.7758054711246201;0.8328426223350976;0.9664804469273743;97;244;875;1447;529;914;227;55;1;53;41;0.9956140350877193;0.8107142857142857;0.5092592592592593;0.9821428571428571;0.044857768052516414;346;533;173;37;2;10;0;0.9885714285714285;0.9453551912568307;0.7872340425531915;0.9487179487179487;0.0
