MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;cosineThreeShingleNormalizedNormalizedTermFrequency;0.8;NONE;none;1.0;PROFILE;cosineThreeShingleNormalizedNormalizedTermFrequency;0.8;NONE;none;1.0;162872700;0.8102024291497976;0.5552719200887903;0.670732926353411;0.9150326797385621;0.875;0.7781780751415337;0.8251701738119489;0.949640287769784;98;253;729;1016;450;653;210;48;2;37;81;0.9905660377358491;0.8502024291497976;0.5647058823529412;0.96;0.12404287901990811;279;363;132;46;2;12;0;0.9850746268656716;0.9166666666666666;0.7931034482758621;0.9583333333333334;0.0
PROFILE;cosineTwoGramNormalizedTermFrequency;0.8;NONE;none;1.0;PROFILE;cosineTwoGramNormalizedTermFrequency;0.8;NONE;none;1.0;146088063;0.8954655870445345;0.7977925263309769;0.8452193519617913;0.9711934156378601;0.9375;0.9247894962180676;0.9311230599144447;0.9825783972125435;98;253;729;1016;450;653;236;47;3;11;0;0.9874476987447699;0.9554655870445344;0.8103448275862069;0.94;0.0;279;363;141;46;2;3;0;0.986013986013986;0.9791666666666666;0.9387755102040817;0.9583333333333334;0.0
FINGERPRINT;winnowingFourGramOptimalAlignmentNormalized;0.9;NONE;none;1.0;FINGERPRINT;winnowingFourGramOptimalAlignmentNormalized;0.9;NONE;none;1.0;149079425;0.7044534412955465;0.4065040650406504;0.535129131629474;0.8266033254156769;0.8611111111111112;0.7265625;0.7909810627737346;0.9338235294117647;98;253;729;1016;450;653;174;50;0;73;58;1.0;0.7044534412955465;0.4065040650406504;1.0;0.0888208269525268;279;363;127;47;1;17;0;0.9921875;0.8819444444444444;0.734375;0.9791666666666666;0.0
SET;twoGramDice;0.0;NONE;none;1.0;SET;twoGramDice;0.0;NONE;none;1.0;79270602;0.8119028340080972;0.9180553012268815;0.8633491187476029;0.9780439121756487;0.9375;0.9795918367346939;0.9583148474999098;0.9896907216494846;98;253;729;1016;450;653;245;41;9;2;0;0.9645669291338582;0.9919028340080972;0.9534883720930233;0.82;0.0;279;363;144;45;3;0;0;0.9795918367346939;1.0;1.0;0.9375;0.0
SET;fourGramDiceNormalizedPadding;0.4;NONE;none;1.0;SET;fourGramDiceNormalizedPadding;0.4;NONE;none;1.0;114518290;0.8957085020242914;0.8682888540031397;0.881892118540324;0.9796747967479675;0.9305555555555556;0.957712924359738;0.9440365895399985;0.9862068965517242;98;253;729;1016;450;653;241;46;4;6;10;0.9836734693877551;0.9757085020242915;0.8846153846153846;0.92;0.015313935681470138;279;363;143;45;3;1;0;0.9794520547945206;0.9930555555555556;0.9782608695652174;0.9375;0.0
EDIT;optimalAlignmentNormalized;0.8;NONE;none;1.0;EDIT;optimalAlignmentNormalized;0.8;NONE;none;1.0;1528085923;0.8218623481781377;0.5319148936170213;0.6611813847190567;0.9022222222222221;0.9166666666666665;0.8319327731092439;0.8732726046411892;0.9642857142857143;98;253;729;1016;450;653;203;50;0;44;0;1.0;0.8218623481781376;0.5319148936170213;1.0;0.0;279;363;135;47;1;9;0;0.9926470588235294;0.9375;0.8392857142857143;0.9791666666666666;0.0
SET;twoGramJaccardNormalized;0.4;NONE;none;1.0;SET;twoGramJaccardNormalized;0.4;NONE;none;1.0;108259031;0.9238056680161941;0.9093735054997607;0.9165611811136423;0.9858012170385396;0.9305555555555556;0.957712924359738;0.9440365895399985;0.9862068965517242;98;253;729;1016;450;653;243;47;3;4;0;0.9878048780487805;0.9838056680161943;0.9215686274509803;0.94;0.0;279;363;143;45;3;1;0;0.9794520547945206;0.9930555555555556;0.9782608695652174;0.9375;0.0
SET;fiveGramDiceNormalizedPadding;0.9;NONE;none;1.0;SET;fiveGramDiceNormalizedPadding;0.9;NONE;none;1.0;113197306;0.7611336032388665;0.45871559633027514;0.5908839604327805;0.8643678160919539;0.8819444444444444;0.7628582154924288;0.820242991467986;0.9454545454545454;98;253;729;1016;450;653;188;50;0;59;10;1.0;0.7611336032388664;0.45871559633027525;1.0;0.015313935681470138;279;363;130;47;1;14;0;0.9923664122137404;0.9027777777777778;0.7704918032786885;0.9791666666666666;0.0
SET;tokenJaccardNormalized;0.2;NONE;none;1.0;SET;tokenJaccardNormalized;0.2;NONE;none;1.0;70020509;0.8678542510121456;0.9121702127659574;0.8897363636468893;0.9818913480885312;0.9166666666666665;0.9166666666666665;0.9166666666666666;0.9791666666666666;98;253;729;1016;450;653;244;44;6;3;0;0.976;0.9878542510121457;0.9361702127659575;0.88;0.0;279;363;141;45;3;3;0;0.9791666666666666;0.9791666666666666;0.9375;0.9375;0.0
FINGERPRINT;winnowingFourGramOverlapNormalized;0.3;NONE;none;1.0;FINGERPRINT;winnowingFourGramOverlapNormalized;0.3;NONE;none;1.0;81267906;0.81165991902834;0.8248847926267282;0.818245637929784;0.9696969696969697;0.9305555555555556;0.957712924359738;0.9440365895399985;0.9862068965517242;98;253;729;1016;450;653;240;42;8;7;58;0.967741935483871;0.97165991902834;0.8571428571428571;0.84;0.0888208269525268;279;363;143;45;3;1;0;0.9794520547945206;0.9930555555555556;0.9782608695652174;0.9375;0.0
