MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;cosineFourGramNormalizedTermFrequency;0.6;NONE;none;1.0;PROFILE;cosineFourGramNormalizedTermFrequency;0.6;NONE;none;1.0;2848327051;0.8322635857937528;0.6706125732674404;0.7470785935267693;0.940677966101695;0.7825719120135364;0.7589743589743589;0.7706828240410009;0.9540816326530612;17;114;613;1950;341;1138;222;53;4;24;0;0.9823008849557522;0.9024390243902439;0.6883116883116883;0.9298245614035088;0.0;272;812;187;40;8;10;0;0.958974358974359;0.949238578680203;0.8;0.8333333333333334;0.0
PROFILE;manhattanTwoGramNormalized;0.7;NONE;none;1.0;PROFILE;manhattanTwoGramNormalized;0.7;NONE;none;1.0;2318924523;0.8363286264441592;0.6797472756781822;0.753984154606112;0.9429175475687103;0.8456006768189508;0.7372303153236217;0.7895583915133212;0.9531250000000001;17;114;613;1950;341;1138;223;53;4;23;0;0.9823788546255506;0.9065040650406504;0.6973684210526315;0.9298245614035088;0.0;272;812;183;44;4;14;0;0.9786096256684492;0.9289340101522843;0.7586206896551724;0.9166666666666666;0.0
SET;twoShingleJaccardNormalized;0.3;NONE;none;1.0;SET;twoShingleJaccardNormalized;0.3;NONE;none;1.0;2979895966;0.8337612323491657;0.7474108170310703;0.7894062096784658;0.9565217391304348;0.7932529610829104;0.7371265723270439;0.7646749872928522;0.9511568123393316;17;114;613;1950;341;1138;231;51;6;15;14;0.9746835443037974;0.9390243902439024;0.7727272727272727;0.8947368421052632;0.012302284710017574;272;812;185;41;7;12;0;0.9635416666666666;0.9390862944162437;0.7735849056603774;0.8541666666666666;0.0
SET;twoGramOverlapNormalizedPadding;0.5;NONE;none;1.0;SET;twoGramOverlapNormalizedPadding;0.5;NONE;none;1.0;2050811628;0.48566538296961914;0.6473384030418252;0.5607047827727615;0.9273084479371316;0.6362098138747885;0.7648105771675566;0.697552861759767;0.9455445544554455;17;114;613;1950;341;1138;236;30;27;10;0;0.8973384030418251;0.959349593495935;0.75;0.5263157894736842;0.0;272;812;191;32;16;6;0;0.9227053140096618;0.9695431472081218;0.8421052631578947;0.6666666666666666;0.0
SET;fiveGramDiceNormalized;0.7;NONE;none;1.0;SET;fiveGramDiceNormalized;0.7;NONE;none;1.0;2176002145;0.8335472828412493;0.6449619247323697;0.7332163799975618;0.9336188436830836;0.8613578680203045;0.733783783783784;0.7950159970641295;0.9528795811518325;17;114;613;1950;341;1138;218;54;3;28;4;0.9864253393665159;0.8861788617886179;0.6585365853658537;0.9473684210526315;0.0035149384885764497;272;812;182;45;3;15;0;0.9837837837837838;0.9238578680203046;0.75;0.9375;0.0
EQUAL;equalNormalized;0.6;NONE;none;1.0;EQUAL;equalNormalized;0.6;NONE;none;1.0;797494096;0.6260162601626016;0.3825503355704698;0.4893697277087885;0.77;0.751269035532995;0.4948453608247423;0.6097228853871084;0.8579710144927536;17;114;613;1950;341;1138;154;57;0;92;0;1.0;0.6260162601626016;0.3825503355704698;1.0;0.0;272;812;148;48;0;49;0;1.0;0.751269035532995;0.4948453608247423;1.0;0.0
FINGERPRINT;winnowingTwoGramDice;0.3;NONE;none;1.0;FINGERPRINT;winnowingTwoGramDice;0.3;NONE;none;1.0;1289872669;0.6504065040650406;0.8319649698960045;0.7356054836491073;0.9546351084812624;0.7606810490693738;0.8953198904655215;0.8252592765500971;0.967741935483871;17;114;613;1950;341;1138;242;38;19;4;0;0.9272030651340997;0.983739837398374;0.9047619047619048;0.6666666666666666;0.0;272;812;195;37;11;2;0;0.9466019417475728;0.9898477157360406;0.9487179487179487;0.7708333333333334;0.0
FINGERPRINT;winnowingFiveGramJaccardNormalized;0.3;NONE;none;1.0;FINGERPRINT;winnowingFiveGramJaccardNormalized;0.3;NONE;none;1.0;1816805178;0.8472400513478817;0.7434292866082601;0.7936391289241614;0.9563409563409564;0.813557529610829;0.8010204081632653;0.8072646309811697;0.9618320610687023;17;114;613;1950;341;1138;230;52;5;16;13;0.9787234042553191;0.9349593495934959;0.7647058823529411;0.9122807017543859;0.011423550087873463;272;812;189;41;7;8;4;0.9642857142857143;0.9593908629441624;0.8367346938775511;0.8541666666666666;0.0049261083743842365
SET;threeGramJaccard;0.7;NONE;none;1.0;SET;threeGramJaccard;0.7;NONE;none;1.0;1768663576;0.852374839537869;0.6317124735729387;0.7337954880590395;0.9284164859002169;0.8568104906937395;0.6857965126121552;0.7665491807361585;0.9414893617021277;17;114;613;1950;341;1138;214;56;1;32;0;0.9953488372093023;0.8699186991869918;0.6363636363636364;0.9824561403508771;0.0;272;812;177;46;2;20;0;0.9888268156424581;0.8984771573604061;0.696969696969697;0.9583333333333334;0.0
SET;twoGramDice;1.0;NONE;none;1.0;SET;twoGramDice;1.0;NONE;none;1.0;1526394487;0.6056910569105691;0.3701298701298701;0.4734811001857759;0.7544303797468355;0.7614213197969542;0.5052631578947369;0.6202565118795509;0.8645533141210375;17;114;613;1950;341;1138;149;57;0;97;0;1.0;0.6056910569105691;0.37012987012987014;1.0;0.0;272;812;150;48;0;47;0;1.0;0.7614213197969543;0.5052631578947369;1.0;0.0
FINGERPRINT;winnowingFourGramOptimalAlignment;1.0;NONE;none;1.0;FINGERPRINT;winnowingFourGramOptimalAlignment;1.0;NONE;none;1.0;11188157988;0.6341463414634148;0.3877551020408163;0.49587647589188655;0.7761194029850745;0.7411167512690355;0.48484848484848486;0.5994408510842612;0.8513119533527697;17;114;613;1950;341;1138;156;57;0;90;10;1.0;0.6341463414634146;0.3877551020408163;1.0;0.008787346221441126;272;812;146;48;0;51;0;1.0;0.7411167512690355;0.48484848484848486;1.0;0.0
FINGERPRINT;winnowingFourGramJaccardNormalized;0.4;NONE;none;1.0;FINGERPRINT;winnowingFourGramJaccardNormalized;0.4;NONE;none;1.0;1767425956;0.8823277706461274;0.7585530349478846;0.8181029325472566;0.9603340292275574;0.834919627749577;0.7555023923444977;0.7942189724378176;0.9560723514211886;17;114;613;1950;341;1138;230;54;3;16;13;0.9871244635193133;0.9349593495934959;0.7714285714285715;0.9473684210526315;0.011423550087873463;272;812;185;43;5;12;0;0.9736842105263158;0.9390862944162437;0.7818181818181819;0.8958333333333334;0.0
FINGERPRINT;winnowingFiveGramDice;0.9;NONE;none;1.0;FINGERPRINT;winnowingFiveGramDice;0.9;NONE;none;1.0;1239131426;0.8008130081300813;0.5377358490566038;0.6562208948687951;0.8893905191873589;0.8375634517766497;0.6000000000000001;0.7088991966887745;0.9116022099447514;17;114;613;1950;341;1138;197;57;0;49;13;1.0;0.8008130081300813;0.5377358490566038;1.0;0.011423550087873463;272;812;165;48;0;32;0;1.0;0.8375634517766497;0.6;1.0;0.0
SET;tokenDiceNormalized;0.2;NONE;none;1.0;SET;tokenDiceNormalized;0.2;NONE;none;1.0;1137265743;0.7287120239623448;0.8966303966303966;0.808322553857491;0.9663366336633663;0.7921954314720812;0.8624222887405018;0.8265633654717114;0.9674185463659148;17;114;613;1950;341;1138;244;42;15;2;0;0.9420849420849421;0.991869918699187;0.9545454545454546;0.7368421052631579;0.0;272;812;193;39;9;4;0;0.9554455445544554;0.9796954314720813;0.9069767441860465;0.8125;0.0
FINGERPRINT;winnowingFiveGramJaccardNormalized;1.0;NONE;none;1.0;FINGERPRINT;winnowingFiveGramJaccardNormalized;1.0;NONE;none;1.0;1754925694;0.654471544715447;0.4014084507042255;0.5125528351245643;0.7911547911547911;0.7614213197969542;0.5052631578947369;0.6202565118795509;0.8645533141210375;17;114;613;1950;341;1138;161;57;0;85;13;1.0;0.6544715447154471;0.4014084507042254;1.0;0.011423550087873463;272;812;150;48;0;47;4;1.0;0.7614213197969543;0.5052631578947369;1.0;0.0049261083743842365
PROFILE;cosineThreeShingleNormalizedBool;0.3;NONE;none;1.0;PROFILE;cosineThreeShingleNormalizedBool;0.3;NONE;none;1.0;3468716027;0.7892597347026102;0.7496951632570112;0.7692231182563735;0.9549180327868854;0.7668147208121827;0.7668147208121827;0.7668147208121827;0.9543147208121827;17;114;613;1950;341;1138;233;48;9;13;14;0.9628099173553719;0.9471544715447154;0.7868852459016393;0.8421052631578947;0.012302284710017574;272;812;188;39;9;9;208;0.9543147208121827;0.9543147208121827;0.8125;0.8125;0.2561576354679803
SET;threeGramOverlap;0.7;NONE;none;1.0;SET;threeGramOverlap;0.7;NONE;none;1.0;1740365818;0.6191698759092854;0.6365102639296187;0.6277802012904584;0.9311740890688259;0.7403764805414552;0.8060096707345152;0.772496345169864;0.9573934837092731;17;114;613;1950;341;1138;230;39;18;16;0;0.9274193548387096;0.9349593495934959;0.7090909090909091;0.6842105263157895;0.0;272;812;191;37;11;6;0;0.9455445544554455;0.9695431472081218;0.8604651162790697;0.7708333333333334;0.0
SET;threeGramDice;0.0;NONE;none;1.0;SET;threeGramDice;0.0;NONE;none;1.0;1666146822;0.6059050064184852;0.8632391790286527;0.7232156941812337;0.9531249999999999;0.5681049069373942;0.8097678625263791;0.6782573967023443;0.9440389294403894;17;114;613;1950;341;1138;244;35;22;2;0;0.9172932330827067;0.991869918699187;0.9459459459459459;0.6140350877192983;0.0;272;812;194;28;20;3;0;0.9065420560747663;0.9847715736040609;0.9032258064516129;0.5833333333333334;0.0
PROFILE;manhattanFiveGramNormalized;0.6;NONE;none;1.0;PROFILE;manhattanFiveGramNormalized;0.6;NONE;none;1.0;2875694969;0.8363286264441592;0.6797472756781822;0.753984154606112;0.9429175475687103;0.8247673434856178;0.7277902202314297;0.7747629357132986;0.9506493506493507;17;114;613;1950;341;1138;223;53;4;23;4;0.9823788546255506;0.9065040650406504;0.6973684210526315;0.9298245614035088;0.0035149384885764497;272;812;183;43;5;14;0;0.973404255319149;0.9289340101522843;0.7543859649122807;0.8958333333333334;0.0
SET;tokenOverlapNormalized;0.1;NONE;none;1.0;SET;tokenOverlapNormalized;0.1;NONE;none;1.0;1151492338;0.2939666238767651;0.4506888257161601;0.36398828623289975;0.9009708737864078;0.7606810490693738;0.8953198904655215;0.8252592765500971;0.967741935483871;17;114;613;1950;341;1138;232;20;37;14;0;0.862453531598513;0.943089430894309;0.5882352941176471;0.3508771929824561;0.0;272;812;195;37;11;2;0;0.9466019417475728;0.9898477157360406;0.9487179487179487;0.7708333333333334;0.0
EDIT;levenshtein;0.7;NONE;none;1.0;EDIT;levenshtein;0.7;NONE;none;1.0;14043726740;0.8536585365853657;0.6129032258064515;0.7233326142310919;0.9210526315789475;0.8883248730964466;0.6857142857142857;0.7804723286815257;0.9408602150537635;17;114;613;1950;341;1138;210;57;0;36;0;1.0;0.8536585365853658;0.6129032258064516;1.0;0.0;272;812;175;48;0;22;0;1.0;0.8883248730964467;0.6857142857142857;1.0;0.0
