MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
FINGERPRINT;winnowingTwoGramDiceNormalized;0.7;NONE;none;1.0;FINGERPRINT;winnowingTwoGramDiceNormalized;0.7;NONE;none;1.0;536737523;0.8777239709443099;0.7684697735222414;0.8212821325017465;0.9669064748201439;0.9467213114754098;0.913576244813278;0.9300011293661996;0.9855670103092784;98;266;1010;2141;599;1331;336;65;5;18;161;0.9853372434017595;0.9491525423728814;0.7831325301204819;0.9285714285714286;0.12096168294515403;411;810;239;59;2;5;0;0.991701244813278;0.9795081967213115;0.921875;0.9672131147540983;0.0
SET;fiveGramDiceNormalized;0.5;NONE;none;1.0;SET;fiveGramDiceNormalized;0.5;NONE;none;1.0;700934042;0.8403551251008878;0.8216540404040404;0.8309519744927425;0.9716713881019832;0.9467213114754098;0.913576244813278;0.9300011293661996;0.9855670103092784;98;266;1010;2141;599;1331;343;61;9;11;161;0.9744318181818182;0.9689265536723164;0.8472222222222222;0.8714285714285714;0.12096168294515403;411;810;239;59;2;5;0;0.991701244813278;0.9795081967213115;0.921875;0.9672131147540983;0.0
EDIT;damerauLevenshteinNormalized;0.8;NONE;none;1.0;EDIT;damerauLevenshteinNormalized;0.8;NONE;none;1.0;17229416953;0.816222760290557;0.5314938904217579;0.6586481688410089;0.9060092449922958;0.9262295081967213;0.8064818064818065;0.8642842396962049;0.9684210526315791;98;266;1010;2141;599;1331;294;69;1;60;0;0.9966101694915255;0.8305084745762712;0.5348837209302325;0.9857142857142858;0.0;411;810;230;60;1;14;0;0.9956709956709957;0.9426229508196722;0.8108108108108109;0.9836065573770492;0.0
EDIT;levenshtein;0.1;NONE;none;1.0;EDIT;levenshtein;0.1;NONE;none;1.0;3954927317;0.8086359967715899;0.93048525655909;0.8674236986150011;0.9791376912378303;0.9672131147540983;0.9918699186991868;0.9794639316973008;0.9959183673469388;98;266;1010;2141;599;1331;352;57;13;2;0;0.9643835616438357;0.9943502824858758;0.9661016949152542;0.8142857142857143;0.0;411;810;244;59;2;0;0;0.991869918699187;1.0;1.0;0.9672131147540983;0.0
FINGERPRINT;winnowingThreeGramLongestCommonSubsequence;0.4;NONE;none;1.0;FINGERPRINT;winnowingThreeGramLongestCommonSubsequence;0.4;NONE;none;1.0;1117431537;0.863276836158192;0.8088324258923172;0.8356113316647128;0.9715099715099715;0.942622950819672;0.8993589743589743;0.920736884379251;0.9834710743801653;98;266;1010;2141;599;1331;341;63;7;13;167;0.9798850574712644;0.963276836158192;0.8289473684210527;0.9;0.12546957175056347;411;810;238;59;2;6;0;0.9916666666666667;0.9754098360655737;0.9076923076923077;0.9672131147540983;0.0
PROFILE;cosineThreeGramNormalizedTermFrequency;0.6;NONE;none;1.0;PROFILE;cosineThreeGramNormalizedTermFrequency;0.6;NONE;none;1.0;1088009781;0.8631154156577885;0.8631154156577885;0.8631154156577885;0.9774011299435028;0.9631147540983607;0.9751700680272108;0.969123666139729;0.9938650306748468;98;266;1010;2141;599;1331;346;62;8;8;42;0.9774011299435028;0.9774011299435028;0.8857142857142857;0.8857142857142857;0.03155522163786627;411;810;243;59;2;1;0;0.9918367346938776;0.9959016393442623;0.9833333333333333;0.9672131147540983;0.0
SET;tokenJaccardNormalized;0.4;NONE;none;1.0;SET;tokenJaccardNormalized;0.4;NONE;none;1.0;408724134;0.8431799838579499;0.8336591788692496;0.8384060668804858;0.9731258840169731;0.9344262295081966;0.8721936535808354;0.9027738515910384;0.979253112033195;98;266;1010;2141;599;1331;344;61;9;10;0;0.9745042492917847;0.9717514124293786;0.8591549295774648;0.8714285714285714;0.0;411;810;236;59;2;8;0;0.9915966386554622;0.9672131147540983;0.8805970149253731;0.9672131147540983;0.0
EDIT;longestCommonSubsequenceNormalized;0.0;NONE;none;1.0;EDIT;longestCommonSubsequenceNormalized;0.0;NONE;none;1.0;5368599683;0.7857142857142856;0.9593495934959351;0.8682019814558989;0.979253112033195;0.9672131147540983;0.9918699186991868;0.9794639316973008;0.9959183673469388;98;266;1010;2141;599;1331;354;55;15;0;0;0.959349593495935;1.0;1.0;0.7857142857142857;0.0;411;810;244;59;2;0;0;0.991869918699187;1.0;1.0;0.9672131147540983;0.0
FINGERPRINT;winnowingTwoGramOptimalAlignment;0.3;NONE;none;1.0;FINGERPRINT;winnowingTwoGramOptimalAlignment;0.3;NONE;none;1.0;3015883652;0.8460048426150122;0.8460048426150122;0.8460048426150121;0.9745762711864406;0.9467213114754098;0.913576244813278;0.9300011293661996;0.9855670103092784;98;266;1010;2141;599;1331;345;61;9;9;155;0.9745762711864406;0.9745762711864406;0.8714285714285714;0.8714285714285714;0.11645379413974455;411;810;239;59;2;5;0;0.991701244813278;0.9795081967213115;0.921875;0.9672131147540983;0.0
EDIT;longestCommonSubsequence;0.4;NONE;none;1.0;EDIT;longestCommonSubsequence;0.4;NONE;none;1.0;6970770518;0.8745762711864407;0.8551136363636362;0.864790203188951;0.9773371104815863;0.9467213114754098;0.913576244813278;0.9300011293661996;0.9855670103092784;98;266;1010;2141;599;1331;345;63;7;9;0;0.9801136363636364;0.9745762711864406;0.875;0.9;0.0;411;810;239;59;2;5;0;0.991701244813278;0.9795081967213115;0.921875;0.9672131147540983;0.0
FINGERPRINT;winnowingThreeGramJaccardNormalized;0.7;NONE;none;1.0;FINGERPRINT;winnowingThreeGramJaccardNormalized;0.7;NONE;none;1.0;541688554;0.8330104923325261;0.5746819232161253;0.691893107201443;0.9228441754916792;0.942622950819672;0.8528875379939209;0.8966333519232681;0.9770354906054279;98;266;1010;2141;599;1331;305;68;2;49;200;0.993485342019544;0.8615819209039548;0.5811965811965812;0.9714285714285714;0.15026296018031554;411;810;234;60;1;10;16;0.9957446808510638;0.9590163934426229;0.8571428571428571;0.9836065573770492;0.019753086419753086
