MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
FINGERPRINT;winnowingFiveGramJaccardNormalized;0.2;NONE;none;1.0;FINGERPRINT;winnowingFiveGramJaccardNormalized;0.2;NONE;none;1.0;1500529874;0.9210946848915944;0.8243147062931948;0.8713620915811275;0.9795454545454547;0.9638751545117428;0.940479421076436;0.9521054286711972;0.9919404835709857;100;308;2703;9948;1406;5376;862;144;7;29;1754;0.9919447640966629;0.9674523007856342;0.8323699421965318;0.9536423841059603;0.32626488095238093;1297;4572;800;156;4;9;306;0.9950248756218906;0.9888751545117429;0.9454545454545454;0.975;0.06692913385826772
EDIT;levenshtein;0.4;NONE;none;1.0;EDIT;levenshtein;0.4;NONE;none;1.0;19677001148;0.9154830126132554;0.8008869121930919;0.8562700293348235;0.9766381766381766;0.9763056242274413;0.9714424082159767;0.9738709805484032;0.9956709956709956;100;308;2703;9948;1406;5376;857;144;7;34;0;0.9918981481481481;0.9618406285072951;0.8089887640449438;0.9536423841059603;0.0;1297;4572;805;157;3;4;0;0.9962871287128713;0.9950556242274413;0.9751552795031055;0.98125;0.0
SET;fiveGramJaccardNormalized;0.5;NONE;none;1.0;SET;fiveGramJaccardNormalized;0.5;NONE;none;1.0;2395787073;0.9140262076244416;0.7302494061757718;0.8169865943495287;0.9671090594345068;0.9838612484548825;0.9508489255902162;0.9672142529053084;0.994413407821229;100;308;2703;9948;1406;5376;838;147;4;53;526;0.995249406175772;0.9405162738496072;0.735;0.9735099337748344;0.0978422619047619;1297;4572;801;159;1;8;0;0.9987531172069826;0.9901112484548825;0.9520958083832335;0.99375;0.0
SET;fourGramJaccardNormalizedPadding;0.9;NONE;none;1.0;SET;fourGramJaccardNormalizedPadding;0.9;NONE;none;1.0;2394812692;0.8496071829405163;0.5298245614035086;0.6709267866665705;0.9186893203883495;0.9394313967861558;0.7655502392344498;0.8480459483742582;0.9687699171446781;100;308;2703;9948;1406;5376;757;151;0;134;388;1.0;0.8496071829405163;0.5298245614035088;1.0;0.07217261904761904;1297;4572;760;160;0;49;0;1.0;0.9394313967861557;0.7655502392344498;1.0;0.0
SET;fiveGramDiceNormalizedPadding;0.0;NONE;none;1.0;SET;fiveGramDiceNormalizedPadding;0.0;NONE;none;1.0;2279195977;0.9093064567678255;0.9194480560962595;0.9143631959297981;0.9876681614349776;0.9563195302843015;0.9611460517120896;0.9587297537408112;0.9932056825200742;100;308;2703;9948;1406;5376;881;139;12;10;526;0.986562150055991;0.9887766554433222;0.9328859060402684;0.9205298013245033;0.0978422619047619;1297;4572;804;154;6;5;0;0.9925925925925926;0.9938195302843016;0.9685534591194969;0.9625;0.0
FINGERPRINT;winnowingFiveGramOverlapNormalized;0.4;NONE;none;1.0;FINGERPRINT;winnowingFiveGramOverlapNormalized;0.4;NONE;none;1.0;1464574616;0.9024609598561033;0.8516975308641976;0.8767119089021073;0.9813664596273292;0.9713612484548824;0.9477838082315695;0.9595001111147097;0.9931804091754495;100;308;2703;9948;1406;5376;869;140;11;22;1754;0.9875;0.9753086419753086;0.8641975308641975;0.9271523178807947;0.32626488095238093;1297;4572;801;157;3;8;306;0.996268656716418;0.9901112484548825;0.9515151515151515;0.98125;0.06692913385826772
SET;fiveGramDiceNormalizedPadding;0.5;NONE;none;1.0;SET;fiveGramDiceNormalizedPadding;0.5;NONE;none;1.0;2287776956;0.9298503801815059;0.8098487153427372;0.8677776995584457;0.9783352337514253;0.9638751545117428;0.940479421076436;0.9521054286711972;0.9919404835709857;100;308;2703;9948;1406;5376;858;146;5;33;526;0.9942062572421785;0.9629629629629629;0.8156424581005587;0.9668874172185431;0.0978422619047619;1297;4572;800;156;4;9;0;0.9950248756218906;0.9888751545117429;0.9454545454545454;0.975;0.0
FINGERPRINT;winnowingTwoGramLongestCommonSubsequence;0.2;NONE;none;1.0;FINGERPRINT;winnowingTwoGramLongestCommonSubsequence;0.2;NONE;none;1.0;10130255530;0.9246846686140284;0.9000983967123921;0.9123087129278207;0.9870568373663479;0.9850278121137208;0.9850278121137208;0.9850278121137206;0.9975278121137207;100;308;2703;9948;1406;5376;877;142;9;14;388;0.989841986455982;0.9842873176206509;0.9102564102564102;0.9403973509933775;0.07217261904761904;1297;4572;807;158;2;2;0;0.9975278121137207;0.9975278121137207;0.9875;0.9875;0.0
SET;twoGramOverlap;1.0;NONE;none;1.0;SET;twoGramOverlap;1.0;NONE;none;1.0;1461732054;0.8258077463375475;0.5596073355125641;0.6798000239582156;0.9310344827586206;0.9455423362175526;0.8017332861690838;0.8706737416665851;0.9746835443037974;100;308;2703;9948;1406;5376;783;143;8;108;0;0.9898862199747156;0.8787878787878788;0.5697211155378487;0.9470198675496688;0.0;1297;4572;770;159;1;39;0;0.9987029831387808;0.9517923362175525;0.803030303030303;0.99375;0.0
PROFILE;cosineThreeGramNormalizedBool;1.0;NONE;none;1.0;PROFILE;cosineThreeGramNormalizedBool;1.0;NONE;none;1.0;3231480507;0.808080808080808;0.46894409937888204;0.6155848656122189;0.893854748603352;0.9048207663782448;0.6751054852320675;0.7815685910614858;0.9500324464633354;100;308;2703;9948;1406;5376;720;151;0;171;252;1.0;0.8080808080808081;0.468944099378882;1.0;0.046875;1297;4572;732;160;0;77;0;1.0;0.9048207663782447;0.6751054852320675;1.0;0.0
