MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;cosineTwoGramNormalizedTermFrequency;1.0;NONE;none;1.0;PROFILE;cosineTwoGramNormalizedTermFrequency;1.0;NONE;none;1.0;6901737158;0.6824561403508773;0.2701612903225805;0.42938704156711716;0.8112617309697602;0.7849654798748902;0.38867142247423936;0.5523528307668455;0.8826213189547905;95;779;3749;12593;2097;7184;1167;201;0;543;1;1.0;0.6824561403508772;0.2701612903225806;1.0;1.3919821826280623E-4;1652;5409;1064;180;1;282;0;0.9990610328638497;0.7904903417533432;0.38961038961038963;0.994475138121547;0.0
PROFILE;cosineFiveGramNormalizedNormalizedTermFrequency;0.0;NONE;none;1.0;PROFILE;cosineFiveGramNormalizedNormalizedTermFrequency;0.0;NONE;none;1.0;9855475115;0.7635419394256786;0.89622776821572;0.8272288004600532;0.9829134086301766;0.8865309942288588;0.9610732879455346;0.9230499756184133;0.9911373707533235;95;779;3749;12593;2097;7184;1697;155;46;13;236;0.9736087205966724;0.9923976608187135;0.9226190476190477;0.7711442786069652;0.03285077951002227;1652;5409;1342;161;20;4;0;0.9853157121879589;0.9970282317979198;0.9757575757575757;0.8895027624309392;0.0
SET;fiveGramDiceNormalized;0.9;NONE;none;1.0;SET;fiveGramDiceNormalized;0.9;NONE;none;1.0;5730157745;0.8064240202496291;0.3864836148549724;0.5582738310649676;0.8983268983268984;0.8701739551607792;0.5463699389191001;0.6895193186054953;0.9415915327322619;95;779;3749;12593;2097;7184;1396;199;2;314;236;0.9985693848354793;0.816374269005848;0.38791423001949316;0.9900497512437811;0.03285077951002227;1652;5409;1201;177;4;145;0;0.9966804979253112;0.8922734026745914;0.5496894409937888;0.9779005524861878;0.0
SET;twoGramOverlapNormalized;0.5;NONE;none;1.0;SET;twoGramOverlapNormalized;0.5;NONE;none;1.0;4957313361;0.7173081958627914;0.8286146400483969;0.7709552986513626;0.9773913043478261;0.8662416983408996;0.9291960197252553;0.8971668396783339;0.9881744271988174;95;779;3749;12593;2097;7184;1686;147;54;24;1;0.9689655172413794;0.9859649122807017;0.8596491228070176;0.7313432835820896;1.3919821826280623E-4;1652;5409;1337;158;23;9;0;0.9830882352941176;0.9933135215453195;0.9461077844311377;0.8729281767955801;0.0
PROFILE;cosineThreeShingleNormalizedTermFrequency;0.4;NONE;none;1.0;PROFILE;cosineThreeShingleNormalizedTermFrequency;0.4;NONE;none;1.0;7800443363;0.8352710133542813;0.7033613445378151;0.7664837526042744;0.9721563981042654;0.9147094316698547;0.8291302665456222;0.8708692639496592;0.9835205992509363;95;779;3749;12593;2097;7184;1641;176;25;69;975;0.9849939975990396;0.9596491228070175;0.7183673469387755;0.8756218905472637;0.13571826280623608;1652;5409;1313;170;11;33;195;0.9916918429003021;0.975482912332838;0.8374384236453202;0.9392265193370166;0.036051026067665005
EDIT;levenshteinNormalized;0.0;NONE;none;1.0;EDIT;levenshteinNormalized;0.0;NONE;none;1.0;56539713701;0.7655930871956009;0.8706449883866356;0.816431126617734;0.9817232375979114;0.8647558142398595;0.9179745710277034;0.8909679273804122;0.9874260355029585;95;779;3749;12593;2097;7184;1692;156;45;18;0;0.9740932642487047;0.9894736842105263;0.896551724137931;0.7761194029850746;0.0;1652;5409;1335;158;23;11;0;0.9830633284241531;0.9918276374442794;0.9349112426035503;0.8729281767955801;0.0
PROFILE;cosineThreeGramNormalizedTermFrequency;0.2;NONE;none;1.0;PROFILE;cosineThreeGramNormalizedTermFrequency;0.2;NONE;none;1.0;8580870146;0.804809286898839;0.874762826350941;0.8390573558947648;0.9837114601512508;0.8758055379967655;0.9201857889561662;0.8977214545468618;0.9881569207994079;95;779;3749;12593;2097;7184;1691;164;37;19;145;0.9785879629629629;0.9888888888888889;0.8961748633879781;0.8159203980099502;0.020183741648106903;1652;5409;1335;160;21;11;0;0.9845132743362832;0.9918276374442794;0.935672514619883;0.8839779005524862;0.0
FINGERPRINT;winnowingFiveGramOverlapNormalized;0.5;NONE;none;1.0;FINGERPRINT;winnowingFiveGramOverlapNormalized;0.5;NONE;none;1.0;4045876129;0.8141834686218032;0.8001687015697825;0.8071456677246617;0.9795081967213114;0.9100219188428165;0.8971842727184436;0.9035802971594913;0.9884715507623653;95;779;3749;12593;2097;7184;1673;168;33;37;810;0.9806565064478312;0.9783625730994152;0.8195121951219512;0.835820895522388;0.11275055679287305;1652;5409;1329;167;14;17;119;0.9895755770662695;0.987369985141159;0.907608695652174;0.9226519337016574;0.022000369754113513
SET;twoGramJaccardNormalized;0.3;NONE;none;1.0;SET;twoGramJaccardNormalized;0.3;NONE;none;1.0;5372764977;0.8334991708126036;0.8019988242210463;0.8175973061238186;0.9803576663734974;0.909697651318004;0.932078931431263;0.9208202945016007;0.9907304412309974;95;779;3749;12593;2097;7184;1672;172;29;38;1;0.9829512051734274;0.9777777777777777;0.819047619047619;0.8557213930348259;1.3919821826280623E-4;1652;5409;1336;166;15;10;0;0.9888971132494448;0.9925705794947994;0.9431818181818182;0.9171270718232044;0.0
SET;threeShingleJaccardNormalized;0.2;NONE;none;1.0;SET;threeShingleJaccardNormalized;0.2;NONE;none;1.0;6890161110;0.837610194640831;0.7153203965512958;0.7740540398356481;0.9733727810650888;0.9199100260234951;0.8590824759655928;0.8889761429992579;0.9861785580874113;95;779;3749;12593;2097;7184;1645;176;25;65;975;0.9850299401197605;0.9619883040935673;0.7302904564315352;0.8756218905472637;0.13571826280623608;1652;5409;1320;170;11;26;195;0.9917355371900827;0.9806835066864784;0.8673469387755102;0.9392265193370166;0.036051026067665005
