MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
FINGERPRINT;winnowingThreeGramOptimalAlignment;0.0;32436836261;0.7057937622253423;0.7763675484450077;0.7402400778711374;0.974148061104583;0.8577386510159619;0.880403431909456;0.8689971530654402;0.9852885703508111;95;779;3691;12320;2074;7061;1658;143;54;34;54;0.9684579439252337;0.9799054373522459;0.807909604519774;0.7258883248730964;0.007647641977057074;1617;5259;1306;148;22;17;0;0.983433734939759;0.9871504157218443;0.896969696969697;0.8705882352941177;0.0
FINGERPRINT;winnowingTwoGramDiceNormalized;0.1;4635259254;0.7237342645594076;0.7652518715898997;0.7442036015015154;0.9740871613663133;0.8326975234538261;0.8638867106416348;0.8481487631871907;0.9830380701093102;95;779;3691;12320;2074;7061;1654;147;50;38;0;0.9706572769953051;0.9775413711583925;0.7945945945945946;0.7461928934010152;0.0;1617;5259;1304;144;26;19;0;0.9804511278195489;0.9856386999244142;0.8834355828220859;0.8470588235294118;0.0
FINGERPRINT;winnowingFourGramOptimalAlignment;0.0;20898464090;0.7159460464893017;0.7796465091966414;0.7471176854542533;0.9747207524985303;0.8643768618558534;0.887217050018255;0.8757224957027122;0.986043002640513;95;779;3691;12320;2074;7061;1658;145;52;34;76;0.9695906432748538;0.9799054373522459;0.8100558659217877;0.7360406091370558;0.010763347967709957;1617;5259;1307;149;21;16;0;0.9841867469879518;0.9879062736205594;0.9030303030303031;0.8764705882352941;0.0
EDIT;damerauLevenshteinNormalized;0.0;170618341933;0.7112179141015949;0.74484877809686;0.7278391266476201;0.9723040659988215;0.8473211506824954;0.8473211506824954;0.8473211506824952;0.982615268329554;95;779;3691;12320;2074;7061;1650;145;52;42;0;0.9694477085781433;0.975177304964539;0.7754010695187166;0.7360406091370558;0.0;1617;5259;1300;147;23;23;0;0.982615268329554;0.982615268329554;0.8647058823529412;0.8647058823529412;0.0
SET;tokenOverlap;0.8;1630602993;0.8061015708439836;0.6625005547692899;0.7307822780312446;0.9676064787042591;0.8838957805344361;0.6917517450640611;0.7819440188654533;0.9694862881421398;95;779;3691;12320;2074;7061;1613;168;29;79;0;0.9823386114494519;0.9533096926713948;0.680161943319838;0.8527918781725888;0.0;1617;5259;1255;159;11;68;0;0.9913112164296999;0.9486016628873771;0.7004405286343612;0.9352941176470588;0.0
SET;fiveGramDice;0.5;5099236321;0.8719864156196373;0.731816259114531;0.7988327964458216;0.9760479041916168;0.9171535280778977;0.8604555124515079;0.8883523000471019;0.9867071781238131;95;779;3691;12320;2074;7061;1630;179;18;62;76;0.9890776699029126;0.9633569739952719;0.7427385892116183;0.9086294416243654;0.010763347967709957;1617;5259;1299;159;11;24;0;0.9916030534351145;0.981859410430839;0.8688524590163934;0.9352941176470588;0.0
SET;threeGramDice;0.4;4698845233;0.8240750741020748;0.7889273753927633;0.8063097328805767;0.9792531120331949;0.8930327686630206;0.8884819208889596;0.8907544385062062;0.9875236294896031;95;779;3691;12320;2074;7061;1652;167;30;40;54;0.9821640903686087;0.9763593380614657;0.8067632850241546;0.8477157360406091;0.007647641977057074;1617;5259;1306;154;16;17;0;0.9878971255673222;0.9871504157218443;0.9005847953216374;0.9058823529411765;0.0
SET;fourGramJaccardNormalized;0.8;6522204328;0.8329853235890605;0.41631655496079056;0.5888850314361004;0.9116039858566377;0.8982882041705571;0.5837074788658334;0.7241115542175204;0.952155001977066;95;779;3691;12320;2074;7061;1418;196;1;274;80;0.9992952783650458;0.8380614657210402;0.41702127659574467;0.9949238578680203;0.01132983996601048;1617;5259;1204;168;2;119;0;0.9983416252072969;0.91005291005291;0.5853658536585366;0.9882352941176471;0.0
SET;threeGramDiceNormalized;0.7;5646126760;0.8716054049513386;0.644870372014561;0.7497149469904356;0.9663738261132991;0.9033835756524833;0.7541105296366402;0.8253793471491372;0.9769762087490407;95;779;3691;12320;2074;7061;1595;183;14;97;58;0.9912989434431324;0.9426713947990544;0.6535714285714286;0.9289340101522843;0.008214133975357599;1617;5259;1273;160;10;50;0;0.9922057677318784;0.9622071050642479;0.7619047619047619;0.9411764705882353;0.0
PROFILE;cosineFiveGramNormalizedBool;1.0;10441404369;0.6784869976359338;0.26585695006747634;0.4247122365224817;0.8084507042253521;0.7817215775198969;0.3745967827847023;0.5411380489046539;0.8808114961961117;95;779;3691;12320;2074;7061;1148;197;0;544;80;1.0;0.6784869976359338;0.2658569500674764;1.0;0.01132983996601048;1617;5259;1042;169;1;281;0;0.9990412272291467;0.7876039304610734;0.37555555555555553;0.9941176470588236;0.0
SET;twoGramOverlapNormalized;0.7;5150636764;0.7562071738008664;0.8276321751521878;0.7911140171419664;0.9791360564208051;0.8547152194211018;0.8591233307710184;0.8569164405995131;0.983755194559879;95;779;3691;12320;2074;7061;1666;152;45;26;0;0.9736995908825249;0.9846335697399528;0.8539325842696629;0.7715736040609137;0.0;1617;5259;1302;148;22;21;0;0.9833836858006042;0.9841269841269841;0.8757396449704142;0.8705882352941177;0.0
