MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;cosineTwoShingleNormalizedNormalizedTermFrequency;0.8;267515591;0.8730769230769231;0.5285714285714285;0.6793257808176549;0.9322381930184805;0.8987906708897206;0.7823308270676692;0.838541381756357;0.9553264604810997;98;242;787;1116;483;731;227;37;0;33;18;1.0;0.8730769230769231;0.5285714285714286;1.0;0.024623803009575923;304;385;139;45;1;12;1;0.9928571428571429;0.9205298013245033;0.7894736842105263;0.9782608695652174;0.0025974025974025974
SET;threeShingleOverlap;0.9;113989743;0.7112266112266112;0.37200956937799035;0.5143764238109859;0.8784648187633263;0.819320472214224;0.6443614130434783;0.7265937635373753;0.9103942652329748;98;242;787;1116;483;731;206;34;3;54;84;0.9856459330143541;0.7923076923076923;0.38636363636363635;0.918918918918919;0.11491108071135431;304;385;127;45;1;24;23;0.9921875;0.8410596026490066;0.6521739130434783;0.9782608695652174;0.05974025974025974
SET;twoShingleOverlapNormalized;0.3;238912943;0.9035343035343035;0.8831538305222515;0.8932859459179769;0.9865125240847784;0.9498992225741434;0.9646198830409356;0.9572312557476098;0.9900990099009901;98;242;787;1116;483;731;256;34;3;4;18;0.9884169884169884;0.9846153846153847;0.8947368421052632;0.918918918918919;0.024623803009575923;304;385;150;44;2;1;1;0.9868421052631579;0.9933774834437086;0.9777777777777777;0.9565217391304348;0.0025974025974025974
SET;fourGramOverlap;0.2;165370262;0.8533264033264034;0.8952017448200653;0.8740133209275629;0.9846743295019158;0.8931759285919953;0.9070175438596491;0.9000701289266704;0.976897689768977;98;242;787;1116;483;731;257;32;5;3;0;0.9809160305343512;0.9884615384615385;0.9142857142857143;0.8648648648648649;0.0;304;385;148;42;4;3;0;0.9736842105263158;0.9801324503311258;0.9333333333333333;0.9130434782608695;0.0
FINGERPRINT;winnowingFiveGramOverlapNormalized;0.6;148932519;0.8881496881496882;0.7977591036414566;0.8417419433043207;0.9786407766990292;0.9366541894615605;0.9228368794326243;0.9297198660404113;0.983388704318937;98;242;787;1116;483;731;252;34;3;8;12;0.9882352941176471;0.9692307692307692;0.8095238095238095;0.918918918918919;0.016415868673050615;304;385;148;44;2;3;0;0.9866666666666667;0.9801324503311258;0.9361702127659575;0.9565217391304348;0.0
FINGERPRINT;winnowingTwoGramDice;0.3;118752512;0.9420997920997922;0.9645593869731801;0.9532634462389377;0.9942418426103647;0.9498992225741434;0.9646198830409356;0.9572312557476098;0.9900990099009901;98;242;787;1116;483;731;259;35;2;1;0;0.9923371647509579;0.9961538461538462;0.9722222222222222;0.9459459459459459;0.0;304;385;150;44;2;1;0;0.9868421052631579;0.9933774834437086;0.9777777777777777;0.9565217391304348;0.0
SET;threeGramDiceNormalizedPadding;0.5;196400685;0.9267151767151767;0.8672178988326849;0.8964730829017098;0.9864603481624757;0.9650158364526347;0.9507801418439716;0.9578715435088959;0.9900332225913622;98;242;787;1116;483;731;255;35;2;5;0;0.9922178988326849;0.9807692307692307;0.875;0.9459459459459459;0.0;304;385;149;45;1;2;0;0.9933333333333333;0.9867549668874173;0.9574468085106383;0.9782608695652174;0.0
SET;fourGramJaccardNormalized;0.4;221988432;0.9268191268191268;0.7459839357429718;0.8314999578751623;0.9744597249508841;0.9583933198963432;0.9307885906040267;0.9444901097791504;0.9866666666666667;98;242;787;1116;483;731;248;36;1;12;0;0.9959839357429718;0.9538461538461539;0.75;0.972972972972973;0.0;304;385;148;45;1;3;0;0.9932885906040269;0.9801324503311258;0.9375;0.9782608695652174;0.0
SET;twoGramJaccard;0.6;145961978;0.9152806652806653;0.70181731229077;0.8014735282584101;0.9683794466403163;0.9517708033400518;0.9116105901820188;0.931474285072239;0.983277591973244;98;242;787;1116;483;731;245;36;1;15;0;0.9959349593495935;0.9423076923076923;0.7058823529411765;0.972972972972973;0.0;304;385;147;45;1;4;0;0.9932432432432432;0.9735099337748344;0.9183673469387755;0.9782608695652174;0.0
FINGERPRINT;winnowingTwoGramLongestCommonSubsequenceNormalized;0.6;1448987110;0.8999999999999999;0.5873015873015874;0.7270291799999699;0.9473684210526316;0.9517708033400518;0.9116105901820188;0.931474285072239;0.983277591973244;98;242;787;1116;483;731;234;37;0;26;0;1.0;0.9;0.5873015873015873;1.0;0.0;304;385;147;45;1;4;0;0.9932432432432432;0.9735099337748344;0.9183673469387755;0.9782608695652174;0.0
FINGERPRINT;winnowingFiveGramOptimalAlignment;0.2;824151288;0.9305613305613307;0.8896839594514012;0.9098931195949164;0.9884169884169884;0.9432767060178522;0.9432767060178522;0.943276706017852;0.9867549668874173;98;242;787;1116;483;731;256;35;2;4;12;0.9922480620155039;0.9846153846153847;0.8974358974358975;0.9459459459459459;0.016415868673050615;304;385;149;44;2;2;0;0.9867549668874173;0.9867549668874173;0.9565217391304348;0.9565217391304348;0.0
EQUAL;equalNormalized;0.0;54963436;0.7143451143451145;0.8333737569730779;0.7715675419022956;0.973384030418251;0.8430751511661387;0.8698752228163993;0.8563703550284857;0.9671052631578948;98;242;787;1116;483;731;256;27;10;4;0;0.9624060150375939;0.9846153846153847;0.8709677419354839;0.7297297297297297;0.0;304;385;147;40;6;4;0;0.9607843137254902;0.9735099337748344;0.9090909090909091;0.8695652173913043;0.0
