MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;threeShingleDiceNormalized;0.9;5426852949;0.8;0.5377358490566038;0.6558877032276813;0.888888888888889;0.8205128205128205;0.5833333333333335;0.6918326955503611;0.9014084507042254;17;114;611;1942;340;1134;196;57;0;49;10;1.0;0.8;0.5377358490566038;1.0;0.008818342151675485;271;808;160;49;0;35;208;1.0;0.8205128205128205;0.5833333333333334;1.0;0.25742574257425743
FINGERPRINT;winnowingFiveGramOverlapNormalized;0.2;2652451342;0.5691371285356248;0.6749320652173914;0.6197813304339242;0.9341317365269461;0.6427001569858712;0.7681050656660413;0.7026103089801684;0.9450000000000001;17;114;611;1942;340;1134;234;35;22;11;0;0.9140625;0.9551020408163265;0.7608695652173914;0.6140350877192983;0.0;271;808;189;33;16;6;0;0.9219512195121952;0.9692307692307692;0.8461538461538461;0.673469387755102;0.0
SET;threeGramDiceNormalizedPadding;0.7;2604776906;0.8441102756892231;0.6986723565670934;0.767956063533773;0.9471458773784355;0.8568288854003141;0.7680833098789757;0.8112434691867705;0.9581151832460733;17;114;611;1942;340;1134;224;53;4;21;0;0.9824561403508771;0.9142857142857143;0.7162162162162162;0.9298245614035088;0.0;271;808;183;45;4;12;0;0.9786096256684492;0.9384615384615385;0.7894736842105263;0.9183673469387755;0.0
PROFILE;manhattanThreeGramNormalized;0.8;3215702917;0.8530612244897959;0.6129032258064515;0.7230795089754635;0.920704845814978;0.8668759811616953;0.7119037387193812;0.7855776549743779;0.946524064171123;17;114;611;1942;340;1134;209;57;0;36;0;1.0;0.8530612244897959;0.6129032258064516;1.0;0.0;271;808;177;47;2;18;0;0.9888268156424581;0.9076923076923077;0.7230769230769231;0.9591836734693877;0.0
EDIT;optimalAlignmentNormalized;0.3;20642716104;0.7580379520229144;0.7480214810627475;0.7530130620208073;0.9529652351738241;0.8008372579801151;0.8133503401360542;0.8070695485345435;0.9616368286445012;17;114;611;1942;340;1134;233;46;11;12;0;0.9549180327868853;0.9510204081632653;0.7931034482758621;0.8070175438596491;0.0;271;808;188;41;8;7;0;0.9591836734693877;0.9641025641025641;0.8541666666666666;0.8367346938775511;0.0
PROFILE;cosineFiveGramNormalizedBool;0.7;3477230774;0.8318653777300393;0.6705339105339105;0.7468560401891999;0.9404255319148936;0.8159079016221873;0.7061594202898549;0.7590527325683216;0.9445910290237467;17;114;611;1942;340;1134;221;53;4;24;0;0.9822222222222222;0.9020408163265307;0.6883116883116883;0.9298245614035088;0.0;271;808;179;44;5;16;0;0.9728260869565217;0.9179487179487179;0.7333333333333333;0.8979591836734694;0.0
PROFILE;manhattanFiveGramNormalized;0.2;4843234033;0.7743644826351592;0.8074970131421746;0.7907572363319076;0.9614604462474645;0.744740973312402;0.8086363636363636;0.7760313347477321;0.9569620253164557;17;114;611;1942;340;1134;237;46;11;8;0;0.9556451612903226;0.9673469387755103;0.8518518518518519;0.8070175438596491;0.0;271;808;189;38;11;6;0;0.945;0.9692307692307692;0.8636363636363636;0.7755102040816326;0.0
SET;threeShingleJaccard;0.5;1294741882;0.8412459720730396;0.6614864864864867;0.7459710733919273;0.9379014989293362;0.8411302982731554;0.6340828402366863;0.7303056131087681;0.9230769230769231;17;114;611;1942;340;1134;219;54;3;26;20;0.9864864864864865;0.8938775510204081;0.675;0.9473684210526315;0.01763668430335097;271;808;168;48;1;27;214;0.9940828402366864;0.8615384615384616;0.64;0.9795918367346939;0.26485148514851486
PROFILE;cosineThreeGramNormalizedBool;0.8;3313208824;0.8640887934121015;0.6542152344808891;0.7518643844433693;0.9350649350649352;0.8311878597592883;0.7038284296348811;0.7648618476992808;0.9442970822281166;17;114;611;1942;340;1134;216;56;1;29;0;0.9953917050691244;0.8816326530612245;0.6588235294117647;0.9824561403508771;0.0;271;808;178;45;4;17;0;0.978021978021978;0.9128205128205128;0.7258064516129032;0.9183673469387755;0.0
SET;twoShingleOverlap;0.2;1101950953;0.7433583959899748;0.8109522693539568;0.7764201041777494;0.9596774193548386;0.7395081109366823;0.7284536082474227;0.7339600477819359;0.9460154241645243;17;114;611;1942;340;1134;238;44;13;7;10;0.9482071713147411;0.9714285714285714;0.8627450980392157;0.7719298245614035;0.008818342151675485;271;808;184;39;10;11;94;0.9484536082474226;0.9435897435897436;0.78;0.7959183673469388;0.11633663366336634
SET;threeShingleJaccardNormalized;0.0;3577827040;0.3732903687790905;0.48715073357630123;0.42643718996788027;0.9051383399209486;0.5047619047619047;0.5794785534062239;0.5408314879756897;0.9145728643216081;17;114;611;1942;340;1134;229;25;32;16;10;0.8773946360153256;0.9346938775510204;0.6097560975609756;0.43859649122807015;0.008818342151675485;271;808;182;28;21;13;208;0.896551724137931;0.9333333333333333;0.6829268292682927;0.5714285714285714;0.25742574257425743
PROFILE;cosineThreeShingleNormalizedNormalizedTermFrequency;0.8;3794812063;0.8208378088077337;0.621469232854432;0.7142306653579467;0.9264069264069265;0.8258503401360544;0.6321397100056076;0.7225322100236349;0.9234972677595628;17;114;611;1942;340;1134;214;54;3;31;10;0.9861751152073732;0.8734693877551021;0.6352941176470588;0.9473684210526315;0.008818342151675485;271;808;169;47;2;26;208;0.9883040935672515;0.8666666666666667;0.6438356164383562;0.9591836734693877;0.25742574257425743
SET;threeGramOverlapNormalizedPadding;1.0;2938341047;0.6367346938775511;0.3904109589041096;0.4985862035839433;0.7780548628428927;0.7488226059654632;0.5095065157017731;0.6176811449641189;0.8670520231213873;17;114;611;1942;340;1134;156;57;0;89;0;1.0;0.636734693877551;0.3904109589041096;1.0;0.0;271;808;150;48;1;45;0;0.9933774834437086;0.7692307692307693;0.5161290322580645;0.9795918367346939;0.0
EDIT;optimalAlignmentNormalized;0.2;20502614513;0.5773003938417474;0.7101832276250879;0.6403038786449498;0.9383697813121273;0.7192046049188905;0.7809090909090908;0.7494220534550893;0.9518987341772152;17;114;611;1942;340;1134;236;35;22;9;0;0.9147286821705426;0.963265306122449;0.7954545454545454;0.6140350877192983;0.0;271;808;188;37;12;7;0;0.94;0.9641025641025641;0.8409090909090909;0.7551020408163265;0.0
PROFILE;manhattanTwoGramNormalized;0.7;2830515915;0.8575725026852847;0.6972519795062877;0.7732684689468956;0.9469214437367305;0.8006279434850865;0.7091212458286986;0.7534867515287932;0.9448818897637796;17;114;611;1942;340;1134;223;54;3;22;0;0.9867256637168141;0.9102040816326531;0.7105263157894737;0.9473684210526315;0.0;271;808;180;43;6;15;0;0.967741935483871;0.9230769230769231;0.7413793103448276;0.8775510204081632;0.0
SET;fiveGramJaccardNormalized;1.0;3056747390;0.6244897959183673;0.3825503355704698;0.4887727293834075;0.7688442211055277;0.7538461538461538;0.5051546391752577;0.6170971413317434;0.8596491228070176;17;114;611;1942;340;1134;153;57;0;92;0;1.0;0.6244897959183674;0.3825503355704698;1.0;0.0;271;808;147;49;0;48;0;1.0;0.7538461538461538;0.5051546391752577;1.0;0.0
SET;twoShingleJaccardNormalized;0.6;3447934410;0.8371643394199784;0.6530920060331824;0.7394223000500039;0.9356223175965666;0.815803244374673;0.6699613235926085;0.7392946783200864;0.9358288770053476;17;114;611;1942;340;1134;218;54;3;27;10;0.9864253393665159;0.889795918367347;0.6666666666666666;0.9473684210526315;0.008818342151675485;271;808;175;45;4;20;0;0.9776536312849162;0.8974358974358975;0.6923076923076923;0.9183673469387755;0.0
SET;fiveGramDiceNormalized;0.0;2632754690;0.4720372359470104;0.6570972886762361;0.5569330192177558;0.9273084479371315;0.5355311355311354;0.6995215311004785;0.6120584611609562;0.9306930693069309;17;114;611;1942;340;1134;236;29;28;9;0;0.8939393939393939;0.963265306122449;0.7631578947368421;0.5087719298245614;0.0;271;808;188;28;21;7;0;0.8995215311004785;0.9641025641025641;0.8;0.5714285714285714;0.0
SET;fourGramJaccard;0.9;2111408514;0.763265306122449;0.4956521739130435;0.6150724414668539;0.8657407407407408;0.8205128205128205;0.5833333333333335;0.6918326955503611;0.9014084507042254;17;114;611;1942;340;1134;187;57;0;58;0;1.0;0.763265306122449;0.4956521739130435;1.0;0.0;271;808;160;49;0;35;0;1.0;0.8205128205128205;0.5833333333333334;1.0;0.0
PROFILE;cosineTokenNormalizedTermFrequency;1.0;1278763863;0.6244897959183673;0.3825503355704698;0.4887727293834075;0.7688442211055277;0.7589743589743589;0.5104166666666665;0.6224091599528099;0.8629737609329445;17;114;611;1942;340;1134;153;57;0;92;0;1.0;0.6244897959183674;0.3825503355704698;1.0;0.0;271;808;148;49;0;47;0;1.0;0.7589743589743589;0.5104166666666666;1.0;0.0
SET;tokenJaccardNormalized;0.5;2677661611;0.8441102756892231;0.6986723565670934;0.767956063533773;0.9471458773784355;0.8364207221350077;0.7591185410334347;0.7968327793692094;0.9556135770234986;17;114;611;1942;340;1134;224;53;4;21;0;0.9824561403508771;0.9142857142857143;0.7162162162162162;0.9298245614035088;0.0;271;808;183;44;5;12;0;0.973404255319149;0.9384615384615385;0.7857142857142857;0.8979591836734694;0.0
FINGERPRINT;winnowingTwoGramOptimalAlignment;0.0;10756134980;0.5503759398496242;0.7333969465648855;0.6353298621570479;0.9388560157790927;0.6018838304552592;0.7508813160987073;0.6722673000754805;0.9402985074626865;17;114;611;1942;340;1134;238;33;24;7;0;0.9083969465648855;0.9714285714285714;0.825;0.5789473684210527;0.0;271;808;189;31;18;6;0;0.9130434782608695;0.9692307692307692;0.8378378378378378;0.6326530612244898;0.0
FINGERPRINT;winnowingFourGramLongestCommonSubsequence;0.6;8824054783;0.85062656641604;0.6535181823183143;0.745586968445586;0.9353448275862069;0.8209314495028781;0.6809027777777779;0.7476459752661331;0.9386666666666666;17;114;611;1942;340;1134;217;55;2;28;0;0.9908675799086758;0.8857142857142857;0.6626506024096386;0.9649122807017544;0.0;271;808;176;45;4;19;0;0.9777777777777777;0.9025641025641026;0.703125;0.9183673469387755;0.0
FINGERPRINT;winnowingFourGramOptimalAlignmentNormalized;0.0;10625387633;0.4381668456856427;0.5718157181571817;0.5005503866129789;0.91699604743083;0.5099947671376244;0.6661654135338346;0.5828729492353605;0.9257425742574258;17;114;611;1942;340;1134;232;28;29;13;0;0.8888888888888888;0.9469387755102041;0.6829268292682927;0.49122807017543857;0.0;271;808;187;27;22;8;0;0.8947368421052632;0.958974358974359;0.7714285714285715;0.5510204081632653;0.0
FINGERPRINT;winnowingThreeGramJaccardNormalized;0.3;3094831725;0.8335123523093448;0.7473035439137132;0.7892317370561254;0.9563409563409563;0.8570381998953427;0.8844367642293984;0.8706297102307188;0.9744897959183674;17;114;611;1942;340;1134;230;51;6;15;0;0.9745762711864406;0.9387755102040817;0.7727272727272727;0.8947368421052632;0.0;271;808;191;43;6;4;0;0.9695431472081218;0.9794871794871794;0.9148936170212766;0.8775510204081632;0.0
SET;fourGramOverlapNormalizedPadding;0.3;2704042571;0.6421768707482993;0.7899929527836504;0.7122606280932658;0.9502982107355865;0.6886446886446886;0.8063725490196079;0.7451873408420407;0.9523809523809524;17;114;611;1942;340;1134;239;38;19;6;0;0.9263565891472868;0.9755102040816327;0.8636363636363636;0.6666666666666666;0.0;271;808;190;35;14;5;0;0.9313725490196079;0.9743589743589743;0.875;0.7142857142857143;0.0
FINGERPRINT;winnowingThreeGramJaccardNormalized;0.4;2127202219;0.8428929466523449;0.732163960937986;0.7855799376687719;0.9539748953974895;0.8161172161172161;0.8039175257731959;0.8099944031423063;0.9614395886889461;17;114;611;1942;340;1134;228;52;5;17;0;0.9785407725321889;0.9306122448979591;0.7536231884057971;0.9122807017543859;0.0;271;808;187;42;7;8;0;0.9639175257731959;0.958974358974359;0.84;0.8571428571428571;0.0
FINGERPRINT;winnowingFiveGramDice;0.6;1442616242;0.8861439312567132;0.7697331591714871;0.8258900457608573;0.9623430962343096;0.8670852956567243;0.797017797017797;0.8313136665367938;0.9635416666666666;17;114;611;1942;340;1134;230;54;3;15;0;0.9871244635193133;0.9387755102040817;0.782608695652174;0.9473684210526315;0.0;271;808;185;45;4;10;0;0.9788359788359788;0.9487179487179487;0.8181818181818182;0.9183673469387755;0.0
PROFILE;cosineTokenNormalizedTermFrequency;0.0;1412475370;0.5071249552452559;0.6757633587786258;0.5854028212068974;0.9309664694280079;0.5202511773940346;0.7139164153382165;0.6094389679374266;0.9310344827586207;17;114;611;1942;340;1134;236;31;26;9;0;0.9007633587786259;0.963265306122449;0.775;0.543859649122807;0.0;271;808;189;27;22;6;0;0.8957345971563981;0.9692307692307692;0.8181818181818182;0.5510204081632653;0.0
FINGERPRINT;winnowingFiveGramLongestCommonSubsequenceNormalized;0.5;5703931429;0.8453276047261009;0.6700913889992619;0.7526265666386832;0.9401709401709402;0.8312925170068026;0.7451918566469651;0.7870656987602929;0.9528795811518325;17;114;611;1942;340;1134;220;54;3;25;0;0.9865470852017937;0.8979591836734694;0.6835443037974683;0.9473684210526315;0.0;271;808;182;44;5;13;0;0.9732620320855615;0.9333333333333333;0.7719298245614035;0.8979591836734694;0.0
FINGERPRINT;winnowingTwoGramJaccardNormalized;0.0;2168817886;0.6246330110991765;0.7832450390589925;0.6994574377157703;0.9484126984126985;0.591627420198849;0.7070669168230144;0.6467767589423371;0.935;17;114;611;1942;340;1134;239;37;20;6;0;0.9227799227799228;0.9755102040816327;0.8604651162790697;0.6491228070175439;0.0;271;808;187;31;18;8;0;0.9121951219512195;0.958974358974359;0.7948717948717948;0.6326530612244898;0.0
FINGERPRINT;winnowingFourGramDiceNormalized;0.4;2073622903;0.8416756176154672;0.7716649159663866;0.8059103825725266;0.9606625258799173;0.8570381998953427;0.8844367642293984;0.8706297102307188;0.9744897959183674;17;114;611;1942;340;1134;232;51;6;13;0;0.9747899159663865;0.9469387755102041;0.796875;0.8947368421052632;0.0;271;808;191;43;6;4;0;0.9695431472081218;0.9794871794871794;0.9148936170212766;0.8775510204081632;0.0
PROFILE;cosineFiveGramNormalizedTermFrequency;1.0;3477828287;0.6244897959183673;0.3825503355704698;0.4887727293834075;0.7688442211055277;0.7538461538461538;0.5051546391752577;0.6170971413317434;0.8596491228070176;17;114;611;1942;340;1134;153;57;0;92;0;1.0;0.6244897959183674;0.3825503355704698;1.0;0.0;271;808;147;49;0;48;0;1.0;0.7538461538461538;0.5051546391752577;1.0;0.0
SET;twoShingleDiceNormalized;0.7;3560694303;0.8494092373791622;0.6789148351648353;0.7593922124849334;0.9424307036247336;0.8056514913657771;0.6822048918823111;0.7413631961205066;0.9389920424403183;17;114;611;1942;340;1134;221;54;3;24;10;0.9866071428571429;0.9020408163265307;0.6923076923076923;0.9473684210526315;0.008818342151675485;271;808;177;44;5;18;0;0.9725274725274725;0.9076923076923077;0.7096774193548387;0.8979591836734694;0.0
SET;threeGramOverlapNormalized;0.1;3427577279;0.48141783029001073;0.6282590412111018;0.549959184376378;0.9249011857707511;0.61716378859236;0.737585991244528;0.6746935339612528;0.9400000000000001;17;114;611;1942;340;1134;234;30;27;11;0;0.896551724137931;0.9551020408163265;0.7317073170731707;0.5263157894736842;0.0;271;808;188;32;17;7;0;0.9170731707317074;0.9641025641025641;0.8205128205128205;0.6530612244897959;0.0
SET;twoShingleJaccardNormalized;0.0;3506785800;0.42878625134264237;0.5968899521531101;0.5059033554423426;0.9194499017681729;0.5559392987964418;0.7094017094017095;0.6280002300077472;0.9330024813895781;17;114;611;1942;340;1134;234;27;30;11;10;0.8863636363636364;0.9551020408163265;0.7105263157894737;0.47368421052631576;0.008818342151675485;271;808;188;29;20;7;0;0.9038461538461539;0.9641025641025641;0.8055555555555556;0.5918367346938775;0.0
SET;threeShingleJaccardNormalized;0.1;3622277980;0.7662012173290367;0.7767131242740999;0.771439266134577;0.9572301425661914;0.8059654631083202;0.8317312884760772;0.8187470263141733;0.9642857142857143;17;114;611;1942;340;1134;235;46;11;10;10;0.9552845528455285;0.9591836734693877;0.8214285714285714;0.8070175438596491;0.008818342151675485;271;808;189;41;8;6;208;0.9593908629441624;0.9692307692307692;0.8723404255319149;0.8367346938775511;0.25742574257425743
SET;twoGramOverlap;0.9;1793858521;0.710705334765485;0.6922647694775756;0.7014244540489815;0.9426229508196722;0.7446363160648874;0.7446363160648874;0.7446363160648874;0.9487179487179487;17;114;611;1942;340;1134;230;44;13;15;0;0.9465020576131687;0.9387755102040817;0.7457627118644068;0.7719298245614035;0.0;271;808;185;39;10;10;0;0.9487179487179487;0.9487179487179487;0.7959183673469388;0.7959183673469388;0.0
PROFILE;cosineFourGramNormalizedNormalizedTermFrequency;0.3;2511125143;0.7825277479412818;0.8406153846153845;0.8110517023025544;0.9656565656565657;0.7294610151753007;0.8215464403583215;0.7741357118732063;0.9571788413098237;17;114;611;1942;340;1134;239;46;11;6;0;0.956;0.9755102040816327;0.8846153846153846;0.8070175438596491;0.0;271;808;190;37;12;5;0;0.9405940594059405;0.9743589743589743;0.8809523809523809;0.7551020408163265;0.0
SET;tokenOverlapNormalized;1.0;2564517129;0.614751163623344;0.40809050720159723;0.5008733514231143;0.8447488584474885;0.7849293563579278;0.5874060150375939;0.6790229932073242;0.9090909090909091;17;114;611;1942;340;1134;185;49;8;60;0;0.9585492227979274;0.7551020408163265;0.44954128440366975;0.8596491228070176;0.0;271;808;165;46;3;30;0;0.9821428571428571;0.8461538461538461;0.6052631578947368;0.9387755102040817;0.0
FINGERPRINT;winnowingTwoGramOptimalAlignmentNormalized;0.1;14371078387;0.7123523093447905;0.8159448818897639;0.7623911206934637;0.9579158316633267;0.7039246467817897;0.7927864214992928;0.7470354086168128;0.9521410579345089;17;114;611;1942;340;1134;239;42;15;6;0;0.9409448818897638;0.9755102040816327;0.875;0.7368421052631579;0.0;271;808;189;36;13;6;0;0.9356435643564357;0.9692307692307692;0.8571428571428571;0.7346938775510204;0.0
SET;fiveGramDice;0.3;1998729937;0.7796634443250985;0.7693612210288299;0.7744952030306584;0.9570552147239264;0.7754055468341181;0.8572255004049518;0.8152897692855299;0.9646464646464646;17;114;611;1942;340;1134;234;47;10;11;0;0.9590163934426229;0.9551020408163265;0.8103448275862069;0.8245614035087719;0.0;271;808;191;39;10;4;0;0.9502487562189055;0.9794871794871794;0.9069767441860465;0.7959183673469388;0.0
FINGERPRINT;winnowingTwoGramLongestCommonSubsequence;0.3;7616754664;0.815968492660222;0.7396949042518663;0.7768962196142046;0.9543568464730291;0.79570905285191;0.79570905285191;0.79570905285191;0.958974358974359;17;114;611;1942;340;1134;230;50;7;15;0;0.9704641350210971;0.9387755102040817;0.7692307692307693;0.8771929824561403;0.0;271;808;187;41;8;8;0;0.958974358974359;0.958974358974359;0.8367346938775511;0.8367346938775511;0.0
FINGERPRINT;winnowingFiveGramLongestCommonSubsequenceNormalized;0.0;5623745601;0.5071249552452559;0.6757633587786258;0.5854028212068974;0.9309664694280079;0.5355311355311354;0.6995215311004785;0.6120584611609562;0.9306930693069309;17;114;611;1942;340;1134;236;31;26;9;0;0.9007633587786259;0.963265306122449;0.775;0.543859649122807;0.0;271;808;188;28;21;7;0;0.8995215311004785;0.9641025641025641;0.8;0.5714285714285714;0.0
EDIT;damerauLevenshteinNormalized;0.5;28423803562;0.8657357679914071;0.7165718349928876;0.7876305402208446;0.9513742071881606;0.8160125588697018;0.7500721500721501;0.7823479369930455;0.953125;17;114;611;1942;340;1134;225;54;3;20;0;0.9868421052631579;0.9183673469387755;0.7297297297297297;0.9473684210526315;0.0;271;808;183;43;6;12;0;0.9682539682539683;0.9384615384615385;0.7818181818181819;0.8775510204081632;0.0
