MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
FINGERPRINT;winnowingTwoGramLongestCommonSubsequenceNormalized;0.3;1496255942;0.7761646313885118;0.8164906270815493;0.7960723249811701;0.9673590504451037;0.9007240547063555;0.8768796992481203;0.8887219127468707;0.9777777777777777;98;266;968;1961;578;1222;326;53;13;9;2;0.9616519174041298;0.9731343283582089;0.8548387096774194;0.803030303030303;0.0016366612111292963;390;739;220;51;4;6;0;0.9821428571428571;0.9734513274336283;0.8947368421052632;0.9272727272727272;0.0
FINGERPRINT;winnowingThreeGramJaccardNormalized;0.6;445383468;0.8225237449118046;0.6549265341400172;0.7339568280920588;0.945904173106646;0.9056315366049881;0.838822652757079;0.8715872004311822;0.9730941704035874;98;266;968;1961;578;1222;306;60;6;29;7;0.9807692307692307;0.9134328358208955;0.6741573033707865;0.9090909090909091;0.0057283142389525366;390;739;217;52;3;9;0;0.9863636363636363;0.9601769911504425;0.8524590163934426;0.9454545454545454;0.0
FINGERPRINT;winnowingTwoGramOverlapNormalized;0.5;437070890;0.736680235187698;0.8306813545491636;0.7822701167981001;0.9661266568483063;0.8599356395816571;0.8483333333333334;0.8541147859500147;0.9711751662971176;98;266;968;1961;578;1222;328;50;16;7;2;0.9534883720930233;0.9791044776119403;0.8771929824561403;0.7575757575757576;0.0016366612111292963;390;739;219;49;6;7;0;0.9733333333333334;0.9690265486725663;0.875;0.8909090909090909;0.0
PROFILE;cosineFiveGramNormalizedBool;0.7;954813464;0.8252826775214834;0.6975686214542396;0.7587432369838463;0.9541284403669724;0.9007240547063555;0.8768796992481203;0.8887219127468707;0.9777777777777777;98;266;968;1961;578;1222;312;59;7;23;146;0.9780564263322884;0.9313432835820895;0.7195121951219512;0.8939393939393939;0.11947626841243862;390;739;220;51;4;6;0;0.9821428571428571;0.9734513274336283;0.8947368421052632;0.9272727272727272;0.0
FINGERPRINT;winnowingFourGramDiceNormalized;0.0;418477957;0.6820443238353686;0.8448179271708685;0.7590805437509596;0.9635036496350364;0.841753821399839;0.841753821399839;0.8417538213998391;0.9690265486725663;98;266;968;1961;578;1222;330;46;20;5;104;0.9428571428571428;0.9850746268656716;0.9019607843137255;0.696969696969697;0.0851063829787234;390;739;219;48;7;7;0;0.9690265486725663;0.9690265486725663;0.8727272727272727;0.8727272727272727;0.0
SET;tokenJaccard;0.9;144394528;0.7253731343283583;0.4177215189873418;0.55045796161401;0.8408304498269896;0.8534995977473854;0.6455519045880491;0.742279119261049;0.9292452830188679;98;266;968;1961;578;1222;243;66;0;92;0;1.0;0.7253731343283583;0.4177215189873418;1.0;0.0;390;739;197;54;1;29;0;0.9949494949494949;0.8716814159292036;0.6506024096385542;0.9818181818181818;0.0
FINGERPRINT;winnowingFourGramJaccardNormalized;0.6;430418971;0.8167797376752599;0.6124186109603906;0.7072560444476067;0.9358372456964006;0.9056315366049881;0.838822652757079;0.8715872004311822;0.9730941704035874;98;266;968;1961;578;1222;299;61;5;36;104;0.9835526315789473;0.8925373134328358;0.6288659793814433;0.9242424242424242;0.0851063829787234;390;739;217;52;3;9;0;0.9863636363636363;0.9601769911504425;0.8524590163934426;0.9454545454545454;0.0
FINGERPRINT;winnowingThreeGramJaccard;0.6;319615553;0.8073722297602894;0.6480903282021493;0.7233603067397651;0.9444444444444445;0.9056315366049881;0.838822652757079;0.8715872004311822;0.9730941704035874;98;266;968;1961;578;1222;306;59;7;29;0;0.9776357827476039;0.9134328358208955;0.6704545454545454;0.8939393939393939;0.0;390;739;217;52;3;9;0;0.9863636363636363;0.9601769911504425;0.8524590163934426;0.9454545454545454;0.0
EDIT;levenshtein;0.1;4434189148;0.745635459068295;0.8798164158394706;0.8099520461856279;0.9706744868035191;0.8913917940466614;0.9038994942078644;0.8976238587402954;0.9801324503311258;98;266;968;1961;578;1222;331;50;16;4;0;0.9538904899135446;0.9880597014925373;0.9259259259259259;0.7575757575757576;0.0;390;739;222;50;5;4;0;0.9779735682819384;0.9823008849557522;0.9259259259259259;0.9090909090909091;0.0
FINGERPRINT;winnowingThreeGramJaccardNormalized;0.3;445941676;0.7610131162369966;0.8112825458052073;0.7857459247949714;0.965925925925926;0.9051488334674174;0.8929365079365079;0.8990219343927042;0.9800443458980044;98;266;968;1961;578;1222;326;52;14;9;7;0.9588235294117647;0.9731343283582089;0.8524590163934426;0.7878787878787878;0.0057283142389525366;390;739;221;51;4;5;0;0.9822222222222222;0.9778761061946902;0.9107142857142857;0.9272727272727272;0.0
