MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;threeGramDice;0.3;PROFILE;cosineTokenNormalizedTermFrequency;0.36;SET;fourGramDiceNormalizedPadding;0.26;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.27;5221007172;0.9084296898084561;0.8421835302050598;0.874679668853674;0.9885698355171452;0.9628799272173638;0.9520703867230886;0.9574599023842905;0.9956521739130434;97;799;3832;12700;2164;7393;1773;158;13;28;0;0.9927211646136618;0.9844530816213215;0.8494623655913979;0.9239766081871345;0.0;1668;5307;1374;151;5;7;0;0.9963741841914431;0.9949312092686459;0.9556962025316456;0.967948717948718;0.0
PROFILE;manhattanThreeGramNormalized;0.21;PROFILE;cosineTokenNormalizedTermFrequency;0.36;SET;threeGramJaccardNormalizedPadding;0.2;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.26;8692760648;0.897844277545613;0.8487629688747007;0.8729587473625402;0.988582567529936;0.9557455578454854;0.9450161096373266;0.9503656921829076;0.9949275362318841;97;799;3832;12700;2164;7393;1775;156;15;26;0;0.9916201117318436;0.9855635757912271;0.8571428571428571;0.9122807017543859;0.0;1668;5307;1373;150;6;8;0;0.9956490210297317;0.9942070963070239;0.9493670886075949;0.9615384615384616;0.0
PROFILE;manhattanThreeGramNormalized;0.24;PROFILE;cosineTokenNormalizedTermFrequency;0.37;SET;fourGramJaccardNormalizedPadding;0.15;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.27;8772131570;0.9084296898084561;0.8421835302050598;0.874679668853674;0.9885698355171452;0.9628799272173638;0.9520703867230886;0.9574599023842905;0.9956521739130434;97;799;3832;12700;2164;7393;1773;158;13;28;0;0.9927211646136618;0.9844530816213215;0.8494623655913979;0.9239766081871345;0.0;1668;5307;1374;151;5;7;0;0.9963741841914431;0.9949312092686459;0.9556962025316456;0.967948717948718;0.0
SET;fourGramJaccard;0.13;PROFILE;cosineTokenNormalizedTermFrequency;0.37;SET;fourGramDiceNormalizedPadding;0.31;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.26;6033485839;0.8961785362907546;0.8348492868918163;0.8649705266366526;0.987736900780379;0.9614317012941198;0.9401189179375453;0.950715588749591;0.9949238578680203;97;799;3832;12700;2164;7393;1772;156;15;29;0;0.9916060436485731;0.9838978345363687;0.8432432432432433;0.9122807017543859;0.0;1668;5307;1372;151;5;9;0;0.9963689179375453;0.9934829833454019;0.94375;0.967948717948718;0.0
PROFILE;manhattanThreeGramNormalized;0.24;PROFILE;cosineTokenNormalizedTermFrequency;0.37;FINGERPRINT;winnowingFourGramDiceNormalized;0.24;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.26;7904838290;0.9148328901097831;0.8481197847054149;0.8808449771675727;0.989127404516309;0.9685660706659982;0.9470951343500362;0.9577704384790232;0.9956490210297316;97;799;3832;12700;2164;7393;1774;159;12;27;0;0.9932810750279956;0.9850083287062743;0.8548387096774194;0.9298245614035088;0.0;1668;5307;1373;152;4;8;0;0.9970951343500363;0.9942070963070239;0.95;0.9743589743589743;0.0
PROFILE;manhattanThreeGramNormalized;0.2;PROFILE;cosineTokenNormalizedTermFrequency;0.36;SET;fourGramDiceNormalizedPadding;0.29;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.26;8580474538;0.8919963243292388;0.8474200344879708;0.8694225416483212;0.9883073496659243;0.9628799272173638;0.9520703867230886;0.9574599023842905;0.9956521739130434;97;799;3832;12700;2164;7393;1775;155;16;26;0;0.9910664433277498;0.9855635757912271;0.856353591160221;0.9064327485380117;0.0;1668;5307;1374;151;5;7;0;0.9963741841914431;0.9949312092686459;0.9556962025316456;0.967948717948718;0.0
PROFILE;manhattanThreeGramNormalized;0.23;PROFILE;cosineTokenNormalizedTermFrequency;0.37;FINGERPRINT;winnowingFourGramDiceNormalized;0.23;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.26;7906196080;0.9089849368934089;0.8467792918828174;0.877330964456828;0.9888517279821627;0.9692901836276202;0.9530720851475567;0.9611469275938171;0.9960130482058717;97;799;3832;12700;2164;7393;1774;158;13;27;0;0.9927252378287633;0.9850083287062743;0.8540540540540541;0.9239766081871345;0.0;1668;5307;1374;152;4;7;0;0.9970972423802612;0.9949312092686459;0.9559748427672956;0.9743589743589743;0.0
PROFILE;manhattanThreeGramNormalized;0.21;SET;tokenJaccardNormalized;0.37;SET;fourGramJaccardNormalizedPadding;0.15;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.27;8788331623;0.8972890304606602;0.8440744440066343;0.8702750941508861;0.988300835654596;0.9628799272173638;0.9520703867230886;0.9574599023842905;0.9956521739130434;97;799;3832;12700;2164;7393;1774;156;15;27;0;0.9916154276131918;0.9850083287062743;0.8524590163934426;0.9122807017543859;0.0;1668;5307;1374;151;5;7;0;0.9963741841914431;0.9949312092686459;0.9556962025316456;0.967948717948718;0.0
PROFILE;manhattanThreeGramNormalized;0.2;PROFILE;cosineTokenNormalizedTermFrequency;0.36;SET;fourGramDiceNormalizedPadding;0.28;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.26;8559506971;0.8919963243292388;0.8474200344879708;0.8694225416483212;0.9883073496659243;0.9628799272173638;0.9520703867230886;0.9574599023842905;0.9956521739130434;97;799;3832;12700;2164;7393;1775;155;16;26;0;0.9910664433277498;0.9855635757912271;0.856353591160221;0.9064327485380117;0.0;1668;5307;1374;151;5;7;0;0.9963741841914431;0.9949312092686459;0.9556962025316456;0.967948717948718;0.0
SET;fourGramDice;0.23;SET;tokenJaccardNormalized;0.37;SET;fourGramJaccardNormalizedPadding;0.17;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.26;5713642628;0.8956232892058018;0.8303110212043494;0.8623490522258765;0.987454697518818;0.9628799272173638;0.9520703867230886;0.9574599023842905;0.9956521739130434;97;799;3832;12700;2164;7393;1771;156;15;30;0;0.9916013437849944;0.9833425874514159;0.8387096774193549;0.9122807017543859;0.0;1668;5307;1374;151;5;7;0;0.9963741841914431;0.9949312092686459;0.9556962025316456;0.967948717948718;0.0
