MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;fiveGramDice;0.01;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;SET;tokenJaccardNormalized;0.05;SET;tokenJaccardNormalized;0.05;85401960;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fiveGramDice;0.06;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;PROFILE;cosineTokenNormalizedBool;0.1;SET;tokenDiceNormalized;0.1;89152195;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fourGramDice;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;SET;tokenDiceNormalized;0.08;SET;tokenDiceNormalized;0.11;84794360;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
PROFILE;cosineThreeGramNormalizedBool;0.14;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;PROFILE;cosineTokenNormalizedBool;0.1;SET;tokenJaccardNormalized;0.05;149738493;0.9738095238095239;0.9738095238095239;0.9738095238095238;0.996031746031746;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;251;44;1;1;0;0.996031746031746;0.996031746031746;0.9777777777777777;0.9777777777777777;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fiveGramDice;0.01;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;SET;tokenDiceNormalized;0.12;SET;cosineTokenNormalizedNormalizedTermFrequency;0.07;84644488;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fourGramJaccard;0.02;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;SET;tokenDiceNormalized;0.09;SET;cosineTokenNormalizedNormalizedTermFrequency;0.09;92126935;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fiveGramDice;0.06;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;SET;tokenDiceNormalized;0.11;SET;tokenDiceNormalized;0.08;84818463;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fourGramJaccard;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;SET;tokenDiceNormalized;0.09;SET;tokenDiceNormalized;0.11;92244692;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fiveGramDice;0.05;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.07;SET;tokenJaccardNormalized;0.05;89093154;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fiveGramDice;0.01;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.09;SET;tokenJaccardNormalized;0.05;89107024;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fiveGramDice;0.02;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;SET;tokenDiceNormalized;0.12;SET;cosineTokenNormalizedNormalizedTermFrequency;0.09;85025718;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fiveGramDice;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;SET;tokenDiceNormalized;0.08;SET;cosineTokenNormalizedNormalizedTermFrequency;0.09;85037333;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
PROFILE;cosineThreeGramNormalizedBool;0.14;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.09;SET;tokenDiceNormalized;0.1;149491358;0.9738095238095239;0.9738095238095239;0.9738095238095238;0.996031746031746;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;251;44;1;1;0;0.996031746031746;0.996031746031746;0.9777777777777777;0.9777777777777777;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fourGramDice;0.05;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;SET;tokenDiceNormalized;0.1;SET;cosineTokenNormalizedNormalizedTermFrequency;0.08;82521658;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fourGramDice;0.06;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;SET;tokenDiceNormalized;0.1;SET;tokenDiceNormalized;0.09;82449362;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fiveGramDice;0.05;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;SET;tokenJaccardNormalized;0.06;SET;tokenJaccardNormalized;0.06;85199713;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fourGramJaccard;0.04;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;SET;tokenDiceNormalized;0.11;SET;tokenDiceNormalized;0.1;91893113;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fiveGramDice;0.04;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.09;SET;tokenDiceNormalized;0.08;89316460;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fiveGramDice;0.02;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;SET;tokenDiceNormalized;0.09;SET;cosineTokenNormalizedBool;0.1;84776639;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fourGramJaccardNormalized;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;SET;tokenDiceNormalized;0.12;SET;tokenDiceNormalized;0.1;105196486;0.9738095238095239;0.9738095238095239;0.9738095238095238;0.996031746031746;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;251;44;1;1;0;0.996031746031746;0.996031746031746;0.9777777777777777;0.9777777777777777;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fourGramDice;0.07;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;SET;tokenDiceNormalized;0.11;SET;tokenDiceNormalized;0.08;82445202;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fourGramJaccard;0.04;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.08;SET;tokenDiceNormalized;0.12;96388880;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
SET;fiveGramDice;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.09;SET;tokenJaccardNormalized;0.06;96732157;1.0;1.0;1.0;1.0;0.9863945578231292;0.9574468085106385;0.9718129044831713;0.9931506849315068;98;253;729;1016;450;653;252;45;0;0;0;1.0;1.0;1.0;1.0;0.0;279;363;145;45;0;2;0;1.0;0.9863945578231292;0.9574468085106383;1.0;0.0
