MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;fiveGramDice;0.01;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.09;SET;tokenDiceNormalized;0.09;1321493508;0.613195853053865;0.8068653618030841;0.7033963987897989;0.9446494464944648;0.7943548387096775;0.9087742421389571;0.8496406396458449;0.9706546275395034;18;121;669;2174;368;1244;256;43;25;5;0;0.9110320284697508;0.9808429118773946;0.8958333333333334;0.6323529411764706;0.0;301;930;215;45;11;2;0;0.9513274336283186;0.9907834101382489;0.9574468085106383;0.8035714285714286;0.0
SET;fiveGramDice;0.01;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;PROFILE;cosineTokenNormalizedBool;0.1;SET;tokenJaccardNormalized;0.05;1316952857;0.613195853053865;0.8068653618030841;0.7033963987897989;0.9446494464944648;0.7943548387096775;0.9087742421389571;0.8496406396458449;0.9706546275395034;18;121;669;2174;368;1244;256;43;25;5;0;0.9110320284697508;0.9808429118773946;0.8958333333333334;0.6323529411764706;0.0;301;930;215;45;11;2;0;0.9513274336283186;0.9907834101382489;0.9574468085106383;0.8035714285714286;0.0
SET;fourGramDice;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;SET;tokenDiceNormalized;0.09;SET;tokenDiceNormalized;0.08;1239683339;0.5652467883705206;0.7706252880626825;0.6599950523409539;0.9375;0.7897465437788018;0.888611111111111;0.8377216445594806;0.9683257918552037;18;121;669;2174;368;1244;255;40;28;6;0;0.901060070671378;0.9770114942528736;0.8695652173913043;0.5882352941176471;0.0;301;930;214;45;11;3;0;0.9511111111111111;0.9861751152073732;0.9375;0.8035714285714286;0.0
SET;fourGramDice;0.04;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.09;SET;cosineTokenNormalizedBool;0.1;1314900707;0.594658553076403;0.782473309608541;0.682132279043236;0.940959409594096;0.7943548387096775;0.9087742421389571;0.8496406396458449;0.9706546275395034;18;121;669;2174;368;1244;255;42;26;6;0;0.9074733096085409;0.9770114942528736;0.875;0.6176470588235294;0.0;301;930;215;45;11;2;0;0.9513274336283186;0.9907834101382489;0.9574468085106383;0.8035714285714286;0.0
SET;fourGramDice;0.06;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;SET;tokenDiceNormalized;0.11;SET;tokenDiceNormalized;0.11;1248085331;0.594658553076403;0.782473309608541;0.682132279043236;0.940959409594096;0.7897465437788018;0.888611111111111;0.8377216445594806;0.9683257918552037;18;121;669;2174;368;1244;255;42;26;6;0;0.9074733096085409;0.9770114942528736;0.875;0.6176470588235294;0.0;301;930;214;45;11;3;0;0.9511111111111111;0.9861751152073732;0.9375;0.8035714285714286;0.0
SET;fiveGramDice;0.06;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.08;SET;tokenDiceNormalized;0.09;1321651475;0.66114491773721;0.841146953405018;0.7457345595544471;0.9518518518518518;0.7943548387096775;0.9087742421389571;0.8496406396458449;0.9706546275395034;18;121;669;2174;368;1244;257;46;22;4;0;0.921146953405018;0.9846743295019157;0.92;0.6764705882352942;0.0;301;930;215;45;11;2;0;0.9513274336283186;0.9907834101382489;0.9574468085106383;0.8035714285714286;0.0
SET;fourGramJaccardNormalized;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;SET;tokenJaccardNormalized;0.06;SET;cosineTokenNormalizedNormalizedTermFrequency;0.09;1436462632;0.613195853053865;0.8068653618030841;0.7033963987897989;0.9446494464944648;0.7851382488479262;0.8692602040816326;0.8261291874917894;0.9659863945578231;18;121;669;2174;368;1244;256;43;25;5;0;0.9110320284697508;0.9808429118773946;0.8958333333333334;0.6323529411764706;0.0;301;930;213;45;11;4;0;0.9508928571428571;0.9815668202764977;0.9183673469387755;0.8035714285714286;0.0
SET;fourGramDice;0.05;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.08;SET;tokenDiceNormalized;0.1;1380274580;0.5799526707234617;0.7765957446808511;0.6711101073595415;0.9392265193370166;0.7943548387096775;0.9087742421389571;0.8496406396458449;0.9706546275395034;18;121;669;2174;368;1244;255;41;27;6;0;0.9042553191489362;0.9770114942528736;0.8723404255319149;0.6029411764705882;0.0;301;930;215;45;11;2;0;0.9513274336283186;0.9907834101382489;0.9574468085106383;0.8035714285714286;0.0
SET;fiveGramDice;0.01;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;PROFILE;cosineTokenNormalizedBool;0.1;SET;tokenDiceNormalized;0.12;1332036630;0.613195853053865;0.8068653618030841;0.7033963987897989;0.9446494464944648;0.7943548387096775;0.9087742421389571;0.8496406396458449;0.9706546275395034;18;121;669;2174;368;1244;256;43;25;5;0;0.9110320284697508;0.9808429118773946;0.8958333333333334;0.6323529411764706;0.0;301;930;215;45;11;2;0;0.9513274336283186;0.9907834101382489;0.9574468085106383;0.8035714285714286;0.0
SET;fourGramDice;0.07;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.08;SET;cosineTokenNormalizedNormalizedTermFrequency;0.09;1313546449;0.594658553076403;0.782473309608541;0.682132279043236;0.940959409594096;0.7943548387096775;0.9087742421389571;0.8496406396458449;0.9706546275395034;18;121;669;2174;368;1244;255;42;26;6;0;0.9074733096085409;0.9770114942528736;0.875;0.6176470588235294;0.0;301;930;215;45;11;2;0;0.9513274336283186;0.9907834101382489;0.9574468085106383;0.8035714285714286;0.0
