MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;fourGramDice;0.04;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;SET;tokenDiceNormalized;0.11;SET;cosineTokenNormalizedBool;0.1;132638328;0.9767441860465116;0.9966442953020134;0.9866440700641059;0.9983193277310924;1.0;1.0;1.0;1.0;97;244;890;1495;535;938;297;42;1;0;0;0.9966442953020134;1.0;1.0;0.9767441860465116;0.0;355;557;191;38;0;0;0;1.0;1.0;1.0;1.0;0.0
SET;fourGramDice;0.05;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.07;SET;cosineTokenNormalizedBool;0.1;144846259;0.9767441860465116;0.9966442953020134;0.9866440700641059;0.9983193277310924;1.0;1.0;1.0;1.0;97;244;890;1495;535;938;297;42;1;0;0;0.9966442953020134;1.0;1.0;0.9767441860465116;0.0;355;557;191;38;0;0;0;1.0;1.0;1.0;1.0;0.0
SET;fiveGramDice;0.06;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.09;SET;cosineTokenNormalizedNormalizedTermFrequency;0.07;145031053;0.9932659932659933;0.9555555555555557;0.974228329504807;0.9966216216216216;1.0;1.0;1.0;1.0;97;244;890;1495;535;938;295;43;0;2;0;1.0;0.9932659932659933;0.9555555555555556;1.0;0.0;355;557;191;38;0;0;0;1.0;1.0;1.0;1.0;0.0
SET;fourGramDice;0.05;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.08;SET;cosineTokenNormalizedBool;0.1;142581857;0.9767441860465116;0.9966442953020134;0.9866440700641059;0.9983193277310924;1.0;1.0;1.0;1.0;97;244;890;1495;535;938;297;42;1;0;0;0.9966442953020134;1.0;1.0;0.9767441860465116;0.0;355;557;191;38;0;0;0;1.0;1.0;1.0;1.0;0.0
SET;fiveGramDice;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;PROFILE;cosineTokenNormalizedBool;0.1;SET;tokenDiceNormalized;0.08;145317515;0.9767441860465116;0.9966442953020134;0.9866440700641059;0.9983193277310924;1.0;1.0;1.0;1.0;97;244;890;1495;535;938;297;42;1;0;0;0.9966442953020134;1.0;1.0;0.9767441860465116;0.0;355;557;191;38;0;0;0;1.0;1.0;1.0;1.0;0.0
SET;fourGramJaccard;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;SET;tokenJaccardNormalized;0.06;SET;cosineTokenNormalizedBool;0.1;147291002;0.9501213687260199;0.969479066794503;0.9597514146350699;0.9949579831932773;1.0;1.0;1.0;1.0;97;244;890;1495;535;938;296;41;2;1;0;0.9932885906040269;0.9966329966329966;0.9761904761904762;0.9534883720930233;0.0;355;557;191;38;0;0;0;1.0;1.0;1.0;1.0;0.0
SET;fiveGramDice;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;SET;tokenJaccardNormalized;0.05;SET;cosineTokenNormalizedBool;0.1;136587211;0.9767441860465116;0.9966442953020134;0.9866440700641059;0.9983193277310924;1.0;1.0;1.0;1.0;97;244;890;1495;535;938;297;42;1;0;0;0.9966442953020134;1.0;1.0;0.9767441860465116;0.0;355;557;191;38;0;0;0;1.0;1.0;1.0;1.0;0.0
SET;fiveGramDice;0.04;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;SET;tokenDiceNormalized;0.11;SET;tokenDiceNormalized;0.11;135147622;0.9733771826795081;0.9733771826795081;0.9733771826795082;0.9966329966329966;1.0;1.0;1.0;1.0;97;244;890;1495;535;938;296;42;1;1;0;0.9966329966329966;0.9966329966329966;0.9767441860465116;0.9767441860465116;0.0;355;557;191;38;0;0;0;1.0;1.0;1.0;1.0;0.0
SET;fourGramJaccard;0.04;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.07;SET;cosineTokenNormalizedNormalizedTermFrequency;0.07;152850394;0.9467543653590167;0.9467543653590167;0.9467543653590165;0.9932659932659933;1.0;1.0;1.0;1.0;97;244;890;1495;535;938;295;41;2;2;0;0.9932659932659933;0.9932659932659933;0.9534883720930233;0.9534883720930233;0.0;355;557;191;38;0;0;0;1.0;1.0;1.0;1.0;0.0
SET;fourGramJaccard;0.04;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.09;SET;tokenDiceNormalized;0.09;152972860;0.9467543653590167;0.9467543653590167;0.9467543653590165;0.9932659932659933;1.0;1.0;1.0;1.0;97;244;890;1495;535;938;295;41;2;2;0;0.9932659932659933;0.9932659932659933;0.9534883720930233;0.9534883720930233;0.0;355;557;191;38;0;0;0;1.0;1.0;1.0;1.0;0.0
