MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;cosineFiveGramNormalizedBool;0.04;PROFILE;cosineTokenNormalizedBool;0.15;PROFILE;cosineTokenNormalizedBool;0.1;SET;tokenJaccardNormalized;0.05;216891529;0.8672480620155039;0.9267888578233405;0.8965243113518196;0.9865125240847785;1.0;1.0;1.0;1.0;98;242;786;1101;478;717;256;35;5;2;0;0.9808429118773946;0.9922480620155039;0.9459459459459459;0.875;0.0;308;384;153;47;0;0;0;1.0;1.0;1.0;1.0;0.0
PROFILE;cosineFiveGramNormalizedBool;0.1;PROFILE;cosineTokenNormalizedBool;0.16;SET;tokenDiceNormalized;0.08;SET;tokenDiceNormalized;0.09;205038494;0.8633720930232558;0.9018218623481782;0.8823875729120834;0.9845559845559845;1.0;1.0;1.0;1.0;98;242;786;1101;478;717;255;35;5;3;0;0.9807692307692307;0.9883720930232558;0.9210526315789473;0.875;0.0;308;384;153;47;0;0;0;1.0;1.0;1.0;1.0;0.0
PROFILE;manhattanFourGramNormalized;0.05;PROFILE;cosineTokenNormalizedBool;0.16;SET;tokenJaccardNormalized;0.05;SET;tokenDiceNormalized;0.1;197331061;0.8672480620155039;0.9267888578233405;0.8965243113518196;0.9865125240847785;1.0;1.0;1.0;1.0;98;242;786;1101;478;717;256;35;5;2;0;0.9808429118773946;0.9922480620155039;0.9459459459459459;0.875;0.0;308;384;153;47;0;0;0;1.0;1.0;1.0;1.0;0.0
SET;fiveGramDice;0.03;PROFILE;cosineTokenNormalizedBool;0.16;SET;tokenDiceNormalized;0.08;SET;tokenDiceNormalized;0.09;128976766;0.8672480620155039;0.9267888578233405;0.8965243113518196;0.9865125240847785;1.0;1.0;1.0;1.0;98;242;786;1101;478;717;256;35;5;2;0;0.9808429118773946;0.9922480620155039;0.9459459459459459;0.875;0.0;308;384;153;47;0;0;0;1.0;1.0;1.0;1.0;0.0
SET;fourGramDice;0.05;PROFILE;cosineTokenNormalizedBool;0.18;SET;tokenDiceNormalized;0.11;SET;tokenJaccardNormalized;0.05;131879499;0.8672480620155039;0.9267888578233405;0.8965243113518196;0.9865125240847785;0.9934640522875817;0.9791666666666665;0.9862894527123315;0.9967213114754099;98;242;786;1101;478;717;256;35;5;2;0;0.9808429118773946;0.9922480620155039;0.9459459459459459;0.875;0.0;308;384;152;47;0;1;0;1.0;0.9934640522875817;0.9791666666666666;1.0;0.0
SET;fourGramDice;0.06;PROFILE;cosineTokenNormalizedBool;0.15;SET;tokenDiceNormalized;0.1;SET;tokenDiceNormalized;0.09;125827464;0.8672480620155039;0.9267888578233405;0.8965243113518196;0.9865125240847785;1.0;1.0;1.0;1.0;98;242;786;1101;478;717;256;35;5;2;0;0.9808429118773946;0.9922480620155039;0.9459459459459459;0.875;0.0;308;384;153;47;0;0;0;1.0;1.0;1.0;1.0;0.0
PROFILE;cosineFiveGramNormalizedBool;0.08;PROFILE;cosineTokenNormalizedBool;0.16;SET;tokenDiceNormalized;0.1;SET;tokenDiceNormalized;0.09;214861264;0.8633720930232558;0.9018218623481782;0.8823875729120834;0.9845559845559845;1.0;1.0;1.0;1.0;98;242;786;1101;478;717;255;35;5;3;0;0.9807692307692307;0.9883720930232558;0.9210526315789473;0.875;0.0;308;384;153;47;0;0;0;1.0;1.0;1.0;1.0;0.0
SET;fiveGramJaccard;0.02;PROFILE;cosineTokenNormalizedBool;0.18;SET;tokenJaccardNormalized;0.05;SET;tokenJaccardNormalized;0.05;139607973;0.8672480620155039;0.9267888578233405;0.8965243113518196;0.9865125240847785;1.0;1.0;1.0;1.0;98;242;786;1101;478;717;256;35;5;2;0;0.9808429118773946;0.9922480620155039;0.9459459459459459;0.875;0.0;308;384;153;47;0;0;0;1.0;1.0;1.0;1.0;0.0
PROFILE;cosineFourGramNormalizedBool;0.17;PROFILE;cosineTokenNormalizedBool;0.14;PROFILE;cosineTokenNormalizedBool;0.1;SET;tokenJaccardNormalized;0.05;207060748;0.8844961240310076;0.8844961240310076;0.8844961240310077;0.9844961240310077;1.0;1.0;1.0;1.0;98;242;786;1101;478;717;254;36;4;4;0;0.9844961240310077;0.9844961240310077;0.9;0.9;0.0;308;384;153;47;0;0;0;1.0;1.0;1.0;1.0;0.0
PROFILE;cosineFourGramNormalizedBool;0.07;PROFILE;cosineTokenNormalizedBool;0.18;SET;tokenJaccardNormalized;0.06;SET;tokenJaccardNormalized;0.05;200660720;0.8672480620155039;0.9267888578233405;0.8965243113518196;0.9865125240847785;0.9934640522875817;0.9791666666666665;0.9862894527123315;0.9967213114754099;98;242;786;1101;478;717;256;35;5;2;0;0.9808429118773946;0.9922480620155039;0.9459459459459459;0.875;0.0;308;384;152;47;0;1;0;1.0;0.9934640522875817;0.9791666666666666;1.0;0.0
