MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;fiveGramJaccard;0.02;PROFILE;cosineTokenNormalizedBool;0.19;PROFILE;cosineTokenNormalizedBool;0.1;SET;tokenDiceNormalized;0.1;4988065339;0.891506290649323;0.9218784454244764;0.9065651842586606;0.9922694643843181;0.9884596297718145;0.955525887038378;0.9718532628639673;0.9971098265895953;97;799;3830;12720;2162;7400;1797;149;17;11;0;0.9906284454244763;0.9939159292035398;0.93125;0.8975903614457831;0.0;1668;5320;1380;153;1;7;0;0.999275887038378;0.9949531362653208;0.95625;0.9935064935064936;0.0
PROFILE;cosineFourGramNormalizedBool;0.17;PROFILE;cosineTokenNormalizedBool;0.14;SET;tokenDiceNormalized;0.11;SET;tokenDiceNormalized;0.09;7531514252;0.9079192877705511;0.9079192877705511;0.9079192877705512;0.9922566371681416;0.9826871038118334;0.9605791848577208;0.9715702636195519;0.9971119133574007;97;799;3830;12720;2162;7400;1794;152;14;14;0;0.9922566371681416;0.9922566371681416;0.9156626506024096;0.9156626506024096;0.0;1668;5320;1381;152;2;6;0;0.9985538684020245;0.9956741167988464;0.9620253164556962;0.987012987012987;0.0
SET;fourGramJaccard;0.03;PROFILE;cosineTokenNormalizedBool;0.18;SET;tokenDiceNormalized;0.09;SET;tokenDiceNormalized;0.08;4674090309;0.8854821942637807;0.9209002546909923;0.9030175957432139;0.991995583770356;0.98918061030534;0.961540561941949;0.9752626722555707;0.9974720115565185;97;799;3830;12720;2162;7400;1797;148;18;11;0;0.9900826446280991;0.9939159292035398;0.9308176100628931;0.891566265060241;0.0;1668;5320;1381;153;1;6;0;0.9992764109985528;0.9956741167988464;0.9622641509433962;0.9935064935064936;0.0
PROFILE;cosineFiveGramNormalizedBool;0.04;PROFILE;cosineTokenNormalizedBool;0.14;SET;tokenDiceNormalized;0.11;SET;tokenDiceNormalized;0.1;7853247267;0.8926124853395883;0.9336767412033682;0.9129137508381096;0.9928256070640176;0.9826871038118334;0.9605791848577208;0.9715702636195519;0.9971119133574007;97;799;3830;12720;2162;7400;1799;149;17;9;0;0.9906387665198237;0.9950221238938053;0.9430379746835443;0.8975903614457831;0.0;1668;5320;1381;152;2;6;0;0.9985538684020245;0.9956741167988464;0.9620253164556962;0.987012987012987;0.0
PROFILE;manhattanFourGramNormalized;0.05;PROFILE;cosineTokenNormalizedBool;0.15;SET;tokenDiceNormalized;0.11;SET;tokenDiceNormalized;0.08;7419197390;0.8909531933041901;0.9160891148468788;0.9034337398083137;0.991991162662248;0.9826871038118334;0.9605791848577208;0.9715702636195519;0.9971119133574007;97;799;3830;12720;2162;7400;1796;149;17;12;0;0.9906232763375621;0.9933628318584071;0.9254658385093167;0.8975903614457831;0.0;1668;5320;1381;152;2;6;0;0.9985538684020245;0.9956741167988464;0.9620253164556962;0.987012987012987;0.0
PROFILE;cosineFiveGramNormalizedBool;0.07;PROFILE;cosineTokenNormalizedBool;0.15;SET;tokenDiceNormalized;0.09;SET;tokenJaccardNormalized;0.05;8001953225;0.891506290649323;0.9218784454244764;0.9065651842586606;0.9922694643843181;0.98918061030534;0.961540561941949;0.9752626722555707;0.9974720115565185;97;799;3830;12720;2162;7400;1797;149;17;11;0;0.9906284454244763;0.9939159292035398;0.93125;0.8975903614457831;0.0;1668;5320;1381;153;1;6;0;0.9992764109985528;0.9956741167988464;0.9622641509433962;0.9935064935064936;0.0
SET;fiveGramDiceNormalized;0.03;PROFILE;cosineTokenNormalizedBool;0.14;SET;tokenJaccardNormalized;0.05;SET;tokenDiceNormalized;0.1;4969204610;0.8849290969186481;0.9150771775082691;0.8998768917486758;0.9917172832689122;0.98918061030534;0.961540561941949;0.9752626722555707;0.9974720115565185;97;799;3830;12720;2162;7400;1796;148;18;12;0;0.9900771775082691;0.9933628318584071;0.925;0.891566265060241;0.0;1668;5320;1381;153;1;6;0;0.9992764109985528;0.9956741167988464;0.9622641509433962;0.9935064935064936;0.0
PROFILE;cosineFiveGramNormalizedBool;0.06;PROFILE;cosineTokenNormalizedBool;0.16;SET;tokenDiceNormalized;0.12;SET;tokenJaccardNormalized;0.05;7773835645;0.8920593879944556;0.9277405270544206;0.9097250391089718;0.9925476124758487;0.9826871038118334;0.9605791848577208;0.9715702636195519;0.9971119133574007;97;799;3830;12720;2162;7400;1798;149;17;10;0;0.990633608815427;0.9944690265486725;0.9371069182389937;0.8975903614457831;0.0;1668;5320;1381;152;2;6;0;0.9985538684020245;0.9956741167988464;0.9620253164556962;0.987012987012987;0.0
PROFILE;cosineFourGramNormalizedBool;0.17;PROFILE;cosineTokenNormalizedBool;0.15;PROFILE;cosineTokenNormalizedBool;0.1;SET;tokenDiceNormalized;0.09;7855877971;0.9079192877705511;0.9079192877705511;0.9079192877705512;0.9922566371681416;0.9884596297718145;0.955525887038378;0.9718532628639673;0.9971098265895953;97;799;3830;12720;2162;7400;1794;152;14;14;0;0.9922566371681416;0.9922566371681416;0.9156626506024096;0.9156626506024096;0.0;1668;5320;1380;153;1;7;0;0.999275887038378;0.9949531362653208;0.95625;0.9935064935064936;0.0
PROFILE;manhattanFourGramNormalized;0.04;PROFILE;cosineTokenNormalizedBool;0.15;SET;tokenJaccardNormalized;0.06;SET;tokenDiceNormalized;0.1;7511405154;0.8849290969186481;0.9150771775082691;0.8998768917486758;0.9917172832689122;0.9826871038118334;0.9605791848577208;0.9715702636195519;0.9971119133574007;97;799;3830;12720;2162;7400;1796;148;18;12;0;0.9900771775082691;0.9933628318584071;0.925;0.891566265060241;0.0;1668;5320;1381;152;2;6;0;0.9985538684020245;0.9956741167988464;0.9620253164556962;0.987012987012987;0.0
SET;fiveGramDice;0.04;PROFILE;cosineTokenNormalizedBool;0.18;SET;tokenJaccardNormalized;0.06;SET;tokenJaccardNormalized;0.05;4310079841;0.8849290969186481;0.9150771775082691;0.8998768917486758;0.9917172832689122;0.9826871038118334;0.9605791848577208;0.9715702636195519;0.9971119133574007;97;799;3830;12720;2162;7400;1796;148;18;12;0;0.9900771775082691;0.9933628318584071;0.925;0.891566265060241;0.0;1668;5320;1381;152;2;6;0;0.9985538684020245;0.9956741167988464;0.9620253164556962;0.987012987012987;0.0
PROFILE;cosineFiveGramNormalizedBool;0.06;PROFILE;cosineTokenNormalizedBool;0.16;SET;tokenDiceNormalized;0.12;SET;tokenDiceNormalized;0.09;7896746585;0.8920593879944556;0.9277405270544206;0.9097250391089718;0.9925476124758487;0.9826871038118334;0.9605791848577208;0.9715702636195519;0.9971119133574007;97;799;3830;12720;2162;7400;1798;149;17;10;0;0.990633608815427;0.9944690265486725;0.9371069182389937;0.8975903614457831;0.0;1668;5320;1381;152;2;6;0;0.9985538684020245;0.9956741167988464;0.9620253164556962;0.987012987012987;0.0
SET;fourGramDice;0.06;PROFILE;cosineTokenNormalizedBool;0.14;SET;tokenDiceNormalized;0.08;SET;tokenDiceNormalized;0.1;4207819858;0.8920593879944556;0.9277405270544206;0.9097250391089718;0.9925476124758487;0.98918061030534;0.961540561941949;0.9752626722555707;0.9974720115565185;97;799;3830;12720;2162;7400;1798;149;17;10;0;0.990633608815427;0.9944690265486725;0.9371069182389937;0.8975903614457831;0.0;1668;5320;1381;153;1;6;0;0.9992764109985528;0.9956741167988464;0.9622641509433962;0.9935064935064936;0.0
PROFILE;cosineFourGramNormalizedBool;0.07;PROFILE;cosineTokenNormalizedBool;0.19;SET;tokenDiceNormalized;0.12;SET;tokenDiceNormalized;0.1;7603780836;0.8926124853395883;0.9336767412033682;0.9129137508381096;0.9928256070640176;0.9826871038118334;0.9605791848577208;0.9715702636195519;0.9971119133574007;97;799;3830;12720;2162;7400;1799;149;17;9;0;0.9906387665198237;0.9950221238938053;0.9430379746835443;0.8975903614457831;0.0;1668;5320;1381;152;2;6;0;0.9985538684020245;0.9956741167988464;0.9620253164556962;0.987012987012987;0.0
PROFILE;cosineFiveGramNormalizedBool;0.07;PROFILE;cosineTokenNormalizedBool;0.15;PROFILE;cosineTokenNormalizedBool;0.1;SET;tokenJaccardNormalized;0.05;8127104950;0.891506290649323;0.9218784454244764;0.9065651842586606;0.9922694643843181;0.9884596297718145;0.955525887038378;0.9718532628639673;0.9971098265895953;97;799;3830;12720;2162;7400;1797;149;17;11;0;0.9906284454244763;0.9939159292035398;0.93125;0.8975903614457831;0.0;1668;5320;1380;153;1;7;0;0.999275887038378;0.9949531362653208;0.95625;0.9935064935064936;0.0
