MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;manhattanThreeGramNormalized;0.2;448337285;0.9420997920997922;0.9645593869731801;0.9532634462389377;0.9942418426103647;0.9498992225741434;0.9646198830409356;0.9572312557476098;0.9900990099009901;98;242;787;1116;483;731;259;35;2;1;0;0.9923371647509579;0.9961538461538462;0.9722222222222222;0.9459459459459459;0.0;304;385;150;44;2;1;0;0.9868421052631579;0.9933774834437086;0.9777777777777777;0.9565217391304348;0.0
SET;threeGramDiceNormalizedPadding;0.9;267809647;0.8076923076923077;0.4252873563218391;0.5860898619324062;0.8936170212765957;0.9072847682119205;0.7666666666666666;0.8340173792928253;0.9513888888888888;98;242;787;1116;483;731;210;37;0;50;0;1.0;0.8076923076923077;0.42528735632183906;1.0;0.0;304;385;137;46;0;14;0;1.0;0.9072847682119205;0.7666666666666667;1.0;0.0
SET;twoShingleDice;0.9;136517844;0.7384615384615385;0.35238095238095246;0.5101174180713498;0.8495575221238938;0.8410596026490067;0.657142857142857;0.7434354782442147;0.9136690647482013;98;242;787;1116;483;731;192;37;0;68;70;1.0;0.7384615384615385;0.3523809523809524;1.0;0.09575923392612859;304;385;127;46;0;24;12;1.0;0.8410596026490066;0.6571428571428571;1.0;0.03116883116883117
PROFILE;cosineTwoShingleNormalizedTermFrequency;0.0;388287695;0.8031185031185033;0.9110849056603774;0.8553999916108399;0.9828571428571429;0.8931759285919953;0.9070175438596491;0.9000701289266704;0.976897689768977;98;242;787;1116;483;731;258;30;7;2;22;0.9735849056603774;0.9923076923076923;0.9375;0.8108108108108109;0.030095759233926128;304;385;148;42;4;3;1;0.9736842105263158;0.9801324503311258;0.9333333333333333;0.9130434782608695;0.0025974025974025974
SET;twoGramOverlap;1.0;178760924;0.6958419958419959;0.3549310710498408;0.4969667442250623;0.8688172043010753;0.8089547941261159;0.6713261648745519;0.7369345422068151;0.923076923076923;98;242;787;1116;483;731;202;34;3;58;0;0.9853658536585366;0.7769230769230769;0.3695652173913043;0.918918918918919;0.0;304;385;132;43;3;19;0;0.9777777777777777;0.8741721854304636;0.6935483870967742;0.9347826086956522;0.0
FINGERPRINT;winnowingFiveGramJaccard;0.2;146668998;0.9305613305613307;0.8896839594514012;0.9098931195949164;0.9884169884169884;0.9432767060178522;0.9432767060178522;0.943276706017852;0.9867549668874173;98;242;787;1116;483;731;256;35;2;4;15;0.9922480620155039;0.9846153846153847;0.8974358974358975;0.9459459459459459;0.02051983584131327;304;385;149;44;2;2;0;0.9867549668874173;0.9867549668874173;0.9565217391304348;0.9565217391304348;0.0
PROFILE;cosineFourGramNormalizedTermFrequency;0.9;543808311;0.823076923076923;0.4457831325301205;0.6057341075773129;0.9029535864978903;0.8704290238986467;0.7576441102756892;0.8120809216881202;0.9484536082474228;98;242;787;1116;483;731;214;37;0;46;0;1.0;0.823076923076923;0.4457831325301205;1.0;0.0;304;385;138;44;2;13;0;0.9857142857142858;0.9139072847682119;0.7719298245614035;0.9565217391304348;0.0
FINGERPRINT;winnowingFiveGramJaccardNormalized;0.5;207111958;0.89989604989605;0.6504132231404958;0.7650518219730545;0.9601593625498008;0.9385257702274692;0.8755036261079774;0.9064671615838775;0.9764309764309764;98;242;787;1116;483;731;241;36;1;19;15;0.9958677685950413;0.926923076923077;0.6545454545454545;0.972972972972973;0.02051983584131327;304;385;145;45;1;6;0;0.9931506849315068;0.9602649006622517;0.8823529411764706;0.9782608695652174;0.0
SET;twoGramDice;0.0;189749081;0.8031185031185033;0.9110849056603774;0.8553999916108399;0.9828571428571429;0.9215375755830695;0.9358187134502924;0.9286506923371401;0.9834983498349835;98;242;787;1116;483;731;258;30;7;2;0;0.9735849056603774;0.9923076923076923;0.9375;0.8108108108108109;0.0;304;385;149;43;3;2;0;0.9802631578947368;0.9867549668874173;0.9555555555555556;0.9347826086956522;0.0
PROFILE;cosineThreeGramNormalizedBool;0.9;397422419;0.8192307692307692;0.44047619047619047;0.6007092877188169;0.9006342494714588;0.9139072847682119;0.7796610169491527;0.8441195904844425;0.9550173010380623;98;242;787;1116;483;731;213;37;0;47;0;1.0;0.8192307692307692;0.44047619047619047;1.0;0.0;304;385;138;46;0;13;0;1.0;0.9139072847682119;0.7796610169491526;1.0;0.0
