MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;cosineThreeShingleNormalizedBool;0.8;3374985538;0.9028256070640177;0.6438095238095238;0.7623960415472587;0.952050837666089;0.9585165170666179;0.8436635046892216;0.8992582521672674;0.9814814814814815;100;308;2765;10016;1437;5428;824;149;1;82;1525;0.9987878787878788;0.9094922737306843;0.645021645021645;0.9933333333333333;0.2809506263817244;1328;4588;795;158;1;29;372;0.9987437185929648;0.9648058252427184;0.8449197860962567;0.9937106918238994;0.08108108108108109
SET;fourGramOverlapNormalized;1.0;2659120884;0.8264017660044152;0.5454916360669113;0.6714128769887671;0.9284037558685446;0.8957379251389144;0.7131242176391235;0.7992323861521003;0.9591964846202135;100;308;2765;10016;1437;5428;791;143;7;115;320;0.9912280701754386;0.8730684326710817;0.5542635658914729;0.9533333333333334;0.058953574060427415;1328;4588;764;154;5;60;0;0.9934980494148244;0.9271844660194175;0.719626168224299;0.9685534591194969;0.0
FINGERPRINT;winnowingFourGramDice;0.9;1329495229;0.8563796909492274;0.5638034521346942;0.6948595729319824;0.9324721080446271;0.9313747939182999;0.7880613786957027;0.8567266216113991;0.9726708074534162;100;308;2765;10016;1437;5428;794;147;3;112;280;0.9962358845671268;0.8763796909492274;0.5675675675675675;0.98;0.051584377302873984;1328;4588;783;156;3;41;0;0.9961832061068703;0.9502427184466019;0.7918781725888325;0.9811320754716981;0.0
EQUAL;equalNormalized;0.4;752593434;0.8013245033112582;0.4545454545454546;0.6035216736754584;0.8897058823529412;0.9016990291262137;0.6625000000000001;0.7729007742240375;0.948308870453095;100;308;2765;10016;1437;5428;726;150;0;180;0;1.0;0.8013245033112583;0.45454545454545453;1.0;0.0;1328;4588;743;159;0;81;0;1.0;0.9016990291262136;0.6625;1.0;0.0
FINGERPRINT;winnowingThreeGramLongestCommonSubsequence;0.1;7519624971;0.9167770419426049;0.8921270273173176;0.9043680540250302;0.9861649142224682;0.9176894425108384;0.8908053641549976;0.9041474868720611;0.9841656516443362;100;308;2765;10016;1437;5428;891;140;10;15;160;0.9889012208657048;0.9834437086092715;0.9032258064516129;0.9333333333333333;0.029476787030213707;1328;4588;808;149;10;16;0;0.9877750611246944;0.9805825242718447;0.9030303030303031;0.9371069182389937;0.0
SET;twoShingleJaccard;0.8;1736736182;0.8498896247240619;0.5244755244755246;0.6676423493708732;0.918854415274463;0.9356796116504853;0.75;0.8377109935639284;0.9667711598746082;100;308;2765;10016;1437;5428;770;150;0;136;915;1.0;0.8498896247240618;0.5244755244755245;1.0;0.16857037582903464;1328;4588;771;159;0;53;355;1.0;0.9356796116504854;0.75;1.0;0.07737576285963382
SET;threeShingleJaccardNormalized;0.9;3054053951;0.8311258278145695;0.49504950495049505;0.6414424600937897;0.9077757685352623;0.929611650485437;0.7327188940092166;0.8253144978744599;0.9635220125786164;100;308;2765;10016;1437;5428;753;150;0;153;1525;1.0;0.8311258278145696;0.49504950495049505;1.0;0.2809506263817244;1328;4588;766;159;0;58;372;1.0;0.9296116504854369;0.7327188940092166;1.0;0.08108108108108109
FINGERPRINT;winnowingTwoGramDice;0.3;1365501501;0.8912582781456955;0.8581509532885088;0.8745479638173103;0.9817174515235457;0.896394333516517;0.8743708865660085;0.8853141296226913;0.9811320754716981;100;308;2765;10016;1437;5428;886;137;13;20;0;0.985539488320356;0.977924944812362;0.8726114649681529;0.9133333333333333;0.0;1328;4588;806;146;13;18;0;0.9841269841269841;0.9781553398058253;0.8902439024390244;0.9182389937106918;0.0
SET;tokenOverlap;1.0;706986858;0.7945253863134658;0.4686783804430863;0.6102269014705207;0.8996372430471583;0.9095301337241253;0.7216751453488373;0.8101760866962844;0.9610552763819095;100;308;2765;10016;1437;5428;744;146;4;162;0;0.9946524064171123;0.8211920529801324;0.474025974025974;0.9733333333333334;0.0;1328;4588;765;156;3;59;0;0.99609375;0.9283980582524272;0.7255813953488373;0.9811320754716981;0.0
SET;fourGramJaccardNormalized;0.4;2914249314;0.9369094922737307;0.811081454679806;0.8717281192531856;0.9792484576556366;0.9452738596812602;0.9088147234941881;0.9268650394812119;0.9878048780487806;100;308;2765;10016;1437;5428;873;146;4;33;320;0.9954389965792474;0.9635761589403974;0.8156424581005587;0.9733333333333334;0.058953574060427415;1328;4588;810;153;6;14;0;0.9926470588235294;0.9830097087378641;0.9161676646706587;0.9622641509433962;0.0
