MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;twoGramOverlapNormalizedPadding;0.5;2546078886;0.5422126745435016;0.6934065934065934;0.6131670600717943;0.9346534653465347;0.6528519099947672;0.7352663837812354;0.692834802104026;0.9420654911838792;17;114;611;1942;340;1134;236;33;24;9;0;0.9076923076923077;0.963265306122449;0.7857142857142857;0.5789473684210527;0.0;271;808;187;34;15;8;0;0.9257425742574258;0.958974358974359;0.8095238095238095;0.6938775510204082;0.0
PROFILE;cosineTokenNormalizedTermFrequency;0.7;1463786162;0.8294307196562836;0.7356621149571292;0.7811406771080068;0.9541666666666667;0.7904761904761903;0.7265993265993265;0.7578650722211713;0.9479166666666665;17;114;611;1942;340;1134;229;51;6;16;0;0.9744680851063829;0.9346938775510204;0.7611940298507462;0.8947368421052632;0.0;271;808;182;42;7;13;0;0.9629629629629629;0.9333333333333333;0.7636363636363637;0.8571428571428571;0.0
PROFILE;cosineTwoShingleNormalizedNormalizedTermFrequency;0.8;4075220467;0.829001074113856;0.636903779501568;0.7266318994607753;0.9310344827586207;0.8566195709052851;0.6901931022851842;0.7689167179359038;0.9408602150537635;17;114;611;1942;340;1134;216;54;3;29;11;0.9863013698630136;0.8816326530612245;0.6506024096385542;0.9473684210526315;0.009700176366843033;271;808;175;47;2;20;0;0.9887005649717514;0.8974358974358975;0.7014925373134329;0.9591836734693877;0.0
PROFILE;cosineFourGramNormalizedBool;0.9;3718533146;0.8204081632653062;0.5643564356435644;0.6804429636591826;0.9013452914798206;0.8564102564102565;0.6363636363636362;0.7382332591995195;0.9226519337016573;17;114;611;1942;340;1134;201;57;0;44;0;1.0;0.8204081632653061;0.5643564356435643;1.0;0.0;271;808;167;49;0;28;0;1.0;0.8564102564102564;0.6363636363636364;1.0;0.0
FINGERPRINT;winnowingFiveGramOptimalAlignmentNormalized;0.2;9354618832;0.8498388829215897;0.7975806451612903;0.8232952353340518;0.9649484536082473;0.8315018315018314;0.8580840263527378;0.8446883682724461;0.9693877551020408;17;114;611;1942;340;1134;234;51;6;11;0;0.975;0.9551020408163265;0.8225806451612904;0.8947368421052632;0.0;271;808;190;42;7;5;0;0.9644670050761421;0.9743589743589743;0.8936170212765957;0.8571428571428571;0.0
PROFILE;cosineThreeGramNormalizedBool;0.3;3525763877;0.7690655209452202;0.8523809523809525;0.8096522717726666;0.96579476861167;0.7141810570381999;0.8362745098039217;0.7728204276453018;0.9573934837092732;17;114;611;1942;340;1134;240;45;12;5;0;0.9523809523809523;0.9795918367346939;0.9;0.7894736842105263;0.0;271;808;191;36;13;4;0;0.9362745098039216;0.9794871794871794;0.9;0.7346938775510204;0.0
SET;threeShingleDiceNormalized;0.0;4025049494;0.35574650912996786;0.4740458015267175;0.4106581778813705;0.903353057199211;0.4894819466248037;0.5849906191369607;0.5351096588666745;0.915;17;114;611;1942;340;1134;229;24;33;16;11;0.8740458015267175;0.9346938775510204;0.6;0.42105263157894735;0.009700176366843033;271;808;183;27;22;12;251;0.8926829268292683;0.9384615384615385;0.6923076923076923;0.5510204081632653;0.31064356435643564
SET;threeShingleJaccard;0.9;1411778597;0.6816326530612244;0.4222222222222223;0.5364703659241014;0.8106796116504854;0.7846153846153845;0.5384615384615383;0.6499886207470034;0.8793103448275863;17;114;611;1942;340;1134;167;57;0;78;22;1.0;0.6816326530612244;0.4222222222222222;1.0;0.019400352733686066;271;808;153;49;0;42;262;1.0;0.7846153846153846;0.5384615384615384;1.0;0.32425742574257427
SET;twoGramDice;0.0;1748652402;0.6287146437522377;0.8040293040293041;0.7109887463590008;0.9504950495049506;0.6018838304552592;0.7508813160987073;0.6722673000754805;0.9402985074626865;17;114;611;1942;340;1134;240;37;20;5;0;0.9230769230769231;0.9795918367346939;0.8809523809523809;0.6491228070175439;0.0;271;808;189;31;18;6;0;0.9130434782608695;0.9692307692307692;0.8378378378378378;0.6326530612244898;0.0
FINGERPRINT;winnowingFourGramLongestCommonSubsequenceNormalized;0.9;4082964320;0.7469387755102042;0.47899159663865554;0.5981449629253387;0.8551401869158878;0.8205128205128205;0.5833333333333335;0.6918326955503611;0.9014084507042254;17;114;611;1942;340;1134;183;57;0;62;0;1.0;0.746938775510204;0.4789915966386555;1.0;0.0;271;808;160;49;0;35;0;1.0;0.8205128205128205;0.5833333333333334;1.0;0.0
