MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;twoGramOverlap;0.2;516210863;0.676300316598824;0.7410546139359697;0.7079374760682724;0.9542097488921715;0.8732099758648431;0.8982125124131084;0.885623015896578;0.9779735682819383;98;266;968;1961;578;1222;323;47;19;12;0;0.9444444444444444;0.9641791044776119;0.7966101694915254;0.7121212121212122;0.0;390;739;222;49;6;4;0;0.9736842105263158;0.9823008849557522;0.9245283018867925;0.8909090909090909;0.0
FINGERPRINT;winnowingTwoGramLongestCommonSubsequence;0.2;4122760087;0.7578018995929443;0.8672360248447206;0.8106744766074501;0.9705882352941176;0.8825422365245372;0.8706349206349207;0.8765683601713594;0.975609756097561;98;266;968;1961;578;1222;330;51;15;5;0;0.9565217391304348;0.9850746268656716;0.9107142857142857;0.7727272727272727;0.0;390;739;220;50;5;6;0;0.9777777777777777;0.9734513274336283;0.8928571428571429;0.9090909090909091;0.0
SET;twoShingleJaccard;0.5;461366824;0.7954319312528266;0.6186506261432392;0.7014944492466687;0.9378881987577641;0.856476267095736;0.7425024410656995;0.7974557787322267;0.9545454545454545;98;266;968;1961;578;1222;302;59;7;33;204;0.9773462783171522;0.9014925373134328;0.6413043478260869;0.8939393939393939;0.16693944353518822;390;739;210;51;4;16;17;0.9813084112149533;0.9292035398230089;0.7611940298507462;0.9272727272727272;0.023004059539918808
SET;fiveGramJaccard;0.6;728285898;0.8227498869289913;0.6257653938768488;0.7175293771381442;0.939157566302652;0.9056315366049881;0.838822652757079;0.8715872004311822;0.9730941704035874;98;266;968;1961;578;1222;301;61;5;34;161;0.9836601307189542;0.8985074626865671;0.6421052631578947;0.9242424242424242;0.13175122749590834;390;739;217;52;3;9;0;0.9863636363636363;0.9601769911504425;0.8524590163934426;0.9454545454545454;0.0
SET;threeShingleOverlap;0.8;475780826;0.69280868385346;0.5231557377049181;0.6020355787573772;0.915625;0.8746580852775543;0.7506213753106876;0.8102697420597974;0.9567198177676538;98;266;968;1961;578;1222;293;54;12;42;284;0.9606557377049181;0.8746268656716418;0.5625;0.8181818181818182;0.23240589198036007;390;739;210;52;3;16;64;0.9859154929577465;0.9292035398230089;0.7647058823529411;0.9454545454545454;0.08660351826792964
EDIT;optimalAlignment;0.9;28391670525;0.8;0.4962406015037595;0.6300733935050801;0.888888888888889;0.8667739340305713;0.6700248756218907;0.7620761755501416;0.936768149882904;98;266;968;1961;578;1222;268;66;0;67;0;1.0;0.8;0.49624060150375937;1.0;0.0;390;739;200;54;1;26;0;0.9950248756218906;0.8849557522123894;0.675;0.9818181818181818;0.0
PROFILE;manhattanFourGramNormalized;1.0;1407375990;0.6208955223880597;0.34196891191709833;0.46078950314134026;0.7661141804788213;0.8274336283185839;0.5851063829787235;0.6957993226645511;0.9055690072639225;98;266;968;1961;578;1222;208;66;0;127;117;1.0;0.6208955223880597;0.34196891191709844;1.0;0.09574468085106383;390;739;187;55;0;39;0;1.0;0.827433628318584;0.5851063829787234;1.0;0.0
SET;threeGramDiceNormalizedPadding;0.4;798377340;0.736680235187698;0.8306813545491636;0.7822701167981001;0.9661266568483063;0.9095736122284794;0.9095736122284794;0.9095736122284794;0.9823008849557522;98;266;968;1961;578;1222;328;50;16;7;8;0.9534883720930233;0.9791044776119403;0.8771929824561403;0.7575757575757576;0.006546644844517185;390;739;222;51;4;4;0;0.9823008849557522;0.9823008849557522;0.9272727272727272;0.9272727272727272;0.0
SET;tokenOverlapNormalized;0.2;792258017;0.7217548620533694;0.7592539727852317;0.7402670102004261;0.9584569732937687;0.8461786001609011;0.8580518844836025;0.8520945619341541;0.9713024282560706;98;266;968;1961;578;1222;323;50;16;12;57;0.9528023598820059;0.9641791044776119;0.8064516129032258;0.7575757575757576;0.046644844517184945;390;739;220;48;7;6;0;0.9691629955947136;0.9734513274336283;0.8888888888888888;0.8727272727272727;0.0
SET;twoGramJaccardNormalized;0.0;765312919;0.6698778833107191;0.8587082560296846;0.7584389684942383;0.9636098981077147;0.8643604183427192;0.8643604183427192;0.8643604183427193;0.9734513274336283;98;266;968;1961;578;1222;331;45;21;4;3;0.9403409090909091;0.9880597014925373;0.9183673469387755;0.6818181818181818;0.0024549918166939444;390;739;220;49;6;6;0;0.9734513274336283;0.9734513274336283;0.8909090909090909;0.8909090909090909;0.0
SET;twoShingleDiceNormalized;0.5;959193214;0.7672094075079148;0.7766941391941393;0.7719372062195251;0.96274217585693;0.9007240547063555;0.8768796992481203;0.8887219127468707;0.9777777777777777;98;266;968;1961;578;1222;323;53;13;12;225;0.9613095238095238;0.9641791044776119;0.8153846153846154;0.803030303030303;0.18412438625204583;390;739;220;51;4;6;7;0.9821428571428571;0.9734513274336283;0.8947368421052632;0.9272727272727272;0.009472259810554804
SET;fiveGramDiceNormalized;0.2;792129723;0.7426503844414292;0.8628481345244352;0.8004964077490553;0.9691629955947136;0.9139983909895415;0.9268232990699952;0.9203885071433661;0.9845474613686535;98;266;968;1961;578;1222;330;50;16;5;166;0.953757225433526;0.9850746268656716;0.9090909090909091;0.7575757575757576;0.13584288052373159;390;739;223;51;4;3;0;0.9823788546255506;0.9867256637168141;0.9444444444444444;0.9272727272727272;0.0
SET;threeShingleJaccardNormalized;1.0;1028794343;0.6567164179104479;0.3646408839779005;0.48935228123476243;0.7927927927927928;0.8495575221238938;0.6179775280898876;0.7245739834497882;0.9186602870813397;98;266;968;1961;578;1222;220;66;0;115;279;1.0;0.6567164179104478;0.36464088397790057;1.0;0.22831423895253683;390;739;192;55;0;34;7;1.0;0.8495575221238938;0.6179775280898876;1.0;0.009472259810554804
PROFILE;cosineThreeGramNormalizedTermFrequency;0.3;1261793047;0.7548168249660787;0.8511321909424725;0.8015290999044384;0.9690721649484536;0.8913917940466614;0.9038994942078644;0.8976238587402954;0.9801324503311258;98;266;968;1961;578;1222;329;51;15;6;8;0.9563953488372093;0.982089552238806;0.8947368421052632;0.7727272727272727;0.006546644844517185;390;739;222;50;5;4;0;0.9779735682819384;0.9823008849557522;0.9259259259259259;0.9090909090909091;0.0
PROFILE;cosineTwoShingleNormalizedTermFrequency;0.9;1051405472;0.7878335594753505;0.4924795024031665;0.622889941600389;0.8892561983471073;0.8348350764279968;0.6606187929717342;0.7426356714569592;0.9348837209302326;98;266;968;1961;578;1222;269;65;1;66;225;0.9962962962962963;0.8029850746268656;0.4961832061068702;0.9848484848484849;0.18412438625204583;390;739;201;52;3;25;7;0.9852941176470589;0.8893805309734514;0.6753246753246753;0.9454545454545454;0.009472259810554804
FINGERPRINT;winnowingThreeGramLongestCommonSubsequenceNormalized;1.0;1880407681;0.6328358208955223;0.3492063492063493;0.47009603982795733;0.7751371115173675;0.8407079646017699;0.6043956043956045;0.7128255034618817;0.9134615384615384;98;266;968;1961;578;1222;212;66;0;123;8;1.0;0.6328358208955224;0.3492063492063492;1.0;0.006546644844517185;390;739;190;55;0;36;0;1.0;0.8407079646017699;0.6043956043956044;1.0;0.0
SET;twoGramOverlapNormalized;0.7;756460721;0.700633197648123;0.7274819197896121;0.7139313578302827;0.9539375928677564;0.8687851971037812;0.8809756893457334;0.8748592103372248;0.9757174392935981;98;266;968;1961;578;1222;321;49;17;14;3;0.9497041420118343;0.9582089552238806;0.7777777777777778;0.7424242424242424;0.0024549918166939444;390;739;221;49;6;5;0;0.973568281938326;0.9778761061946902;0.9074074074074074;0.8909090909090909;0.0
PROFILE;cosineFiveGramNormalizedTermFrequency;0.7;1329738593;0.7828132066938038;0.6869889656267365;0.7333375997080233;0.9513677811550152;0.8874497184231698;0.8319004524886877;0.8592262928456005;0.970917225950783;98;266;968;1961;578;1222;313;56;10;22;166;0.9690402476780186;0.9343283582089552;0.717948717948718;0.8484848484848485;0.13584288052373159;390;739;217;51;4;9;0;0.9819004524886877;0.9601769911504425;0.85;0.9272727272727272;0.0
PROFILE;cosineTwoShingleNormalizedTermFrequency;0.6;1053378215;0.7734056987788331;0.7464641173389208;0.7598155054247268;0.9595202398800599;0.8874497184231698;0.8319004524886877;0.8592262928456005;0.970917225950783;98;266;968;1961;578;1222;320;54;12;15;225;0.963855421686747;0.9552238805970149;0.782608695652174;0.8181818181818182;0.18412438625204583;390;739;217;51;4;9;7;0.9819004524886877;0.9601769911504425;0.85;0.9272727272727272;0.009472259810554804
FINGERPRINT;winnowingFourGramLongestCommonSubsequence;0.9;1962941368;0.7761194029850746;0.46808510638297873;0.6027353758592262;0.8739495798319328;0.8534995977473854;0.6455519045880491;0.742279119261049;0.9292452830188679;98;266;968;1961;578;1222;260;66;0;75;54;1.0;0.7761194029850746;0.46808510638297873;1.0;0.044189852700491;390;739;197;54;1;29;0;0.9949494949494949;0.8716814159292036;0.6506024096385542;0.9818181818181818;0.0
PROFILE;manhattanFiveGramNormalized;0.1;1296933181;0.7486205336951606;0.8974192149208413;0.8196502007700189;0.9721815519765739;0.9095736122284794;0.9095736122284794;0.9095736122284794;0.9823008849557522;98;266;968;1961;578;1222;332;50;16;3;166;0.9540229885057471;0.991044776119403;0.9433962264150944;0.7575757575757576;0.13584288052373159;390;739;222;51;4;4;0;0.9823008849557522;0.9823008849557522;0.9272727272727272;0.9272727272727272;0.0
