MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.33;158731173;0.8571725571725572;0.9221650637441288;0.8890751294602437;0.9866156787762906;0.9650158364526347;0.9507801418439716;0.9578715435088959;0.9900332225913622;98;242;787;1116;483;731;258;32;5;2;0;0.9809885931558935;0.9923076923076923;0.9411764705882353;0.8648648648648649;0.0;304;385;149;45;1;2;0;0.9933333333333333;0.9867549668874173;0.9574468085106383;0.9782608695652174;0.0
PROFILE;manhattanFourGramNormalized;0.62;432728182;0.892099792099792;0.7062211981566819;0.7937378560028758;0.9685039370078741;0.9517708033400518;0.9116105901820188;0.931474285072239;0.983277591973244;98;242;787;1116;483;731;246;35;2;14;0;0.9919354838709677;0.9461538461538461;0.7142857142857143;0.9459459459459459;0.0;304;385;147;45;1;4;0;0.9932432432432432;0.9735099337748344;0.9183673469387755;0.9782608695652174;0.0
SET;threeGramDiceNormalized;0.66;275886614;0.8882536382536381;0.691902834008097;0.7839548517776362;0.9664694280078896;0.9517708033400518;0.9116105901820188;0.931474285072239;0.983277591973244;98;242;787;1116;483;731;245;35;2;15;0;0.9919028340080972;0.9423076923076923;0.7;0.9459459459459459;0.0;304;385;147;45;1;4;0;0.9932432432432432;0.9735099337748344;0.9183673469387755;0.9782608695652174;0.0
SET;twoShingleDiceNormalized;0.04;315588386;0.8841995841995842;0.9275899672846237;0.9056349503971068;0.9885057471264368;0.9782608695652173;0.993421052631579;0.9858118191580796;0.9966996699669968;98;242;787;1116;483;731;258;33;4;2;22;0.9847328244274809;0.9923076923076923;0.9428571428571428;0.8918918918918919;0.030095759233926128;304;385;151;45;1;0;1;0.993421052631579;1.0;1.0;0.9782608695652174;0.0025974025974025974
SET;threeGramDiceNormalized;0.96;275819455;0.6923076923076923;0.3162393162393162;0.46790481002293993;0.8181818181818181;0.8807947019867548;0.71875;0.7956577103585311;0.9366197183098591;98;242;787;1116;483;731;180;37;0;80;0;1.0;0.6923076923076923;0.3162393162393162;1.0;0.0;304;385;133;46;0;18;0;1.0;0.8807947019867549;0.71875;1.0;0.0
PROFILE;manhattanFourGramNormalized;0.99;427887361;0.5769230769230769;0.2517006802721089;0.3810668326241693;0.7317073170731707;0.8344370860927153;0.647887323943662;0.7352694816922272;0.9097472924187726;98;242;787;1116;483;731;150;37;0;110;0;1.0;0.5769230769230769;0.25170068027210885;1.0;0.0;304;385;126;46;0;25;0;1.0;0.8344370860927153;0.647887323943662;1.0;0.0
PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.36;155092024;0.8803534303534304;0.9013409961685823;0.8907854050753131;0.9865642994241843;0.9650158364526347;0.9507801418439716;0.9578715435088959;0.9900332225913622;98;242;787;1116;483;731;257;33;4;3;0;0.9846743295019157;0.9884615384615385;0.9166666666666666;0.8918918918918919;0.0;304;385;149;45;1;2;0;0.9933333333333333;0.9867549668874173;0.9574468085106383;0.9782608695652174;0.0
SET;fiveGramDiceNormalized;0.26;290499718;0.9344074844074846;0.9133306238569396;0.9238089470612857;0.9903660886319846;0.9716383530089261;0.9716383530089261;0.971638353008926;0.9933774834437086;98;242;787;1116;483;731;257;35;2;3;15;0.9922779922779923;0.9884615384615385;0.9210526315789473;0.9459459459459459;0.02051983584131327;304;385;150;45;1;1;0;0.9933774834437086;0.9933774834437086;0.9782608695652174;0.9782608695652174;0.0
FINGERPRINT;winnowingFourGramOptimalAlignment;0.25;1668324556;0.9267151767151767;0.8672178988326849;0.8964730829017098;0.9864603481624757;0.9432767060178522;0.9432767060178522;0.943276706017852;0.9867549668874173;98;242;787;1116;483;731;255;35;2;5;0;0.9922178988326849;0.9807692307692307;0.875;0.9459459459459459;0.0;304;385;149;44;2;2;0;0.9867549668874173;0.9867549668874173;0.9565217391304348;0.9565217391304348;0.0
FINGERPRINT;winnowingFourGramOptimalAlignment;0.49;1662667854;0.89989604989605;0.6504132231404958;0.7650518219730545;0.9601593625498008;0.9517708033400518;0.9116105901820188;0.931474285072239;0.983277591973244;98;242;787;1116;483;731;241;36;1;19;0;0.9958677685950413;0.926923076923077;0.6545454545454545;0.972972972972973;0.0;304;385;147;45;1;4;0;0.9932432432432432;0.9735099337748344;0.9183673469387755;0.9782608695652174;0.0
