MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;fiveGramDice;0.41;7818918780;0.8976202304762462;0.7258812871716098;0.8071962142437082;0.9803149606299213;0.943542397742253;0.8979282622139766;0.920452815482635;0.9916454776607337;97;799;3832;12700;2164;7393;1743;159;12;58;16;0.9931623931623932;0.9677956690727374;0.7327188940092166;0.9298245614035088;0.002164209387258217;1668;5307;1365;149;7;16;0;0.9948979591836735;0.9884141926140478;0.9030303030303031;0.9551282051282052;0.0
FINGERPRINT;winnowingFourGramOptimalAlignment;0.54;21116548267;0.8955421127313934;0.5311352348599083;0.6896767143905376;0.9566473988439307;0.9446703429324717;0.7845885763631877;0.860916697186152;0.98348623853211;97;799;3832;12700;2164;7393;1655;167;4;146;16;0.997588908981314;0.9189339255968906;0.5335463258785943;0.9766081871345029;0.002164209387258217;1668;5307;1340;152;4;41;0;0.9970238095238095;0.9703113685734974;0.7875647668393783;0.9743589743589743;0.0
FINGERPRINT;winnowingFiveGramDice;0.55;4079639968;0.914940043056002;0.6435643564356437;0.7673479002294434;0.9727117680500285;0.9463320893443994;0.8728005959261256;0.908822981401663;0.9901710957408081;97;799;3832;12700;2164;7393;1711;165;6;90;16;0.9965055329062318;0.9500277623542477;0.6470588235294118;0.9649122807017544;0.002164209387258217;1668;5307;1360;150;6;21;0;0.9956076134699854;0.9847936278059377;0.8771929824561403;0.9615384615384616;0.0
SET;twoShingleDiceNormalized;0.92;9295896757;0.8206551915602445;0.34615384615384626;0.5329849443696322;0.9014943580359865;0.8761766835626359;0.47706422018348627;0.6465234305783217;0.9340023157082207;97;799;3832;12700;2164;7393;1478;171;0;323;511;1.0;0.8206551915602444;0.34615384615384615;1.0;0.06911943730555932;1668;5307;1210;156;0;171;16;1.0;0.8761766835626358;0.47706422018348627;1.0;0.003014885999623139
SET;fiveGramDiceNormalized;0.6;9112708613;0.9241551964308328;0.6136188708289945;0.7530465245286211;0.9691428571428572;0.9390909597281791;0.8243045030068938;0.8798277711217143;0.9864815491413956;97;799;3832;12700;2164;7393;1696;168;3;105;16;0.998234255444379;0.9416990560799556;0.6153846153846154;0.9824561403508771;0.002164209387258217;1668;5307;1350;150;6;31;0;0.995575221238938;0.9775524981897176;0.8287292817679558;0.9615384615384616;0.0
PROFILE;manhattanThreeGramNormalized;0.04;13331310695;0.7945423432725809;0.7903617571059431;0.7924492933456314;0.9819494584837546;0.9129393416142149;0.9026904471227546;0.9078004309746106;0.9905797101449275;97;799;3832;12700;2164;7393;1768;139;32;33;5;0.9822222222222222;0.9816768461965575;0.8081395348837209;0.8128654970760234;6.763154335181928E-4;1668;5307;1367;144;12;14;0;0.9912980420594634;0.9898624185372918;0.9113924050632911;0.9230769230769231;0.0
PROFILE;manhattanFiveGramNormalized;0.48;14930370853;0.9110175958125928;0.6773920958407675;0.7855673863999889;0.9762308998302207;0.9598767151265339;0.8807905273021552;0.9194837236522246;0.9912600145666424;97;799;3832;12700;2164;7393;1725;163;8;76;16;0.9953837276399308;0.9578012215435869;0.6820083682008368;0.9532163742690059;0.002164209387258217;1668;5307;1361;152;4;20;0;0.9970695970695971;0.9855177407675597;0.8837209302325582;0.9743589743589743;0.0
SET;fiveGramJaccardNormalized;0.32;10002525964;0.9110175958125928;0.6773920958407675;0.7855673863999889;0.9762308998302207;0.9470562023060212;0.8779637678041223;0.9118558173849951;0.9905385735080058;97;799;3832;12700;2164;7393;1725;163;8;76;16;0.9953837276399308;0.9578012215435869;0.6820083682008368;0.9532163742690059;0.002164209387258217;1668;5307;1361;150;6;20;0;0.9956108266276518;0.9855177407675597;0.8823529411764706;0.9615384615384616;0.0
SET;fiveGramDiceNormalizedPadding;0.08;9365773548;0.8563533579460403;0.834341465883782;0.8452757632768129;0.9863775368362524;0.9136634545758371;0.9085018000553864;0.911078971948629;0.9909453096704094;97;799;3832;12700;2164;7393;1774;149;22;27;16;0.987750556792873;0.9850083287062743;0.8465909090909091;0.8713450292397661;0.002164209387258217;1668;5307;1368;144;12;13;0;0.991304347826087;0.9905865314989138;0.9171974522292994;0.9230769230769231;0.0
FINGERPRINT;winnowingFiveGramDice;0.36;4055184317;0.8976202304762462;0.7258812871716098;0.8071962142437082;0.9803149606299213;0.9400285931784844;0.9191902687000728;0.929551039561294;0.9927483683828862;97;799;3832;12700;2164;7393;1743;159;12;58;16;0.9931623931623932;0.9677956690727374;0.7327188940092166;0.9298245614035088;0.002164209387258217;1668;5307;1369;148;8;12;0;0.9941902687000727;0.9913106444605359;0.925;0.9487179487179487;0.0
PROFILE;manhattanFourGramNormalized;0.07;14326922566;0.8569086050309931;0.8391859448286827;0.8480009772074337;0.9866592551417455;0.9414768191017284;0.9309075554658026;0.936177271780142;0.9934782608695653;97;799;3832;12700;2164;7393;1775;149;22;26;16;0.9877573734001113;0.9855635757912271;0.8514285714285714;0.8713450292397661;0.002164209387258217;1668;5307;1371;148;8;10;0;0.994198694706309;0.9927588703837799;0.9367088607594937;0.9487179487179487;0.0
SET;threeGramDiceNormalized;0.43;8676498192;0.8875900652983559;0.7326114922813036;0.8063861868064757;0.9806234203875315;0.9371321413319964;0.8966123674346722;0.9166483883359011;0.9912854030501089;97;799;3832;12700;2164;7393;1746;157;14;55;5;0.9920454545454546;0.9694614103275958;0.7405660377358491;0.9181286549707602;6.763154335181928E-4;1668;5307;1365;148;8;16;0;0.9941733430444283;0.9884141926140478;0.9024390243902439;0.9487179487179487;0.0
SET;fourGramDiceNormalizedPadding;0.28;9132411875;0.9039877131288336;0.8071214036389782;0.8541825518546572;0.9863090248672814;0.9628799272173638;0.9520703867230886;0.9574599023842905;0.9956521739130434;97;799;3832;12700;2164;7393;1765;158;13;36;16;0.9926884139482565;0.9800111049416991;0.8144329896907216;0.9239766081871345;0.002164209387258217;1668;5307;1374;151;5;7;0;0.9963741841914431;0.9949312092686459;0.9556962025316456;0.967948717948718;0.0
SET;fiveGramDiceNormalizedPadding;0.24;9518455855;0.898695006997412;0.8098431647940076;0.8531131276984061;0.9863166713208601;0.9628799272173638;0.9520703867230886;0.9574599023842905;0.9956521739130434;97;799;3832;12700;2164;7393;1766;157;14;35;16;0.9921348314606742;0.9805663520266519;0.8177083333333334;0.9181286549707602;0.002164209387258217;1668;5307;1374;151;5;7;0;0.9963741841914431;0.9949312092686459;0.9556962025316456;0.967948717948718;0.0
SET;threeGramDiceNormalized;0.55;8573004738;0.9057248896811712;0.6783569839127421;0.7838397823655165;0.9762443438914027;0.9470562023060212;0.8779637678041223;0.9118558173849951;0.9905385735080058;97;799;3832;12700;2164;7393;1726;162;9;75;5;0.9948126801152738;0.9583564686285397;0.6835443037974683;0.9473684210526315;6.763154335181928E-4;1668;5307;1361;150;6;20;0;0.9956108266276518;0.9855177407675597;0.8823529411764706;0.9615384615384616;0.0
SET;threeGramDiceNormalized;0.73;8547004677;0.9025005601176734;0.5366543095458758;0.6959388011561909;0.9575267263796591;0.9340221689968251;0.7934246013595572;0.8608578088728096;0.9838827838827838;97;799;3832;12700;2164;7393;1657;168;3;144;5;0.9981927710843373;0.9200444197667962;0.5384615384615384;0.9824561403508771;6.763154335181928E-4;1668;5307;1343;150;6;38;0;0.9955522609340252;0.9724837074583635;0.7978723404255319;0.9615384615384616;0.0
PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;5415191251;0.7939870961876281;0.7856805482814795;0.7898229023402116;0.9816666666666666;0.9164531461779832;0.8815647297309366;0.8988396798770403;0.9894736842105263;97;799;3832;12700;2164;7393;1767;139;32;34;0;0.9822123401889938;0.9811215991116047;0.8034682080924855;0.8128654970760234;0.0;1668;5307;1363;145;11;18;0;0.9919941775836972;0.9869659666908037;0.8895705521472392;0.9294871794871795;0.0
PROFILE;manhattanFourGramNormalized;0.43;14366868314;0.9012471953528092;0.7144350064350062;0.8024229220376345;0.9794424105885665;0.961324941049778;0.891191531477258;0.9255942126339364;0.9919941775836971;97;799;3832;12700;2164;7393;1739;160;11;62;16;0.9937142857142857;0.9655746807329262;0.7207207207207207;0.935672514619883;0.002164209387258217;1668;5307;1363;152;4;18;0;0.9970738844184345;0.9869659666908037;0.8941176470588236;0.9743589743589743;0.0
SET;tokenDiceNormalized;0.73;9198819332;0.9066827720791892;0.5336023971136794;0.6955631535692006;0.9568990454150998;0.9360877476373495;0.7706331919446674;0.8493410910241331;0.9820051413881747;97;799;3832;12700;2164;7393;1654;169;2;147;16;0.998792270531401;0.9183786785119378;0.5348101265822784;0.9883040935672515;0.002164209387258217;1668;5307;1337;151;5;44;0;0.996274217585693;0.9681390296886314;0.7743589743589744;0.967948717948718;0.0
PROFILE;manhattanThreeGramNormalized;0.72;13117107262;0.9033512895694724;0.5236325992847732;0.6877675361810229;0.9550854824688497;0.951080599342728;0.7864259889000622;0.8648436279824052;0.9838472834067546;97;799;3832;12700;2164;7393;1648;169;2;153;5;0.9987878787878788;0.915047196002221;0.5248447204968945;0.9883040935672515;6.763154335181928E-4;1668;5307;1340;153;3;41;0;0.9977661950856291;0.9703113685734974;0.788659793814433;0.9807692307692307;0.0
PROFILE;manhattanTokenNormalized;0.31;5274807157;0.9112416428819596;0.7780920060331824;0.8420390952271735;0.9845895208741945;0.942818284780631;0.8924845992284234;0.9173062733011647;0.9912790697674418;97;799;3832;12700;2164;7393;1757;160;11;44;0;0.9937782805429864;0.9755691282620766;0.7843137254901961;0.935672514619883;0.0;1668;5307;1364;149;7;17;0;0.9948942377826404;0.9876900796524257;0.8975903614457831;0.9551282051282052;0.0
