MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;twoGramJaccardNormalizedPadding;0.53;2335946756;0.8253490870032223;0.7243589743589745;0.7732069698015984;0.9519832985386222;0.8007326007326006;0.7558036155289933;0.7779438249035939;0.9533678756476685;17;114;611;1942;340;1134;228;51;6;17;0;0.9743589743589743;0.9306122448979591;0.75;0.8947368421052632;0.0;271;808;184;42;7;11;0;0.9633507853403142;0.9435897435897436;0.7924528301886793;0.8571428571428571;0.0
FINGERPRINT;winnowingThreeGramLongestCommonSubsequence;0.21;12730962312;0.7878267096312208;0.7986353077816493;0.793212598692768;0.9613034623217922;0.8213500784929357;0.8918181818181816;0.8558591786256607;0.9721518987341772;17;114;611;1942;340;1134;236;47;10;9;0;0.959349593495935;0.963265306122449;0.8392857142857143;0.8245614035087719;0.0;271;808;192;41;8;3;0;0.96;0.9846153846153847;0.9318181818181818;0.8367346938775511;0.0
SET;twoGramDiceNormalized;0.0;2319570585;0.6070891514500536;0.7763736263736263;0.6865333247871992;0.9465346534653466;0.6274201988487702;0.7827392610001307;0.7007898563645463;0.945273631840796;17;114;611;1942;340;1134;239;36;21;6;0;0.9192307692307692;0.9755102040816327;0.8571428571428571;0.631578947368421;0.0;271;808;190;32;17;5;0;0.9178743961352657;0.9743589743589743;0.8648648648648649;0.6530612244897959;0.0
SET;threeGramDiceNormalizedPadding;0.37;2408838085;0.7837450769781595;0.7837450769781595;0.7837450769781596;0.9591836734693877;0.770277341705913;0.8363636363636364;0.8026406160403751;0.9620253164556962;17;114;611;1942;340;1134;235;47;10;10;0;0.9591836734693877;0.9591836734693877;0.8245614035087719;0.8245614035087719;0.0;271;808;190;39;10;5;0;0.95;0.9743589743589743;0.8863636363636364;0.7959183673469388;0.0
SET;fourGramDice;0.33;1767850156;0.7837450769781595;0.7837450769781595;0.7837450769781596;0.9591836734693877;0.7754055468341181;0.8572255004049518;0.8152897692855299;0.9646464646464646;17;114;611;1942;340;1134;235;47;10;10;0;0.9591836734693877;0.9591836734693877;0.8245614035087719;0.8245614035087719;0.0;271;808;191;39;10;4;0;0.9502487562189055;0.9794871794871794;0.9069767441860465;0.7959183673469388;0.0
SET;twoGramDiceNormalized;0.27;2337280040;0.638095238095238;0.7705144833549502;0.7011858688765814;0.9482071713147411;0.6631083202511774;0.776470588235294;0.7175542540387797;0.9473684210526316;17;114;611;1942;340;1134;238;38;19;7;0;0.9260700389105059;0.9714285714285714;0.8444444444444444;0.6666666666666666;0.0;271;808;189;34;15;6;0;0.9264705882352942;0.9692307692307692;0.85;0.6938775510204082;0.0
FINGERPRINT;winnowingThreeGramLongestCommonSubsequence;0.02;12811169834;0.6287146437522377;0.8040293040293041;0.7109887463590008;0.9504950495049506;0.6018838304552592;0.7508813160987073;0.6722673000754805;0.9402985074626865;17;114;611;1942;340;1134;240;37;20;5;0;0.9230769230769231;0.9795918367346939;0.8809523809523809;0.6491228070175439;0.0;271;808;189;31;18;6;0;0.9130434782608695;0.9692307692307692;0.8378378378378378;0.6326530612244898;0.0
SET;threeGramDiceNormalized;0.03;2401998987;0.6070891514500536;0.7763736263736263;0.6865333247871992;0.9465346534653466;0.5763474620617477;0.7190233711972844;0.6437447437864148;0.9353233830845771;17;114;611;1942;340;1134;239;36;21;6;0;0.9192307692307692;0.9755102040816327;0.8571428571428571;0.631578947368421;0.0;271;808;188;30;19;7;0;0.9082125603864735;0.9641025641025641;0.8108108108108109;0.6122448979591837;0.0
SET;twoGramDiceNormalized;0.14;2315816720;0.6070891514500536;0.7763736263736263;0.6865333247871992;0.9465346534653466;0.6886446886446886;0.8063725490196079;0.7451873408420407;0.9523809523809524;17;114;611;1942;340;1134;239;36;21;6;0;0.9192307692307692;0.9755102040816327;0.8571428571428571;0.631578947368421;0.0;271;808;190;35;14;5;0;0.9313725490196079;0.9743589743589743;0.875;0.7142857142857143;0.0
PROFILE;cosineThreeGramNormalizedNormalizedTermFrequency;0.19;3108593409;0.5989258861439313;0.7367864693446089;0.6642894617943885;0.9423459244532805;0.6631083202511774;0.776470588235294;0.7175542540387797;0.9473684210526316;17;114;611;1942;340;1134;237;36;21;8;0;0.9186046511627907;0.9673469387755103;0.8181818181818182;0.631578947368421;0.0;271;808;189;34;15;6;0;0.9264705882352942;0.9692307692307692;0.85;0.6938775510204082;0.0
FINGERPRINT;winnowingFourGramDice;0.45;1595468143;0.8498388829215897;0.7975806451612903;0.8232952353340518;0.9649484536082473;0.8417582417582419;0.8981574539363484;0.869500683868345;0.9746192893401016;17;114;611;1942;340;1134;234;51;6;11;0;0.975;0.9551020408163265;0.8225806451612904;0.8947368421052632;0.0;271;808;192;42;7;3;0;0.964824120603015;0.9846153846153847;0.9333333333333333;0.8571428571428571;0.0
SET;tokenDice;0.95;495496471;0.7306122448979591;0.46341463414634143;0.5818731873632133;0.8443396226415095;0.8051282051282052;0.5632183908045976;0.673396623160305;0.8920454545454546;17;114;611;1942;340;1134;179;57;0;66;0;1.0;0.7306122448979592;0.4634146341463415;1.0;0.0;271;808;157;49;0;38;0;1.0;0.8051282051282052;0.5632183908045977;1.0;0.0
PROFILE;manhattanFiveGramNormalized;0.73;3286933560;0.85062656641604;0.6535181823183143;0.745586968445586;0.9353448275862069;0.8464678178963894;0.7020833333333334;0.7709026833187766;0.944;17;114;611;1942;340;1134;217;55;2;28;0;0.9908675799086758;0.8857142857142857;0.6626506024096386;0.9649122807017544;0.0;271;808;177;46;3;18;0;0.9833333333333333;0.9076923076923077;0.71875;0.9387755102040817;0.0
PROFILE;manhattanThreeGramNormalized;0.47;3199984803;0.7996419620479771;0.6945947627044846;0.7452698295766864;0.9456066945606694;0.8161172161172161;0.8039175257731959;0.8099944031423063;0.9614395886889461;17;114;611;1942;340;1134;226;50;7;19;0;0.9699570815450643;0.9224489795918367;0.7246376811594203;0.8771929824561403;0.0;271;808;187;42;7;8;0;0.9639175257731959;0.958974358974359;0.84;0.8571428571428571;0.0
SET;tokenDice;0.32;504233339;0.770282849982098;0.7918292234081707;0.7809817353216125;0.959349593495935;0.8058608058608057;0.7712339743589745;0.7883572997595413;0.9560723514211885;17;114;611;1942;340;1134;236;46;11;9;0;0.9554655870445344;0.963265306122449;0.8363636363636363;0.8070175438596491;0.0;271;808;185;42;7;10;0;0.9635416666666666;0.9487179487179487;0.8076923076923077;0.8571428571428571;0.0
FINGERPRINT;winnowingThreeGramDiceNormalized;0.23;2101513637;0.8000716075904046;0.8466318102599075;0.8230225230647207;0.9676113360323886;0.7549973835688122;0.8503064592173502;0.8012360151295997;0.9622166246851385;17;114;611;1942;340;1134;239;47;10;6;0;0.9598393574297188;0.9755102040816327;0.8867924528301887;0.8245614035087719;0.0;271;808;191;38;11;4;0;0.9455445544554455;0.9794871794871794;0.9047619047619048;0.7755102040816326;0.0
SET;fourGramDiceNormalizedPadding;0.96;2490105441;0.7102040816326531;0.4453125;0.5623724345147447;0.8305489260143197;0.8051282051282052;0.5632183908045976;0.673396623160305;0.8920454545454546;17;114;611;1942;340;1134;174;57;0;71;0;1.0;0.710204081632653;0.4453125;1.0;0.0;271;808;157;49;0;38;0;1.0;0.8051282051282052;0.5632183908045977;1.0;0.0
FINGERPRINT;winnowingThreeGramLongestCommonSubsequence;0.79;12599062690;0.7959183673469388;0.5327102803738317;0.6511481372345852;0.8863636363636364;0.8257456828885399;0.6093605189990732;0.7093495738253495;0.9141274238227146;17;114;611;1942;340;1134;195;57;0;50;0;1.0;0.7959183673469388;0.5327102803738317;1.0;0.0;271;808;165;48;1;30;0;0.9939759036144579;0.8461538461538461;0.6153846153846154;0.9795918367346939;0.0
SET;threeGramJaccardNormalizedPadding;0.66;2504980580;0.8600071607590403;0.6465331610680449;0.745669597198851;0.9327548806941431;0.8260596546310832;0.6921862667719021;0.7561660852418445;0.9414893617021277;17;114;611;1942;340;1134;215;56;1;30;0;0.9953703703703703;0.8775510204081632;0.6511627906976745;0.9824561403508771;0.0;271;808;177;45;4;18;0;0.9779005524861878;0.9076923076923077;0.7142857142857143;0.9183673469387755;0.0
PROFILE;cosineFourGramNormalizedNormalizedTermFrequency;0.77;3283241766;0.8412459720730396;0.6614864864864867;0.7459710733919273;0.9379014989293362;0.8363160648874934;0.7158469945355193;0.773740487199348;0.9470899470899472;17;114;611;1942;340;1134;219;54;3;26;0;0.9864864864864865;0.8938775510204081;0.675;0.9473684210526315;0.0;271;808;179;45;4;16;0;0.9781420765027322;0.9179487179487179;0.7377049180327869;0.9183673469387755;0.0
SET;tokenJaccardNormalized;0.14;2525911732;0.7609022556390976;0.8173846153846154;0.788637938201587;0.9616161616161616;0.7498691784406071;0.8289945620733543;0.7884398970078041;0.9595959595959596;17;114;611;1942;340;1134;238;45;12;7;0;0.952;0.9714285714285714;0.8653846153846154;0.7894736842105263;0.0;271;808;190;38;11;5;0;0.945273631840796;0.9743589743589743;0.8837209302325582;0.7755102040816326;0.0
FINGERPRINT;winnowingFiveGramDiceNormalized;0.29;2087630011;0.7755818116720372;0.7554579061170399;0.7654537291490698;0.9549180327868854;0.7906855049712194;0.8436627582356224;0.8167447055359128;0.9644670050761421;17;114;611;1942;340;1134;233;47;10;12;0;0.9588477366255144;0.9510204081632653;0.7966101694915254;0.8245614035087719;0.0;271;808;190;40;9;5;0;0.9547738693467337;0.9743589743589743;0.8888888888888888;0.8163265306122449;0.0
SET;fourGramDice;0.26;1773731192;0.7919083422842821;0.8140596245859402;0.8029075960696954;0.9634146341463415;0.7498691784406071;0.8289945620733543;0.7884398970078041;0.9595959595959596;17;114;611;1942;340;1134;237;47;10;8;0;0.9595141700404858;0.9673469387755103;0.8545454545454545;0.8245614035087719;0.0;271;808;190;38;11;5;0;0.945273631840796;0.9743589743589743;0.8837209302325582;0.7755102040816326;0.0
FINGERPRINT;winnowingFourGramDiceNormalized;0.47;2067249092;0.8469745793054062;0.7433383609854198;0.7934662535843576;0.9561586638830897;0.8212454212454212;0.8212454212454212;0.8212454212454212;0.9641025641025641;17;114;611;1942;340;1134;229;52;5;16;0;0.9786324786324786;0.9346938775510204;0.7647058823529411;0.9122807017543859;0.0;271;808;188;42;7;7;0;0.9641025641025641;0.9641025641025641;0.8571428571428571;0.8571428571428571;0.0
SET;tokenJaccardNormalized;0.18;2548478601;0.7959899749373434;0.8300477897252092;0.8128405251586356;0.9655172413793104;0.770277341705913;0.8363636363636364;0.8026406160403751;0.9620253164556962;17;114;611;1942;340;1134;238;47;10;7;0;0.9596774193548387;0.9714285714285714;0.8703703703703703;0.8245614035087719;0.0;271;808;190;39;10;5;0;0.95;0.9743589743589743;0.8863636363636364;0.7959183673469388;0.0
PROFILE;cosineFourGramNormalizedNormalizedTermFrequency;0.43;3257512253;0.7931256713211599;0.762809917355372;0.7778201127464615;0.9568788501026693;0.770277341705913;0.8363636363636364;0.8026406160403751;0.9620253164556962;17;114;611;1942;340;1134;233;48;9;12;0;0.9628099173553719;0.9510204081632653;0.8;0.8421052631578947;0.0;271;808;190;39;10;5;0;0.95;0.9743589743589743;0.8863636363636364;0.7959183673469388;0.0
