MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;fourGramDice;0.79;755249059;0.8259611035730439;0.6067109634551495;0.7078980554608694;0.9339622641509434;0.9056315366049881;0.838822652757079;0.8715872004311822;0.9730941704035874;98;266;968;1961;578;1222;297;62;4;38;54;0.9867109634551495;0.8865671641791045;0.62;0.9393939393939394;0.044189852700491;390;739;217;52;3;9;0;0.9863636363636363;0.9601769911504425;0.8524590163934426;0.9454545454545454;0.0
PROFILE;cosineThreeGramNormalizedBool;0.98;1344766110;0.6955223880597015;0.3928571428571428;0.5227245337329322;0.8204225352112676;0.8539823008849559;0.625;0.7305743891302907;0.9212410501193317;98;266;968;1961;578;1222;233;66;0;102;8;1.0;0.6955223880597015;0.39285714285714285;1.0;0.006546644844517185;390;739;193;55;0;33;0;1.0;0.8539823008849557;0.625;1.0;0.0
PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.54;512832244;0.7488466757123473;0.8205471305382099;0.7838775356960066;0.96602658788774;0.9051488334674174;0.8929365079365079;0.8990219343927042;0.9800443458980044;98;266;968;1961;578;1222;327;51;15;8;0;0.956140350877193;0.9761194029850746;0.864406779661017;0.7727272727272727;0.0;390;739;221;51;4;5;0;0.9822222222222222;0.9778761061946902;0.9107142857142857;0.9272727272727272;0.0
SET;twoShingleDiceNormalized;0.42;924406684;0.7520578923563996;0.7709569732937687;0.7614488009267469;0.9613095238095237;0.9051488334674174;0.8929365079365079;0.8990219343927042;0.9800443458980044;98;266;968;1961;578;1222;323;52;14;12;225;0.9584569732937686;0.9641791044776119;0.8125;0.7878787878787878;0.18412438625204583;390;739;221;51;4;5;7;0.9822222222222222;0.9778761061946902;0.9107142857142857;0.9272727272727272;0.009472259810554804
SET;threeGramDiceNormalized;0.24;874794674;0.745635459068295;0.8798164158394706;0.8099520461856279;0.9706744868035191;0.9139983909895415;0.9268232990699952;0.9203885071433661;0.9845474613686535;98;266;968;1961;578;1222;331;50;16;4;8;0.9538904899135446;0.9880597014925373;0.9259259259259259;0.7575757575757576;0.006546644844517185;390;739;223;51;4;3;0;0.9823788546255506;0.9867256637168141;0.9444444444444444;0.9272727272727272;0.0
PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.0;530416795;0.7001809136137496;0.867282913165266;0.7792656430907563;0.9664233576642336;0.8643604183427192;0.8643604183427192;0.8643604183427193;0.9734513274336283;98;266;968;1961;578;1222;331;47;19;4;0;0.9457142857142857;0.9880597014925373;0.9215686274509803;0.7121212121212122;0.0;390;739;220;49;6;6;0;0.9734513274336283;0.9734513274336283;0.8909090909090909;0.8909090909090909;0.0
SET;tokenDiceNormalized;0.39;927924442;0.7518317503392131;0.8355785664019302;0.7925998335376393;0.967551622418879;0.9095736122284794;0.9095736122284794;0.9095736122284794;0.9823008849557522;98;266;968;1961;578;1222;328;51;15;7;57;0.956268221574344;0.9791044776119403;0.8793103448275862;0.7727272727272727;0.046644844517184945;390;739;222;51;4;4;0;0.9823008849557522;0.9823008849557522;0.9272727272727272;0.9272727272727272;0.0
SET;tokenDiceNormalized;0.69;924166629;0.8342379014020804;0.725096312603192;0.7777549910739717;0.9589041095890412;0.9189058728881738;0.8830988093397247;0.9008244458510363;0.9799554565701559;98;266;968;1961;578;1222;315;59;7;20;57;0.9782608695652174;0.9402985074626866;0.7468354430379747;0.8939393939393939;0.046644844517184945;390;739;220;52;3;6;0;0.9865470852017937;0.9734513274336283;0.896551724137931;0.9454545454545454;0.0
FINGERPRINT;winnowingFiveGramDice;0.49;407333254;0.8004975124378109;0.8004975124378109;0.800497512437811;0.9671641791044776;0.9007240547063555;0.8768796992481203;0.8887219127468707;0.9777777777777777;98;266;968;1961;578;1222;324;55;11;11;161;0.9671641791044776;0.9671641791044776;0.8333333333333334;0.8333333333333334;0.13175122749590834;390;739;220;51;4;6;0;0.9821428571428571;0.9734513274336283;0.8947368421052632;0.9272727272727272;0.0
SET;fiveGramDiceNormalized;0.03;895805080;0.7334690185436454;0.8935970905884947;0.809583708462195;0.9707602339181287;0.8461786001609011;0.8580518844836025;0.8520945619341541;0.9713024282560706;98;266;968;1961;578;1222;332;49;17;3;166;0.9512893982808023;0.991044776119403;0.9423076923076923;0.7424242424242424;0.13584288052373159;390;739;220;48;7;6;0;0.9691629955947136;0.9734513274336283;0.8888888888888888;0.8727272727272727;0.0
