MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;PostId;Runtime;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailedPredecessorComparisonsText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailedPredecessorComparisonsCode
DEFAULT;default;0.04;DEFAULT;default;0.14;DEFAULT;default;0.1;DEFAULT;default;0.06;32841902;769108;2;9;10;3;2;0;0;1;1;0;6;8;2;2;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.14;DEFAULT;default;0.1;DEFAULT;default;0.06;3552962;1159758;2;16;32;8;16;4;0;0;0;0;8;16;4;0;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.14;DEFAULT;default;0.1;DEFAULT;default;0.06;21142019;9022335;5;35;108;19;64;14;3;0;0;0;16;44;12;2;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.14;DEFAULT;default;0.1;DEFAULT;default;0.06;23459881;3058148;2;14;24;7;12;3;1;0;0;0;7;12;3;1;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.14;DEFAULT;default;0.1;DEFAULT;default;0.06;7082643;284814;2;16;32;8;16;4;0;0;0;0;8;16;4;0;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.14;DEFAULT;default;0.1;DEFAULT;default;0.06;17460865;3907323;3;30;105;16;60;9;4;0;0;0;14;45;7;5;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.14;DEFAULT;default;0.1;DEFAULT;default;0.06;43707129;30877920;5;69;430;37;244;28;5;0;0;0;32;186;23;4;1;1;0
DEFAULT;default;0.04;DEFAULT;default;0.14;DEFAULT;default;0.1;DEFAULT;default;0.06;2501882;1012918;2;14;25;8;16;4;0;0;0;0;6;9;3;0;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.14;DEFAULT;default;0.1;DEFAULT;default;0.06;33076987;2095100;2;12;18;6;9;3;0;0;0;0;6;9;3;0;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.14;DEFAULT;default;0.1;DEFAULT;default;0.06;43295645;8701784;4;26;56;9;14;5;2;0;0;0;17;42;9;5;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.14;DEFAULT;default;0.1;DEFAULT;default;0.06;10381975;65913354;6;116;951;59;490;49;0;0;0;0;57;461;47;1;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.14;DEFAULT;default;0.1;DEFAULT;default;0.06;43545916;1708884;2;18;41;10;25;5;0;0;0;0;8;16;4;0;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.14;DEFAULT;default;0.1;DEFAULT;default;0.06;25095831;10590200;4;35;125;18;65;13;2;0;0;0;17;60;12;3;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.14;DEFAULT;default;0.1;DEFAULT;default;0.06;31897620;1299394;2;22;61;12;36;6;0;0;0;0;10;25;5;0;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.14;DEFAULT;default;0.1;DEFAULT;default;0.06;5597165;785732;2;16;32;8;16;4;0;0;0;0;8;16;4;0;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.14;DEFAULT;default;0.1;DEFAULT;default;0.06;31683102;14810040;5;60;288;30;144;24;0;0;0;0;30;144;24;0;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.14;DEFAULT;default;0.1;DEFAULT;default;0.06;36140536;2033040;3;18;40;9;20;4;2;1;0;0;9;20;5;2;0;0;0
