MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;PostId;Runtime;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailedPredecessorComparisonsText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailedPredecessorComparisonsCode
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;31084121;106655136;14;40;60;26;47;24;1;0;0;0;14;13;13;0;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;17158055;196810191;9;114;756;61;424;52;8;0;0;0;53;332;45;8;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;10341595;7163856;9;34;60;17;30;15;1;0;0;0;17;30;15;1;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;32962832;11520012;7;30;60;12;19;10;1;0;0;0;18;41;15;1;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;30636945;39038104;7;41;127;22;74;17;4;0;0;0;19;53;15;3;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;33003217;24600411;11;52;114;26;57;23;1;0;0;0;26;57;23;1;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;2834667;16868866;7;35;78;21;54;18;0;0;0;0;14;24;12;0;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;29080076;13580208;8;34;72;20;49;17;2;0;0;0;14;23;12;1;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;15688078;24254361;9;29;43;16;25;13;1;0;0;0;13;18;11;0;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;30208478;3729460;7;16;17;9;11;7;1;0;0;0;7;6;6;0;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;32191686;9433224;8;20;28;14;23;12;1;0;0;0;6;5;5;1;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;44257755;41594231;7;55;198;31;123;26;2;0;0;0;24;75;20;2;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;11816993;392261427;9;137;936;73;529;64;2;0;0;0;64;407;56;2;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;30355942;37665012;7;45;131;26;85;22;1;0;0;0;19;46;16;1;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;25029917;44453176;8;54;192;30;116;25;4;0;0;0;24;76;20;4;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;1799209;3820607;7;7;6;7;6;6;0;0;0;0;0;0;0;0;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;19612096;376841564;11;100;610;51;306;42;6;1;1;0;49;304;41;8;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;14560509;72358874;7;37;94;22;63;18;2;0;0;0;15;31;12;2;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;37196630;39033952;8;75;341;40;195;31;4;2;1;0;35;146;27;6;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;15037933;241035900;14;38;75;26;55;23;2;0;0;0;12;20;10;2;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;20464977;9592254;7;28;55;16;36;13;2;0;0;0;12;19;10;1;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;14291690;47360054;7;41;111;23;70;19;2;0;0;0;18;41;13;1;0;2;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;30875579;8073709;7;7;6;7;6;6;0;0;0;0;0;0;0;0;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;28575165;5472978;7;13;11;7;6;6;0;0;0;0;6;5;5;1;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;42809405;8917342;7;18;22;11;16;9;1;0;0;0;7;6;6;0;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;33813930;40705987;7;17;20;12;17;9;1;0;0;0;5;3;3;1;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;41941782;13132480;8;21;22;11;12;7;2;0;0;0;10;10;7;2;0;0;0
