MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;PostId;Runtime;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailedPredecessorComparisonsText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailedPredecessorComparisonsCode
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;44396538;81330520;8;79;358;44;218;32;3;3;0;0;35;140;26;3;1;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;18343244;9803368;8;16;14;8;7;6;1;0;0;0;8;7;6;0;1;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;31826411;157368;2;2;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;20576586;81055680;12;65;156;35;89;26;3;2;1;0;30;67;22;3;2;1;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;3381751;33562635;15;47;76;31;60;26;1;2;0;0;16;16;14;1;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;23658425;3353772;3;15;26;9;18;5;2;0;0;0;6;8;3;2;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;9468444;893230;2;12;18;7;12;1;1;2;0;0;5;6;1;1;1;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;16057871;2179326;3;21;52;11;28;4;1;3;0;0;10;24;4;4;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;6766369;866372273;13;108;509;55;256;43;10;1;0;0;53;253;40;10;1;2;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;10244330;110419236;12;109;498;59;289;52;5;1;0;0;50;209;45;5;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;26871625;707048;2;12;20;4;4;2;0;0;0;0;8;16;4;0;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;28735183;694858;2;9;7;5;4;0;2;1;1;0;4;3;0;2;1;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;26845541;5036888;4;16;26;10;19;7;0;0;0;0;6;7;3;0;1;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;21647653;12910832;8;25;34;16;26;12;1;0;0;0;9;8;7;0;0;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;3460514;52452075;13;53;109;33;79;21;1;7;2;0;20;30;14;4;1;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;42139774;4077720;3;19;43;11;28;5;2;1;0;0;8;15;3;2;1;0;0
DEFAULT;default;0.04;DEFAULT;default;0.19;DEFAULT;default;0.1;DEFAULT;default;0.1;42653992;306980;4;5;3;1;0;0;0;0;0;0;4;3;2;1;0;0;0
