MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;PostId;Runtime;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailedPredecessorComparisonsText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailedPredecessorComparisonsCode
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;3995388;9233945;7;28;48;14;24;12;0;0;0;0;14;24;12;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;4186542;140187586;11;11;10;11;10;10;0;0;0;0;0;0;0;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;13363349;37025956;11;17;14;11;10;10;0;0;0;0;6;4;4;2;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;29535537;150325632;9;62;200;33;110;29;1;0;0;0;29;90;24;2;1;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;38113915;347614736;8;64;230;36;143;30;1;0;1;0;28;87;24;1;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;32184722;47517723;9;43;106;26;72;22;2;0;0;0;17;34;14;2;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;23405041;247138288;8;98;534;53;310;46;1;0;0;0;45;224;39;1;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;40836808;17733267;9;27;40;18;32;15;0;0;1;0;9;8;8;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;12633603;17936513;7;15;19;11;16;8;0;1;0;0;4;3;3;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;24848884;8398656;8;24;30;13;17;7;4;1;0;0;11;13;7;1;1;1;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;26596856;49950584;8;34;60;17;30;14;1;0;0;0;17;30;14;1;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;673654;46311831;9;9;8;9;8;8;0;0;0;0;0;0;0;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;32292973;43117208;8;19;21;11;14;9;1;0;0;0;8;7;7;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;21260674;18257100;10;22;21;11;10;9;0;0;0;0;11;11;8;1;1;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;38463455;31806747;7;50;196;28;119;20;6;0;1;0;22;77;15;5;0;2;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;20960047;47805450;7;21;30;14;24;12;0;0;0;0;7;6;6;0;0;0;0
