MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;PostId;Runtime;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailedPredecessorComparisonsText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailedPredecessorComparisonsCode
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;34104214;1929490;2;10;13;6;9;3;0;0;0;0;4;4;2;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;12011746;261400;2;10;13;6;9;3;0;0;0;0;4;4;2;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;24504491;551176;2;2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;40278619;358110;2;8;8;5;6;2;1;0;0;0;3;2;1;1;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;31513267;1383747;3;5;3;3;2;2;0;0;0;0;2;1;1;1;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;30932556;254240;2;4;2;2;1;1;0;0;0;0;2;1;1;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;19557679;5539338;2;19;45;10;25;5;0;0;0;0;9;20;4;1;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;14412925;267804;2;2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;44435901;991836;3;8;6;4;3;2;1;0;0;0;4;3;2;1;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;4646352;329634;2;6;5;4;4;2;0;0;0;0;2;1;1;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;13678530;5415075;5;9;7;6;5;4;1;0;0;0;3;2;1;2;0;0;0
