MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;PostId;Runtime;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailedPredecessorComparisonsText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailedPredecessorComparisonsCode
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;43390565;5328424;2;26;85;14;49;7;0;0;0;0;12;36;6;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;25582997;390402;2;4;2;2;1;1;0;0;0;0;2;1;1;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;21848426;1082788;4;9;7;5;4;3;1;0;0;0;4;3;3;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;16598416;6629433;3;21;50;12;32;8;0;0;0;0;9;18;6;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;16034745;1335080;2;10;13;6;9;3;0;0;0;0;4;4;2;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;33494240;889910;2;14;25;8;16;4;0;0;0;0;6;9;3;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;22998172;217220;2;4;2;2;1;0;0;0;1;0;2;1;1;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;37605395;1102192;2;16;30;8;15;3;2;0;0;0;8;15;3;2;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;30553222;447012;2;2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;25469029;3560358;2;18;41;10;25;5;0;0;0;0;8;16;4;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;13872937;2181088;2;18;40;9;20;4;1;0;0;0;9;20;3;1;1;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;33678952;318886;2;4;2;3;2;0;1;1;0;0;1;0;0;1;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;11122155;1309732;2;14;25;8;16;4;0;0;0;0;6;9;3;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;7488478;1922058;3;11;13;7;10;3;1;1;0;0;4;3;2;1;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;32427596;1857009;3;9;10;6;8;4;0;0;0;0;3;2;2;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;33139269;167486;2;6;4;3;2;1;1;0;0;0;3;2;1;1;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;2749893;4157120;2;18;39;10;24;3;2;1;0;0;8;15;3;2;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;11076824;155462;2;2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;42176585;1337182;2;10;13;6;9;3;0;0;0;0;4;4;2;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;22635390;13276084;4;16;24;8;12;6;0;0;0;0;8;12;6;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;25743817;2532582;3;12;16;6;8;4;0;0;0;0;6;8;4;0;0;0;0
DEFAULT;default;0.17;DEFAULT;default;0.36;DEFAULT;default;0.23;DEFAULT;default;0.26;5535141;300956;2;4;2;2;1;1;0;0;0;0;2;1;1;0;0;0;0
