MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;manhattanThreeGramNormalized;0.85;9735907803;0.8631137347347639;0.4180806422185732;0.6007088683593587;0.9296109296109296;0.920561094710262;0.624467073485607;0.7581952867028547;0.9648203592814372;97;799;3832;12700;2164;7393;1565;170;1;236;5;0.9993614303959132;0.8689616879511383;0.4187192118226601;0.9941520467836257;6.763154335181928E-4;1668;5307;1289;154;2;92;0;0.9984508133230054;0.9333816075307748;0.6260162601626016;0.9871794871794872;0.0
SET;twoGramDiceNormalized;0.35;5294214145;0.885888606394758;0.7983029026217228;0.8409562687110717;0.9851996648980731;0.9407527061401066;0.9250120948234155;0.9328492007915626;0.9931134469010511;97;799;3832;12700;2164;7393;1764;155;16;37;0;0.9910112359550561;0.9794558578567463;0.8072916666666666;0.9064327485380117;0.0;1668;5307;1370;148;8;11;0;0.9941944847605225;0.9920347574221579;0.9308176100628931;0.9487179487179487;0.0
FINGERPRINT;winnowingTwoGramDiceNormalized;0.01;4583557553;0.787028648801348;0.7747497219132371;0.7808650503106124;0.9808280077799388;0.9122152286525931;0.8969521044992743;0.9045514739893081;0.9902138455962305;97;799;3832;12700;2164;7393;1765;138;33;36;0;0.9816462736373749;0.9800111049416991;0.7931034482758621;0.8070175438596491;0.0;1668;5307;1366;144;12;15;0;0.9912917271407837;0.9891383055756698;0.9056603773584906;0.9230769230769231;0.0
FINGERPRINT;winnowingFourGramDice;0.95;3017359469;0.7951138256524153;0.31666666666666665;0.5017828661781224;0.885864522115682;0.8797972483707457;0.484472049689441;0.6528684218349861;0.9360554699537751;97;799;3832;12700;2164;7393;1432;171;0;369;10;1.0;0.7951138256524153;0.31666666666666665;1.0;0.0013526308670363857;1668;5307;1215;156;0;166;0;1.0;0.8797972483707458;0.484472049689441;1.0;0.0
SET;fourGramDice;0.81;5384697742;0.8903208418974513;0.47557128114403646;0.6507004098741664;0.9449648711943794;0.9243951800070556;0.6847432917520528;0.7955962534085755;0.9729328883945125;97;799;3832;12700;2164;7393;1614;170;1;187;10;0.9993808049535604;0.8961687951138256;0.47619047619047616;0.9941520467836257;0.0013526308670363857;1668;5307;1312;152;4;69;0;0.9969604863221885;0.9500362056480811;0.6877828054298643;0.9743589743589743;0.0
PROFILE;cosineFourGramNormalizedNormalizedTermFrequency;0.5;10696762086;0.9029129366076676;0.7243186500897352;0.8087006117174789;0.9803038829487902;0.9514008800757534;0.9102641536247846;0.930605242226816;0.9927378358750908;97;799;3832;12700;2164;7393;1742;160;11;59;10;0.9937250427837993;0.9672404219877846;0.730593607305936;0.935672514619883;0.0013526308670363857;1668;5307;1367;150;6;14;0;0.9956300072833212;0.9898624185372918;0.9146341463414634;0.9615384615384616;0.0
SET;fourGramDiceNormalizedPadding;0.09;6537812781;0.8552428637761347;0.8248155524657723;0.8398914305896458;0.9858136300417245;0.9207978239477153;0.9155958644881381;0.9181931603078978;0.9916696848967764;97;799;3832;12700;2164;7393;1772;149;22;29;10;0.987736900780379;0.9838978345363687;0.8370786516853933;0.8713450292397661;0.0013526308670363857;1668;5307;1369;145;11;12;0;0.9920289855072464;0.9913106444605359;0.9235668789808917;0.9294871794871795;0.0
SET;fiveGramDice;0.03;5684360422;0.8184894032230308;0.8015613323793624;0.809981145821211;0.9833240689271817;0.8872983159731893;0.8975218563071057;0.8923954457808633;0.9891461649782923;97;799;3832;12700;2164;7393;1769;143;28;32;10;0.9844184752365053;0.9822320932815103;0.8171428571428572;0.8362573099415205;0.0013526308670363857;1668;5307;1367;140;16;14;0;0.9884309472161966;0.9898624185372918;0.9090909090909091;0.8974358974358975;0.0
SET;fourGramJaccard;0.28;6177947654;0.8853690769585447;0.718879186703788;0.7977928314898813;0.9794770874332303;0.943542397742253;0.8979282622139766;0.920452815482635;0.9916454776607337;97;799;3832;12700;2164;7393;1742;157;14;59;10;0.9920273348519362;0.9672404219877846;0.7268518518518519;0.9181286549707602;0.0013526308670363857;1668;5307;1365;149;7;16;0;0.9948979591836735;0.9884141926140478;0.9030303030303031;0.9551282051282052;0.0
FINGERPRINT;winnowingTwoGramDiceNormalized;0.93;4580890252;0.8336856392322654;0.3697094318376539;0.5551769483793182;0.9124924562462282;0.8966653669767357;0.5503815010456377;0.7025012673385674;0.9518757104964002;97;799;3832;12700;2164;7393;1512;170;1;289;0;0.9993390614672836;0.8395335924486397;0.37037037037037035;0.9941520467836257;0.0;1668;5307;1256;154;2;125;0;0.9984101748807631;0.9094858797972484;0.5519713261648745;0.9871794871794872;0.0
