MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;threeGramDice;0.31;1883711511;0.9123620309050773;0.8693548726362508;0.8905988868035006;0.9839156960621187;0.9101865421017279;0.8835222642068608;0.8967553035964337;0.9829476248477467;100;308;2765;10016;1437;5428;887;140;10;19;160;0.9888517279821628;0.9790286975717439;0.8805031446540881;0.9333333333333333;0.029476787030213707;1328;4588;807;148;11;17;0;0.9865525672371638;0.9793689320388349;0.896969696969697;0.9308176100628931;0.0
PROFILE;cosineThreeGramNormalizedBool;0.66;3506647163;0.9369536423841058;0.7868743047830922;0.858641220746465;0.9763513513513513;0.9578524760334615;0.9122457583996044;0.9347710192523537;0.989010989010989;100;308;2765;10016;1437;5428;867;147;3;39;194;0.996551724137931;0.956953642384106;0.7903225806451613;0.98;0.03574060427413412;1328;4588;810;155;4;14;0;0.995085995085995;0.9830097087378641;0.9171597633136095;0.9748427672955975;0.0
SET;threeGramJaccardNormalized;0.04;2439815908;0.9123178807947019;0.9023055426176061;0.9072979006204126;0.9867403314917127;0.9077593576357086;0.872747152753317;0.8900811169560584;0.9817073170731708;100;308;2765;10016;1437;5428;893;139;11;13;194;0.9878318584070797;0.9856512141280354;0.9144736842105263;0.9266666666666666;0.03574060427413412;1328;4588;805;148;11;19;0;0.9865196078431373;0.9769417475728155;0.8862275449101796;0.9308176100628931;0.0
PROFILE;cosineTwoGramNormalizedBool;0.91;2755042615;0.8973068432671081;0.630136420008268;0.751947951566633;0.9490150637311704;0.9672330097087378;0.8548387096774195;0.9093009501682181;0.9833436150524367;100;308;2765;10016;1437;5428;819;149;1;87;0;0.998780487804878;0.9039735099337748;0.6313559322033898;0.9933333333333333;0.0;1328;4588;797;159;0;27;0;1.0;0.9672330097087378;0.8548387096774194;1.0;0.0
SET;threeGramJaccardNormalizedPadding;0.57;2495248941;0.9093156732891834;0.7109914388290528;0.8040619745403245;0.9647326507394767;0.9578524760334615;0.9122457583996044;0.9347710192523537;0.989010989010989;100;308;2765;10016;1437;5428;848;146;4;58;194;0.9953051643192489;0.9359823399558499;0.7156862745098039;0.9733333333333334;0.03574060427413412;1328;4588;810;155;4;14;0;0.995085995085995;0.9830097087378641;0.9171597633136095;0.9748427672955975;0.0
EQUAL;equal;0.94;25390499;0.7969094922737305;0.4491017964071857;0.5982419949770081;0.886977886977887;0.8992718446601942;0.6570247933884299;0.7686637092629626;0.9469648562300319;100;308;2765;10016;1437;5428;722;150;0;184;0;1.0;0.7969094922737306;0.4491017964071856;1.0;0.0;1328;4588;741;159;0;83;0;1.0;0.8992718446601942;0.6570247933884298;1.0;0.0
SET;fourGramDice;0.05;2019793411;0.9034437086092715;0.888671747768875;0.8960272872745537;0.9850746268656717;0.9026836416926178;0.8762391642587242;0.8893631203208063;0.9817295980511571;100;308;2765;10016;1437;5428;891;138;12;15;280;0.9867109634551495;0.9834437086092715;0.9019607843137255;0.92;0.051584377302873984;1328;4588;806;147;12;18;0;0.9853300733496333;0.9781553398058253;0.8909090909090909;0.9245283018867925;0.0
SET;fourGramDiceNormalizedPadding;0.04;2438252308;0.8901103752759383;0.8851926383959605;0.8876481011944577;0.9839867476532302;0.8901050253404166;0.8724973814155319;0.8812572290735089;0.9805352798053528;100;308;2765;10016;1437;5428;891;136;14;15;320;0.9845303867403314;0.9834437086092715;0.9006622516556292;0.9066666666666666;0.058953574060427415;1328;4588;806;145;14;18;0;0.9829268292682927;0.9781553398058253;0.8895705521472392;0.9119496855345912;0.0
SET;fiveGramDice;0.68;2038783087;0.912626931567329;0.7216897966308808;0.811562409579627;0.9664963089153891;0.9590660682664711;0.917711072158925;0.9381607270505775;0.989627821842587;100;308;2765;10016;1437;5428;851;146;4;55;386;0.9953216374269006;0.9392935982339956;0.7263681592039801;0.9733333333333334;0.07111274871039057;1328;4588;811;155;4;13;0;0.9950920245398773;0.9842233009708737;0.9226190476190477;0.9748427672955975;0.0
SET;twoGramJaccardNormalizedPadding;0.06;2138139380;0.8856953642384107;0.8618810640506964;0.8737070807510778;0.981737686773658;0.8951807412835073;0.8689560643105876;0.8819709370451789;0.9805115712545676;100;308;2765;10016;1437;5428;887;136;14;19;0;0.9844617092119867;0.9790286975717439;0.8774193548387097;0.9066666666666666;0.0;1328;4588;805;146;13;19;0;0.9841075794621027;0.9769417475728155;0.8848484848484849;0.9182389937106918;0.0
SET;threeGramJaccardNormalizedPadding;0.78;2510717634;0.88401766004415;0.6116538960873661;0.7353317931220171;0.9447995351539802;0.9672330097087378;0.8548387096774195;0.9093009501682181;0.9833436150524367;100;308;2765;10016;1437;5428;813;148;2;93;194;0.9975460122699387;0.8973509933774835;0.6141078838174274;0.9866666666666667;0.03574060427413412;1328;4588;797;159;0;27;0;1.0;0.9672330097087378;0.8548387096774194;1.0;0.0
