MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;twoGramJaccardNormalizedPadding;0.64;196340053;0.8035714285714286;0.6100217864923747;0.7001400420140049;0.9345794392523364;0.8902900378310215;0.8404761904761904;0.8650246120285366;0.9752066115702478;97;244;875;1447;529;914;250;51;5;30;1;0.9803921568627451;0.8928571428571429;0.6296296296296297;0.9107142857142857;0.0010940919037199124;346;533;177;36;3;6;0;0.9833333333333333;0.9672131147540983;0.8571428571428571;0.9230769230769231;0.0
FINGERPRINT;winnowingThreeGramDiceNormalized;0.75;156793485;0.8321428571428573;0.585243328100471;0.6978581913034484;0.9257142857142857;0.8848255569567045;0.8204495257892686;0.8520297580550539;0.9723756906077347;97;244;875;1447;529;914;243;54;2;37;34;0.9918367346938776;0.8678571428571429;0.5934065934065934;0.9642857142857143;0.037199124726477024;346;533;176;36;3;7;0;0.9832402234636871;0.9617486338797814;0.8372093023255814;0.9230769230769231;0.0
PROFILE;cosineTwoGramNormalizedBool;0.78;250524427;0.7892857142857144;0.6095650889031177;0.6936288752629408;0.9348230912476723;0.8957545187053384;0.8614741948524458;0.8784471542370216;0.978021978021978;97;244;875;1447;529;914;251;50;6;29;1;0.9766536964980544;0.8964285714285715;0.6329113924050633;0.8928571428571429;0.0010940919037199124;346;533;178;36;3;5;0;0.9834254143646409;0.9726775956284153;0.8780487804878049;0.9230769230769231;0.0
FINGERPRINT;winnowingFiveGramDiceNormalized;0.73;149667199;0.842857142857143;0.5809741515737648;0.6997701147300561;0.9233716475095785;0.8848255569567045;0.8204495257892686;0.8520297580550539;0.9723756906077347;97;244;875;1447;529;914;241;55;1;39;46;0.9958677685950413;0.8607142857142858;0.5851063829787234;0.9821428571428571;0.05032822757111598;346;533;176;36;3;7;0;0.9832402234636871;0.9617486338797814;0.8372093023255814;0.9230769230769231;0.0
SET;twoGramJaccardNormalizedPadding;0.76;196878503;0.8285714285714285;0.5570228091236493;0.6793623368295099;0.915057915057915;0.8995376208490962;0.7929841897233203;0.8445822111521553;0.9693593314763231;97;244;875;1447;529;914;237;55;1;43;1;0.9957983193277311;0.8464285714285714;0.5612244897959183;0.9821428571428571;0.0010940919037199124;346;533;174;37;2;9;0;0.9886363636363636;0.9508196721311475;0.8043478260869565;0.9487179487179487;0.0
PROFILE;manhattanFourGramNormalized;0.62;403251898;0.7928571428571429;0.6177698270721526;0.6998594287682193;0.9368029739776953;0.8848255569567045;0.8204495257892686;0.8520297580550539;0.9723756906077347;97;244;875;1447;529;914;252;50;6;28;42;0.9767441860465116;0.9;0.6410256410256411;0.8928571428571429;0.045951859956236324;346;533;176;36;3;7;0;0.9832402234636871;0.9617486338797814;0.8372093023255814;0.9230769230769231;0.0
PROFILE;manhattanFiveGramNormalized;0.56;358213364;0.8035714285714286;0.6436781609195403;0.7191949522280762;0.9426987060998151;0.8902900378310215;0.8404761904761904;0.8650246120285366;0.9752066115702478;97;244;875;1447;529;914;255;50;6;25;46;0.9770114942528736;0.9107142857142857;0.6666666666666666;0.8928571428571429;0.05032822757111598;346;533;177;36;3;6;0;0.9833333333333333;0.9672131147540983;0.8571428571428571;0.9230769230769231;0.0
SET;twoGramJaccardNormalizedPadding;0.54;197674592;0.7964285714285713;0.6637257507307999;0.7270558104264673;0.9467889908256879;0.8957545187053384;0.8614741948524458;0.8784471542370216;0.978021978021978;97;244;875;1447;529;914;258;49;7;22;1;0.9735849056603774;0.9214285714285714;0.6901408450704225;0.875;0.0010940919037199124;346;533;178;36;3;5;0;0.9834254143646409;0.9726775956284153;0.8780487804878049;0.9230769230769231;0.0
SET;threeGramDiceNormalizedPadding;0.94;208537195;0.7071428571428573;0.4057971014492754;0.5356832289134414;0.8284518828451882;0.9125683060109289;0.709090909090909;0.8044214627400492;0.9542857142857144;97;244;875;1447;529;914;198;56;0;82;34;1.0;0.7071428571428572;0.4057971014492754;1.0;0.037199124726477024;346;533;167;39;0;16;0;1.0;0.912568306010929;0.7090909090909091;1.0;0.0
SET;fiveGramDice;0.67;189437462;0.8142857142857143;0.6031746031746033;0.7008255578851517;0.9323308270676691;0.921395544346364;0.8698412698412699;0.89524737939875;0.9807162534435262;97;244;875;1447;529;914;248;52;4;32;41;0.9841269841269841;0.8857142857142857;0.6190476190476191;0.9285714285714286;0.044857768052516414;346;533;178;37;2;5;0;0.9888888888888889;0.9726775956284153;0.8809523809523809;0.9487179487179487;0.0
