MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
EQUAL;equal;0.06;NONE;none;1.0;EQUAL;equal;0.06;NONE;none;1.0;3962171;0.4736842105263157;0.2777777777777777;0.36273812505500586;0.6428571428571429;0.7708333333333335;0.5925925925925926;0.6758625033664688;0.8705882352941177;98;253;729;1016;450;653;117;50;0;130;0;1.0;0.47368421052631576;0.2777777777777778;1.0;0.0;279;363;111;48;0;33;0;1.0;0.7708333333333334;0.5925925925925926;1.0;0.0
SET;fiveGramOverlapNormalizedPadding;0.82;NONE;none;1.0;SET;fiveGramOverlapNormalizedPadding;0.82;NONE;none;1.0;136878151;0.8473684210526315;0.7549415668734669;0.799821007168835;0.9629629629629629;0.9236111111111112;0.9367571533382244;0.9301609082497496;0.9826989619377162;98;253;729;1016;450;653;234;45;5;13;10;0.9790794979079498;0.9473684210526315;0.7758620689655172;0.9;0.015313935681470138;279;363;142;45;3;2;0;0.9793103448275862;0.9861111111111112;0.9574468085106383;0.9375;0.0
SET;threeGramJaccardNormalizedPadding;0.34;NONE;none;1.0;SET;threeGramJaccardNormalizedPadding;0.34;NONE;none;1.0;130141231;0.9157085020242914;0.8744973708629757;0.8948657315469828;0.9816700610997963;0.9305555555555556;0.957712924359738;0.9440365895399985;0.9862068965517242;98;253;729;1016;450;653;241;47;3;6;0;0.9877049180327869;0.9757085020242915;0.8867924528301887;0.94;0.0;279;363;143;45;3;1;0;0.9794520547945206;0.9930555555555556;0.9782608695652174;0.9375;0.0
SET;fiveGramDiceNormalized;0.62;NONE;none;1.0;SET;fiveGramDiceNormalized;0.62;NONE;none;1.0;118490184;0.911417004048583;0.7915611814345991;0.8493776077247853;0.9710743801652892;0.9375;0.9247894962180676;0.9311230599144447;0.9825783972125435;98;253;729;1016;450;653;235;48;2;12;10;0.9915611814345991;0.951417004048583;0.8;0.96;0.015313935681470138;279;363;141;46;2;3;0;0.986013986013986;0.9791666666666666;0.9387755102040817;0.9583333333333334;0.0
SET;fiveGramDiceNormalizedPadding;0.91;NONE;none;1.0;SET;fiveGramDiceNormalizedPadding;0.91;NONE;none;1.0;120900003;0.7489878542510122;0.4464285714285714;0.5782469868409437;0.8564814814814814;0.8680555555555554;0.7382798080472499;0.8005422468114374;0.9377289377289376;98;253;729;1016;450;653;185;50;0;62;10;1.0;0.7489878542510121;0.44642857142857145;1.0;0.015313935681470138;279;363;128;47;1;16;0;0.9922480620155039;0.8888888888888888;0.746031746031746;0.9791666666666666;0.0
PROFILE;cosineTwoShingleNormalizedNormalizedTermFrequency;0.68;NONE;none;1.0;PROFILE;cosineTwoShingleNormalizedNormalizedTermFrequency;0.68;NONE;none;1.0;152869020;0.8992712550607287;0.7533577533577533;0.8230874633790493;0.9646569646569646;0.9236111111111112;0.887776387150605;0.9055165019779474;0.9754385964912281;98;253;729;1016;450;653;232;48;2;15;33;0.9914529914529915;0.9392712550607287;0.7619047619047619;0.96;0.05053598774885146;279;363;139;46;2;5;0;0.9858156028368794;0.9652777777777778;0.9019607843137255;0.9583333333333334;0.0
SET;tokenDice;0.63;NONE;none;1.0;SET;tokenDice;0.63;NONE;none;1.0;32038542;0.871174089068826;0.7214994635193133;0.7928124859606365;0.9583333333333333;0.9305555555555554;0.863123993558776;0.8962057951940596;0.9716312056737588;98;253;729;1016;450;653;230;47;3;17;0;0.9871244635193133;0.9311740890688259;0.734375;0.94;0.0;279;363;137;47;1;7;0;0.9927536231884058;0.9513888888888888;0.8703703703703703;0.9791666666666666;0.0
SET;fourGramDiceNormalized;0.74;NONE;none;1.0;SET;fourGramDiceNormalized;0.74;NONE;none;1.0;119642459;0.8949797570850202;0.6955947136563876;0.7890140606211135;0.9535864978902954;0.9097222222222223;0.8535360390932536;0.8811814241293721;0.9681978798586571;98;253;729;1016;450;653;226;49;1;21;10;0.9955947136563876;0.9149797570850202;0.7;0.98;0.015313935681470138;279;363;137;46;2;7;0;0.9856115107913669;0.9513888888888888;0.8679245283018868;0.9583333333333334;0.0
PROFILE;manhattanThreeGramNormalized;0.75;NONE;none;1.0;PROFILE;manhattanThreeGramNormalized;0.75;NONE;none;1.0;181774339;0.8949797570850202;0.6955947136563876;0.7890140606211135;0.9535864978902954;0.9236111111111112;0.887776387150605;0.9055165019779474;0.9754385964912281;98;253;729;1016;450;653;226;49;1;21;0;0.9955947136563876;0.9149797570850202;0.7;0.98;0.0;279;363;139;46;2;5;0;0.9858156028368794;0.9652777777777778;0.9019607843137255;0.9583333333333334;0.0
PROFILE;cosineTwoShingleNormalizedTermFrequency;0.2;NONE;none;1.0;PROFILE;cosineTwoShingleNormalizedTermFrequency;0.2;NONE;none;1.0;153688270;0.8678542510121456;0.9121702127659574;0.8897363636468893;0.9818913480885312;0.9375;0.9795918367346939;0.9583148474999098;0.9896907216494846;98;253;729;1016;450;653;244;44;6;3;33;0.976;0.9878542510121457;0.9361702127659575;0.88;0.05053598774885146;279;363;144;45;3;0;0;0.9795918367346939;1.0;1.0;0.9375;0.0
