MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.39;NONE;none;1.0;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.39;NONE;none;1.0;4136138098;0.9690993413234525;0.8233482642777155;0.8932559882762288;0.9902858728837081;0.9841290648788847;0.9729149310376748;0.9785059331903978;0.9978354978354979;97;799;3830;12720;2162;7400;1784;155;2;33;0;0.9988801791713325;0.9818381948266374;0.824468085106383;0.9872611464968153;0.0;1668;5320;1383;152;2;4;0;0.9985559566787003;0.9971160778658976;0.9743589743589743;0.987012987012987;0.0
SET;fourGramDice;0.36;NONE;none;1.0;SET;fourGramDice;0.36;NONE;none;1.0;4471284085;0.9785360484314805;0.8010204081632653;0.8853402424588263;0.9891515994436718;0.9761935973183271;0.9596158094326424;0.9678692107168143;0.996752075063154;97;799;3830;12720;2162;7400;1778;157;0;39;10;1.0;0.9785360484314805;0.8010204081632653;1.0;0.0013513513513513514;1668;5320;1381;151;3;6;0;0.9978323699421965;0.9956741167988464;0.9617834394904459;0.9805194805194806;0.0
SET;twoGramDice;0.77;NONE;none;1.0;SET;twoGramDice;0.77;NONE;none;1.0;3644045678;0.9367088607594938;0.5772058823529411;0.7353052865868039;0.9673202614379084;0.9610530061142895;0.8461135795955714;0.9017538462265887;0.989090909090909;97;799;3830;12720;2162;7400;1702;157;0;115;0;1.0;0.9367088607594937;0.5772058823529411;1.0;0.0;1668;5320;1360;151;3;27;0;0.9977989728539985;0.9805335255948089;0.848314606741573;0.9805194805194806;0.0
PROFILE;cosineFourGramNormalizedBool;0.65;NONE;none;1.0;PROFILE;cosineFourGramNormalizedBool;0.65;NONE;none;1.0;9544274769;0.9389102916895982;0.585820895522388;0.7416422775791487;0.9684927618506955;0.9610530061142895;0.8461135795955714;0.9017538462265887;0.989090909090909;97;799;3830;12720;2162;7400;1706;157;0;111;10;1.0;0.9389102916895983;0.585820895522388;1.0;0.0013513513513513514;1668;5320;1360;151;3;27;0;0.9977989728539985;0.9805335255948089;0.848314606741573;0.9805194805194806;0.0
PROFILE;manhattanThreeGramNormalized;0.1;NONE;none;1.0;PROFILE;manhattanThreeGramNormalized;0.1;NONE;none;1.0;8660439889;0.9834086423691324;0.9556863706974084;0.9694484186062823;0.9975199779553596;0.9595969999719098;0.9823532231008867;0.970908443572486;0.9971202303815695;97;799;3830;12720;2162;7400;1810;155;2;7;5;0.9988962472406181;0.996147495872317;0.9567901234567902;0.9872611464968153;6.756756756756757E-4;1668;5320;1385;148;6;2;0;0.99568655643422;0.9985580389329488;0.9866666666666667;0.961038961038961;0.0
PROFILE;manhattanFourGramNormalized;0.61;NONE;none;1.0;PROFILE;manhattanFourGramNormalized;0.61;NONE;none;1.0;9395627600;0.9411117226197028;0.5946969696969697;0.7481151579725092;0.9696626027785653;0.9689884736748471;0.8572907864870687;0.9114301348395356;0.990185387131952;97;799;3830;12720;2162;7400;1710;157;0;107;10;1.0;0.9411117226197028;0.5946969696969697;1.0;0.0013513513513513514;1668;5320;1362;152;2;25;0;0.998533724340176;0.9819754866618601;0.8587570621468926;0.987012987012987;0.0
PROFILE;cosineTwoGramNormalizedNormalizedTermFrequency;0.62;NONE;none;1.0;PROFILE;cosineTwoGramNormalizedNormalizedTermFrequency;0.62;NONE;none;1.0;6841352784;0.9663475526608218;0.8019858436635412;0.8803391717360346;0.9888827126181212;0.9769145778518524;0.9657826529667686;0.9713326684095789;0.9971139971139971;97;799;3830;12720;2162;7400;1779;155;2;38;0;0.9988770353733858;0.9790864061640066;0.8031088082901554;0.9872611464968153;0.0;1668;5320;1382;151;3;5;0;0.9978339350180505;0.996395097332372;0.967948717948718;0.9805194805194806;0.0
PROFILE;cosineFourGramNormalizedBool;0.79;NONE;none;1.0;PROFILE;cosineFourGramNormalizedBool;0.79;NONE;none;1.0;9513249239;0.8981838194826637;0.45906432748538006;0.6421247161175616;0.9463612641345317;0.933655745840317;0.6968099231306777;0.806585760157906;0.9749262536873157;97;799;3830;12720;2162;7400;1632;157;0;185;10;1.0;0.8981838194826637;0.4590643274853801;1.0;0.0013513513513513514;1668;5320;1322;151;3;65;0;0.9977358490566037;0.9531362653208363;0.6990740740740741;0.9805194805194806;0.0
SET;threeGramJaccardNormalizedPadding;0.61;NONE;none;1.0;SET;threeGramJaccardNormalizedPadding;0.61;NONE;none;1.0;5970422589;0.9113924050632911;0.4937106918238994;0.6707936902109657;0.9536423841059603;0.9480753565108286;0.7681776799939306;0.8533992780779154;0.9824304538799414;97;799;3830;12720;2162;7400;1656;157;0;161;5;1.0;0.9113924050632911;0.4937106918238994;1.0;6.756756756756757E-4;1668;5320;1342;151;3;45;0;0.9977695167286246;0.9675558759913482;0.7704081632653061;0.9805194805194806;0.0
FINGERPRINT;winnowingTwoGramDiceNormalized;0.17;NONE;none;1.0;FINGERPRINT;winnowingTwoGramDiceNormalized;0.17;NONE;none;1.0;4214057853;0.9255334438722751;0.942007992007992;0.9337343846075088;0.9947759142150124;0.9523825129448777;0.9749676491732566;0.963608914321358;0.9964002879769619;97;799;3830;12720;2162;7400;1809;146;11;8;64;0.993956043956044;0.9955971381397909;0.948051948051948;0.9299363057324841;0.008648648648648649;1668;5320;1384;147;7;3;0;0.9949676491732566;0.9978370583994232;0.98;0.9545454545454546;0.0
SET;tokenJaccard;0.42;NONE;none;1.0;SET;tokenJaccard;0.42;NONE;none;1.0;1624304889;0.9444138690148596;0.6085271317829457;0.7580906693316091;0.9714123973959808;0.976928622927181;0.827956989247312;0.8993635979670909;0.9883296863603209;97;799;3830;12720;2162;7400;1716;157;0;101;0;1.0;0.9444138690148597;0.6085271317829457;1.0;0.0;1668;5320;1355;154;0;32;0;1.0;0.976928622927181;0.8279569892473119;1.0;0.0
SET;threeGramDice;0.01;NONE;none;1.0;SET;threeGramDice;0.01;NONE;none;1.0;4289688850;0.9266341593373273;0.9544889941648853;0.9404584555974335;0.9953283869194834;0.9588760194383843;0.9758159035685359;0.9673088799956651;0.9967590925459128;97;799;3830;12720;2162;7400;1811;146;11;6;5;0.9939626783754116;0.9966978536048432;0.9605263157894737;0.9299363057324841;6.756756756756757E-4;1668;5320;1384;148;6;3;0;0.99568345323741;0.9978370583994232;0.9801324503311258;0.961038961038961;0.0
SET;twoShingleDiceNormalized;0.1;NONE;none;1.0;SET;twoShingleDiceNormalized;0.1;NONE;none;1.0;6581373697;0.9831737763304109;0.8908727070594775;0.9358860420101169;0.9944690265486725;0.9494985908107754;0.9494985908107754;0.9494985908107754;0.9949531362653208;97;799;3830;12720;2162;7400;1798;156;1;19;337;0.9994441356309061;0.9895432030820033;0.8914285714285715;0.9936305732484076;0.04554054054054054;1668;5320;1380;147;7;7;59;0.9949531362653208;0.9949531362653208;0.9545454545454546;0.9545454545454546;0.011090225563909775
SET;fourGramJaccardNormalized;0.16;NONE;none;1.0;SET;fourGramJaccardNormalized;0.16;NONE;none;1.0;6193134605;0.9812878370941112;0.8219895287958114;0.8981137605148078;0.9905555555555555;0.9776355583853782;0.9720290462225947;0.9748282717333514;0.9974756581319871;97;799;3830;12720;2162;7400;1783;157;0;34;10;1.0;0.9812878370941112;0.8219895287958116;1.0;0.0013513513513513514;1668;5320;1383;151;3;4;0;0.9978354978354979;0.9971160778658976;0.9741935483870968;0.9805194805194806;0.0
SET;twoGramDice;0.01;NONE;none;1.0;SET;twoGramDice;0.01;NONE;none;1.0;3591075352;0.920815090318261;0.9600877192982455;0.9402463825822821;0.9953309530348805;0.9523825129448777;0.9749676491732566;0.963608914321358;0.9964002879769619;97;799;3830;12720;2162;7400;1812;145;12;5;0;0.993421052631579;0.9972482113373693;0.9666666666666667;0.9235668789808917;0.0;1668;5320;1384;147;7;3;0;0.9949676491732566;0.9978370583994232;0.98;0.9545454545454546;0.0
SET;fourGramJaccardNormalized;0.56;NONE;none;1.0;SET;fourGramJaccardNormalized;0.56;NONE;none;1.0;6158277615;0.9135938359933957;0.5;0.6758675299174371;0.9548461317227495;0.9502382981114055;0.7801579004012853;0.8610086617075839;0.9835466179159049;97;799;3830;12720;2162;7400;1660;157;0;157;10;1.0;0.9135938359933957;0.5;1.0;0.0013513513513513514;1668;5320;1345;151;3;42;0;0.9977744807121661;0.969718817591925;0.7823834196891192;0.9805194805194806;0.0
PROFILE;cosineTwoGramNormalizedNormalizedTermFrequency;0.8;NONE;none;1.0;PROFILE;cosineTwoGramNormalizedNormalizedTermFrequency;0.8;NONE;none;1.0;6777031771;0.9416620803522289;0.5969581749049429;0.7497552112951656;0.9699546485260772;0.9531175385537316;0.8350519692532341;0.8921337778041414;0.9879956347762823;97;799;3830;12720;2162;7400;1711;157;0;106;0;1.0;0.941662080352229;0.596958174904943;1.0;0.0;1668;5320;1358;150;4;29;0;0.9970631424375918;0.9790915645277577;0.8379888268156425;0.974025974025974;0.0
FINGERPRINT;winnowingTwoGramDiceNormalized;0.9;NONE;none;1.0;FINGERPRINT;winnowingTwoGramDiceNormalized;0.9;NONE;none;1.0;4195528138;0.8602091359383599;0.3819951338199514;0.5732326787578658;0.9248520710059172;0.9264553038886132;0.6211790187399944;0.75861360162865;0.964951528709918;97;799;3830;12720;2162;7400;1563;157;0;254;64;1.0;0.8602091359383599;0.3819951338199513;1.0;0.008648648648648649;1668;5320;1294;153;1;93;0;0.9992277992277993;0.9329488103821196;0.6219512195121951;0.9935064935064936;0.0
PROFILE;cosineTwoGramNormalizedBool;0.29;NONE;none;1.0;PROFILE;cosineTwoGramNormalizedBool;0.29;NONE;none;1.0;6815396502;0.957930935362763;0.9523922377739362;0.9551575719026791;0.9964216900633086;0.9523825129448777;0.9749676491732566;0.963608914321358;0.9964002879769619;97;799;3830;12720;2162;7400;1810;151;6;7;0;0.9966960352422908;0.996147495872317;0.9556962025316456;0.9617834394904459;0.0;1668;5320;1384;147;7;3;0;0.9949676491732566;0.9978370583994232;0.98;0.9545454545454546;0.0
SET;tokenJaccardNormalized;0.05;NONE;none;1.0;SET;tokenJaccardNormalized;0.05;NONE;none;1.0;3478496463;0.9280503664961843;0.9018886436104978;0.9148759950077765;0.993111049875999;0.9913435519059166;0.980047209108581;0.9856791979712168;0.9985569985569985;97;799;3830;12720;2162;7400;1802;147;10;15;0;0.9944812362030905;0.9917446340121079;0.9074074074074074;0.9363057324840764;0.0;1668;5320;1384;153;1;3;0;0.9992779783393502;0.9978370583994232;0.9807692307692307;0.9935064935064936;0.0
EQUAL;equal;0.67;NONE;none;1.0;EQUAL;equal;0.67;NONE;none;1.0;100811519;0.6692350027517886;0.2071240105540897;0.37230986795024346;0.8018463567424993;0.772170151405912;0.327659574468085;0.5029999435652235;0.871440195280716;97;799;3830;12720;2162;7400;1216;157;0;601;0;1.0;0.6692350027517887;0.20712401055408972;1.0;0.0;1668;5320;1071;154;0;316;0;1.0;0.772170151405912;0.3276595744680851;1.0;0.0
PROFILE;cosineTwoGramNormalizedNormalizedTermFrequency;0.45;NONE;none;1.0;PROFILE;cosineTwoGramNormalizedNormalizedTermFrequency;0.45;NONE;none;1.0;6826419446;0.9720859960248047;0.9042193817660102;0.9375387983166057;0.9947528307097485;0.9783565389189037;0.9783565389189037;0.9783565389189037;0.9978370583994232;97;799;3830;12720;2162;7400;1801;154;3;16;0;0.9983370288248337;0.9911942762795817;0.9058823529411765;0.9808917197452229;0.0;1668;5320;1384;151;3;3;0;0.9978370583994232;0.9978370583994232;0.9805194805194806;0.9805194805194806;0.0
PROFILE;cosineFiveGramNormalizedBool;0.29;NONE;none;1.0;PROFILE;cosineFiveGramNormalizedBool;0.29;NONE;none;1.0;9937138514;0.9754687680750451;0.8248366013071895;0.8969962894796897;0.9905607995558023;0.9704210713583459;0.9648559325978681;0.9676345011511729;0.9967544175982691;97;799;3830;12720;2162;7400;1784;156;1;33;64;0.9994397759103641;0.9818381948266374;0.8253968253968254;0.9936305732484076;0.008648648648648649;1668;5320;1382;150;4;5;0;0.9971139971139971;0.996395097332372;0.967741935483871;0.974025974025974;0.0
SET;twoGramDice;0.88;NONE;none;1.0;SET;twoGramDice;0.88;NONE;none;1.0;3765933371;0.8871766648321409;0.4337016574585635;0.6202983072653512;0.9402158063575387;0.9293298626391633;0.6779057298390128;0.7937241578745046;0.9726533628972653;97;799;3830;12720;2162;7400;1612;157;0;205;0;1.0;0.8871766648321409;0.43370165745856354;1.0;0.0;1668;5320;1316;151;3;71;0;0.9977255496588324;0.9488103821196827;0.6801801801801802;0.9805194805194806;0.0
SET;fourGramJaccardNormalizedPadding;0.47;NONE;none;1.0;SET;fourGramJaccardNormalizedPadding;0.47;NONE;none;1.0;6263318479;0.9367088607594938;0.5772058823529411;0.7353052865868039;0.9673202614379084;0.9610530061142895;0.8461135795955714;0.9017538462265887;0.989090909090909;97;799;3830;12720;2162;7400;1702;157;0;115;10;1.0;0.9367088607594937;0.5772058823529411;1.0;0.0013513513513513514;1668;5320;1360;151;3;27;0;0.9977989728539985;0.9805335255948089;0.848314606741573;0.9805194805194806;0.0
