MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;fourGramDiceNormalizedPadding;0.15;NONE;none;1.0;SET;fourGramDiceNormalizedPadding;0.15;NONE;none;1.0;2085222133;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.9588612484548826;0.9447167714533635;0.9517627345678323;0.9919504643962849;100;308;2703;9948;1406;5376;882;142;9;9;388;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.07217261904761904;1297;4572;801;155;5;8;0;0.9937965260545906;0.9901112484548825;0.950920245398773;0.96875;0.0
PROFILE;manhattanTokenNormalized;0.28;NONE;none;1.0;PROFILE;manhattanTokenNormalized;0.28;NONE;none;1.0;1511848989;0.9577972513954853;0.9085031831416868;0.9328246628907048;0.989841986455982;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;877;147;4;14;0;0.9954597048808173;0.9842873176206509;0.9130434782608695;0.9735099337748344;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
FINGERPRINT;winnowingFourGramDiceNormalized;0.33;NONE;none;1.0;FINGERPRINT;winnowingFourGramDiceNormalized;0.33;NONE;none;1.0;1493008629;0.9267063571699334;0.8491337038247793;0.8870724893838577;0.9824362606232294;0.9651112484548825;0.9462505680957429;0.9556343794182085;0.9925650557620818;100;308;2703;9948;1406;5376;867;144;7;24;1441;0.9919908466819222;0.9730639730639731;0.8571428571428571;0.9536423841059603;0.26804315476190477;1297;4572;801;156;4;8;175;0.9950310559006211;0.9901112484548825;0.9512195121951219;0.975;0.03827646544181977
PROFILE;manhattanFiveGramNormalized;0.0;NONE;none;1.0;PROFILE;manhattanFiveGramNormalized;0.0;NONE;none;1.0;3391527732;0.9192959766911202;0.9400904495876561;0.9296350725051624;0.9899216125419933;0.9638056242274413;0.9686699277894246;0.9662347149753195;0.9944410129709697;100;308;2703;9948;1406;5376;884;140;11;7;526;0.9877094972067039;0.9921436588103255;0.9523809523809523;0.9271523178807947;0.0978422619047619;1297;4572;805;155;5;4;0;0.9938271604938271;0.9950556242274413;0.9748427672955975;0.96875;0.0
FINGERPRINT;winnowingTwoGramDiceNormalized;0.75;NONE;none;1.0;FINGERPRINT;winnowingTwoGramDiceNormalized;0.75;NONE;none;1.0;1567180944;0.9107706944351537;0.7389877936990401;0.8203952864603603;0.968336211859528;0.9813890605686031;0.9395784023668639;0.9602561979124976;0.9931634555624611;100;308;2703;9948;1406;5376;841;146;5;50;526;0.9940898345153665;0.9438832772166106;0.7448979591836735;0.9668874172185431;0.0978422619047619;1297;4572;799;159;1;10;0;0.99875;0.9876390605686032;0.9408284023668639;0.99375;0.0
PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.33;NONE;none;1.0;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.33;NONE;none;1.0;1527318952;0.9634089236738244;0.9377930196214619;0.9505146835595643;0.9926842993809791;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;147;4;9;0;0.9954853273137697;0.98989898989899;0.9423076923076923;0.9735099337748344;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
PROFILE;cosineFiveGramNormalizedBool;0.9;NONE;none;1.0;PROFILE;cosineFiveGramNormalizedBool;0.9;NONE;none;1.0;3465837215;0.8588088389412893;0.563972529859379;0.6959487003819427;0.9305389221556886;0.9579728059332511;0.8247422680412371;0.8888648180050874;0.9785353535353535;100;308;2703;9948;1406;5376;777;149;2;114;526;0.9974326059050064;0.8720538720538721;0.5665399239543726;0.9867549668874173;0.0978422619047619;1297;4572;775;160;0;34;0;1.0;0.957972805933251;0.8247422680412371;1.0;0.0
SET;fiveGramJaccard;0.94;NONE;none;1.0;SET;fiveGramJaccard;0.94;NONE;none;1.0;1944905763;0.829405162738496;0.4983498349834983;0.6429105116462096;0.9067484662576688;0.9208899876390606;0.7142857142857144;0.811035487879124;0.9588159588159588;100;308;2703;9948;1406;5376;739;151;0;152;388;1.0;0.8294051627384961;0.49834983498349833;1.0;0.07217261904761904;1297;4572;745;160;0;64;0;1.0;0.9208899876390606;0.7142857142857143;1.0;0.0
SET;twoGramDice;0.1;NONE;none;1.0;SET;twoGramDice;0.1;NONE;none;1.0;1403148304;0.9015616057558662;0.9116168258716191;0.906575275069248;0.9865470852017937;0.9775417181705808;0.9775417181705808;0.977541718170581;0.9962917181705809;100;308;2703;9948;1406;5376;880;138;13;11;0;0.9854423292273237;0.9876543209876543;0.9261744966442953;0.9139072847682119;0.0;1297;4572;806;157;3;3;0;0.9962917181705809;0.9962917181705809;0.98125;0.98125;0.0
SET;fiveGramDice;0.94;NONE;none;1.0;SET;fiveGramDice;0.94;NONE;none;1.0;1716712200;0.8386068187392692;0.5276209894267234;0.6651815988459169;0.9188861985472155;0.9394313967861558;0.7655502392344498;0.8480459483742582;0.9687699171446781;100;308;2703;9948;1406;5376;759;149;2;132;388;0.9973718791064389;0.8518518518518519;0.5302491103202847;0.9867549668874173;0.07217261904761904;1297;4572;760;160;0;49;0;1.0;0.9394313967861557;0.7655502392344498;1.0;0.0
