MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;cosineFiveGramNormalizedNormalizedTermFrequency;0.17;NONE;none;1.0;PROFILE;cosineFiveGramNormalizedNormalizedTermFrequency;0.17;NONE;none;1.0;2809903032;0.760254676583277;0.8584425499427408;0.807858256857007;0.9624060150375939;0.7586405529953919;0.8985380116959065;0.82563150017448;0.9662921348314607;18;121;669;2174;368;1244;256;53;15;5;34;0.9446494464944649;0.9808429118773946;0.9137931034482759;0.7794117647058824;0.027331189710610933;301;930;215;43;13;2;0;0.9429824561403509;0.9907834101382489;0.9555555555555556;0.7678571428571429;0.0
SET;threeGramDiceNormalizedPadding;0.02;NONE;none;1.0;SET;threeGramDiceNormalizedPadding;0.02;NONE;none;1.0;2035969888;0.5211291413116972;0.7520735078874612;0.6260410700334832;0.9323583180987203;0.6693548387096775;0.8727467811158798;0.7643149095158421;0.9555555555555556;18;121;669;2174;368;1244;255;37;31;6;0;0.8916083916083916;0.9770114942528736;0.8604651162790697;0.5441176470588235;0.0;301;930;215;38;18;2;0;0.9227467811158798;0.9907834101382489;0.95;0.6785714285714286;0.0
SET;fiveGramDiceNormalizedPadding;0.67;NONE;none;1.0;SET;fiveGramDiceNormalizedPadding;0.67;NONE;none;1.0;2108141299;0.8415596123506874;0.6943747094374708;0.764432934468629;0.9400000000000001;0.8773041474654377;0.7647776183644188;0.8191108450508053;0.9573459715639809;18;121;669;2174;368;1244;235;64;4;26;34;0.9832635983263598;0.9003831417624522;0.7111111111111111;0.9411764705882353;0.027331189710610933;301;930;202;53;3;15;0;0.9853658536585366;0.9308755760368663;0.7794117647058824;0.9464285714285714;0.0
PROFILE;cosineTokenNormalizedBool;0.36;NONE;none;1.0;PROFILE;cosineTokenNormalizedBool;0.36;NONE;none;1.0;1366288215;0.8190782059950417;0.8781563368370182;0.8481030108186403;0.9696969696969696;0.8070276497695854;0.8292744799594114;0.8180754455278186;0.963302752293578;18;121;669;2174;368;1244;256;57;11;5;0;0.9588014981273408;0.9808429118773946;0.9193548387096774;0.8382352941176471;0.0;301;930;210;47;9;7;0;0.958904109589041;0.967741935483871;0.8703703703703703;0.8392857142857143;0.0
PROFILE;cosineTwoShingleNormalizedTermFrequency;0.11;NONE;none;1.0;PROFILE;cosineTwoShingleNormalizedTermFrequency;0.11;NONE;none;1.0;3136357259;0.8043723236421005;0.8732566674822608;0.8381070902686978;0.9678638941398866;0.695852534562212;0.8392219134577212;0.7641823706025315;0.9551569506726456;18;121;669;2174;368;1244;256;56;12;5;58;0.9552238805970149;0.9808429118773946;0.9180327868852459;0.8235294117647058;0.04662379421221865;301;930;213;40;16;4;0;0.9301310043668122;0.9815668202764977;0.9090909090909091;0.7142857142857143;0.0
PROFILE;cosineFiveGramNormalizedBool;0.04;NONE;none;1.0;PROFILE;cosineFiveGramNormalizedBool;0.04;NONE;none;1.0;2858646619;0.6426076177597475;0.817562724014337;0.7248255200032784;0.9481481481481481;0.6872119815668203;0.8779436501261564;0.7767453865374438;0.9576837416481069;18;121;669;2174;368;1244;256;45;23;5;34;0.9175627240143369;0.9808429118773946;0.9;0.6617647058823529;0.027331189710610933;301;930;215;39;17;2;0;0.9267241379310345;0.9907834101382489;0.9512195121951219;0.6964285714285714;0.0
PROFILE;cosineTokenNormalizedBool;0.7;NONE;none;1.0;PROFILE;cosineTokenNormalizedBool;0.7;NONE;none;1.0;1289122872;0.8313049357674105;0.7225977079047898;0.775047767015343;0.9467455621301775;0.836405529953917;0.7023217247097844;0.7664370648357478;0.9425837320574162;18;121;669;2174;368;1244;240;62;6;21;0;0.975609756097561;0.9195402298850575;0.7469879518072289;0.9117647058823529;0.0;301;930;197;52;4;20;0;0.9800995024875622;0.9078341013824884;0.7222222222222222;0.9285714285714286;0.0
PROFILE;cosineFiveGramNormalizedBool;0.44;NONE;none;1.0;PROFILE;cosineFiveGramNormalizedBool;0.44;NONE;none;1.0;2788380750;0.8063443768311922;0.751233595800525;0.7783013463051635;0.9514563106796117;0.8070276497695854;0.8292744799594114;0.8180754455278186;0.963302752293578;18;121;669;2174;368;1244;245;59;9;16;34;0.9645669291338582;0.9386973180076629;0.7866666666666666;0.8676470588235294;0.027331189710610933;301;930;210;47;9;7;0;0.958904109589041;0.967741935483871;0.8703703703703703;0.8392857142857143;0.0
SET;twoShingleDiceNormalized;0.83;NONE;none;1.0;SET;twoShingleDiceNormalized;0.83;NONE;none;1.0;2914400246;0.8397002479152582;0.6336309523809525;0.7294244771057979;0.9195876288659793;0.8438940092165899;0.6417396745932415;0.7359077842133757;0.9234567901234568;18;121;669;2174;368;1244;223;67;1;38;58;0.9955357142857143;0.8544061302681992;0.638095238095238;0.9852941176470589;0.04662379421221865;301;930;187;55;1;30;0;0.9946808510638298;0.8617511520737328;0.6470588235294118;0.9821428571428571;0.0
SET;fourGramJaccardNormalizedPadding;0.3;NONE;none;1.0;SET;fourGramJaccardNormalizedPadding;0.3;NONE;none;1.0;2145442743;0.8210502591841333;0.7578531308508425;0.7888190600566084;0.9533073929961089;0.8202764976958525;0.8202764976958525;0.8202764976958525;0.9631336405529954;18;121;669;2174;368;1244;245;60;8;16;0;0.9683794466403162;0.9386973180076629;0.7894736842105263;0.8823529411764706;0.0;301;930;209;48;8;8;0;0.9631336405529954;0.9631336405529954;0.8571428571428571;0.8571428571428571;0.0
SET;fourGramDiceNormalized;0.51;NONE;none;1.0;SET;fourGramDiceNormalized;0.51;NONE;none;1.0;2017490249;0.8057245886860491;0.7178714859437751;0.7605305435953845;0.9450980392156862;0.8335253456221197;0.8122694466720128;0.8228287618183856;0.9629629629629628;18;121;669;2174;368;1244;241;60;8;20;0;0.9678714859437751;0.9233716475095786;0.75;0.8823529411764706;0.0;301;930;208;49;7;9;0;0.9674418604651163;0.9585253456221198;0.8448275862068966;0.875;0.0
SET;threeGramDice;0.32;NONE;none;1.0;SET;threeGramDice;0.32;NONE;none;1.0;1473678709;0.844658553076403;0.8736013986013986;0.8590080868700708;0.9714285714285714;0.7851382488479262;0.8692602040816326;0.8261291874917894;0.9659863945578231;18;121;669;2174;368;1244;255;59;9;6;0;0.9659090909090909;0.9770114942528736;0.9076923076923077;0.8676470588235294;0.0;301;930;213;45;11;4;0;0.9508928571428571;0.9815668202764977;0.9183673469387755;0.8035714285714286;0.0
SET;fourGramDice;0.03;NONE;none;1.0;SET;fourGramDice;0.03;NONE;none;1.0;1531452617;0.5652467883705206;0.7706252880626825;0.6599950523409539;0.9375;0.6468894009216588;0.8434549356223178;0.7386623437059301;0.9511111111111112;18;121;669;2174;368;1244;255;40;28;6;0;0.901060070671378;0.9770114942528736;0.8695652173913043;0.5882352941176471;0.0;301;930;214;37;19;3;0;0.9184549356223176;0.9861751152073732;0.925;0.6607142857142857;0.0
SET;twoGramJaccard;0.03;NONE;none;1.0;SET;twoGramJaccard;0.03;NONE;none;1.0;1414349957;0.5505409060175794;0.7645539906103287;0.6487821257479018;0.9357798165137615;0.6468894009216588;0.8434549356223178;0.7386623437059301;0.9511111111111112;18;121;669;2174;368;1244;255;39;29;6;0;0.897887323943662;0.9770114942528736;0.8666666666666667;0.5735294117647058;0.0;301;930;214;37;19;3;0;0.9184549356223176;0.9861751152073732;0.925;0.6607142857142857;0.0
PROFILE;cosineThreeGramNormalizedNormalizedTermFrequency;0.83;NONE;none;1.0;PROFILE;cosineThreeGramNormalizedNormalizedTermFrequency;0.83;NONE;none;1.0;2573406950;0.8812260536398466;0.6868686868686869;0.7780016595728293;0.9368635437881875;0.8634792626728109;0.7316273880909216;0.7948239286911182;0.9498806682577565;18;121;669;2174;368;1244;230;68;0;31;0;1.0;0.8812260536398467;0.6868686868686869;1.0;0.0;301;930;199;53;3;18;0;0.9851485148514851;0.9170506912442397;0.7464788732394366;0.9464285714285714;0.0
PROFILE;manhattanFiveGramNormalized;0.04;NONE;none;1.0;PROFILE;manhattanFiveGramNormalized;0.04;NONE;none;1.0;2758907267;0.6982195176921344;0.8883154121863799;0.7875526386567844;0.9592592592592593;0.6826036866359446;0.8549783549783552;0.763944616514941;0.9553571428571429;18;121;669;2174;368;1244;259;48;20;2;34;0.9283154121863799;0.9923371647509579;0.96;0.7058823529411765;0.027331189710610933;301;930;214;39;17;3;0;0.9264069264069265;0.9861751152073732;0.9285714285714286;0.6964285714285714;0.0
PROFILE;cosineTokenNormalizedTermFrequency;0.7;NONE;none;1.0;PROFILE;cosineTokenNormalizedTermFrequency;0.7;NONE;none;1.0;1292006747;0.8357561415370747;0.7644300144300145;0.7992978664647862;0.9551656920077973;0.8415898617511521;0.7485726833552921;0.7937198379123891;0.9528301886792453;18;121;669;2174;368;1244;245;61;7;16;0;0.9722222222222222;0.9386973180076629;0.7922077922077922;0.8970588235294118;0.0;301;930;202;51;5;15;0;0.9758454106280193;0.9308755760368663;0.7727272727272727;0.9107142857142857;0.0
SET;fiveGramJaccardNormalized;0.53;NONE;none;1.0;SET;fiveGramJaccardNormalized;0.53;NONE;none;1.0;2248073415;0.8447712418300655;0.6787234042553192;0.7572093588116139;0.9354838709677419;0.8773041474654377;0.7647776183644188;0.8191108450508053;0.9573459715639809;18;121;669;2174;368;1244;232;65;3;29;34;0.9872340425531915;0.8888888888888888;0.6914893617021277;0.9558823529411765;0.027331189710610933;301;930;202;53;3;15;0;0.9853658536585366;0.9308755760368663;0.7794117647058824;0.9464285714285714;0.0
PROFILE;cosineTwoGramNormalizedNormalizedTermFrequency;0.31;NONE;none;1.0;PROFILE;cosineTwoGramNormalizedNormalizedTermFrequency;0.31;NONE;none;1.0;2192016686;0.6279017354068064;0.8122448979591836;0.7141498309205819;0.9463955637707948;0.7229262672811059;0.8882709807886755;0.8013453840109669;0.9619686800894856;18;121;669;2174;368;1244;256;44;24;5;0;0.9142857142857143;0.9808429118773946;0.8979591836734694;0.6470588235294118;0.0;301;930;215;41;15;2;0;0.9347826086956522;0.9907834101382489;0.9534883720930233;0.7321428571428571;0.0
SET;twoShingleDiceNormalized;0.61;NONE;none;1.0;SET;twoShingleDiceNormalized;0.61;NONE;none;1.0;2977862131;0.8568852828487716;0.7277251411618337;0.7896688948037779;0.9484126984126985;0.8686635944700463;0.7807692307692307;0.823544659658244;0.96;18;121;669;2174;368;1244;239;64;4;22;58;0.9835390946502057;0.9157088122605364;0.7441860465116279;0.9411764705882353;0.04662379421221865;301;930;204;52;4;13;0;0.9807692307692307;0.9400921658986175;0.8;0.9285714285714286;0.0
SET;twoGramDiceNormalizedPadding;0.48;NONE;none;1.0;SET;twoGramDiceNormalizedPadding;0.48;NONE;none;1.0;1867814938;0.7519720531890917;0.7777389277389277;0.764746976677204;0.9523809523809524;0.7851382488479262;0.8692602040816326;0.8261291874917894;0.9659863945578231;18;121;669;2174;368;1244;250;54;14;11;0;0.946969696969697;0.9578544061302682;0.8307692307692308;0.7941176470588235;0.0;301;930;213;45;11;4;0;0.9508928571428571;0.9815668202764977;0.9183673469387755;0.8035714285714286;0.0
FINGERPRINT;winnowingTwoGramDiceNormalized;0.59;NONE;none;1.0;FINGERPRINT;winnowingTwoGramDiceNormalized;0.59;NONE;none;1.0;1785741264;0.8133874239350911;0.7373582592706098;0.7744404012094052;0.94921875;0.8156682027649769;0.8050682261208575;0.8103508827064904;0.9607390300230947;18;121;669;2174;368;1244;243;60;8;18;34;0.9681274900398407;0.9310344827586207;0.7692307692307693;0.8823529411764706;0.027331189710610933;301;930;208;48;8;9;0;0.9629629629629629;0.9585253456221198;0.8421052631578947;0.8571428571428571;0.0
SET;threeGramJaccardNormalized;0.29;NONE;none;1.0;SET;threeGramJaccardNormalized;0.29;NONE;none;1.0;2089901627;0.8287130944331755;0.779438261791203;0.8036981360240941;0.9573643410852712;0.7983870967741935;0.8569157392686804;0.8271338883486963;0.9658314350797267;18;121;669;2174;368;1244;247;60;8;14;0;0.9686274509803922;0.946360153256705;0.8108108108108109;0.8823529411764706;0.0;301;930;212;46;10;5;0;0.954954954954955;0.9769585253456221;0.9019607843137255;0.8214285714285714;0.0
PROFILE;manhattanThreeGramNormalized;0.77;NONE;none;1.0;PROFILE;manhattanThreeGramNormalized;0.77;NONE;none;1.0;2572024453;0.8620689655172413;0.6538461538461537;0.7507732530222297;0.9259259259259259;0.8634792626728109;0.7316273880909216;0.7948239286911182;0.9498806682577565;18;121;669;2174;368;1244;225;68;0;36;0;1.0;0.8620689655172413;0.6538461538461539;1.0;0.0;301;930;199;53;3;18;0;0.9851485148514851;0.9170506912442397;0.7464788732394366;0.9464285714285714;0.0
PROFILE;cosineTwoGramNormalizedNormalizedTermFrequency;0.88;NONE;none;1.0;PROFILE;cosineTwoGramNormalizedNormalizedTermFrequency;0.88;NONE;none;1.0;2240795711;0.8741830065359477;0.6936248211731044;0.7786880194153905;0.9392712550607286;0.8680875576036866;0.7423645320197045;0.8027685927168483;0.9523809523809523;18;121;669;2174;368;1244;232;67;1;29;0;0.9957081545064378;0.8888888888888888;0.6979166666666666;0.9852941176470589;0.0;301;930;200;53;3;17;0;0.9852216748768473;0.9216589861751152;0.7571428571428571;0.9464285714285714;0.0
PROFILE;cosineFourGramNormalizedNormalizedTermFrequency;0.27;NONE;none;1.0;PROFILE;cosineFourGramNormalizedNormalizedTermFrequency;0.27;NONE;none;1.0;2691166549;0.7967094883930583;0.8437761069340017;0.8199051350453143;0.9639468690702088;0.754032258064516;0.8775138862286918;0.813433326779761;0.963963963963964;18;121;669;2174;368;1244;254;56;12;7;0;0.9548872180451128;0.9731800766283525;0.8888888888888888;0.8235294117647058;0.0;301;930;214;43;13;3;0;0.9427312775330396;0.9861751152073732;0.9347826086956522;0.7678571428571429;0.0
SET;twoGramDiceNormalized;0.54;NONE;none;1.0;SET;twoGramDiceNormalized;0.54;NONE;none;1.0;1840207709;0.8216700473292766;0.7961021945627254;0.8087850937580979;0.9595375722543352;0.7983870967741935;0.8569157392686804;0.8271338883486963;0.9658314350797267;18;121;669;2174;368;1244;249;59;9;12;0;0.9651162790697675;0.9540229885057471;0.8309859154929577;0.8676470588235294;0.0;301;930;212;46;10;5;0;0.954954954954955;0.9769585253456221;0.9019607843137255;0.8214285714285714;0.0
FINGERPRINT;winnowingTwoGramJaccardNormalized;0.07;NONE;none;1.0;FINGERPRINT;winnowingTwoGramJaccardNormalized;0.07;NONE;none;1.0;1829775701;0.5467094883930583;0.7453525887233061;0.6383504777576032;0.9338235294117647;0.6647465437788018;0.8492430613961313;0.751353039450302;0.953229398663697;18;121;669;2174;368;1244;254;39;29;7;34;0.8975265017667845;0.9731800766283525;0.8478260869565217;0.5735294117647058;0.027331189710610933;301;930;214;38;18;3;0;0.9224137931034483;0.9861751152073732;0.926829268292683;0.6785714285714286;0.0
PROFILE;cosineTwoGramNormalizedNormalizedTermFrequency;0.77;NONE;none;1.0;PROFILE;cosineTwoGramNormalizedNormalizedTermFrequency;0.77;NONE;none;1.0;2186062469;0.8427991886409736;0.7509036144578314;0.7955255853915918;0.9529411764705883;0.8513824884792627;0.819420243941074;0.8352484938009981;0.9651972157772621;18;121;669;2174;368;1244;243;62;6;18;0;0.9759036144578314;0.9310344827586207;0.775;0.9117647058823529;0.0;301;930;208;50;6;9;0;0.9719626168224299;0.9585253456221198;0.847457627118644;0.8928571428571429;0.0
SET;fourGramDiceNormalized;0.32;NONE;none;1.0;SET;fourGramDiceNormalized;0.32;NONE;none;1.0;2021116124;0.7884268649988733;0.7718146718146719;0.7800765488456731;0.9538461538461539;0.7805299539170507;0.8506726457399103;0.8148469064664035;0.9636363636363637;18;121;669;2174;368;1244;248;57;11;13;0;0.9575289575289575;0.9501915708812261;0.8142857142857143;0.8382352941176471;0.0;301;930;212;45;11;5;0;0.9506726457399103;0.9769585253456221;0.9;0.8035714285714286;0.0
FINGERPRINT;winnowingFourGramDiceNormalized;0.42;NONE;none;1.0;FINGERPRINT;winnowingFourGramDiceNormalized;0.42;NONE;none;1.0;1744845318;0.8395875591615956;0.7749635947576452;0.8066286586538238;0.9571984435797666;0.8335253456221197;0.8122694466720128;0.8228287618183856;0.9629629629629628;18;121;669;2174;368;1244;246;61;7;15;66;0.9723320158102767;0.9425287356321839;0.8026315789473685;0.8970588235294118;0.05305466237942122;301;930;208;49;7;9;0;0.9674418604651163;0.9585253456221198;0.8448275862068966;0.875;0.0
PROFILE;cosineTwoShingleNormalizedBool;0.62;NONE;none;1.0;PROFILE;cosineTwoShingleNormalizedBool;0.62;NONE;none;1.0;3196044539;0.8607167004732927;0.7365477338476374;0.7962153824301685;0.9504950495049505;0.8686635944700463;0.7807692307692307;0.823544659658244;0.96;18;121;669;2174;368;1244;240;64;4;21;58;0.9836065573770492;0.9195402298850575;0.7529411764705882;0.9411764705882353;0.04662379421221865;301;930;204;52;4;13;0;0.9807692307692307;0.9400921658986175;0.8;0.9285714285714286;0.0
PROFILE;manhattanTokenNormalized;0.2;NONE;none;1.0;PROFILE;manhattanTokenNormalized;0.2;NONE;none;1.0;1289223713;0.8011606941627227;0.9171181630546954;0.8571808584786181;0.9718574108818012;0.8162442396313363;0.8631221719457014;0.8393560037009127;0.9680365296803654;18;121;669;2174;368;1244;259;55;13;2;0;0.9522058823529411;0.9923371647509579;0.9649122807017544;0.8088235294117647;0.0;301;930;212;47;9;5;0;0.9592760180995475;0.9769585253456221;0.9038461538461539;0.8392857142857143;0.0
PROFILE;manhattanFiveGramNormalized;0.22;NONE;none;1.0;PROFILE;manhattanFiveGramNormalized;0.22;NONE;none;1.0;2769934104;0.8593644354293442;0.8786726581403386;0.868964920344874;0.9732824427480916;0.7805299539170507;0.8506726457399103;0.8148469064664035;0.9636363636363637;18;121;669;2174;368;1244;255;60;8;6;34;0.9695817490494296;0.9770114942528736;0.9090909090909091;0.8823529411764706;0.027331189710610933;301;930;212;45;11;5;0;0.9506726457399103;0.9769585253456221;0.9;0.8035714285714286;0.0
SET;tokenJaccard;0.97;NONE;none;1.0;SET;tokenJaccard;0.97;NONE;none;1.0;421128659;0.632183908045977;0.41463414634146334;0.5119814791996424;0.7746478873239436;0.7834101382488479;0.5436893203883495;0.652634450247502;0.8785529715762275;18;121;669;2174;368;1244;165;68;0;96;0;1.0;0.632183908045977;0.4146341463414634;1.0;0.0;301;930;170;56;0;47;0;1.0;0.783410138248848;0.5436893203883495;1.0;0.0
PROFILE;cosineTwoGramNormalizedBool;0.39;NONE;none;1.0;PROFILE;cosineTwoGramNormalizedBool;0.39;NONE;none;1.0;2264483462;0.68289384719405;0.8161616161616161;0.7465599413260261;0.9514925373134328;0.7764976958525347;0.9036583030070868;0.8376685443079586;0.9684684684684685;18;121;669;2174;368;1244;255;48;20;6;0;0.9272727272727272;0.9770114942528736;0.8888888888888888;0.7058823529411765;0.0;301;930;215;44;12;2;0;0.947136563876652;0.9907834101382489;0.9565217391304348;0.7857142857142857;0.0
PROFILE;cosineThreeGramNormalizedBool;0.98;NONE;none;1.0;PROFILE;cosineThreeGramNormalizedBool;0.98;NONE;none;1.0;2568648516;0.7241379310344827;0.48571428571428577;0.5930633506894811;0.8400000000000001;0.8110599078341014;0.5773195876288659;0.684281207935078;0.8956743002544529;18;121;669;2174;368;1244;189;68;0;72;0;1.0;0.7241379310344828;0.4857142857142857;1.0;0.0;301;930;176;56;0;41;0;1.0;0.8110599078341014;0.5773195876288659;1.0;0.0
