MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;cosineFiveGramNormalizedBool;0.04;NONE;none;1.0;PROFILE;cosineFiveGramNormalizedBool;0.04;NONE;none;1.0;322177049;0.9966329966329965;0.9772727272727273;0.9869053889352918;0.9983136593591906;1.0;1.0;1.0;1.0;97;244;890;1495;535;938;296;43;0;1;46;1.0;0.9966329966329966;0.9772727272727273;1.0;0.04904051172707889;355;557;191;38;0;0;0;1.0;1.0;1.0;1.0;0.0
SET;threeGramDiceNormalizedPadding;0.96;NONE;none;1.0;SET;threeGramDiceNormalizedPadding;0.96;NONE;none;1.0;184078499;0.6498316498316499;0.2925170068027212;0.4359894598891448;0.7877551020408163;0.8743455497382198;0.6129032258064515;0.7320445395630447;0.9329608938547487;97;244;890;1495;535;938;193;43;0;104;42;1.0;0.6498316498316499;0.2925170068027211;1.0;0.04477611940298507;355;557;167;38;0;24;0;1.0;0.8743455497382199;0.6129032258064516;1.0;0.0
PROFILE;manhattanTwoShingleNormalized;0.16;NONE;none;1.0;PROFILE;manhattanTwoShingleNormalized;0.16;NONE;none;1.0;249260609;0.953175162477488;0.8537064310260187;0.9020708210009355;0.9863945578231292;0.9947643979057592;0.9743589743589745;0.9845088209215183;0.9973753280839895;97;244;890;1495;535;938;290;42;1;7;60;0.9965635738831615;0.9764309764309764;0.8571428571428571;0.9767441860465116;0.06396588486140725;355;557;190;38;0;1;0;1.0;0.9947643979057592;0.9743589743589743;1.0;0.0
PROFILE;cosineTokenNormalizedTermFrequency;0.26;NONE;none;1.0;PROFILE;cosineTokenNormalizedTermFrequency;0.26;NONE;none;1.0;136348932;0.9400203586250098;0.9043314500941619;0.9220032397087274;0.9898648648648648;1.0;1.0;1.0;1.0;97;244;890;1495;535;938;293;41;2;4;0;0.9932203389830508;0.9865319865319865;0.9111111111111111;0.9534883720930233;0.0;355;557;191;38;0;0;0;1.0;1.0;1.0;1.0;0.0
SET;tokenJaccard;0.56;NONE;none;1.0;SET;tokenJaccard;0.56;NONE;none;1.0;55893280;0.8484848484848486;0.48863636363636376;0.6438948291174478;0.9180327868852458;0.9371727748691101;0.76;0.8439498260563382;0.9675675675675676;97;244;890;1495;535;938;252;43;0;45;0;1.0;0.8484848484848485;0.48863636363636365;1.0;0.0;355;557;179;38;0;12;0;1.0;0.93717277486911;0.76;1.0;0.0
PROFILE;manhattanTokenNormalized;0.41;NONE;none;1.0;PROFILE;manhattanTokenNormalized;0.41;NONE;none;1.0;135536347;0.9228721321744577;0.7205918317437026;0.815483979112287;0.9706390328151987;0.9842931937172774;0.9268292682926829;0.9551291747813236;0.9920844327176782;97;244;890;1495;535;938;281;42;1;16;0;0.9964539007092199;0.9461279461279462;0.7241379310344828;0.9767441860465116;0.0;355;557;188;38;0;3;0;1.0;0.9842931937172775;0.926829268292683;1.0;0.0
PROFILE;cosineFiveGramNormalizedBool;0.94;NONE;none;1.0;PROFILE;cosineFiveGramNormalizedBool;0.94;NONE;none;1.0;320847155;0.6666666666666665;0.30281690140845074;0.44930828422398406;0.8;0.8900523560209423;0.6440677966101696;0.7571354302963892;0.9418282548476455;97;244;890;1495;535;938;198;43;0;99;46;1.0;0.6666666666666666;0.3028169014084507;1.0;0.04904051172707889;355;557;170;38;0;21;0;1.0;0.8900523560209425;0.6440677966101694;1.0;0.0
SET;threeGramJaccardNormalized;0.03;NONE;none;1.0;SET;threeGramJaccardNormalized;0.03;NONE;none;1.0;204127906;0.9767441860465116;0.9966442953020134;0.9866440700641059;0.9983193277310924;1.0;1.0;1.0;1.0;97;244;890;1495;535;938;297;42;1;0;42;0.9966442953020134;1.0;1.0;0.9767441860465116;0.04477611940298507;355;557;191;38;0;0;0;1.0;1.0;1.0;1.0;0.0
FINGERPRINT;winnowingFourGramDiceNormalized;0.85;NONE;none;1.0;FINGERPRINT;winnowingFourGramDiceNormalized;0.85;NONE;none;1.0;140920655;0.7643097643097643;0.38053097345132736;0.5392991179588089;0.866412213740458;0.9424083769633507;0.7755102040816326;0.8548960830107296;0.9703504043126685;97;244;890;1495;535;938;227;43;0;70;77;1.0;0.7643097643097643;0.3805309734513274;1.0;0.08208955223880597;355;557;180;38;0;11;21;1.0;0.9424083769633508;0.7755102040816326;1.0;0.03770197486535009
SET;twoGramDiceNormalizedPadding;0.38;NONE;none;1.0;SET;twoGramDiceNormalizedPadding;0.38;NONE;none;1.0;167706692;0.9265523451569964;0.8298618416438741;0.8768753819850545;0.9829931972789115;1.0;1.0;1.0;1.0;97;244;890;1495;535;938;289;41;2;8;1;0.993127147766323;0.9730639730639731;0.8367346938775511;0.9534883720930233;0.0010660980810234541;355;557;191;38;0;0;0;1.0;1.0;1.0;1.0;0.0
