MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;threeGramDice;0.53;NONE;none;1.0;SET;threeGramDice;0.53;NONE;none;1.0;4987423304;0.9224330952127091;0.7090067687138419;0.8087096562991385;0.9800505760044956;0.9733096751842245;0.9357142857142857;0.9543268661699775;0.9953017708709794;97;799;3830;12720;2162;7400;1744;159;7;64;5;0.9960022844089091;0.9646017699115044;0.7130044843049327;0.9578313253012049;6.756756756756757E-4;1668;5320;1377;151;3;10;0;0.9978260869565218;0.992790194664744;0.937888198757764;0.9805194805194806;0.0
PROFILE;cosineTwoShingleNormalizedBool;0.47;NONE;none;1.0;PROFILE;cosineTwoShingleNormalizedBool;0.47;NONE;none;1.0;7647876079;0.9295633862885169;0.717296063186474;0.8165611780307958;0.9808988764044945;0.9458983698349235;0.8713664671278485;0.9078678983117799;0.9902138455962305;97;799;3830;12720;2162;7400;1746;160;6;62;337;0.9965753424657534;0.9657079646017699;0.7207207207207207;0.963855421686747;0.04554054054054054;1668;5320;1366;148;6;21;59;0.9956268221574344;0.9848594087959625;0.8757396449704142;0.961038961038961;0.011090225563909775
PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.98;NONE;none;1.0;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.98;NONE;none;1.0;4190379152;0.7605088495575221;0.27712854757929883;0.4590846467690676;0.8639648130694313;0.8248017303532804;0.38790931989924426;0.5656397071219991;0.9039905175819833;97;799;3830;12720;2162;7400;1375;166;0;433;0;1.0;0.7605088495575221;0.27712854757929883;1.0;0.0;1668;5320;1144;154;0;243;0;1.0;0.8248017303532804;0.3879093198992443;1.0;0.0
SET;twoGramDiceNormalized;0.06;NONE;none;1.0;SET;twoGramDiceNormalized;0.06;NONE;none;1.0;5410092535;0.8564679070263355;0.9281659830146167;0.8915965325446089;0.9911845730027548;0.9588760194383843;0.9758159035685359;0.9673088799956651;0.9967590925459128;97;799;3830;12720;2162;7400;1799;143;23;9;0;0.9873765093304061;0.9950221238938053;0.9407894736842105;0.8614457831325302;0.0;1668;5320;1384;148;6;3;0;0.99568345323741;0.9978370583994232;0.9801324503311258;0.961038961038961;0.0
FINGERPRINT;winnowingThreeGramOptimalAlignment;0.03;NONE;none;1.0;FINGERPRINT;winnowingThreeGramOptimalAlignment;0.03;NONE;none;1.0;18348083894;0.8460190318797314;0.8798586205104215;0.8627729355486662;0.9886834115373999;0.9581550389048585;0.9693645560986699;0.9637435000879188;0.9963976945244956;97;799;3830;12720;2162;7400;1791;142;24;17;198;0.9867768595041322;0.9905973451327433;0.8930817610062893;0.8554216867469879;0.026756756756756758;1668;5320;1383;148;6;4;0;0.9956803455723542;0.9971160778658976;0.9736842105263158;0.961038961038961;0.0
SET;twoGramDiceNormalizedPadding;0.32;NONE;none;1.0;SET;twoGramDiceNormalizedPadding;0.32;NONE;none;1.0;5395429087;0.899682802004478;0.8851808749528758;0.892402381136659;0.9908663160808192;0.9718630324253972;0.9775103124823414;0.974682582442195;0.9974774774774774;97;799;3830;12720;2162;7400;1790;151;15;18;0;0.9916897506925207;0.9900442477876106;0.893491124260355;0.9096385542168675;0.0;1668;5320;1384;150;4;3;0;0.9971181556195965;0.9978370583994232;0.9803921568627451;0.974025974025974;0.0
FINGERPRINT;winnowingTwoGramJaccardNormalized;0.65;NONE;none;1.0;FINGERPRINT;winnowingTwoGramJaccardNormalized;0.65;NONE;none;1.0;4371825498;0.9067064719053204;0.5433594568961215;0.701902796787898;0.960091874820557;0.9509592786449312;0.784234463800346;0.8635826769823902;0.9839181286549707;97;799;3830;12720;2162;7400;1672;163;3;136;64;0.9982089552238806;0.9247787610619469;0.5451505016722408;0.9819277108433735;0.008648648648648649;1668;5320;1346;151;3;41;0;0.9977761304670126;0.9704397981254506;0.7864583333333334;0.9805194805194806;0.0
SET;fourGramJaccard;0.22;NONE;none;1.0;SET;fourGramJaccard;0.22;NONE;none;1.0;6059288690;0.9170820449941357;0.7862507105742012;0.8491504045406095;0.9857740585774057;0.9761935973183271;0.9596158094326424;0.9678692107168143;0.996752075063154;97;799;3830;12720;2162;7400;1767;156;10;41;10;0.9943725379853686;0.9773230088495575;0.7918781725888325;0.9397590361445783;0.0013513513513513514;1668;5320;1381;151;3;6;0;0.9978323699421965;0.9956741167988464;0.9617834394904459;0.9805194805194806;0.0
PROFILE;cosineTwoShingleNormalizedBool;0.67;NONE;none;1.0;PROFILE;cosineTwoShingleNormalizedBool;0.67;NONE;none;1.0;7671550590;0.9084257383516365;0.5680556713059421;0.7183567307619072;0.9639794168096055;0.935093025215592;0.7323023450217785;0.8275088006655198;0.9787077826725404;97;799;3830;12720;2162;7400;1686;162;4;122;337;0.9976331360946745;0.9325221238938053;0.5704225352112676;0.9759036144578314;0.04554054054054054;1668;5320;1333;150;4;54;59;0.9970082273747195;0.9610670511896179;0.7352941176470589;0.974025974025974;0.011090225563909775
FINGERPRINT;winnowingThreeGramLongestCommonSubsequence;0.68;NONE;none;1.0;FINGERPRINT;winnowingThreeGramLongestCommonSubsequence;0.68;NONE;none;1.0;11315845629;0.8855688239684403;0.45644374910912555;0.635776968839163;0.9424144986845951;0.9509686420284833;0.720945667759842;0.8280076827215405;0.9779086892488954;97;799;3830;12720;2162;7400;1612;165;1;196;198;0.9993800371977681;0.8915929203539823;0.45706371191135736;0.9939759036144579;0.026756756756756758;1668;5320;1328;153;1;59;0;0.999247554552295;0.9574621485219899;0.7216981132075472;0.9935064935064936;0.0
