MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;twoGramJaccardNormalized;0.92;NONE;none;1.0;SET;twoGramJaccardNormalized;0.92;NONE;none;1.0;2085405442;0.844218491017608;0.5372441064063267;0.6734622549322661;0.9221484610742304;0.9505562422744127;0.8;0.8720349728190552;0.9746514575411914;100;308;2703;9948;1406;5376;764;149;2;127;0;0.9973890339425587;0.8574635241301908;0.5398550724637681;0.9867549668874173;0.0;1297;4572;769;160;0;40;0;1.0;0.9505562422744128;0.8;1.0;0.0
SET;fourGramDiceNormalizedPadding;0.12;NONE;none;1.0;SET;fourGramDiceNormalizedPadding;0.12;NONE;none;1.0;2305265372;0.923673824336076;0.9287892376681612;0.9262279995547205;0.9893438025799215;0.9600973423980221;0.9505943365918583;0.9553340233972901;0.9925742574257427;100;308;2703;9948;1406;5376;882;141;10;9;388;0.9887892376681614;0.98989898989899;0.94;0.9337748344370861;0.07217261904761904;1297;4572;802;155;5;7;0;0.9938042131350682;0.9913473423980222;0.9567901234567902;0.96875;0.0
PROFILE;cosineThreeGramNormalizedTermFrequency;0.56;NONE;none;1.0;PROFILE;cosineThreeGramNormalizedTermFrequency;0.56;NONE;none;1.0;3279327333;0.9355735426375604;0.8614063301967492;0.8977243296205093;0.9841449603624008;0.9725973423980223;0.9535903650961974;0.9630469639788714;0.9938042131350682;100;308;2703;9948;1406;5376;869;145;6;22;252;0.9931428571428571;0.9753086419753086;0.8682634730538922;0.9602649006622517;0.046875;1297;4572;802;157;3;7;0;0.9962732919254659;0.9913473423980222;0.9573170731707317;0.98125;0.0
SET;fiveGramOverlapNormalizedPadding;0.98;NONE;none;1.0;SET;fiveGramOverlapNormalizedPadding;0.98;NONE;none;1.0;2328883918;0.8529741863075198;0.5354609929078014;0.6758212816454868;0.9206541490006056;0.9344870210135969;0.7511737089201878;0.8378317739931813;0.9661341853035145;100;308;2703;9948;1406;5376;760;151;0;131;526;1.0;0.8529741863075196;0.5354609929078015;1.0;0.0978422619047619;1297;4572;756;160;0;53;0;1.0;0.934487021013597;0.7511737089201878;1.0;0.0
SET;fourGramDiceNormalized;0.33;NONE;none;1.0;SET;fourGramDiceNormalized;0.33;NONE;none;1.0;2288169057;0.9345626983596078;0.8864644214296291;0.9101959029192906;0.9864559819413092;0.9651112484548825;0.9462505680957429;0.9556343794182085;0.9925650557620818;100;308;2703;9948;1406;5376;874;144;7;17;388;0.9920544835414302;0.9809203142536476;0.8944099378881988;0.9536423841059603;0.07217261904761904;1297;4572;801;156;4;8;0;0.9950310559006211;0.9901112484548825;0.9512195121951219;0.975;0.0
FINGERPRINT;winnowingThreeGramDice;0.71;NONE;none;1.0;FINGERPRINT;winnowingThreeGramDice;0.71;NONE;none;1.0;1100469582;0.9228933930920686;0.7401598741036142;0.8264917771170399;0.9688581314878894;0.9788473423980224;0.9550881953867028;0.9668947935582222;0.9944203347799133;100;308;2703;9948;1406;5376;840;148;3;51;829;0.99644128113879;0.9427609427609428;0.7437185929648241;0.9801324503311258;0.15420386904761904;1297;4572;802;158;2;7;0;0.9975124378109452;0.9913473423980222;0.9575757575757575;0.9875;0.0
FINGERPRINT;winnowingTwoGramJaccard;0.07;NONE;none;1.0;FINGERPRINT;winnowingTwoGramJaccard;0.07;NONE;none;1.0;1140775783;0.9170513077797846;0.9272792863209001;0.9221511167903483;0.9887892376681615;0.9775417181705808;0.9775417181705808;0.977541718170581;0.9962917181705809;100;308;2703;9948;1406;5376;882;140;11;9;388;0.9876819708846585;0.98989898989899;0.9395973154362416;0.9271523178807947;0.07217261904761904;1297;4572;806;157;3;3;0;0.9962917181705809;0.9962917181705809;0.98125;0.98125;0.0
SET;fourGramJaccardNormalizedPadding;0.59;NONE;none;1.0;SET;fourGramJaccardNormalizedPadding;0.59;NONE;none;1.0;2539513664;0.8939356776001368;0.6859262807900035;0.7830542603177338;0.959349593495935;0.9864029666254637;0.935672514619883;0.9607029427512752;0.9931549471064094;100;308;2703;9948;1406;5376;826;146;5;65;388;0.9939831528279182;0.9270482603815937;0.6919431279620853;0.9668874172185431;0.07217261904761904;1297;4572;798;160;0;11;0;1.0;0.9864029666254636;0.935672514619883;1.0;0.0
PROFILE;cosineThreeGramNormalizedTermFrequency;0.86;NONE;none;1.0;PROFILE;cosineThreeGramNormalizedTermFrequency;0.86;NONE;none;1.0;3222250911;0.8893348495997504;0.6572841133816745;0.7645558633079709;0.9538281706604326;0.9839307787391842;0.9248554913294798;0.9539359432399147;0.9919003115264797;100;308;2703;9948;1406;5376;816;147;4;75;252;0.9951219512195122;0.9158249158249159;0.6621621621621622;0.9735099337748344;0.046875;1297;4572;796;160;0;13;0;1.0;0.9839307787391842;0.9248554913294798;1.0;0.0
SET;threeGramJaccard;1.0;NONE;none;1.0;SET;threeGramJaccard;1.0;NONE;none;1.0;2050606615;0.7946127946127945;0.4520958083832336;0.5993672611447273;0.8855534709193247;0.8986402966625464;0.6611570247933884;0.7708062953173496;0.9466145833333333;100;308;2703;9948;1406;5376;708;151;0;183;162;1.0;0.7946127946127947;0.45209580838323354;1.0;0.030133928571428572;1297;4572;727;160;0;82;0;1.0;0.8986402966625463;0.6611570247933884;1.0;0.0
