MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
FINGERPRINT;winnowingThreeGramDice;0.58;NONE;none;1.0;FINGERPRINT;winnowingThreeGramDice;0.58;NONE;none;1.0;1150725974;0.8256311510483525;0.7244680851063829;0.7733973228581664;0.9521829521829522;0.8084813874788495;0.7841025641025641;0.7961986742964123;0.9591836734693878;17;114;613;1950;341;1138;229;51;6;17;10;0.9744680851063829;0.9308943089430894;0.75;0.8947368421052632;0.008787346221441126;272;812;188;41;7;9;0;0.9641025641025641;0.9543147208121827;0.82;0.8541666666666666;0.0
PROFILE;cosineThreeGramNormalizedNormalizedTermFrequency;0.22;NONE;none;1.0;PROFILE;cosineThreeGramNormalizedNormalizedTermFrequency;0.22;NONE;none;1.0;2837755670;0.7111681643132219;0.8919499105545619;0.796446093937581;0.9644268774703556;0.672271573604061;0.844896331738437;0.7536576055942762;0.9556650246305418;17;114;613;1950;341;1138;244;41;16;2;0;0.9384615384615385;0.991869918699187;0.9534883720930233;0.7192982456140351;0.0;272;812;194;33;15;3;0;0.9282296650717703;0.9847715736040609;0.9166666666666666;0.6875;0.0
SET;twoGramDiceNormalized;0.31;NONE;none;1.0;SET;twoGramDiceNormalized;0.31;NONE;none;1.0;2167292598;0.6895592640136927;0.8648479427549196;0.7722460170760601;0.9604743083003953;0.7139382402707275;0.8582506992117978;0.7827758260871323;0.9603960396039604;17;114;613;1950;341;1138;243;40;17;3;0;0.9346153846153846;0.9878048780487805;0.9302325581395349;0.7017543859649122;0.0;272;812;194;35;13;3;0;0.9371980676328503;0.9847715736040609;0.9210526315789473;0.7291666666666666;0.0
SET;fourGramDice;0.38;NONE;none;1.0;SET;fourGramDice;0.38;NONE;none;1.0;1885132907;0.8500213949507915;0.7976843796011244;0.8234371798012308;0.9650924024640658;0.7662859560067683;0.8342159797375086;0.7995298553207877;0.9624060150375939;17;114;613;1950;341;1138;235;51;6;11;0;0.975103734439834;0.9552845528455285;0.8225806451612904;0.8947368421052632;0.0;272;812;192;38;10;5;0;0.9504950495049505;0.9746192893401016;0.8837209302325582;0.7916666666666666;0.0
SET;twoShingleJaccardNormalized;0.61;NONE;none;1.0;SET;twoShingleJaccardNormalized;0.61;NONE;none;1.0;3028276111;0.8335472828412493;0.6449619247323697;0.7332163799975618;0.9336188436830836;0.8410532994923858;0.6865504143646408;0.7598851829515074;0.9417989417989417;17;114;613;1950;341;1138;218;54;3;28;14;0.9864253393665159;0.8861788617886179;0.6585365853658537;0.9473684210526315;0.012302284710017574;272;812;178;45;3;19;0;0.9834254143646409;0.9035532994923858;0.703125;0.9375;0.0
PROFILE;cosineTokenNormalizedTermFrequency;0.5;NONE;none;1.0;PROFILE;cosineTokenNormalizedTermFrequency;0.5;NONE;none;1.0;1311365071;0.8352588789045785;0.8586510263929619;0.8468741899923807;0.97165991902834;0.8343908629441623;0.8092307692307692;0.8217145245518238;0.9642857142857143;17;114;613;1950;341;1138;240;49;8;6;0;0.967741935483871;0.975609756097561;0.8909090909090909;0.8596491228070176;0.0;272;812;189;42;6;8;0;0.9692307692307692;0.9593908629441624;0.84;0.875;0.0
SET;fiveGramJaccard;0.62;NONE;none;1.0;SET;fiveGramJaccard;0.62;NONE;none;1.0;1992282858;0.8172871202396235;0.6140820919515593;0.7084358718485488;0.9244060475161987;0.8669627749576989;0.707700276243094;0.7832941946229671;0.9470899470899471;17;114;613;1950;341;1138;214;54;3;32;0;0.9861751152073732;0.8699186991869918;0.627906976744186;0.9473684210526315;0.0;272;812;179;46;2;18;0;0.988950276243094;0.9086294416243654;0.71875;0.9583333333333334;0.0
PROFILE;manhattanThreeGramNormalized;0.84;NONE;none;1.0;PROFILE;manhattanThreeGramNormalized;0.84;NONE;none;1.0;2787923716;0.821138211382114;0.5643564356435644;0.6807456457050177;0.9017857142857143;0.8466582064297801;0.6651711532070457;0.7504482763942533;0.9358288770053476;17;114;613;1950;341;1138;202;57;0;44;0;1.0;0.8211382113821138;0.5643564356435643;1.0;0.0;272;812;175;46;2;22;0;0.9887005649717514;0.8883248730964467;0.6764705882352942;0.9583333333333334;0.0
SET;fourGramDiceNormalized;0.38;NONE;none;1.0;SET;fourGramDiceNormalized;0.38;NONE;none;1.0;2314392720;0.8324775353016687;0.7907465113128302;0.8113437660980074;0.9631147540983607;0.782043147208122;0.8216666666666668;0.8016101209166503;0.9622166246851385;17;114;613;1950;341;1138;235;50;7;11;0;0.9710743801652892;0.9552845528455285;0.819672131147541;0.8771929824561403;0.0;272;812;191;39;9;6;0;0.955;0.9695431472081218;0.8666666666666667;0.8125;0.0
FINGERPRINT;winnowingTwoGramDice;0.34;NONE;none;1.0;FINGERPRINT;winnowingTwoGramDice;0.34;NONE;none;1.0;1241047821;0.7299957210098418;0.8224329101719428;0.7748370830330655;0.96;0.7815143824027073;0.9012195121951219;0.8392353725162208;0.9701492537313432;17;114;613;1950;341;1138;240;43;14;6;0;0.9448818897637795;0.975609756097561;0.8775510204081632;0.7543859649122807;0.0;272;812;195;38;10;2;0;0.9512195121951219;0.9898477157360406;0.95;0.7916666666666666;0.0
